音標	調類	調值	
ȵiəu	7	45	肉
ȵiɛ	2	21	鮎然燃年能
ȵiɛ	3	53	冉碾輦撚
ȵiɛ	6	44	𥽸
ȵiɛ	7	45	聶鑷躡業苶熱孽捏
ȵiɔ	7	45	入（訓讀，～屄）
ȵiʊ	3	53	鳥藕
ȵiʊ	7	45	若弱虐瘧
ŋa	2	21	岩牙芽伢
ŋa	3	53	藹矮眼
ŋa	5	213	愛隘晏
ŋa	6	44	礙艾外
ŋa	7	45	鴨額
ŋau	2	21	熬
ŋau	3	53	襖咬
ŋau	5	213	傲鏊懊奥懊坳
ŋi	2	21	鱼泥倪宜儀尼疑
ŋi	3	53	女語蟻議擬尾
ŋi	6	44	遇藝内誼義膩毅
ŋiɛ	1	22	恩
ŋiɛ	2	21	黏嚴言
ŋiɛ	3	53	軟
ŋiɛ	6	44	驗念釅諺
ŋiɛ	7	45	業月
ŋɑŋ	1	22	骯
ŋɑŋ	2	21	昂
ŋɑŋ	6	44	硬
ŋɤ	1	22	庵安鞍
ŋɤ	3	53	揞
ŋɤ	5	213	暗按案
ŋɤ	6	44	岸
ŋɔ	1	22	鴉丫椏
ŋɔ	2	21	牙芽伢
ŋɔ	3	53	啞瓦
ŋʊ	1	22	阿
ŋʊ	2	21	蛾鵝俄訛
ŋʊ	3	53	我
ŋʊ	6	44	餓
ŋʊ	7	45	惡鄂
ʊ	7	45	擴握沃
ʑi	1	22	蛆趨妻棲溪催崔欺期
ʑi	2	21	徐齊臍奇騎岐祁鰭其棋旗隨
ʑi	3	53	取娶啓企起杞祈豈
ʑi	5	213	氣趣砌契脆器棄氣汽翠粹泣
ʑi	6	44	聚罪徛技妓
ʑi	7	45	緝集輯及七漆疾乞極籍藉戚寂吃（口~）
ʑia	7	45	恰洽
ʑin	1	22	侵欽親卿傾清輕青
ʑin	2	21	尋琴禽擒秦勤芹擎情瓊窮松
ʑin	5	213	親慶
ʑin	6	44	盡近靜靖淨
ʑiɑŋ	1	22	槍羌腔筐清（白）輕（白）青（白）
ʑiɑŋ	2	21	牆詳祥強晴（白）
ʑiɑŋ	3	53	搶強匠請（白）頃（白）
ʑiɑŋ	5	213	嗆
ʑiɑŋ	6	44	匠像
ʑiəu	1	22	秋秋鞦丘
ʑiəu	2	21	囚泅求球仇
ʑiəu	6	44	就臼舅咎舊柩
ʑiəu	7	45	麴曲局
ʑiɛ	1	22	籤簽謙遷千牽
ʑiɛ	2	21	潛鉗錢乾虔掮犍前全泉曾層
ʑiɛ	3	53	淺遣
