"tsʰ"	"［1］秋鞦□{锅～：锅底黑灰}［2］泅［6］袖就"	""	""	""	""	""	""
"s"	"［1］修羞［2］囚泅=［5］秀绣锈"	""	""	""	""	""	""
"ȵ"	"［1］扭{又}［2］牛［3］扭纽［5］幼"	""	""	""	""	""	""
"ɕ"	"［5］嗅="	""	""	""	""	""	""
"∅"	"［1］优忧悠幽［2］油由游遊犹柔揉{又}［3］有友酉［6］又右佑柚釉"	""	""	""	""	""	""
"#an"	""	""	""	""	""	""	""
"p"	"［1］班斑扳［3］板版［5］扮"	""	""	""	""	""	""
"pʰ"	"［1］攀［3］瓣{页：一～书}［5］盼［6］办"	""	""	""	""	""	""
"m"	"［2］馒{又}［6］慢漫={～画}幔万-{姓}蔓{瓜～子}"	""	""	""	""	""	""
"t"	"［1］耽担{～任}单丹［3］胆掸{鸡毛～子}［5］担{挑～}旦"	""	""	""	""	""	""
"tʰ"	"［1］摊滩［2］谈谭痰坛弹㶣{在火上稍烤}檀［3］坦［5］叹炭［6］淡诞但蛋弹{子～}"	""	""	""	""	""	""
"l"	"［2］蓝篮兰难拦栏［3］览榄揽缆懒［5］□{～尖：很尖}［6］难{患～}滥烂"	""	""	""	""	""	""
"ts"	"［3］斩盏攒{～劲：加劲}［5］站{～住，车～}蘸赞灒{溅：～得一身水}"	""	""	""	""	""	""
"tsʰ"	"［1］餐搀䱗{～鱼}［2］惭谗馋残［3］铲［5］灿忏□{打～嘴：插嘴}［6］暂栈"	""	""	""	""	""	""
"s"	"［1］三山衫珊疝［3］散伞产［5］散"	""	""	""	""	""	""
"k"	"［1］尴监{～房，～视}间{空～}奸艰［3］减碱简柬揀锏{杀手～}［5］监间{～断}谏涧"	""	""	""	""	""	""
"kʰ"	"［1］艰{又}［3］舰槛［5］嵌［6］□{手臂向两侧平伸或两腿尽量张开的距离}"	""	""	""	""	""	""
"ŋ"	"［1］压?{等石头～到}［2］岩颜顽{～固}［5］晏［6］雁"	""	""	""	""	""	""
"h"	"［1］顽?{～皮：顽皮}［2］咸鹹衔闲［3］喊［5］□{在饭甑中蒸：～鱼，～肉，～鸡}［6］陷馅苋限"	""	""	""	""	""	""
"#atn̍"	""	""	""	""	""	""	""
"p"	"［7］八"	""	""	""	""	""	""
"pʰ"	"［8］拔"	""	""	""	""	""	""
"t"	"［7］答荅搭"	""	""	""	""	""	""
"tʰ"	"［7］塔塌［8］达踏"	""	""	""	""	""	""
"l"	"［8］辣腊{～肉}"	""	""	""	""	""	""
"ts"	"［7］眨札紥"	""	""	""	""	""	""
"tsʰ"	"［7］插擦察［8］闸"	""	""	""	""	""	""
"s"	"［7］撒萨杀［8］煠{～油条}"	""	""	""	""	""	""
"k"	"［7］夹裌甲胛挟{又。～菜}［8］□{剪：～断}□{唧唧～～：不停地胡说}"	""	""	""	""	""	""
"kʰ"	"［7］掐恰［8］□{～到：扣住，多用于财务}"	""	""	""	""	""	""
"ŋ"	"［7］鸭压押"	""	""	""	""	""	""
"h"	"［7］瞎［8］狭峡洽匣辖{管～}"	""	""	""	""	""	""
"#ian"	""	""	""	""	""	""	""
"∅"	"［2］然［3］软"	""	""	""	""	""	""
"#iatn̍"	""	""	""	""	""	""	""
"∅"	"［8］热"	""	""	""	""	""	""
"#uan"	""	""	""	""	""	""	""
"ɸ"	"［1］翻番［2］藩烦礬繁还=环凡帆［3］反返［5］贩泛畈{大～头：平原}［6］饭幻患宦范犯"	""	""	""	""	""	""
"k"	"［1］鳏关［5］惯"	""	""	""	""	""	""
"kʰ"	"［3］□{～沟：犁过后用脚开沟}［5］□{门～仿：门上上锁的活动部分，一般是铁链条}"	""	""	""	""	""	""
"∅"	"［1］弯湾［2］环{耳～}［3］晚挽輓{鯇～鱼：草鱼}捾{舀取，《集韵》邬版切：“取也。”}［6］万="	""	""	""	""	""	""
"#uatn̍"	""	""	""	""	""	""	""
"ɸ"	"［7］法髮发［8］伐罚乏"	""	""	""	""	""	""
"k"	"［7］刮［8］掴{～渠两个耳巴子}"	""	""	""	""	""	""
"∅"	"［7］袜挖-［8］滑猾"	""	""	""	""	""	""
"#ɔn"	""	""	""	""	""	""	""
"p"	"［1］般搬［5］半"	""	""	""	""	""	""
"pʰ"	"［1］潘［2］盘［3］叛绊{～到脚}［5］判［6］伴拌"	""	""	""	""	""	""
"m"	"［2］瞒馒［3］满［6］漫"	""	""	""	""	""	""
"t"	"［1］端［3］短［5］锻断{决～}椴□断?{起～：压弯}煅{熬：～猪油}［6］□{～下来：长条形物体（如绳子）中间坠下来}"	""	""	""	""	""	""
"tʰ"	"［1］贪［2］团潭［3］毯［5］探［6］断{～绝}段"	""	""	""	""	""	""
"l"	"［2］男南鸾［3］卵暖揇{打～交哩：两人搂在一起角力}［6］乱"	""	""	""	""	""	""
"ts"	"［1］钻{～出来}簪{～子}［3］簪{环～：旧时妇女的首饰}□{～事：说谎}［5］钻{～子}"	""	""	""	""	""	""
"tsʰ"	"［1］参□{～到：用手压住}［2］蚕［3］惨［5］窜篡纂［6］赚攒{又}□{用物投掷}"	""	""	""	""	""	""
"s"	"［1］酸闩栓［5］算蒜糁{饭～：饭粒}"	""	""	""	""	""	""
"k"	"［1］干肝竿乾{～湿}甘柑杆［3］稈{禾～}赶擀{～面}感鳡{～鱼}敢橄［5］干幹{～什么，～部}"	""	""	""	""	""	""
"kʰ"	"［1］刊堪龛看{～牛}［3］砍坎［5］看墈{高坡}勘"	""	""	""	""	""	""
"ŋ"	"［1］安鞍庵［3］顉{～头：点头；打～：打瞌睡}□{～动：摇动}［5］案按暗揞［6］玩岸□{～哩：擀面杖}"	""	""	""	""	""	""
"h"	"［1］鼾憨［2］寒含函涵韩𧑚{～螼仂：蚯蚓}［3］罕［5］汉［6］汗旱焊撼憾翰"	""	""	""	""	""	""
"#ɔtn̍"	""	""	""	""	""	""	""
