漢字	雲陽話	訪仙話	河陽話	埤城話
墾	kʰeŋ55	kʰəŋ41	kʰəŋ31	kʰəŋ25
很	xeŋ31	xɘŋ41	xəŋ31	xəŋ25
恨	xeŋ31	xɘŋ325	xəŋ31	xəŋ41
彬	piŋ33	piɪŋ55	piŋ33	piŋ51
賓	piŋ33	piɪŋ55	piŋ33	piɡ51
檳（檳榔）	piŋ33	piɪŋ55	piŋ33	piŋ51
貧	piŋ25	piɪŋ31	piŋ31	pʰiŋ25
頻（頻繁）	piŋ31	piɪŋ31	piŋ24	pʰiŋ25
閩（閩越）	miŋ25	miɪŋ55	miŋ24	miŋ25
民	miŋ25	miɪŋ55	miŋ33	miŋ25
鄰	liŋ31	liɪŋ31	liŋ31	liŋ25
鱗	liŋ31	liɪŋ55	liŋ33	liŋ25
磷（白磷，紅磷，磷肥）	liŋ31	liɪŋ55	liŋ31	liŋ25
津	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
親	ʨʰiŋ33	ʨʰiɪŋ55	ʨʰiŋ33	ʨʰiŋ51
秦	ʨʰioŋ25	ɕiɪŋ31	ʨʰiŋ31	ʨʰiŋ25
辛	ɕiŋ33	ɕiɪŋ55	ɕiŋ33	ɕiŋ51
新	ɕiŋ33	ɕiɪŋ55	ɕiŋ33	ɕiŋ51
薪	ɕiŋ33	ɕiɪŋ55	ɕiŋ33	ɕiŋ51
珍	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ51
陳	ʦʰeŋ25	ʦɘŋ31	ʦəŋ24	ʦʰəŋ25
塵	ʦʰeŋ25	ʦɘŋ31	ʦʰəŋ24	ʦʰəŋ25
真	ʦeŋ33	ʦɘŋ41	ʦəŋ33	ʦəŋ51
神	seŋ25	sɘŋ31	səŋ24	səŋ25
身	seŋ33	sɘŋ55	səŋ33	səŋ51
申	seŋ33	sɘŋ55	səŋ33	səŋ51
伸	seŋ33	sɘŋ55	səŋ33	səŋ51
娠	seŋ33	sɘŋ55		səŋ51
辰	ʦʰeŋ33	ʦɘŋ31	ʦʰəŋ24	səŋ51
晨	ʦʰeŋ25	sɘŋ31	ʦəŋ24	
臣	ʦʰeŋ25	ʦɘŋ31	ʦʰəŋ24	ʦʰəŋ25
人	ȵiŋ33	ȵiɪŋ55	ȵiŋ33	ᴇn51
仁	leŋ31	sɘŋ325	ᴇn24	ᴇn25
巾	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
銀	ȵiŋ25	iɪŋ31	ȵiŋ31	iŋ25
因	iŋ33	iɪŋ55	iŋ33	iŋ51
姻	iŋ33	iɪŋ55	iŋ33	iŋ51
湮（墨水著紙向周圍散開）	iŋ33	iɪŋ55		iŋ51
寅		iɪŋ325	iŋ24	iŋ25
憫	miŋ25	miɪŋ55	miŋ24	miŋ25
敏	miŋ31	miɪŋ55	miŋ31	miŋ25
抿	miŋ31	miɪŋ325	miŋ31	miŋ2
盡（盡前）	ʨiŋ55	ʨiɪŋ434	ʨiŋ31	ʨiŋ25
盡	ʨiŋ31	ɕiɪŋ325	ʨiŋ31	ʨiŋ25
診	ʦeŋ55	ʦɘŋ434	ʦəŋ55	ʦəŋ51
疹（溼～，麻～）	ʦeŋ55	ʦɘŋ41	ʦəŋ24	ʦəŋ51
腎	seŋ31	sɘŋ434	səŋ31	səŋ25
忍	leŋ25	sɘŋ434	ᴇn24	ᴇn25
緊	ʨiŋ55	ɕiɪŋ41	ʨiŋ24	ʨiŋ33
引	iŋ25	iɪŋ325	iŋ24	iŋ33
殯		piɪŋ55	piŋ31	piŋ41
鬢	piŋ424	piɪŋ55	piŋ55	piŋ41
吝（吝嗇）	liŋ31	liɪŋ434	liŋ31	liŋ25
進	ʨiŋ424	ʨiɪŋ434	ʨiŋ31	ʨiŋ25
晉	ʨiŋ424	ʨiɪŋ434	ʨiŋ31	ʨiŋ41
親（親家）	ʨʰiŋ33	ʨʰiɪŋ55	ʨʰiŋ55	ʨʰiŋ33
信	ɕiŋ424	ɕiɪŋ434	ɕiŋ24	ɕiŋ25
訊	ɕyn31	ɕyɲ434		ɕyn25
鎮	ʦeŋ424	ʦɘŋ434	ʦəŋ31	ʦəŋ25
趁	ʦʰeŋ424	ʦʰɘŋ434	ʦʰəŋ31	ʦʰəŋ25
陣	ʦeŋ31	ʦɘŋ31	ʦəŋ31	ʦʰəŋ25
襯	ʦʰeŋ424	ʦʰɘŋ434	ʦʰəŋ31	ʦʰəŋ41
振	ʦeŋ424	ʦɘŋ434	ʦəŋ31	ʦəŋ25
震	ʦeŋ424	ʦɘŋ434	ʦəŋ31	ʦəŋ25
慎	seŋ25	sɘŋ434	səŋ31	səŋ41
刃		lɘŋ325	ᴇn31	ᴇn25
認	ȵiŋ31	ȵiɪŋ325	ȵiŋ31	ᴇn41
韌	leŋ31	lɘŋ325	ȵiŋ31	ᴇn25
僅		ʨiɪŋ325	ʨiŋ24	ʨiŋ25
釁（挑釁）	ɕiŋ424	ɕiɪŋ434	ɕiŋ31	ɕiŋ41
印	iŋ424	iɪŋ434	iŋ31	iŋ25
筆	piəʔ44	piɛʔ44	piɛʔ33	piʔ44
畢	piəʔ44	piɛʔ44	piɛʔ33	piʔ44
必	piəʔ44	piɛʔ44	piɛʔ33	piʔ44
匹（一匹）	pʰiəʔ44	pʰiɛʔ44	pʰiɛʔ33	pʰiʔ44
弼	pɿ31	piɛʔ31	piɛʔ33	piʔ44
密	miəʔ31	miɛʔ31	miɛʔ33	miʔ44
蜜	miəʔ31	miɛʔ31	miɛʔ31	miʔ44
栗	liəʔ31	liɛʔ31	liɛʔ31	liʔ44
七	ʨʰiəʔ44	ʨʰiɛʔ44	ʨʰiɛʔ33	ʨʰiʔ44
漆	ʨʰiəʔ44	ʨʰiɛʔ44	ʨʰiɛʔ33	ʨʰiʔ44
疾	ʨiəʔ12	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
悉	ɕiəʔ31	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
膝	ʨʰiəʔ44	ʨʰiɛʔ44	ʨʰiɛʔ33	ʨʰiʔ44
侄	ʦəʔ31	ʦəʔ24	ʦəʔ31	ʦəʔ44
秩	ʦʰɿ33	ʦəʔ24	ʦəʔ33	ʦʰɿ41
虱	səʔ44	səʔ44	səʔ33	səʔ44
質	ʦəʔ44	ʦəʔ44	ʦəʔ33	ʦəʔ44
實	səʔ44	səʔ31	səʔ31	səʔ44
失	səʔ44	səʔ44	səʔ33	səʔ44
室	səʔ12	səʔ44	səʔ33	səʔ44
日	ȵiəʔ12	ȵiɛʔ31	ȵiɛʔ33	iʔ44
吉	ʨiəʔ12	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
乙	iəʔ12	iɛʔ44	iɛʔ33	iʔ44
一	iəʔ44	iɛʔ44	iɛʔ33	iʔ44
逸	ɿ33	iɛʔ44	iɛʔ33	iʔ44
斤	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
筋	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
勤	ʨiŋ31	ʨiɪŋ31	ʨiŋ31	ʨʰiŋ25
芹	ʨiŋ31	ʨiɪŋ31	ʨiŋ31	ʨiŋ51
欣	ɕiŋ33	ɕiɪŋ55	ɕiŋ33	ɕiŋ51
殷	iŋ33	iɪŋ55	iŋ33	iŋ51
謹	ʨiŋ55	ʨiɪŋ325	ʨiŋ55	ʨiŋ25
近	ʨiŋ25	ʨiɪŋ325	ʨiŋ24	ʨiŋ25
隱	iŋ25	iɪŋ434	iŋ24	iŋ25
勁（有勁）	ʨiŋ424	ʨiɪŋ434	ʨiŋ31	ʨiŋ25
乞	ʨʰiɛʔ44	ʨʰiɛʔ44		ʨʰiʔ44
奔	peŋ33	pɘŋ55	pəŋ33	pəŋ33
噴（噴水）	pʰeŋ33	pʰɘŋ55	pʰəŋ33	pʰəŋ51
盆	peŋ31	pɘŋ31	pəŋ24	pəŋ25
門	meŋ33	mɘŋ55	məŋ33	məŋ51
敦（敦厚）	teŋ33	tɘŋ55		təŋ51
墩	teŋ33	tɘŋ55	təŋ33	təŋ51
屯	teŋ33	tɘŋ325	tɘŋ33	təŋ51
豚	teŋ31	tɘŋ325	təŋ33	təŋ51
飩（餛飩）	teŋ33	tɘŋ325	təŋ33	təŋ51
臀	teŋ31	tɘŋ325		təŋ25
論（論語）	leŋ31	lɘŋ325	luəŋ31	ləŋ41
侖	leŋ33	lɘŋ31	luəŋ33	ləŋ51
尊	ʦueŋ33	ʦɘŋ55	ʦuəŋ33	ʨyəŋ51
村	ʦʰeŋ33	ʦʰɘŋ55	ʦʰəŋ33	ʦʰəŋ51
存	ʦueŋ25	sɘŋ31白讀、ʨyɲ31文讀	ʦuəŋ24	ʦʰəŋ25
蹲	teŋ33	tɘŋ55	təŋ33	təŋ51
孫	sueŋ33	sɘŋ55	suəŋ33	səŋ51
昆	kʰueŋ33	kʰuɘŋ55	kʰuəŋ33	kʰuəŋ51
崑（~崙）	kʰueŋ33	kʰuɘŋ55	kʰuəŋ33	kʰuəŋ51
坤	kʰueŋ33	kʰuɘŋ55	kʰuəŋ33	kʰuəŋ51
昏	xueŋ33	xuɘŋ55	xuəŋ33	xuəŋ51
婚	xueŋ33	xuɘŋ55	xuəŋ33	xuəŋ51
魂	veŋ25	xuɘŋ31	uəŋ24	vəŋ25
餛（餛飩）	veŋ25	xuɘŋ31	vuəŋ31	vəŋ25
渾（渾濁）	veŋ25	xuɘŋ31	uəŋ31	vəŋ25
溫	veŋ33	uɘŋ55	uəŋ33	vəŋ51
瘟	veŋ33	uɘŋ55	uəŋ33	vəŋ51
本	peŋ55	pɘŋ41	pəŋ55	pəŋ33
笨	peŋ31	pɘŋ325	pəŋ31	pəŋ51
囤	teŋ25	tɘŋ325	təŋ31	təŋ51
沌	teŋ31	tɘŋ325	təŋ31	təŋ51
盾（矛盾,趙盾）	teŋ55	tɘŋ325	təŋ31	təŋ51
損	sueŋ55	ɕyɲ434	suəŋ31	ɕyəŋ25
滾	kueŋ55	kuɘŋ41	kuəŋ55	kuəŋ33
捆	kʰueŋ55	kʰuɘŋ41	kʰuəŋ55	kʰuəŋ25
混（相混,混沌）	xueŋ31	uɘŋ434	xuəŋ31	xuəŋ25
穩	veŋ55	uɘŋ41	vəŋ55	vəŋ33
奔（奔頭）	peŋ55	pɘŋ55	pəŋ31	
噴（噴香,噴嚏）	pʰeŋ31	pʰɘŋ434	pʰəŋ55	pʰəŋ41
悶	meŋ55	mɘŋ325	məŋ31	məŋ41
頓	teŋ31	tɘŋ434	təŋ55	təŋ41
褪	tʰuᴇ424	tʰɘi434	tʰuᴇ24	tʰue25
鈍	teŋ31	tɘŋ325	təŋ31	təŋ41
遯	teŋ31	tɘŋ325		təŋ41
嫩	leŋ31	nɘŋ325	ləŋ31	ȵəŋ41
論（議論）	leŋ31	lɘŋ325	luəŋ31	ləŋ41
寸	ʦʰueŋ424	ʦʰɘŋ434	ʨʰyɲ24	ʦʰəŋ25
遜	sueŋ31	ɕyɲ434	ɕyᴇn31	ɕyəŋ41
棍	kueŋ55	kuɘŋ434	kuəŋ31	kuəŋ25
困	kʰueŋ424	kʰuɘŋ434	kʰuəŋ31	kʰuəŋ41
不	pəʔ44	fəʔ44	pəʔ33	pəʔ44
勃	pɔʔ12	pɔʔ31		pʰɔʔ44
沒（沈沒,沒有）	məʔ12	məʔ31	məʔ31	məʔ44
突	tʰuɔʔ44	təʔ31	tʰəʔ33	tʰəʔ44
卒（兵卒）	ʦuɔʔ12	ʦuɔʔ44	ʦuɔʔ24	ʦuɔʔ44
猝（倉猝）	ʦʰuɔʔ44	ʦʰuɔʔ44	ʦʰuɔʔ33	ʦʰuɔʔ44
骨（筋骨,頭骨）	kuəʔ44	kuəʔ44	kuəʔ33	kuəʔ44
窟（窟窿）	kʰuəʔ44	kʰuɔʔ44	kʰuəʔ33	kʰɔʔ44
忽	xuəʔ44	xuɔʔ44		xuəʔ44
核	xəʔ31	xəʔ31	xəʔ31	xəʔ44
倫	lueŋ33	lɘŋ325	luəŋ33	ləŋ51
淪	lueŋ25	lɘŋ325	luəŋ33	ləŋ51
輪	leŋ31	lɘŋ31	ləŋ31	ləŋ25
遵	ʦeŋ33	ʦɘŋ55	ʨyᴇn33	ʨyəŋ51
荀	ɕyŋ25	ɕyɲ434		ɕyəŋ25
旬	ɕyŋ25	ɕyɲ434	ɕyᴇn31	ɕyəŋ25
循	ɕyŋ25	ɕyɲ31	ɕyᴇn24	ɕyəŋ25
巡	ɕyŋ25	ɕyɲ31	ɕyᴇn24	ɕyəŋ25
椿（椿樹）	ʨʰyɲ55	ʨʰyᴇn33	ʨʰyəŋ51	
肫（肫肝，雞肫）	ʦueŋ33	ʦɘŋ55	ʨyᴇn31	ʨyəŋ51
春	ʦʰueŋ33	ʨʰyɲ55	ʨʰyᴇn33	ʨʰəŋ51
唇	ʦʰeŋ25	sɘŋ31	ʨʰyᴇn24	ʦʰəŋ25
純	sueŋ25	ɕyɲ325	ɕyᴇn24	ɕyəŋ25
醇（酒味醇）	ʦʰueŋ25	ɕyɲ325	ʨʰyᴇn31	ɕyəŋ25
均	ʨyn33	ʨyɲ55	ʨyᴇn33	ʨyəŋ51
鈞	ʨyn33	ʨyɲ55	ʨyᴇn33	ʨyəŋ51
勻	yn31	yɲ31	yᴇn24	yəŋ25
筍	ɕyn55	ɕiɪŋ31	ɕiŋ31	ɕyəŋ33
筍		ɕyɲ31		
榫（榫頭）		ɕiɪŋ434	soŋ31	ɕyəŋ33
準（批準）	ʦueŋ55	ʨyɲ41	ʨyᴇn55	ʨyəŋ33
準（標準）	ʦueŋ55	ʨyɲ41	ʨyᴇn55	ʨyəŋ33
蠢		ʨʰyɲ41	ʨʰyᴇn24	ʨʰyəŋ25
盾（矛盾）	teŋ55	tɘŋ325	təŋ31	təŋ51
窘		ʨioŋ31		ʨyəŋ51
菌	ʨyŋ55	ʨyɲ55	ʨyŋ31	ʨyəŋ51
允	yn55	yɲ434	yŋ55	yəŋ25
尹	iŋ55	iɪŋ55	iŋ24	ɪŋ51
俊	ʨyn424	ʨyɲ434	ʨyᴇn31	ʨyəŋ41
迅	ɕyŋ31	ɕyɲ434	ɕyᴇn31	ɕyəŋ25
殉	ɕyn31	ɕyɲ434	ɕyᴇn31	ɕyəŋ25
順	sueŋ31	ɕyɲ325	ɕyᴇn31	ɕyəŋ41
舜	sueŋ31	ɕyɲ434	ɕyᴇn31	ɕyəŋ41
潤	lueŋ31	ɕyɲ325	yᴇn31	yəŋ41
閏	lueŋ31	ɕyɲ325	yᴇn31	yəŋ41
律	liəʔ44	liɛʔ31	liɛʔ33	liʔ44
率（速率）	liəʔ44	liɛʔ31	liɛʔ31	liʔ44
戌	ɕʮ33	ɕʮ55	u33	ɕʮ41
恤	ɕyɔʔ44	ɕyɔʔ44	ɕyɛʔ33	ɕyəʔ44
朮（白朮,蒼朮）	suɔʔ44	ʨyɔʔ31	ʨyɛʔ24	ʨyəʔ44
率（率領）	suæ31	ɕyai434	ɕyæ31	
蟀	suæ33	ɕyai55	ɕyæ31	ɕyəʔ44
出	ʨʰyɔʔ44	ʨʰyɔʔ44	ʨʰyɛʔ33	ʨʰyəʔ44
術	ʨyɔʔ12	ʨyɔʔ31	ʨyɛʔ24	ʨyəʔ44
述	ɕyɔʔ44	ɕyɔʔ44	ɕʮ31	ʨyəʔ44
橘	ʨyɔʔ12	ʨyɔʔ44	ʨyɛʔ33	ʨyəʔ44
分（分開）	feŋ33	fɘŋ55	fəŋ33	fəŋ51
芬	feŋ33	fɘŋ55	fəŋ33	fəŋ51
紛	feŋ33	fɘŋ55	fəŋ33	fəŋ51
焚	feŋ31	fɘŋ31	fəŋ24	fəŋ25
墳	feŋ25	fɘŋ31	fəŋ24	fəŋ25
文	veŋ33	uɘŋ31文讀、fɘŋ31白讀	vəŋ24	vəŋ25
紋	veŋ33	uɘŋ31	vəŋ24	vəŋ25
蚊	meŋ31	mɘŋ31	məŋ31	məŋ25
聞	veŋ33	mɘŋ55	məŋ33	uəŋ25
君	ʨyn33	ʨyɲ55	ʨyᴇn33	ʨyəŋ51
軍	ʨyn33	ʨyɲ55	ʨyᴇn33	ʨyəŋ51
群	ʨyŋ25	ʨyɲ31	ʨʰyᴇn24	ʨʰyəŋ25
裙	ʨyŋ25	ʨyɲ31	ʨyᴇn31	ʨyəŋ25
熏	ɕyŋ33	ɕyɲ55	ɕyŋ33	ɕyəŋ51
勳	ɕyŋ33	ɕyɲ55	ɕyŋ33	ɕyəŋ25
薰	ɕyŋ33	ɕyɲ55	ɕyŋ33	ɕyəŋ25
葷	xueŋ33	xuɘŋ55	xuəŋ33	xuəŋ51
雲	yn25	yɲ31	yᴇn24	yəŋ25
粉	feŋ55	fɘŋ41	fəŋ55	fəŋ33
憤	feŋ31	fɘŋ434	fəŋ31	fəŋ51
忿	feŋ31	fɘŋ434	fəŋ31	fəŋ51
吻	ueŋ25			vəŋ25
糞	feŋ424	fɘŋ434	fəŋ31	fəŋ41
奮	feŋ424	fɘŋ41	fəŋ31	fəŋ41
分（量詞 一分兩分）	feŋ31	fɘŋ325	fəŋ31	fəŋ41
問	meŋ31	mɘŋ325	məŋ31	məŋ41
郡	ʨyn31	ʨyɲ325	ʨyᴇn31	ʨyəŋ25
訓	ɕyŋ31	ɕyɲ434	ɕyᴇn31	ɕyəŋ25
熨	yn31	yɲ434	yᴇn31	yəŋ41
韻	yn31	yɲ31	yᴇn31	yəŋ41
運	yŋ31	yɲ434	yᴇn31	yəŋ41
暈	yn33	yɲ325	yᴇn31	yəŋ41
彿（彷彿）	fɔʔ44	fəʔ31		fəʔ44
佛	fɔʔ12	fəʔ31	fəʔ24	fəʔ44
物	vəʔ12	uəʔ31	vəʔ33	vəʔ44
屈	ʨʰyɔʔ44	ʨʰyɔʔ44	ʨʰyɛʔ33	ʨʰyɔʔ44
掘	ʨyɔʔ44	ʨyɔʔ31	ʨyɛʔ24	ʨyɔʔ44
倔（倔強）	ʨyɔʔ44	ʨyɔʔ44	ʨyɛʔ31	ʨyɔʔ44
幫	pɑŋ33	pɑŋ55	pɑŋ33	pɑŋ51
滂（滂沱）		pɑŋ31		pʰɑŋ25
旁	pɑŋ31	pɑŋ31	pɑŋ33	pʰɑŋ25
螃（螃蟹）	pɑŋ31	pɑŋ325	pɑŋ31	pɑŋ25
忙	mɑŋ33	mɑŋ55	mɑŋ33	mɑŋ51
芒	mɑŋ33	mɑŋ55	mɑŋ33	mɑŋ25
茫	mɑŋ33	mɑŋ55	mɑŋ33	mɑŋ25
當（當時,應當）	tɑŋ33	tɑŋ55	tɑŋ33	tɑŋ51
湯	tʰɑŋ33	tʰɑŋ55	tʰɑŋ33	tʰɑŋ51
堂	tʰɑŋ25	tɑŋ31	tɑŋ24	tʰɑŋ25
棠	tʰɑŋ25	tɑŋ31	tɑŋ24	tʰɑŋ25
螳（螳螂）	tʰɑŋ25	tɑŋ31		tʰɑŋ25
唐	tʰɑŋ25	tɑŋ31	tɑŋ31	tʰɑŋ25
糖	tɑŋ25	tɑŋ31	tɑŋ24	tɑŋ25
塘	tʰɑŋ25	tɑŋ31	tɑŋ24	tɑŋ25
囊	nɑŋ25	nɑɡ55	nɑŋ24	ȵɑŋ25
郎	lɑŋ33	lɑŋ55	lɑŋ31	lɑŋ25
廊	lɑŋ33	lɑŋ55	lɑŋ24	lɑŋ25
狼	lɑŋ33	lɑŋ55	lɑŋ33	lɑŋ51
螂	lɑŋ33	lɑŋ55	lɑŋ31	lɑŋ51
贓	ʦɑŋ33	ʦɑŋ55	ʦɑŋ33	ʦɑŋ51
髒（不乾淨）	ʦɑŋ33	ʦɑŋ55	ʦɑŋ33	ʦɑŋ51
倉	ʦʰɑŋ33	ʦʰɑŋ55	ʦʰɑŋ33	ʦʰɑŋ51
蒼	ʦʰɑŋ33	ʦʰɑŋ55	ʦʰɑŋ33	ʦʰɑŋ51
藏（隱藏）	ʦʰɑŋ25	ʦɑŋ31		ʦʰɑŋ25
桑	sɑŋ33	sɑŋ55	sɑŋ33	sɑŋ51
喪（婚喪）	sæ33	sɑŋ55	sɑŋ33	sɑŋ51
岡	kɑŋ33	kɑŋ55	kɑŋ33	kɑŋ33
崗	kɑŋ33	kɑŋ55	kɑŋ33	kɑŋ33
剛	kɑŋ33	kɑŋ55	kɑŋ33	kɑŋ51
綱	kɑŋ33	kɑŋ55	kɑŋ33	kɑŋ51
鋼	kɑŋ33	kɑŋ55	kɑŋ33	kɑŋ51
缸	kɑŋ33	kɑŋ55	kɑŋ33	kɑŋ51
康	kʰɑŋ33	kʰɑŋ55	kʰɑŋ33	kʰɑŋ51
糠	kʰɑŋ33	kʰɑŋ55	kʰɑŋ33	kʰɑŋ51
昂	ɑŋ25	ɑŋ55	ɑŋ33	ŋɑŋ25
行（行列,銀行）	xɑŋ31	xɑŋ31	xɑŋ31	xɑŋ25
航	xɑŋ31	xɑŋ31	xɑŋ24	xɑŋ25
杭	xɑŋ31	xɑŋ31	xɑŋ31	xɑŋ25
肮（骯髒）	ɑŋ33	ɑŋ55	ɑŋ33	ɑŋ51
榜	pɑŋ55	pɑŋ41	pɑŋ55	pɑŋ33
莽	mɑŋ55	mɑŋ55	mɑŋ31	mɑŋ25
蟒	mɑŋ55	mɑŋ55	mɑŋ31	mɑŋ25
黨	tɑŋ55	tɑŋ41	tɑŋ55	tɑŋ33
當(擋)阻擋	tɑŋ55	tɑŋ41	tɑŋ55	tɑŋ33
躺(踢)	tʰɑŋ55	tʰɑŋ41	tʰɑŋ55	tʰɑŋ25
蕩放蕩	tɑŋ31	tɑŋ325	tɑŋ31	tɑŋ51
朗	lɑŋ55	lɑŋ325	lɑŋ24	lɑŋ51
嗓	sɑŋ25	sɑŋ434		sɑŋ25
搡	sɑŋ55	sɑŋ41	ɕyɑŋ31	sɑŋ51
慷（慷慨）	kʰɑŋ55	kʰɑŋ41		kʰɑŋ51
謗	pɑŋ424	pɑŋ434		pɑŋ41
傍	pɑŋ31	pɑŋ31	pɑŋ31	pɑŋ25
當（當作,典當）	tɑŋ424	tɑŋ434	tɑŋ31	tɑŋ41
燙(湯)	tʰɑŋ424	tʰɑŋ434	tʰɑŋ31	tʰɑŋ25
趟（一趟）	tʰɑŋ424	tʰɑŋ434	tʰɑŋ31	tʰɑŋ41
浪	lɑŋ31	lɑŋ434	lɑŋ31	lɑŋ41
葬	ʦɑŋ424	ʦɑŋ434	ʦɑŋ31	ʦɑŋ41
藏（西藏）	ʦɑŋ55	ʦɑŋ31	ʦɑŋ31	ʦɑŋ41
髒（內臟）	ʦɑŋ31	ʦɑŋ31	ʦɑŋ31	ʦɑŋ41
喪（喪失）	sæ33	sɑŋ434	sɑŋ55	sɑŋ41
杠	kɑŋ55	kɑŋ55	kɑŋ55	kɑŋ41
炕	kʰɑŋ424	kʰɑŋ434	kʰɑŋ31	
囥（藏）	kʰɑŋ424	kʰɑŋ434	kʰɑŋ31	kʰɑŋ41
博	pɔʔ12	pɔʔ44	pɔʔ33	puʔ44
濼（梁山濼）	pəʔ31	pəʔ44	pəʔ24	pɔʔ44
薄	pɔʔ12	pu434	pɔʔ24	puʔ44
泊	pʰɔʔ44	pəʔ44	pɔʔ33	pʰɔʔ44
莫	məʔ44	mɔʔ24		mɔʔ44
膜	mɔʔ12	mɔʔ24	mɔʔ24	mɔʔ44
幕	mɤ25	mɘu325	məu24	mou41
寞	mɤ33	mɔʔ24	mɔʔ31	mɔʔ44
摸	mɤ33	mɔʔ31	mɔʔ31	mɔʔ41
托（託管）	tʰɔʔ44	tʰuɔʔ44	tʰuɔʔ33	tʰuɔʔ44
托（手承物）	tʰɔʔ44	tʰuɔʔ44	tʰuɔʔ33	tʰuɔʔ44
踱	tɔʔ12	tuɔʔ31	tuɔʔ33	tuɔʔ44
諾	lɔʔ44	nuɔʔ44	nuɔʔ33	iᴀʔ44
落	lɔʔ31	luɔʔ31	luɔʔ31	luɔʔ44
烙	lɔʔ31	luɔʔ31	luɔʔ33	luɔʔ44
駱	lɔʔ44	luɔʔ31	luɔʔ33	luɔʔ44
洛	lɔʔ31	luɔʔ31	luɔʔ33	luɔʔ44
絡	lɔʔ44	luɔʔ31	luɔʔ33	luɔʔ44
樂	lɔʔ31	luɔʔ31	luɔʔ33	luɔʔ44
作（作坊,工作）	ʦɔʔ44	ʦuɔʔ44	ʦuɔʔ33	ʦuɔʔ44
錯（錯雜）	ʦʰəʔ31	ʦʰɘu434		ʦʰuɔʔ44
鑿	ʦɔʔ12	suɔʔ31	suɔʔ31	ʦuɔʔ44
索（繩索）	sɔʔ44	sɔʔ44	sɔʔ33	suɔʔ44
各	kəʔ44	kɔʔ44	kɔʔ33	kuʔ44
閣	kəʔ44	kəʔ44	kɔʔ33	kuʔ44
擱(閣)	kəʔ44	kəʔ44	kɔʔ33	kuʔ44
胳（胳膊）	kəʔ44	kəʔ44		kəʔ44
鄂	əʔ31	ɔʔ44	əʔ31	əʔ44
郝（姓）	xɔʔ31	xaɔ434	xɑɔ24	kɑɔ41
鶴	xɔʔ44	xɔʔ31	xɔʔ31	xəʔ44
惡（善惡）	əʔ44	ɔʔ44	ɔʔ33	uʔ44
娘	ȵiæ33	ȵiɑŋ55	ȵiæ31	ȵiæ51
良	liæ25	liɑŋ55	liæ24	liæ51
涼	liæ25	liɑŋ55	liæ31	liæ51
量（量長短）	liæ25	liɑŋ55	liæ31	liæ51
糧	liæ25	liɑŋ55	liæ31	liæ51
梁	liæ33	liɑŋ55	liæ33	liæ51
粱	liæ33	liɑŋ55	liæ33	liæ51
將（將來）	ʨiæ33	ʨiɑŋ55	ʨiæ33	ʨiæ51
漿	ʨiæ33	ʨiɑŋ55	ʨiæ33	ʨiæ51
槍	ʨʰiæ33	ʨʰiɑŋ55	ʨʰiæ33	ʨʰiæ51
牆	ʨiæ25	ɕiɑŋ31	ɕiæ24	ɕiæ25
相（互相）	ɕiæ33	ɕiɑŋ55	ɕiæ33	ɕiæ51
箱	ɕiæ33	ɕiɑŋ55	ɕiæ33	ɕiæ51
廂	ɕiæ33	ɕiɑŋ55	ɕiæ33	ɕiæ51
湘	ɕiæ33	ɕiɑŋ55	ɕiæ33	ɕiæ51
襄	ɕiæ33	ɕiɑŋ55	ɕiæ33	ɕiæ51
鑲	ɕiæ33	ɕiɑŋ55	ɕiæ33	ɕiæ51
詳	ɕiæ31	ɕiaŋ325	ɕiæ31	ʨʰiæ25
祥	ɕiæ25	ɕiɑŋ325	ɕiæ31	ʨʰiæ25
張	ʦæ33	ʦɑŋ55	ʦæ33	ʦɑŋ51
長（長短）	ʦæ25	ʦɑŋ31	ʦæ31	ʦɑŋ25
腸	ʦæ31	ʦɑŋ31	ʦæ31	ʦɑŋ25
場	ʦæ25	ʦɑŋ31	ʦæ31	ʦʰɑŋ25
莊	ʦæ31	ʨyɑŋ55	ʨyɑŋ33	ʨyɑŋ51
裝	ʦɑŋ33	ʨyɑŋ55	ʨyɑŋ33	ʨyɑŋ51
瘡	ʦʰɑŋ33	ʨʰyɑŋ55	ʨʰyɑŋ33	ʨʰyɑŋ51
床	sɑŋ25	ɕyɑŋ31	ɕyɑŋ24	fɑŋ25白讀、ʨʰyɑŋ25文讀
霜	sɑŋ33	ɕyɑŋ55	ɕyɑŋ33	ɕyɑŋ51
孀	sɑŋ33	ɕyɑŋ55	ɕyɑŋ33	ɕyɑŋ51
章	ʦɑŋ33	ʦɑŋ55	ʦæ33	ʦɑŋ51
樟	ʦɑŋ33	ʦɑŋ55	ʦɑŋ33	ʦɑŋ51
昌	ʦʰɑŋ33	ʦʰɑŋ55	ʦʰɑŋ33	ʦʰɑŋ51
