语素	音标	注释
凰	uɑ̃2	凤~山：西山地名
蝗	uɑ̃2	~虫
□	uɑ̃2	强~：蛮横不讲理
□	uɑ̃1/2	~茄=鱼：黄颡鱼
往	uɑ̃3	~~；~年
枉	uɑ̃3	冤~
旺	uɑ̃5	<读字>
□	uɑ̃9	上~里：上次
□	uɑ̃9	~东道：打赌
浜	pã1	河~：小河；死煞~头：断头河
绷	pã1	裂开，~坼：裂缝；~架：刺绣用的工具；棕~；眼睛剧烈地睁大张开
乓	pʰã1	乒~
□	pʰã1	潲雨、雨飘进来，~雨
碰	pʰã5	麻将术语；重重地拍
椪	pʰã3/5	~柑
朋	bã2	~友
彭	bã2	
蟛	bã2	~蜞
膨	bã2	~胀
棚	bã2	牛~：牛房；茅草~：茅屋：厕所；顶~
鹏	bã2	姬~飞
碰	bã4	~着：遇见/碰见；~巧：正巧；~门：大声敲门
甏	bã6	坛子
蚌	bã6	
𦗭	bã4/6	聋~：聋子
虻	mã2	牛~
猛	mã4	密/稠密；~将（菩萨）：猛将
蜢	mã3/4	角~：蚱蜢
孟	mã6	~丽君；~子
□	mã6	~门：不讲理
打	tã3	打；舂（~米）；相~：打架；算~：盘算
□	tã3	~头：形容不灵活的人
冷	lã4	~水；~天：冬天；~落/~静：冷清
张	ʦã1	~家湾：西山地名；~晓得：不料；~网
章	ʦã1	文~；党~
争	ʦã1	
睁	ʦã1	~眼睛；~开来
长	ʦã3	~得好/~身体；~相
涨	ʦã3	
掌	ʦã3	鸭~；鹅~
帐	ʦã5	~钩：收蚊帐的钩子；~子：蚊帐
账	ʦã5	结~；弗管~：不管事
胀	ʦã5	肚皮~
仗	ʦã5	打~
昌	ʦʰã1	文~阁：西山地名
娼	ʦʰã1	男盗女~；嫖~
撑	ʦʰã1	~船/~起来；手臂~：手肘
倡	ʦʰã1	提~
厂	ʦʰã3h	玻璃~
创	ʦʰã3h	~造；~始人；~业
怅	ʦʰã3h	惆~
畅	ʦʰã5	~快；吃~啧：吃畅了
撑	ʦʰã5	打~：为倒下的树木提供支撑；~足
长	ʣã2	长；高（人~）；~子：高个子；~台：案子；~凳
肠	ʣã2	肚~：肠子
场	ʣã2	稻~/~：晒谷场；~化=：地方
常	ʣã2	~熟；~怕：恐怕（最本土的说法）
橙	ʣã2	~子，有香~、蟹~等品种
盛	ʣã2	~泽：吴江地名；姓氏
丈	ʣã4	长度单位；姑~：父亲的姑父
仗	ʣã4	炮~：爆竹
杖	ʣã4	拐拉~：拐杖
□	ʣã4	走（旧时说法）
锃	ʣã6	~~亮22-44-31
剩	ʣã6	~一碗饭；吃~（<zã）头：剩菜
商	sã1	~品；~业；情~
生	sã1	~日；后~：年轻；~活：活儿；学生~：到工厂或店铺去打工
牲	sã1	ʦoŋ33~：畜生；猪头三~
甥	sã1	外~：外甥，外孙；外~囡：外甥女，外孙女
声	sã1	喊两~：叫两声
省	sã3	江苏~
省	sã3	节省；~力：容易
□	sã5	木刺
眚	sã9	小接~33-4-44：骂人话
更	kã1	五~头：黎明前；~楼：巷门上建造的楼，敲更人在里面值班
庚	kã1	天干第七
□	kã1	钻（小洞口的洞）
粳	kã1	~米
羹	kã1	
耕	kã1	~田
埂	kã3	田~
梗	kã3	植物的杆子；桔~；秤~蛇；茶~~；~转来：换过来
哽	kã3	卡住，如被鱼刺
□	kã3/5	~~叫：形容人说话硬
坑	kʰã1	屎~：粪坑；屎~棚/~棚：厕所；蹲~：上厕所
□	kʰã1	摩擦
□	ɡã2	挤，拨勒人家~脱个呀：被别人挤掉了啊
杏	ŋã4	~子；~仁
硬	ŋã6	~柴：木柴
亨	hã1	~得利
哼	hã1	~小曲
□	hã1	打~：喊劳动号子
□	hã5	naʔ23~21：怎么
夯	hã1	~土
樱	ã1	~桃
鹦	ã1	~哥：鹦鹉（读字读in1）
□	ã1	~头：歪头
□	ã1/5	~菜：荇菜
行	ã2	搬~嫁：搬嫁妆；~灶：可移动的炉灶；~船：开船：摸壁~：形容走得很慢
桁	ã2	~条
良	liã2	~心
凉	liã2	风~：凉快；草~帽：草帽，雨~帽：遮雨的斗笠，两者统称为~帽
量	liã2	~尺寸；~米：买米
粮	liã2	~站
梁	liã2	房~；掮~；上~酒；抛~
粱	liã2	高~
谅	liã2	原~；~解
两	liã3	质量单位，一~、二~
辆	liã3	<读字>
两	liã4	~家头：俩；头~个：一两个；歇~日：过两天；~百十：二百一十
亮	liã6	月~；漂~；天~；天~快：黎明前
量	liã6	尽~
晾	liã6	<读字>
将	ʦiã1	~军
浆	ʦiã1	豆腐~：豆浆；~糊：糨糊
桨	ʦiã3	
蒋	ʦiã3	~家巷：西山地名
奖	ʦiã3	~励；~惩
酱	ʦiã5	~油，红~油：老抽；辣~；~板头草：圆叶马齿苋
将	ʦiã5	猛~；麻~；老~
枪	ʦʰiã1	~篱笆：篱笆；门~：猪舌头的别称
□	ʦʰiã1	撑（~伞）
抢	ʦʰiã3h	~忙龟-=：抢着说话或做事
呛	ʦʰiã5	咳嗽，呛
炝	ʦʰiã5	~毛豆
跄	ʦʰiã5	踉踉~~
祥	ʣiã2	吉~；麟趾呈~（>ziã）
详	ʣiã2	~细（>ziã）
翔	ʣiã2	飞~（>ziã）
相	siã1	~亲；~信；~帮：帮忙；~打：打架；~骂：骂
箱	siã1	~子；风~
厢	siã1	~房
湘	siã1	~城：原吴县地名
镶	siã1	~嵌
襄	siã1	~阳
□	siã1	掺（~水）
鲞	siã3	~鱼33-41
想	siã3	理~
相	siã5	孛=~：玩儿；孛=~家生：玩具；长~/卖~：长相；偏~：一定
墙	ziã2	~头：墙；封火~
樯	ziã2	~子：桅杆
蔷	ziã2	~薇花
象	ziã4	对~；印~
像	ziã4	~腔/~样：像样；~煞：好像
橡	ziã4	~皮；~胶
匠	ziã6	~人：手艺人，有木~、泥刷~（泥水匠）、箍桶~等
姜	ʨiã1	老~：姜
姜	ʨiã1	姓~
僵	ʨiã1	倔强
疆	ʨiã1	新~；边~；~界
缰	ʨiã1	~绳
□	ʨiã1	眼=~：刚才
羌	ʨʰiã5	~饼33-41；~族
□	ʨʰiã9	mie22~：刚才
强	ʥiã2	~奸；~大
𠼢	ʥiã2	便宜
犟	ʥiã4/6	倔强
娘	ȵiã2	母亲（背称）；老~：接生婆
攘	ȵiã3	~外安内
壤	ȵiã3	土~
仰	ȵiã3/4	躺~~（22-41/33-41）：仰泳；信~
娘	ȵiã1/5	~~/婶~：婶婶
酿	ȵiã6	酒~
□	ȵiã6	馅儿
让	ȵiã6	饶~：饶
嚷	ȵiã6	叫~
香	ɕiã1	~烟；茴~；~菜：芫荽；~面孔：亲嘴
乡	ɕiã1	~下；~邻：邻居
□	ɕiã1	~日：到时候、将来（“歇两”的合音）
响	ɕiã3	作声，弗~：不作声；~阵头：打雷；~弗落：无言以对
饷	ɕiã3	军~
向	ɕiã5	里~：里面
享	ɕiã5	~受；共~
秧	iã1	~苗；种~：插秧
婴	iã1	~~毛头：婴儿
央	iã1	中~
殃	iã1	~及池鱼
鞅	iã1	商~
殃	iã1	城门失火，~及池鱼
羊	iã2	~子：羊；~眼豆：扁豆
洋	iã2	~机：缝纫机；~夹：天牛；~盘：外行
烊	iã2	熔化/溶化
杨	iã2	~梅；~花/~树花：柳絮；~巷：西山地名
阳	iã2	~历；重~；太~穴；天狗吃太~：日食
扬	iã2	宣~
疡	iã2	溃~
旸	iã2	~湾：西山地名
样	iã2	~品；一~
氧	iã2	~化；~气
□	iã2	~脱：磨损
养	iã4	养（~猪/花）；生，~小人：分娩
痒	iã4	扒~：抓痒
样	iã5	~子；~式
映	iã5	放~
□	iã9	灶~公公：灶神
□	iã2/6	~sɿ22tʰɑ22：蜩
□	iã2/6	~子/米蛀虫：谷羊，米里的小虫
□	kʰuã1	把买来的绒线处理成线团的动作
光	kuã3/5	~火33-41：生气
横	uã2	~泾、~塘：吴县地名
□	uã6	条状的菜畦；劈~：开辟菜畦
□	uã9	lɵ44~31：心里烦恼、乱七八糟、乱套
奔	pən1	跑
崩	pən1	礼~乐坏
本	pən3	~生：本来
畚	pən5	~箕：扫垃圾的簸箕，有开口的指纹
喷	pʰən1	~嚏，打~嚏
烹	pʰən1	~小鲜
盆	bən2	~子；脚~；面~：脸盆；浴~：澡盆
坌	bən6	~田：耙田；~地：锄地
笨	bən6	
盟	bən2	同~
闷	mən1	~热；气~：闷
猛	mən1	凶~<读字>
门	mən2	大~；~楼；~牙
闻	mən2	
蚊	mən2	~子；~虫香：蚊香
明	mən2	~年；~朝：明天
萌	mən2	~芽
焖	mən1/2	~肉，~饭
问	mən6	问；向，~渠借铜钱：向他借钱
们	mən9	你~<读字>
分	fən1	春~/秋~
纷	fən1	~争
芬	fən1	~芳
□	fən1	拖~：拖把
粉	fən3	辣椒~/玉米~/发酵~；面~；线~/索~：粉丝
奋	fən3	韬~；~斗
粪	fən5	浇~：施肥；~箕：扫垃圾的簸箕；~桶
坟	vən2	上~；~堆头：坟墓
纹	vən2	脶~：指纹
文	vən2	~旦；~章
焚	vən2	~烧
吻	vən2	口~
愤	vən2	民~；~慨24-31；愤怒24-31
份	vən6	水~；一~，三~之一；身~证；过~：太过
问	vən6	~卜；~题
敦	tən1	~厚；伦~
墩	tən1	木~~；石鼓~：柱础；鸡~棵=：鸡肚子；马~子：长衫外穿的背心
驐	tən1	阉割
蹲	tən1	~坑：上厕所
吨	tən1	
灯	tən1	美火~：罩有灯泡的煤油灯
登	tən1	~样：帅气；~山；~高
□	tən1	待/呆，~两日：呆两天
趸	tən3	~当：成批
等	tən3	
戥	tən3	~盘：秤盘；~盘秤：戥子
瞪	tən3	~眼睛
炖	tən5	蒸，~鱼/~肉
顿	tən5	动量词，打一~，吃一~
凳	tən5	~子，如：长~/骨牌~/方~/春~/牙子~/用子~/作~等
吞	tʰən1	温~水：温水；~头：模样
氽	tʰən3h	浮；油炸；上升、涌，~出来，~沟水
囤	dən2	~积
饨	dən2	馄~
沌	dən2	混~24-31
豚	dən2	河~
臀	dən2	kɛ44~：擦屁股
藤	dən2	~匾；~榻；~靠把：藤椅
腾	dən2	~空
誊	dən2	~写
盾	dən2	矛~
邓	dən2	~氏，~小平
□	dən4	~卵：怄气、生气
屯	dən4	~田
钝	dən6	刀~
□	dən6	讥笑
遁	dən6	逃~；~走
愣	lən1	<读字>
轮	lən2	~盘：轮子；~头：垄；独~车
囵	lən2	囫~吞
仑	lən2	昆~
纶	lən2	腈~棉花；涤dih纶
邻	lən2	乡~：邻居
能	lən2	才~（“机~“中读nən2）
□	lən4	硌，~着一记
伦	lən4	天~乐；~理
沦	lən4	~为；沉~24-31/22-22
嫩	lən6	~相：年轻
论	lən6	~证；讨~；结~
臻	ʦən1	聂荣~
榛	ʦən1	~子
尊	ʦən1	~重（又读ʧən1）
曾	ʦən1	~孙
增	ʦən1	~加
憎	ʦən1	~恨
争	ʦən1	斗~；战~
挣	ʦən1	<读字>
筝	ʦən1	风~<读字>；古~
僧	ʦən1	~人
村	ʦʰən1	村子，西山有“七村”之称
寸	ʦʰən5	
衬	ʦʰən5	~衫
蹭	ʦʰən5	磨~
忖	ʦʰən5	
存	ʣən2	~放；~在
曾	ʣən2	~经
赠	ʣən4	~送
参	sən1	人~；海~
森	sən1	~林
孙	sən1	~子
狲	sən1	猢~：猴子
辛	sən1	~村湾：西山地名
生	sən1	长~果：花生；卫~间：新式厕所
牲	sən1	牺~；畜~<读字>
笙	sən1	
逊	sən1	~色33-41
笋	sən3	毛竹~/枯竹~/竹小~/燕来~
榫	sən3	~头
损	sən3	阴~；~坏
层	zən2	~次（又读ʣən2）
针	ʧən1	偷~：麦粒肿；打~；~灸
砧	ʧən1	塞~：塞子；刀~板：砧板
珍	ʧən1	山~
真	ʧən1	~讲：的确、实在；~主：主要；~丝
遵	ʧən1	~守33-41
贞	ʧən1	~观之治
侦	ʧən1	~察
正	ʧən1	~月；~月半：元宵节
征	ʧən1	长~
征	ʧən1	~求；魏~；~兵
蒸	ʧən1	~馒头/~饭；~笼；~架
□	ʧən1	丢/扔
疹	ʧən1	麻~22-22
枕	ʧən3	~头；~席
诊	ʧən3	~断44-44
准	ʧən3	允许，弗~：不准、不允许
准	ʧən3	~备；标~
整	ʧən3	~齐；~个；一~日：整天；调~
拯	ʧən3	~救
□	ʧən3	~saʔ41：楔子
斟	ʧən3	~酌
震	ʧən3	地~；~泽县
振	ʧən3	杨~宁
正	ʧən5	转~；刚，；~好/~巧；反~：端~：准备
镇	ʧən5	~夏：西山地名；~湖：原吴县地名
证	ʧən5	论~
政	ʧən5	~治；~权
圳	ʧən5	深~
症	ʧən5	癌~；忧郁~：抑郁症
娠	ʧən3	妊~
春	ʧʰən1	~三头：春天；~分；~寒；乌~：乌鸫
椿	ʧʰən1	香~头：香椿
称	ʧʰən1	~呼
蠢	ʧʰən1	愚~；~货
□	ʧʰən3h	抖搂（床单、衣物等），使附着的脏东西去除
趁	ʧʰən5	~早；乘坐，~车子
称	ʧʰən5	~心
秤	ʧʰən5	~砣/~梗/~钩/~纽
□	ʧʰən5	弄~：开玩笑、弄着玩
逞	ʧʰən5	得~；~能
皴	ʧʰən1/5	~燥：皮肤嫩的地方被风吹过变粗糙
澄	ʤən2	~清（又读ʒən2）
沉	ʤən2	沉、淹，~煞：淹死
陈	ʤən2	~巷：西山地名
尘	ʤən2	灰~/蓬~：灰尘；掸檐~（<ʒən）
醇	ʤən2	~香
城	ʤən2	~里
诚	ʤən2	~心
程	ʤən2	~序（又读ʒən2）
丞	ʤən2	~相（又读ʒən）
惩	ʤən2	~罚；奖~
乘	ʤən2	~法
郑	ʤən2	~泾港：西山河流名；~重
仍	ʤən4	~然；~旧
阵	ʤən6	~头/~头雨：雷/雷阵雨；量词，一~风；还复~（<ʒən）：回笼觉
剩	ʤən6	<读字>
深	ʃən1	
身	ʃən1	~体；~胚：身材；起~：起床；过~：过去；~浪来：来月经
申	ʃən1	天干第十
伸	ʃən1	
升	ʃən1	容积单位，一~
声	ʃən1	~音
婶	ʃən3	~娘：婶婶，弟之妻（随小辈叫法）
沈	ʃən3	~家场：西山地名
审	ʃən3	~计
舜	ʃən3	尧~禹
胜	ʃən3	~浦：原吴县地名；定~糕：本地食物
圣	ʃən3	~经；延~堂、大~堂：西山地名
渗	ʃən1	~透
神	ʒən2	~鬼天：二月天气多变的天；~气：帅气
人	ʒən2	~民；~格
壬	ʒən2	天干第九
辰	ʒən2	~光：时间、时候（有zoŋ变体）；搿=~光：那时候，从前/过去
晨	ʒən2	早~头：早晨
臣	ʒən2	~子
唇	ʒən2	嘴~
纯	ʒən2	~~：总是、经常
淳	ʒən2	~朴
莼	ʒən2	~菜
成	ʒən2	年~；~立；~绩；淘~：规矩、分寸，常在前面加“有/无”（又读ʤən2）
绳	ʒən2	绳子；跳~；挑八条头~个：肩挑手扛做小买卖的人
承	ʒən2	~认；传~；~受（又读ʤən2）
乘	ʒən2	~风凉：乘凉
呈	ʒən2	麟趾~祥
盛	ʒən2	~饭
□	ʒən2	~头：昨天（最本土的说法）
韧	ʒən2	~带
甚	ʒən2	~至于（又读ʤən2）
葚	ʒən2	桑~<读字>
盛	ʒən2	~世；~开
忍	ʒən4	~耐
吮	ʒən4	~卵：詈语，骂人多管闲事
纫	ʒən4	缝~
仁	ʒən4	~义道德；~寿堂：西山地名
刃	ʒən4	刀~
肾	ʒən4	~脏<读字>
任	ʒən6	主~；~性
慎	ʒən6	谨~44-44
顺	ʒən6	~风；~带便：顺便；~手：右手
润	ʒən6	~滑；利~
闰	ʒən6	<读字>
根	kən1	树~；尽~牙：支持
跟	kən1	脚后~；千=~朵=：翻跟斗；身~头/灶~头：身边/灶边
耕	kən1	春~生产；~地
更	kən1	~名
耿	kən1	~~于怀
更	kən3	~加
□	kʰən1	翻找（带贬义）
垦	kʰən1	~荒
恳	kʰən3h	诚~；~求
肯	kʰən3h	~定
啃	kʰən3h	<读字>
□	kʰən5	污垢：茶~/水~；老ʦʰieʔ5~：身上的污垢
□	ɡən4	倔强
□	ɡən6	硌
狠	hən3	厉害，~客：厉害的角色
很	hən3	<读字>
□	hən3	擤，~鼻涕
恩	ən1	吴承~
痕	ən2	~迹
恒	ən2	~河；永恒
衡	ən2	平~
横	ən2	纵~
恨	ən6	
彬	pin1	文质~~
宾	pin1	~馆；来~
槟	pin1	~榔
斌	pin1	
滨	pin1	哈尔~
冰	pin1	结~；棒~：冰棍；
兵	pin1	当~
殡	pin1	~仪馆
丙	pin1	天干第三
禀	pin3	~报
并	pin3	合~
饼	pin3	大~：烧饼；月~；萝卜丝~
秉	pin3	~湾、~场里：西山地名
鬓	pin5	~脚：鬓角
柄	pin5	刀把儿；瓜果的蒂
摒	pin5	~~：忍忍
迸	pin3	~发；~裂
乒	pʰin1	~乓
姘	pʰin1	~头
拼	pʰin1	~音
品	pʰin3h	供~；日用~
聘	pʰin3h	招~；~礼
贫	bin2	~穷
平	bin2	~顶：天花板；太~
萍	bin2	绿~
苹	bin2	~果
屏	bin2	~风
瓶	bin2	热水~：暖壶
凭	bin2	~印象；~证
并	bin2	~且；~弗是：并不是
频	bin4	~率
评	bin4	~价；批~
坪	bin4	草~
病	bin6	生~/生毛~：生病；看~
鸣	min1	~锣开道
闽	min1	
悯	min1	怜~
渑	min1	~池
民	min2	农~；居~
明	min2	聪~；清~；~湾：西山地名
名	min2	~字；无~指
铭	min2	~刻
敏	min3	过~
皿	min3	器~
抿	min3	闭（~嘴）；一拍~缝：完全相符，一拍即合，一次性就完成
泯	min3	~灭
命	min6	性~；算~
丁	tin1	~倒：颠倒
钉	tin1	洋~：钉子；揿~：螺帽大的钉子
叮	tin1	~嘱
仃	tin1	瘦骨伶~：精瘦的样子
鼎	tin1	一只~
顶	tin3	量词，一~帽子，一~桥；最，~~；屋头~：屋顶
钉	tin5	~钉子（动作）
订	tin5	预~；~只旅馆
□	tin5	沉淀，水~~清，~牢：形容糯米制食物吃顶的状态
听	tʰin1	~得懂
厅	tʰin1	客~
汀	tʰin1	水门~：水泥的旧称
□	tʰin1	生~：天生
挺	tʰin3h	~胸口
艇	tʰin3h	汽~
听	tʰin5	留、剩，~一碗饭
亭	din2	~子；茶~：旧时山路上供往来行人休息处；夷~：唯亭，原吴县地名
停	din2	~当：完成、结束
庭	din2	金~：西山镇今名，旧时也为西山一乡名；~山
廷	din2	朝~
淀	din2	~紫山22-22-22：西山地名
锭	din4	元宝状的纸钱
定	din6	缝，~被头：缝被子；~亲：订婚；~心
拎	lin1	提，~水/~篮
林	lin2	~屋洞：西山地名
淋	lin2	<读字>
邻	lin2	左右~舍：左右邻居
鳞	lin2	<读字>
磷	lin2	
麟	lin2	~趾呈祥
零	lin2	~碎铜钱：零钱
蛉	lin2	ʦʰɿ33~：蜻蜓
羚	lin2	~羊
龄	lin2	工~；党~
铃	lin2	~声
伶	lin2	~俐22-22
陵	lin2	丘~
菱	lin2	菱角
凌	lin2	~[铎儿]（dɑ̃）：冰锥儿
棱	lin2	~角分明
灵	lin2	活~：机灵、伶俐；~清：思维灵敏
凛	lin2	寒毛~~：害怕的样子
另	lin2	~外
吝	lin3	~啬鬼
领	lin4	~头：领子
岭	lin4	法华~、金铎~：西山地名
翎	lin4	~毛
赁	lin4	租~44-31
临	lin4	光~
令	lin4	司~员；命~
津	ʦin1	~液
精	ʦin1	~神；门槛~；~肉：瘦肉
晶	ʦin1	水~
睛	ʦin1	眼~；金~鱼：金鱼；弹眼落~：令人眼前一亮的样子
儘	ʦin3	~量
俊	ʦin3	
井	ʦin3	天~；落金~：下葬
浸	ʦin5	泡，~勒=水里：泡在水里
进	ʦin5	~去
震	ʦin5	~泽：吴江地名
晋	ʦin5	~察冀边区
浚	ʦin1	疏~；~河
侵	ʦʰin1	~犯；~略
津	ʦʰin1	天~44-31/33-55
亲	ʦʰin1	做~：拜堂
清	ʦʰin1	一~早：一大早
青	ʦʰin1	~菜；~鱼；~梅；~石；~头：茶青
亲	ʦʰin1	~家/~家公/~家母
寝	ʦʰin3h	~室
请	ʦʰin3h	~祖宗：供祖先
瀙	ʦʰin3h/5	阴~：阴凉
□	ʦʰin9	纺~娘：纺织娘
秦	ʣin2	~氏
情	ʣin2	~愿：宁可（又读zin2）
心	sin1	开~；寻开~：开玩笑；脚底~：脚心；包~菜：卷心菜
芯	sin1	一叶一~：一个茶芯和一个茶叶组成的碧螺春青叶
新	sin1	~娘子：新娘
薪	sin1	~水
辛	sin1	天干第八
星	sin1	星星
腥	sin1	~气：腥；荤~
猩	sin1	~~
□	sin1	[些儿]的合音，一~：一些，老=一~：哪些；搿=~~：这么些
省	sin3	反~
醒	sin3	
荀	sin3	~子33-41
询	sin3	~问44-44
信	sin5	~壳（子）：信封；~道：难道
迅	sin5	鲁~44-44
讯	sin5	问~：打听地方、道路或人
姓	sin5	老百~
性	sin5	~命；属~
汛	sin5	~里：表在一段时间范围内的后缀；如：日昼~里/大寒~里/黄梅~里；过~：过季
寻	zin2	找，~人/~东西；~雀丝：找茬儿；~死路：自杀
巡	zin2	南~
循	zin2	~环
晴	zin2	~落管：屋檐下收集导流雨水的装置
饧	zin2	~糖：麦芽糖
腈	zin2	~纶棉花
尽	zin4	~头牙/~根牙：智齿（“~量”中又读ʣin）
蕈	zin4	蘑菇，如：香~、石子~等
静	zin4	安~；清~
旬	zin4	上~22-41；下~22-41
净	zin4	干~
靖	zin6	~江
金	ʨin1	~子/黄~；~花菜：苜蓿；~虫：金龟子
今	ʨin1	~年；~朝：今天
襟	ʨin1	连~；大~衣裳：传统服饰
巾	ʨin1	手~/毛~：毛巾；围~；头~
斤	ʨin1	十数~：十多斤
筋	ʨin1	牵~：抽筋；丝瓜~：丝瓜络
京	ʨin1	北~；~胡
惊	ʨin1	~蛰
经	ʨin1	已~；~济；~用：耐用
泾	ʨin1	夏~：西山地名；横~、沺~：原吴县地名
荆	ʨin1	~州33-55
茎	ʨin1	块~
竟	ʨin1	毕~
镜	ʨin1	~子
敬	ʨin1	~修堂：西山地名；尊~
槿	ʨin3	~树叶子：当地制作青团子使用的叶子
锦	ʨin3	~州
紧	ʨin3	~密；弗要~：不要紧
警	ʨin3	~卫员；~告
景	ʨin3	~处：风景
禁	ʨin3	禁止44-44
颈	ʨin3	头~22-22：脖子
境	ʨin3	家~；环~
径	ʨin5	一~：常常
劲	ʨin5	有~：有趣
轻	ʨʰin1	年~；~骨头：撒娇
氢	ʨʰin1	~弹
磬	ʨʰin1	
顷	ʨʰin3h	公~
钦	ʨʰin3h	~佩33-41
倾	ʨʰin3h	~泻
卿	ʨʰin3h	~~我我
揿	ʨʰin5	按，~电铃
庆	ʨʰin5	重~；资~坞：西山地名
馨	ʨʰin1	温~
琴	ʥin2	胡~
禽	ʥin2	~兽
擒	ʥin2	~拿
芹	ʥin2	~菜；药~/水~
勤	ʥin2	~li31：勤快
鲸	ʥin2	~鱼
擎	ʥin2	手枕在桌子等平面上
痉	ʥin2	~挛
□	ʥin2	台阶的级，阶沿~：台阶级
仅	ʥin2	弗~；~~
谨	ʥin2	~呈
竞	ʥin2	~争
近	ʥin4	~段：附近；抄~路
人	ȵin2	外地~/北方~/外国~；做生意个~：商人
壬	ȵin2	天干第九（又读）
任	ȵin2	姓
仁	ȵin2	果仁，桃~/杏~
银	ȵin2	~子；~洋钱：银元
宁	ȵin2	列~；辽~；
凝	ȵin2	~固
□	ȵin2	弗~：未曾（常弱化为in1）
□	ȵin2	~黄烧酒：雄黄酒
忍	ȵin4	
迎	ȵin4	欢~
宁	ȵin4	~可22-41
认	ȵin6	~得：认识；~真
韧	ȵin6	还~：还潮；~头
闰	ȵin6	~月
欣	ɕin1	~~向荣
兴	ɕin1	作~（道）：可能、也许
衅	ɕin5	挑~
兴	ɕin5	草木茂盛；高~：愿意
音	in1	观~菩萨
窨	in1	~井盖
阴	in1	~天；~沟；~历；~山：西山地名
因	in1	原~；借~头：借用人际关系
姻	in1	~眷
殷	in1	~商；~勤；~红
应	in1	~该
英	in1	~雄；蒲公~
鹰	in1	~爪；鹞~：老鹰
莺	in1	黄~
樱	in1	~花
鹦	in1	~鹉<读字>
婴	in1	~儿
缨	in1	红~枪
淫	in2	~品
寅	in2	地支第三
蝇	in2	苍~
行	in2	执~
盈	in2	充~；轻~
赢	in2	
营	in2	~养；~业员
刑	in2	绞~；~法
颖	in2	新~
饮	in3	粥~汤：粥最上面一层冷却凝结而成的米汤
隐	in3	吹~：熄灭；~蔽
瘾	in3	<读字>
影	in3	~子
引	in4	逗，~小孩；~线：缝衣针；牵相~头：带坏的头，尽管本意未必是坏的
幸	in4	~福
型	in4	类~；A~血
荫	in5	柳~
印	in5	脚~；~泥；~印子糕：本地食物
洇	in5	~水；~开来
应	in5	应答、回应；~许33-41：允许；反~
映	in5	反~
瀴	in5	凉，天气~/水~
□	in1/3/5	~线：在线团上绕线的动作
形	in6	长方~；~势；无~；~态
吟	in1	呻~；~诗
尹	in1	~桂芳
裈	kuən1	结~头：紧贴身上的短裤
滚	kuən3	~脓：化脓；沸腾，水~；~水：开水；~刨
昆	kʰuən1	~山；~剧
坤	kʰuən1	乾~
捆	kʰuən3h	~柴
困	kʰuən5	
睏	kʰuən5	~觉：睡觉；~晏朝/~晏觉：睡懒觉；躺
□	kʰuən9	一门~：形容听不进别人意见，只按照自己的思维方法做事
棍	ɡuən4	~子；光~
昏	huən1	热~：发昏，也形容程度到达极点；~头：糊涂
婚	huən1	结~；重~
荤	huən1	~菜；~腥
温	uən1	~吞水：温水；保~
瘟	uən1	~病：疫情
魂	uən2	
馄	uən2	
浑	uən2	浑浊，水~；头~：头晕
□	uən2	~~头：繁缕
稳	uən3	~定
混	uən4	~堂：浴室
鯶	uən4	~子/~鱼：草鱼
均	ʨyən1	~匀
钧	ʨyən1	千~一发
君	ʨyən1	
军	ʨyən1	~队；将~
菌	ʨyən1	细~
裙	ʥyən2	裙子；作~：传统服饰
群	ʥyən2	~众；合~
郡	ʥyən2	~名
熏	ɕyən1	
薰	ɕyən1	~衣草
训	ɕyən3	教~；培~
殉	ɕyən3	~职
勋	ɕyən3	~章
驯	ɕyən3	~服
云	yən2	
耘	yən2	~田
熨	yən2	~斗22-22
匀	yən2	~/~落：均匀；~枇杷：使枇杷在树上分布均匀，不会长在一边
孕	yən2	怀~<读字>
韵	yən2	~味
允	yən3	~许
晕	yən3	~车/~船
运	yən6	~道：运气；倒~：倒霉
蹦	poŋ5	
□	pʰoŋ1	香~~：香喷喷
捧	pʰoŋ3h	
篷	boŋ2	~尘：灰尘；扯~船：帆船
蓬	boŋ2	~哈=菜：茼蒿；量词，一~根
凤	boŋ9	~仙花（也有voŋ的又读）
蒙	moŋ1	~眼：近视眼；~~亮：黎明
蒙	moŋ2	~古
懵	moŋ4	~懂
梦	moŋ6	说~话；做~
风	foŋ1	台~；起~：刮风； ~糕：发糕；~子：麻将牌里的风
枫	foŋ1	~桥：原吴县地名
疯	foŋ1	
丰	foŋ1	永~桥：西山地名；咸~
封	foŋ1	~火墙
蜂	foŋ1	蜜~；土~；胡~：马蜂
峰	foŋ1	驼~；缥缈~：西山最高峰
锋	foŋ1	开路先~
讽	foŋ1	~刺44-31；讥~
俸	foŋ3	~禄
逢	voŋ2	相~；~年过节
缝	voŋ2	~衣裳：缝衣服；裁~
冯	voŋ4	
奉	voŋ4	~送；阳~阴违
凤	voŋ6	~凰山：西山地名
缝	voŋ6	裂缝
东	toŋ1	~西；~浪=/~面：东边
冬	toŋ1	~瓜；立~/~至；~至团：
懂	toŋ3	听弗~：听不懂
董	toŋ3	~必武
冻	toŋ5	着凉；~渣=：冻疮
栋	toŋ5	~梁
通	tʰoŋ1	~安：原吴县地名
捅	tʰoŋ3h	挪/移动，台子~过去点
统	tʰoŋ3h	袜~管：手工制作的袜子；系~
