漢字	注釋	清流城關	清流林畬	清流長校(長校村)	清流長校(江坊村)	寧化石壁
遷		tsʰiŋ³³	tsʰiẽ³³	tsʰãi³³	tsʰãi²²	tsʰiaŋ³⁵³
錢		tsʰiŋ¹³	tsʰiẽ²¹	tsʰãi²¹	tsʰãi²¹	tsʰien¹¹³
仙		siŋ³³	siẽ³³	sãi³³	sãi²²	sien³⁵³
鮮	新鮮	siŋ³³	siẽ³³	sãi³³	sãi²²	sien³⁵³
纏		─	tsʰiẽ²¹	tsʰaŋ²¹	tsʰaŋ²¹	tsʰan¹¹³
搧		─	─	─	─	sen³¹³
蟬		tsʰã¹³	tsʰã²¹	ʃiãi²¹	ʃiãi²¹	tsʰɑŋ¹¹³
禪		tsʰã¹³	tsʰã²¹	─	─	tsʰan¹¹³
然		iŋ¹³	lã²¹	─	─	─
燃		lã¹³	iẽ²¹	─	─	─
乾	乾坤	kʰiŋ¹³	tsʰiẽ²¹	kʰiãi²¹	cʰãi²¹	kʰien¹¹³
虔		─	tsʰiẽ²¹	─	─	kʰien¹¹³
蔫		ŋiŋ²⁴/giŋ²⁴	─	─	─	─
焉		─	iẽ³³	─	─	ien³⁵³
延		iŋ¹³	iẽ²¹	iãi²¹	iãi²¹	ien¹¹³
辨		pʰiŋ⁴³	pʰiẽ⁵⁵	pʰãi⁵⁵	pʰãi⁴⁴	pʰien⁴⁵
辯		pʰiŋ⁴³	pʰiẽ⁵⁵	pʰãi⁵⁵	pʰãi⁴⁴	pʰien⁴⁵
免		miŋ³¹	miẽ³¹	mãi²⁴	mãi²⁴	mien³¹³
勉		miŋ³¹	miẽ³¹	mãi²⁴	mãi²⁴	mien³¹³
娩		─	─	─	─	mien³¹³
緬		miŋ³¹	─	─	─	mien³¹³
碾		ŋiŋ³¹/giŋ³¹	─	giãi²⁴	giãi²⁴	ŋien³¹³
剪		tsiŋ³¹	tsiẽ³¹	tsãi²⁴	cãi²⁴	tsien³¹³
淺		tsʰiŋ³¹	tsʰiẽ³¹	─	tsʰãi²⁴	tsʰien³¹³
踐		tsiŋ³¹	kiẽ²⁴實~；tsiẽ²⁴~踏	─	tsãi⁵⁵	tsien³¹³
癬		suiŋ³¹	siẽ³¹	tsʰãi²⁴	tsʰãi²⁴	sien³¹³
展		tʃyn³¹	tsoŋ³¹	tʃãi²⁴	tʃãi²⁴	tsan³¹³
善		ʃyn⁴³	siẽ²⁴	─	ʃiãi⁴⁴	sen⁴⁵
遣		tsʰiŋ³¹	tsʰiẽ³¹	─	tsʰãi²⁴	kʰien³¹³
件		kʰiŋ⁴³	kʰiẽ⁵⁵	kʰiãi⁵⁵	cʰãi⁴⁴	kʰien⁴⁵
演		iã³¹	iẽ³¹	iãi²⁴	iãi²⁴	ien³¹³
變		piŋ²⁴	piẽ²⁴	─	pãi⁵⁵	pien³¹³
騙		pʰiŋ²⁴	pʰiẽ²⁴	─	pʰãi⁵⁵	pʰien³¹³
便	方便	pʰiŋ⁴³	pʰiẽ⁵⁵	─	pʰãi⁴⁴	pʰien⁴⁵
面		miŋ⁴³	miẽ⁵⁵	mãi⁵⁵	mãi⁴⁴	mien⁴⁵
箭		tsiŋ²⁴	tsiẽ²⁴	─	tsãi⁵⁵	tsien³¹³
濺		tsiŋ²⁴	─	─	─	─
賤		tsʰiŋ⁴³	tsʰiẽ⁵⁵	tsʰãi⁵⁵	tsʰãi⁴⁴	tsʰien⁴⁵
線		siŋ²⁴	siẽ²⁴	sãi⁴⁵	sãi⁵⁵	sien³¹³
羨		─	─	─	─	sie⁴⁵
戰		tʃyn²⁴	tsã²⁴	─	tʃãi⁵⁵	tsan³¹³
顫		─	─	─	─	tsan³¹³
扇		ʃyn²⁴	siẽ²⁴	ʃiãi⁴⁵	ʃiãi⁵⁵	sen³¹³
膳		─	─	─	─	san⁵³
單	姓	sã⁴³	─	─	ʃiãi⁵⁵	─
諺		viŋ⁴³	iẽ²⁴	─	iãi⁴⁴	ŋan⁴⁵
別	區別	pʰeʔ⁵⁴	pʰe⁵⁵	─	─	pʰie⁴⁵
鼈		─	─	peʔ⁵⁴	peʔ⁵³	─
別	離別	pʰeʔ⁵⁴	pʰe⁵⁵	pʰeʔ³¹	pʰeʔ³¹	pʰie⁴⁵
滅		meʔ⁵⁴	me⁵⁵	beʔ³¹	beʔ³¹	bie⁴⁵
列		leʔ⁵⁴	le⁵⁵	─	─	lieʔ⁵⁴
烈		leʔ⁵⁴	le⁵⁵	─	teʔ³¹	lieʔ⁵⁴
裂		leʔ⁵⁴	le⁵⁵	─	─	lieʔ⁵⁴
薛		sue³¹	seʔ²	seʔ⁵⁴	seʔ⁵³	sieʔ⁵⁴
泄		─	seʔ²	seʔ⁵⁴	seʔ⁵³	sieʔ⁵⁴
哲		tʃie³¹	tseʔ²	tʃeʔ⁵⁴	tʃeʔ⁵³	tsəʔ⁵⁴
徹		tʃʰie³¹	tsʰeʔ²	─	─	tsʰəʔ⁵⁴
撤		tʃʰie³¹	tsʰeʔ²	tʃʰeʔ⁵⁴	tʃʰeʔ⁵³	tsʰəʔ⁵⁴
轍		─	─	tʃʰeʔ⁵⁴	tʃʰeʔ⁵³	tsʰəʔ⁵⁴
折		tʃie³¹	tseʔ²	tʃeʔ⁵⁴	tʃeʔ⁵³	tsɑʔ⁵⁴(折疊)；tsəʔ⁵⁴(折扣)
浙		tʃie³¹	tseʔ²	tʃeʔ⁵⁴	tʃeʔ⁵³	tsəʔ⁵⁴
舌		ʃieʔ⁵⁴	se⁵⁵	ʃieʔ³¹	ʃieʔ³¹	sə⁴⁵
設		ʃie³¹	seʔ²	ʃieʔ⁵⁴	ʃieʔ⁵³	səʔ⁵⁴
熱		ŋieʔ⁵⁴/gieʔ⁵⁴	ge⁵⁵	geʔ³¹	g(i)eʔ³¹	gie⁴⁵
傑		kʰieʔ⁵⁴	keʔ²	─	kʰeʔ³¹	kʰie⁴⁵
孽		ŋiaʔ⁵⁴/giaʔ⁵⁴	le⁵⁵	─	─	ŋiaʔ⁵⁴造惡~；ŋieʔ⁵⁴造~
犍	犍子	kiŋ²⁴	─	─	─	─
言		giŋ¹³/guiŋ¹³	iẽ²¹	guãi²¹	guãi²¹	ŋien¹¹³
軒		ʃyn³³	─	─	sãi²²	sien³⁵³
掀		─	siẽ³³	─	─	sien³⁵³
蔫	花萎	ŋiŋ²⁴/giŋ²⁴	─	─	─	─
鍵		─	kʰiẽ⁵⁵	─	─	kʰien⁴⁵
建		kiŋ²⁴	kiẽ²⁴	kiãi⁴⁵	cãi⁵⁵	kien³¹³
健		kʰiŋ⁴³	kʰiẽ⁵⁵	kʰiãi⁵⁵	cʰãi⁴⁴	kʰien⁴⁵
腱		─	─	─	─	kʰien⁴⁵
憲		ʃyn²⁴	siẽ⁵⁵	ʃiãi⁴⁵	ʃiãi⁵⁵	hien³¹³
獻		ʃyn²⁴	siẽ⁵⁵	ʃiãi⁴⁵	ʃiãi⁵⁵	hien³¹³
堰		─	─	─	─	ien³¹³
揭		kie³¹~發；kʰieʔ⁵⁴(姓)	keʔ²	─	tsieʔ⁵³	kieʔ⁵⁴
歇		ʃie³¹	─	həʔ³¹	həʔ³¹	hieʔ⁵⁴
邊		piŋ³³	piẽ³³	─	pãi²²	pien³⁵³
蝙		piŋ³¹	─	pãi³³	pãi²²	pien³⁵³
眠		mɤŋ¹³	miẽ²¹	─	mãi²¹	mien¹¹³
顛		tiŋ³³	tiẽ³³	─	─	tien³⁵³
天		tʰiŋ³³	tʰiẽ³³	─	tʰãi²²	tʰien³⁵³
田		tʰiŋ¹³	tʰã²¹	tʰãi²¹	tʰãi²¹	tʰien¹¹³
填		tʰiŋ¹³	tʰiẽ²¹	tʰãi²¹	tʰãi²¹	tʰien¹¹³
年		ŋiŋ¹³/giŋ¹³	nã²¹~lã²¹	lãi²¹	lãi²¹	ŋien¹¹³
憐		liŋ¹³	liẽ²¹	tãi²¹	tãi²¹	lien¹¹³
蓮		liŋ¹³	liẽ²¹	lãi²¹	lãi²¹	lien¹¹³
千		tsʰiŋ³³	tsʰiẽ³³	─	tsʰãi²²	tsʰien³⁵³
前		tsʰiŋ¹³	tsʰiẽ²¹	tsʰãi²¹	tsʰãi²¹	tsʰien¹¹³
先		siŋ³³	siẽ³³	sãi³³	sãi²²	sien³⁵³
肩		kiŋ³³	kã³³；kiẽ³³	─	cãi²²~kiãi²²	kien³⁵³
堅		kɤŋ³³	kiẽ³³	─	cãi²²	kien³⁵³
牽		kʰiŋ³³	kʰiẽ³³	─	cʰãi²²	kʰien³⁵³
研		ŋiŋ¹³/giŋ¹³	iẽ²¹	─	ɟãi²⁴	ŋien¹¹³
賢		─	siẽ²¹	─	ʃiãi²¹	hien¹¹³
弦		ʃiŋ¹³	siẽ²¹	ʃiãi²¹	ʃiãi²¹	fien¹¹³
煙		iŋ³³	iẽ³³	iãi³³	iãi²²	ien³⁵³
燕	燕京	─	iẽ²⁴	─	─	─
扁		piŋ³¹	piẽ³¹	pãi²⁴	pãi²⁴	pien³¹³
匾		piŋ³¹	piẽ³¹	─	pãi²⁴	pien³¹³
辮		piŋ³³	piẽ³³	─	pãi²²	pien³⁵³
典		tiŋ³¹	tiẽ³¹	─	tãi²⁴	tien³¹³
撚		─	─	─	─	ŋien³¹³
繭		kã³¹	kiẽ³¹	kiãi²⁴	cãi²⁴	─
筧		kiŋ³¹	─	kiãi²⁴	cãi²⁴	kien³¹³
顯		ʃiŋ³¹	siẽ³¹	ʃiãi²⁴	ʃiãi²⁴	hien³¹³
遍	一遍	pʰiŋ²⁴	pʰiẽ²⁴	─	─	pien³¹³
遍	遍地	pʰiŋ²⁴	─	─	─	─
片		pʰiŋ²⁴	pʰiẽ²⁴	pʰãi⁴⁵	pʰãi⁵⁵	pʰien³¹³
麵		miŋ⁴³	miẽ⁵⁵	mãi⁵⁵	mãi⁴⁴	mien⁴⁵
電		tʰiŋ⁴³	tʰiẽ⁵⁵	tʰãi⁵⁵	tʰãi⁴⁴	tʰien⁴⁵
殿		tiã²⁴	tʰiẽ⁵⁵	─	─	tʰien⁴⁵
奠		tʰiŋ⁴³	tʰiẽ⁵⁵	tʰãi⁵⁵	tʰãi⁴⁴	tʰien⁴⁵
佃		tʰiŋ⁴³	tʰiẽ⁵⁵	─	─	tʰien⁴⁵
墊		─	─	─	─	tien³¹³
練		liŋ⁴³	liẽ⁵⁵	lãi⁵⁵	lãi⁴⁴	lien⁴⁵
鍊		liŋ⁴³	liẽ⁵⁵	tãi⁵⁵	tãi⁴⁴	lien⁴⁵
楝		liŋ⁴³	liẽ⁵⁵	lãi⁵⁵	lãi⁴⁴	lien⁴⁵
薦		kiŋ²⁴	kiẽ²⁴	kiãi⁴⁵	cãi⁵⁵	tsien⁵³
見		kiŋ²⁴	kiẽ²⁴	─	cãi⁵⁵	kien³¹³
硯		iŋ²⁴	─	giãi⁵⁵	iãi⁴⁴	ien⁵³
現		ʃiŋ⁴³	siẽ⁵⁵	─	ʃiãi⁴⁴	hien⁴⁵
燕	燕子	iŋ²⁴	iẽ²⁴	iãi²⁴	iãi²⁴	ien³¹³
宴		iŋ²⁴	─	iãi²⁴	iãi²⁴	ien⁵³
憋		─	─	─	─	pie³⁵³
撇		pʰe³¹	pʰeʔ²	pʰeʔ⁵⁴	pʰeʔ⁵³	pʰieʔ⁵⁴
篾		meʔ⁵⁴/beʔ⁵⁴	me⁵⁵/be⁵⁵	beʔ³¹	beʔ³¹	bie⁴⁵
鐵		tʰe³¹	tʰaʔ²	tʰaʔ⁵⁴	tʰaiʔ⁵³	tʰieʔ⁵⁴
捏		─	le⁵⁵~造	ləʔ⁵⁴	ləʔ⁵³	gieʔ⁵⁴
節		tse³¹	tsaʔ²過年過~；tseʔ²端午~	tseʔ⁵⁴	tseʔ⁵³	tsieʔ⁵⁴
切		tsʰe³¹	tsʰeʔ²	─	tsʰeʔ⁵³	tsʰieʔ⁵⁴
截		tse³¹	tseʔ²一~	─	tseʔ⁵³	tsieʔ⁵⁴
屑	木屑	sue³¹鋸~	─	suaʔ⁵⁴	suaʔ⁵³	sieʔ⁵⁴
結		kie³¹	keʔ²	─	kieʔ⁵³	kieʔ⁵⁴
潔		kie³¹	keʔ²	─	kieʔ⁵³	kieʔ⁵⁴
般		pã³³	pã³³一~	paŋ³³	─	pan³⁵³
搬		pã³³	puẽ³³	paŋ³³	─	pan³⁵³
潘		pʰã³³	pʰã³³	pʰaŋ³³	pʰaŋ²²	pʰan³⁵³
拚		pʰɤŋ³³	pʰiŋ³³	pʰiŋ³³	pʰiŋ²²	pʰiŋ³⁵³
盤		pʰã¹³	pʰuẽ²¹	pʰaŋ²¹	pʰaŋ²¹	pʰan¹¹³
瞞		─	muẽ²¹	─	─	─
饅		mã¹³	mã²¹	maŋ²¹	maŋ²¹	man¹¹³
端		tuã³³	tuẽ³³	tuaŋ³³	tuaŋ²²	tuan³⁵³
團		tʰuã¹³	tʰuẽ²¹	tʰuaŋ²¹	tʰuaŋ²¹	tʰuan¹¹³
糰		tʰuã¹³	tʰuẽ²¹	─	─	tʰuan¹¹³
鸞		─	luẽ²¹	─	─	luan¹¹³
鑽		tsuã²⁴	tsuẽ²⁴	─	tsuaŋ⁵⁵	─
酸		suã³³	suẽ³³	suaŋ³³	suaŋ²²	suan³⁵³
官		kuã³³	kuẽ³³	kuaŋ³³	kuaŋ²²	kuan³⁵³
棺		kuã³³	kuẽ³³	kuaŋ³³	kuaŋ²²	kuan³⁵³
觀	參觀	kuã³³	kuẽ³³~音；kuã³³參~	kuaŋ³³	kuaŋ²²	kuan³⁵³
冠	衣冠	kuã³³	─	kuaŋ³³	kuaŋ²²	kuan³⁵³
寬		─	kʰuẽ³³	─	─	kʰuan³⁵³
歡		fã³³	fã³³	─	faŋ²²	fan³⁵³
桓		─	hɛŋ²¹	─	─	─
完		viŋ¹³	iẽ²¹	vãi²¹	vãi²¹	vien¹¹³
丸		viŋ¹³	iẽ²¹	vãi²¹	vãi²¹	vien¹¹³
伴		pʰã⁴³；pʰã²⁴	pʰuẽ²⁴	pʰaŋ²⁴	pʰaŋ²⁴	pʰan³¹³
拌		pʰã⁴³	pã²⁴	─	─	pʰan⁴⁵
滿		mã³¹	muẽ³¹	maŋ²⁴	maŋ²⁴	man³¹³
短		tuã³¹	tuẽ³¹	─	tuaŋ²⁴	tuan³¹³
斷	斷絕	tʰuã³³	tʰuẽ³¹	tʰuaŋ³³	tʰuaŋ²²	tʰuan³⁵³
暖		luã³¹	luẽ³¹~nuẽ³¹	luaŋ²⁴	luaŋ²⁴	luan³¹³
卵		luã³¹	luẽ³¹	luaŋ²⁴	luaŋ²⁴	luan³¹³
纂		─	tsiẽ²⁴	─	─	tsʰuan⁴⁵
管		kuã³¹	kuẽ³¹~理；kuã³¹水~	kuaŋ²⁴	kuaŋ²⁴	kuan³¹³
館		kuã³¹	kuẽ³¹	kuaŋ²⁴	kuaŋ²⁴	kuan³¹³
款		kʰuã³¹	kʰuẽ³¹	─	kʰuaŋ²⁴	kʰan³¹³
緩		─	foŋ²⁴	foŋ²⁴	foŋ²⁴	─
皖		─	uã³¹	voŋ²⁴	voŋ²⁴	─
碗		vã³¹	uẽ³¹	vaŋ²⁴	vaŋ²⁴	van³¹³
半		pã²⁴	puẽ²⁴	paŋ⁴⁵	paŋ⁵⁵	pan³¹³
絆		─	pʰuẽ²⁴	─	─	pan⁵³
判		pʰã²⁴	pʰuẽ²⁴	pʰaŋ⁴⁵	pʰaŋ⁵⁵	pʰan³¹³
叛		pʰã²⁴	pʰã²⁴	─	pʰaŋ⁵⁵	pʰan⁵³
漫		mã⁴³	mã⁵⁵	─	─	man⁴⁵
幔		─	─	─	─	man⁵³
斷	決斷	─	tʰuẽ⁵⁵	tʰuaŋ⁵⁵	tʰuaŋ⁴⁴	─
鍛	鍛鍊	tʰuã⁴³	tʰuẽ⁵⁵	─	─	tʰuan⁴⁵
段		tʰuã⁴³	tʰuẽ⁵⁵	tʰuaŋ⁵⁵	tʰuaŋ⁴⁴	tʰuan⁴⁵
緞		─	tʰuẽ⁵⁵	tʰuaŋ⁵⁵	tʰuaŋ⁴⁴	tʰuan⁴⁵
亂		luã⁴³	luẽ⁵⁵	─	luaŋ⁴⁴	luan⁴⁵
鑽	木工用具	tsuã²⁴	tsuẽ²⁴	─	─	tsuan³¹³
竄		─	─	─	─	tsʰuan³¹³
算		suã²⁴	suẽ²⁴	suaŋ⁴⁵	suaŋ⁵⁵	suan³¹³
蒜		suã²⁴	suẽ²⁴	suaŋ⁴⁵	suaŋ⁵⁵	suan³¹³
貫		kuã²⁴	kuẽ²⁴	─	─	kuan³¹³
灌		kuã²⁴	kuẽ²⁴	kuaŋ⁴⁵	kuaŋ⁵⁵	kuan³¹³
罐		kuã²⁴	kuẽ²⁴	kuaŋ⁴⁵	kuaŋ⁵⁵	kuan³¹³
冠	冠軍	kuã²⁴	kuẽ²⁴	kuaŋ⁴⁵	kuaŋ⁵⁵	kuan³¹³
玩	古玩	─	─	─	guaŋ²¹	─
喚		─	foŋ²⁴	─	faŋ⁵⁵	─
煥		─	foŋ²⁴	─	─	─
換		fã²⁴	huẽ²⁴	─	vaŋ⁴⁴	van⁴⁵
腕		voŋ³¹	uẽ³¹	─	voŋ²⁴	van³¹³
缽		pa³¹	poʔ²	paʔ⁵⁴	paʔ⁵³	paʔ⁵⁴
撥		─	poʔ²	poʔ⁵⁴	poʔ⁵³	puoʔ⁵⁴
潑		pʰa³¹	pʰoʔ²/pʰuoʔ²	─	─	pʰaʔ⁵⁴
鈸		─	─	─	─	pʰuoʔ⁵⁴
末		moʔ⁵⁴；maʔ⁵⁴	mɵ⁵⁵	boʔ³¹~日	boʔ³¹~日；baʔ³¹粉~	muoʔ⁵⁴
沫		moʔ⁵⁴	─	─	─	muoʔ⁵⁴
抹		maʔ⁵⁴	─	─	─	vaʔ⁵⁴；maʔ⁵⁴
脫		tʰua³¹	tʰɵʔ²	tʰuaʔ⁵⁴	tʰuaʔ⁵³	tʰuaʔ⁵⁴
奪		tʰoʔ⁵⁴	tɵʔ²	─	toʔ⁵³	─
捋		luaʔ⁵⁴	─	luaʔ³¹	luaʔ³¹	─
撮		tsu³¹	tsuʔ²一~米	─	─	─
括		kua³¹	kuaʔ²	─	kuaʔ⁵³	kuaʔ⁵⁴
闊		kʰua³¹	kʰuaʔ²寬義；kʰɵʔ²廣~	─	kʰuaʔ⁵³；kʰoʔ⁵³遼~	kʰaʔ⁵⁴
活		foʔ⁵⁴；faʔ⁵⁴	fuo⁵⁵生~；fɵ⁵⁵靈~	─	huaʔ³¹	vai⁴⁵；huoʔ⁵⁴
頑		ŋuã¹³/guã¹³	voŋ²¹	guaŋ²¹	guaŋ²¹	ŋan¹¹³
幻		─	─	faŋ⁵⁵	faŋ⁴⁴	fɑŋ⁴⁵
滑		vaʔ⁵⁴	vi⁵⁵	vaʔ³¹	vaʔ³¹	vai⁴⁵
猾		faʔ⁵⁴	─	vaʔ³¹	vaʔ³¹	─
挖		ve³³；ve³¹	ieʔ²	via³³	via²²	vieʔ⁵⁴
閂		suã³³	suẽ³³	tsʰuaŋ³³	tsʰuaŋ²²	suan³⁵³
栓		suã³³	─	─	─	─
關		kuã³³	kuã³³(動詞)；kuẽ³³~公、海~	─	kuaŋ²²	kan³⁵³；kuan³⁵³
還	還原	vã¹³(動詞)；fã¹³~原	vã²¹(動詞)、~原	faŋ²¹~原；vaŋ²¹~你	faŋ²¹~原；vaŋ²¹~你	van¹¹³
還	還有	ha¹³	hue²¹	─	─	he¹¹³
環		kʰuã¹³~境；fã¹³丫~	kʰuã²¹門~；kʰuẽ²¹~保	kʰuaŋ²¹~境、圓~；vaŋ²¹耳~	kʰuaŋ²¹~境、圓~；vaŋ²¹耳~	─
彎		vã³³	uẽ³³	vaŋ³³	vaŋ²²	van³⁵³
灣		vã³³	uẽ³³	vaŋ³³	vaŋ²²	van³⁵³
撰		tʃʰyn³¹	─	tsʰuaŋ⁵⁵	─	─
篡		tʃʰyn²⁴	─	─	─	─
慣		kuã²⁴	kuã²⁴	─	kuaŋ⁵⁵	kuan³¹³
患		─	foŋ²⁴	─	─	fɑŋ⁴⁵
宦		─	─	─	faŋ⁴⁴	─
刷		sua³¹	siʔ²	suaʔ⁵⁴	suaʔ⁵³	suaʔ⁵⁴
刮		kua³¹	kuaʔ²	kuaʔ⁵⁴	kuaʔ⁵³	kuaʔ⁵⁴
全		tʃʰyn¹³	tsʰiẽ²¹	tsʰãi²¹	tsʰãi²¹	tsʰien¹¹³
泉		tsʰã¹³~水；tʃʰyn¹³(姓名用)	tsʰiẽ²¹	tsʰãi²¹	tsʰãi²¹	tsʰien¹¹³
宣		ʃyn³³	siẽ³³	sãi³³	sãi²²	sien³⁵³
旋		ʃyn¹³	siẽ²¹	fãi²¹	fãi²¹	fien¹¹³
傳	傳達	tʃʰyn¹³	tsʰiẽ²¹	kʰuãi²¹	kʰuãi²¹	tsʰen¹¹³~分佢；tsʰuan¹¹³
專		tʃyn³³	tsiẽ³³	kuãi³³	kuãi²²	tsen³⁵³
磚		tʃyn³³	tsiẽ³³	kuãi³³	kuãi²²	tsen³⁵³
川		tʃʰyn³³	tsʰiẽ³³	kʰuãi³³	kʰuãi²²	tsʰen³⁵³
穿		tʃʰyn³³	tsʰiẽ³³	kʰuãi³³	kʰuãi²²	tsʰen³⁵³
船		fiŋ¹³	siẽ²¹	fãi²¹	fãi²¹	sen¹¹³
圈	圓圈	kʰuiŋ³³	kʰiẽ³³	kʰuãi³³	kʰuãi²²	kʰien³⁵³
拳		kʰuiŋ¹³	kʰiẽ²¹	kʰuãi²¹	kʰuãi²¹	kʰien¹¹³
權		kʰuiŋ¹³	kʰiẽ²¹	kʰuãi²¹	kʰuãi²¹	kʰien¹¹³
顴		─	─	─	─	kʰien¹¹³
圓		viŋ¹³/vĩ¹³	iẽ²¹	vãi²¹	vãi²¹	vien¹¹³
員		viŋ¹³/vĩ¹³	iẽ²¹	vãi²¹	vãi²¹	vien¹¹³
緣		viŋ¹³/vĩ¹³	iẽ²¹	vãi²¹	vãi²¹	vien¹¹³
沿		─	iẽ²¹	─	─	vien¹¹³
鉛		tʃʰiŋ³³/tsʰiŋ³³	tsʰiẽ³³	tsʰãi³³	tsʰãi²²	─
捐		kiŋ³³	─	─	─	kien³⁵³
選		suiŋ³¹/suĩ³¹	siẽ³¹	sãi²⁴	sãi²⁴	sien³¹³
轉	轉眼	tʃyn³¹	tsiẽ³¹	kuãi²⁴	kuãi²⁴	tsen³¹³~來；tsuan³¹³~機
篆		tʃʰyn⁴³	tsuẽ²⁴	─	─	─
喘		─	─	kʰuãi²⁴	kʰuãi²⁴	tsʰuan³¹³
軟		ŋuiŋ³¹/guĩ³¹	giẽ³¹~ŋiẽ³¹	guãi²⁴	guãi²⁴	ŋien³¹³
捲		kuiŋ³¹	kiẽ³¹	kuãi²⁴	kuãi²⁴	kien³¹³
戀		liŋ⁴³	liẽ⁵⁵	lãi⁵⁵	lãi⁴⁴	─
旋		─	tsʰiẽ⁵⁵(髮旋)	─	─	tsʰien⁴⁵(髮旋)
轉	轉圈	─	tsiẽ³¹	─	─	tsen³¹³；tsʰen⁴⁵
傳	傳記	tʃʰyn⁴³	tsuẽ²⁴	kʰuãi⁵⁵	kʰuãi⁴⁴	tsʰen⁴⁵
串		tʃʰyn²⁴	─	kʰuãi⁴⁵	kʰuãi⁵⁵	tsʰen³¹³
眷		kuiŋ²⁴	─	─	─	kien³¹³
卷		kuiŋ³¹	kiẽ²⁴	kuãi²⁴	kuãi²⁴	kien³¹³
倦		─	─	─	kuãi⁵⁵	─
院		viŋ⁴³/vĩ⁴³	iẽ⁵⁵	vãi⁵⁵	vãi⁴⁴	vien⁴⁵
劣		leʔ⁵⁴	le⁵⁵	teʔ³¹	teʔ³¹	lieʔ⁵⁴
絕		tsʰeʔ⁵⁴	─	tsʰeʔ³¹	tsʰeʔ³¹	tsʰie⁴⁵
雪		sue³¹	seʔ²	seʔ⁵⁴	seʔ⁵³	sieʔ⁵⁴
拙		─	─	tsoʔ⁵⁴	tsoʔ⁵³	─
說		ʃie³¹	seʔ²	ʃieʔ⁵⁴	ʃieʔ⁵³	─
悅		─	─	─	veʔ³¹	─
閱		veʔ⁵⁴	ie⁵⁵	veʔ³¹	veʔ³¹	vie⁴⁵
藩		─	pʰã³³	─	─	pʰan³⁵³
翻		fã³³	pʰã³³	faŋ³³	faŋ²²	fan³⁵³
番		fã³³	fã³³	faŋ³³	faŋ²²	fan³⁵³
煩		fã¹³	fã²¹	faŋ²¹	faŋ²¹	fan¹¹³
礬		─	fã²¹	faŋ²¹	faŋ²¹	fan¹¹³
繁		fã¹³	fã²¹	faŋ²¹	faŋ²¹	fan¹¹³
元		ŋuiŋ¹³/guĩ¹³	iẽ²¹	guãi²¹	guãi²¹	ŋien¹¹³
原		ŋuiŋ¹³/guĩ¹³	iẽ²¹	guãi²¹	guãi²¹	ŋien¹¹³
源		ŋuiŋ¹³/guĩ¹³	iẽ²¹	guãi²¹	guãi²¹	ŋien¹¹³
冤		viŋ³³/vĩ³³	iẽ³³	─	vãi²²	vien³⁵³
袁		viŋ¹³/vĩ¹³	iẽ²¹	─	guãi²¹	vien¹¹³
轅		─	iẽ²¹	─	─	vien¹¹³
園		viŋ¹³/vĩ¹³	iẽ²¹	─	vãi²¹	vien¹¹³
援		viŋ¹³/vĩ¹³	iẽ²¹	─	─	vien¹¹³
反		fã³¹	fã³¹	─	faŋ²⁴	fan³¹³
晚		voŋ³¹	voŋ³¹	voŋ²⁴	voŋ²⁴	van³¹³
挽		─	─	vaŋ²⁴	vaŋ²⁴	van³¹³
阮		ŋuiŋ³¹/guĩ³¹	─	luaŋ²⁴	luaŋ²⁴	─
遠		viŋ³¹/vĩ³¹	iẽ³¹	vãi²⁴	vãi²⁴	vien³¹³
販		fã²⁴	fuẽ²⁴	faŋ⁵⁵	faŋ⁴⁴	fan⁵³
飯		fã⁴³	fã⁵⁵	pʰuaŋ⁵⁵	pʰuaŋ⁴⁴	fan⁴⁵
萬		vã⁴³	vã⁵⁵	vaŋ⁵⁵	vaŋ⁴⁴	van⁴⁵
勸		kʰuiŋ²⁴	kʰiẽ²⁴	kʰuãi⁴⁵	kʰuãi⁵⁵	kʰien³¹³
券		kʰuiŋ⁴³	kʰiẽ²⁴	kuãi⁴⁵	kuãi⁵⁵	kʰien³¹³
願		ŋuiŋ⁴³/guĩ⁴³	iẽ⁵⁵	guãi⁵⁵	guãi⁴⁴	ŋien⁴⁵
怨		viŋ⁴³/vĩ⁴³	iẽ²⁴	─	vãi⁵⁵	vien³⁵³
髮		fa³¹	─	puaʔ⁵⁴	puaʔ⁵³	faʔ⁵⁴
發		fa³¹	foʔ²/fuoʔ²	faʔ⁵⁴	faʔ⁵³	faʔ⁵⁴
伐		faʔ⁵⁴	foʔ²/fuoʔ²	─	─	─
筏		─	─	faʔ³¹	faʔ³¹	─
罰		faʔ⁵⁴	foʔ²/fuoʔ²	faʔ³¹	faʔ³¹	fai⁴⁵
襪		maʔ⁵⁴	muo⁵⁵	baʔ³¹	baʔ³¹	maʔ⁵⁴
掘		─	keʔ²	─	keʔ⁵³	kʰie⁴⁵
月		gueʔ⁵⁴	ge⁵⁵	gueʔ³¹	gueʔ³¹	gie⁴⁵~ŋie⁴⁵
越		veʔ⁵⁴	ie⁵⁵	veʔ³¹	veʔ³¹	vie⁴⁵
曰		io³¹	─	─	─	─
粵		veʔ⁵⁴	ie⁵⁵	veʔ³¹	veʔ³¹	─
玄		ʃiŋ¹³	siẽ²¹	─	─	fien¹¹³
懸		─	siẽ²¹	fãi²¹	fãi²¹	fien¹¹³
淵		viŋ³³/vĩ³³	iẽ³³	iãi³³	iãi²²	ien³⁵³
