漢字	注釋	清流城關	清流林畬	清流長校(長校村)	清流長校(江坊村)	寧化石壁
廚		tʃʰy¹³	tsʰu²¹	kʰu²¹	kʰu²¹	tsʰu¹¹³
朱		tʃy³³	tsi³³	ku³³	ku²²	tsu³⁵³
硃		tʃy³³	tsi³³	ku³³	ku²²	tsu³⁵³
珠		tʃy³³	tsi³³	ku³³	ku²²	tsu³⁵³
樞		ʃy³³	si³³	─	─	─
輸		ʃy³³	si³³	ʃɿ³³	ʃɿ²²	su³⁵³
殊		ʃy¹³	si²¹	ʃɿ³³	ʃɿ²²	suʔ⁵⁴
儒		y¹³	lu²¹	lu²¹	lu²¹	lu¹¹³
拘		ki³³	ki³³	─	─	kiəu³⁵³
駒		ki³³	─	─	─	─
俱		kʰi⁴³	kʰi³³	─	─	kʰiəu⁴⁵
區		kʰi³³	kʰi³³	kʰu³³	kʰu²²	kʰiəu³⁵³
驅		─	kʰi³³	─	─	kʰiəu³⁵³
瞿		─	─	tʃʰɿ²¹	tʃʰɿ²¹	─
愚		─	i²¹	ʒɿ²¹	ʒɿ²¹	iəu¹¹³
虞		─	ge²¹	─	─	iəu¹¹³
娛		─	i²¹	─	ʒɿ²¹	iəu¹¹³
于		─	i²¹	─	─	iəu¹¹³
榆		y¹³	i⁵⁵	ʒɿ²¹	ʒɿ²¹	iəu¹¹³
愉		─	i²¹	─	─	iəu¹¹³
府		fu³¹	fu³¹	fu²⁴	fu²⁴	fu³¹³
腑		fu³¹	fu³¹	fu²⁴	fu²⁴	fu³¹³
甫		pʰu³¹	pʰu³¹	─	─	pʰu³¹³
脯		pʰu³¹	─	─	pʰu²⁴	pʰu³¹³
斧		pu³¹	─	pu²⁴	pu²⁴	pu³¹³
撫		─	─	─	─	fu³¹³
殕		pʰu³¹；pʰi³¹	pʰu³¹	pʰu²⁴	pʰu²⁴	pʰiəu³¹³
父		fu⁴³	fu⁵⁵	─	fu⁴⁴	fu⁴⁵
腐		fu⁴³	fu⁵⁵	pu⁵⁵	pu⁴⁴	fu⁴⁵
輔		fu³¹	fu³¹	fu²⁴	fu²⁴	fu³¹³
武		vu³¹	u³¹	vu²⁴	vu²⁴	vu³¹³
舞		vu³¹	u³¹	vu²⁴	vu²⁴	vu³¹³
侮		vu³¹	─	─	─	vu³⁵³
鵡		─	u³¹	─	─	vu³¹³
取		tsʰi³¹	─	tʃʰɿ²⁴	tʃʰɿ²⁴	─
