汉字	注释	豫灵	灵宝	三门峡	渑池	洛阳	新安	巩义	荥阳	郑州	中牟	开封	兰考	济源	孟州	温县	武陟	原阳	封丘	长垣	濮阳	范县	台前
图		tʰu²⁴	tʰu¹¹⁴	tʰu⁴¹²	tʰu⁵³	tʰu⁵³	tʰu⁵³	tʰu⁵³	tʰu⁵³	tʰu⁵³	tʰu⁵³⁴	tʰu⁵³	tʰu⁵³⁴	tʰu³¹²	tʰu⁵²	tʰu³¹²	tʰu³¹²	tʰu⁵²	tʰu⁵²	tʰu⁵²	tʰu⁵³⁴	tʰu⁵²	tʰu⁵³
杜		tʰu⁴⁴	tʰu²⁴	tʰu²¹³	tu³¹	tu³¹	tu⁵¹	tu³¹	tu³¹	tu³¹	tu³¹²	tu³¹²	tu³¹²	tu²⁴	tu³¹¹	tu²¹³	tu¹³	tu³¹	tu³¹²	tu²¹²	tu³¹²	tu³¹²	tu³¹²
奴		nou²⁴	nou¹¹⁴	nou⁴¹²	nu⁵³	nu⁵³	nu⁵³	nu⁵³	nu⁵³	nu⁵³	nu⁵³⁴	nu⁵³	nu⁵³⁴	nuŋ³¹²	nu⁵²	nuŋ³¹²	noŋ³¹²	nu³³	nu⁴⁴	nu⁴⁴	nu⁵³⁴	nuŋ⁵²	nu⁵³
路		lou²⁴	lou¹¹⁴	lou²¹³	lou⁵³	lu³¹	lu⁵¹	lu³¹	lu³¹	lu³¹	lu³¹	lu³¹²	lu³¹²	lu²⁴	lu³¹¹	lu²¹³	lu¹³	lu³¹	lu³¹²	lu²¹²	lu²⁴	lu³¹²	lu²⁴
租		ʦou³¹	ʦou⁴⁴	ʦu⁴⁴	ʦou⁴⁴	ʦu⁵³	ʦu²⁴	ʦu⁵³	ʦu⁴⁴	ʦu⁴⁴	ʦu⁴⁴	ʦu⁴⁴	ʦu²⁴	tʂu⁴⁴	ʦu²⁴	ʦu⁴⁴	ʦu⁵³	ʦu²⁴	ʦu³⁴	ʦu²⁴	tʂu²⁴	ʦu²⁴	ʦu²⁴
做		ʦou⁴⁴	ʦou²⁴/ʦuɤ²⁴	ʦou²¹³/ʦuə⁵³	ʦou³¹/ʦuo³¹	ʦou³¹/ʦuə³¹	ʦuə³¹	ʦou³¹/ʦuo³¹	ʦu³¹/ʦuɤ³¹	ʦu³¹/ʦuə³¹	ʦu³¹²/ʦuə³¹²	ʦu³¹²/ʦuo³¹²	ʦu³¹²/ʦuo³¹²	tʂuɐʔ²³/tʂou²⁴	ʦuo³¹¹	ʦuɐʔ³/ʦou²¹³	tsu¹³	ʦu³¹	ʦuɔ³¹²	ʦuə²¹²	tʂu²⁴/ʦuə²⁴	ʦəu³¹²/ʦuə²⁴	ʦu²⁴/ʦuə²⁴
错		ʦʰuɤ⁴⁴	ʦʰuɤ²⁴	ʦʰuə⁵³	ʦʰuo³¹	ʦʰuə³¹	ʦʰuə⁵¹	ʦʰuo³¹	ʦʰuɤ³¹	ʦʰuə³¹	ʦʰuə³¹²	ʦʰuo³¹²	ʦʰuo³¹²	tʂʰuɤ²⁴	tsʰuo³¹¹	tsʰuɤ²¹³	ʦʰuo¹³	ʦʰuə³¹	ʦʰuɔ³¹²	ʦʰuə²¹²	tʂʰuə²⁴	ʦʰuə³¹²	ʦʰuə²⁴
箍		ku³¹	ku⁵³	ku⁵³	ku⁴⁴	ku³⁴	ku²⁴	ku³⁵	ku²⁴	ku²⁴	ku²⁴	ku²⁴	ku²⁴	ku⁴⁴	ku²⁴	ku⁴⁴	ku⁴⁴	ku²⁴	ku³⁴	ku²⁴	ku²⁴	ku²⁴	ku⁵³
古		ku⁵²	ku⁴⁴	ku⁴⁴	ku⁴⁴	ku⁴⁴	ku⁴⁴	ku⁴⁴	ku⁴⁴	ku⁴⁴	ku⁴⁴	ku⁴⁴	ku⁴⁴	ku⁵²	ku⁴⁴	ku⁵³	ku⁵³	ku³³	ku⁴⁴	ku⁴⁴	ku⁵⁵	ku⁵⁵	ku⁴⁴
苦		kʰu⁵²	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁵²	kʰu⁴⁴	kʰu⁵³	kʰu⁵³	kʰu³³	kʰu⁴⁴	kʰu⁴⁴	kʰu⁵⁵	kʰu⁵⁵	kʰu⁴⁴
裤		kʰu⁴⁴	kʰu²⁴	kʰu²¹³	kʰu³¹	kʰu³¹	kʰu⁵¹	kʰu³¹	kʰu³¹	kʰu³¹	kʰu³¹²	kʰu³¹²	kʰu³¹²	kʰu²⁴	kʰu³¹¹	kʰu²¹³	kʰu¹³	kʰu³¹	kʰu³¹²	kʰu²¹²	kʰu³¹²	kʰu³¹²	kʰu³¹²
吴		u²⁴	u¹¹⁴	u⁴¹²	u⁵³	u⁵³	u⁵³	u⁵³	u⁵³	u⁵³	u⁵³⁴	u⁵³	u⁵³⁴	u³¹²	u⁵²	u³¹²	u³¹²	u⁵²	u⁵²	u⁵²	u⁵³⁴	u⁵²	u⁵³
五		u⁵²	u⁴⁴	u⁴⁴	u⁴⁴	u⁴⁴	u⁴⁴	u⁴⁴	u⁴⁴	u⁴⁴	u⁴⁴	u⁴⁴	u⁴⁴	u⁵²	u⁴⁴	u⁵³	u⁵³	u³³	u⁴⁴	u⁴⁴	u⁵⁵	u⁵⁵	u⁴⁴
虎		xu⁵²	xu⁴⁴	xũ⁴⁴	xu⁴⁴	xu⁴⁴	xu⁴⁴	xu⁴⁴	xu⁴⁴	xu⁴⁴	xu⁴⁴	xu⁴⁴	xu⁴⁴	xu⁵²	xu⁴⁴	xu⁵³	xu⁵³	xu³³	xu⁴⁴	xu⁴⁴	xu⁵⁵	xu⁵⁵	xu⁴⁴
壶		xu²⁴	xu¹¹⁴	xũ⁴¹²	xu⁵³	xu⁵³	xu⁵³	xu⁵³	xu⁵³	xu⁵³	xu⁵³⁴	xu⁵³	xu⁵³⁴	xu³¹²	xu⁵²	xu³¹²	xu³¹²	xu⁵²	xu⁵²	xu⁵²	xu⁵³⁴	xu⁵²	xu⁵³
户		xu⁴⁴	xu²⁴	xũ²¹³	xu³¹	xu³¹	xu⁵¹	xu³¹	xu³¹	xu³¹	xu³¹²	xu³¹²	xu³¹²	xu²⁴	xu³¹¹	xu²¹³	xu¹³	xu³¹	xu³¹²	xu²¹²	xu²⁴	xu³¹²	xu³¹²
乌		u³¹	u¹¹⁴	u⁵³	u⁴⁴	u³⁴	u²⁴	u³⁵	u²⁴	u²⁴	u²⁴	u²⁴	u²⁴	u⁴⁴	u²⁴	u⁴⁴	u⁴⁴	u²⁴	u³⁴	u²⁴	u²⁴	u²⁴	u²⁴
女		ȵy⁵²	ȵy⁴⁴	ȵy⁴⁴	ȵy⁴⁴	ȵy⁴⁴	ȵy⁴⁴	ȵy⁴⁴	ȵy⁴⁴	ȵy⁴⁴	ȵy⁴⁴	ȵy⁴⁴	ȵy⁴⁴	ȵy⁵²	ȵy⁴⁴	ȵy⁵³	ȵy⁵³	ȵy³³	ȵy⁴⁴	ȵy⁴⁴	ȵy⁵⁵	ȵy⁵⁵	ȵy⁴⁴
吕		ly⁵²	ly⁴⁴	ly⁴⁴	ly⁴⁴	ly⁵³	ly⁴⁴	ly⁵³	ly⁴⁴	ly⁴⁴	ly⁴⁴	ly⁴⁴	ly⁴⁴	ly⁵²	ly⁴⁴	ly⁵³	ly⁵³	ly³³	ly⁴⁴	ly⁴⁴	ly⁵⁵	ly⁵⁵	ly⁴⁴
徐		ɕy²⁴	ɕy¹¹⁴	ɕy⁴¹²	ɕy⁵³	sy⁵³	sy⁵³	sy⁵³	sy²⁴	sy²⁴	sy²⁴	ɕy⁵³	ɕy⁵³⁴	ɕy³¹²	ɕy⁵²	ɕy³¹²	ɕy³¹²	sy⁵²	sy⁵²	sy⁵²	sy⁵³⁴	sy⁵²	ɕy⁵³
猪		pfu³¹	tʂʯ⁵³	tʂʯ⁵³	tʂʯ⁴⁴	tʂʯ³⁴	tʂʯ²⁴	tʂʯ³⁵	tʂu²⁴	tʂu²⁴	tʂu²⁴	tʂu²⁴	tsʮ²⁴/ʦu²⁴	tʂʯ⁴⁴	tʂʯ²⁴	tʂu⁴⁴	tʂu⁴⁴	tʂʯ²⁴	tʂu³⁴	tʂʯ²⁴	ʧy²⁴/tʂu²⁴	tʂu²⁴	tʂu²⁴/lau⁴⁴
除		pfʰu²⁴	tʂʰʯ¹¹⁴	tʂʰʯ⁴¹²	tʂʰʯ⁵³	tʂʰʯ⁵³	tʂʰʯ⁵³	tʂʰʯ⁵³	tʂʰu⁵³	tʂʰu⁵³	tʂʰu⁵³⁴	tʂʰu⁵³	ʦʰʮ⁵³⁴	tʂʰʯ³¹²	tʂʰʯ⁵²	tʂʰu³¹²	tʂʰu³¹²	tʂʰʯ⁵²	tʂʰu⁵²	tʂʰʯ⁵²	ʧʰy⁵³⁴/tʂʰu⁵³⁴	tʂʰu⁵²	tʂʰu⁵³
初		ʦʰou³¹	ʦʰou⁵³	tʂʰʯ⁵³	ʦʰʯ⁴⁴	tʂʰʯ³⁴	tʂʰʯ²⁴	tʂʰʯ³⁵	tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴	tʂʰuo²⁴/tʂʰu²⁴	ʦʰuo²⁴	tʂʰu⁴⁴	tʂʰʯ²⁴	tʂʰu⁴⁴	tʂʰu⁵³	tʂʰu²⁴	tʂʰu³⁴	tʂʰu²⁴	ʧʰy²⁴/tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴
锄		ʦʰou²⁴	ʦʰou¹¹⁴	tʂʰʯ⁴¹²	ʦʰʯ⁵³	tʂʰʯ⁵³	tʂʰʯ⁵³	tʂʰʯ⁵³	tʂʰu⁵³	tʂʰu⁵³	tʂʰu⁵³⁴	tʂʰuo⁵³/tʂʰu⁵³	ʦʰuo⁵³⁴	tʂʰu³¹²	tʂʰʯ⁵²	tʂʰu³¹²	tʂʰu³¹²	tʂʰu⁵²	tʂʰu⁵²	tʂʰu⁵²	tʂʰu⁵³⁴	tʂʰu⁵²	tʂʰu⁵³
所		fɤ⁵²	suɤ⁴⁴	ʂuə⁴⁴	suo⁴⁴	ʂuə⁴⁴	ʂuə⁴⁴	ʂuo⁴⁴	suɤ⁴⁴	suə⁴⁴	suə⁴⁴	ʂuo⁴⁴	suo⁴⁴	ʂuɤ⁵³	suo³¹¹	ʂuɤ²¹³	suo⁵³	suə³³	ʂuɔ³⁴	ʂuə²⁴	ʂuə⁵⁵	ʂuə⁵⁵	ɕyə⁴⁴
书		fu³¹	ʂʯ⁵³	ʂʯ⁵³	ʂʯ⁴⁴	ʂʯ³⁴	ʂʯ²⁴	ʂʯ³⁵	ʂu²⁴	ʂu²⁴	ʂu²⁴	ʂu²⁴	sʮ²⁴	ʂʯ⁴⁴	ʂʯ²⁴	fu⁴⁴/ʂu⁴⁴	ʂu⁴⁴	ʂʯ²⁴	ʂu³⁴	ʂʯ²⁴	ʃy²⁴/ʂu²⁴	fu²⁴	ʂu²⁴
鼠		fu⁵²	ʂʯ⁴⁴	ʂʯ⁴⁴	ʂʯ⁴⁴	ʂʯ⁴⁴	ʂʯ⁴⁴	ʂʯ⁴⁴	ʂu⁴⁴	ʂu⁴⁴	ʂu⁴⁴	ʂu⁴⁴	sʮ⁴⁴	ʂʯ⁵²	ʂʯ⁴⁴	tʂʰuəʔ³/ʂu⁵³	tʂʰuəʔ⁴/ʂʯ⁵³	ʂʯ³³	ʂu⁴⁴	ʂʯ⁴⁴	ʃy⁵⁵/ʂu⁵⁵	fu⁵⁵	ʂu⁴⁴
如		vu²⁴	ʐʯ¹¹⁴	ʐʯ⁴¹²	ʐʯ⁵³	ʐu³⁴	ʐʯ²⁴	ʐʯ³⁵	ʐu⁵³	ʐu⁵³	ʐu⁴⁴	ʐu⁵³	zʮ⁵³	ʐu³¹²	ʐʯ⁵²	veʔ³/ʐu³¹²	ʐu¹³	ʐʯ⁵²/ʐu⁵²	ʐu⁵²	ʐʯ⁵²/ʐu⁵²	ʒy⁵³⁴/ʐu⁵³⁴	ʐu⁵²	lu⁵³/ʐu⁵³
举		ʨy⁵²	ʨy⁴⁴	ʨʉᵊ²²	ʨy⁴⁴	ʨy⁴⁴	ʨy⁴⁴	ʨy⁴⁴	ʨy⁴⁴	ʨy⁴⁴	ʨy⁴⁴	ʨy⁴⁴	ʨy⁴⁴	ʨy⁵²	ʨy⁴⁴	ʨy⁵³	ʨy⁵³	ʨy³³	ʨy⁴⁴	ʨy⁴⁴	ʨy⁵⁵	ʨy⁵⁵	ʨy⁴⁴
锯		ʨy⁴⁴	ʨy²⁴	ʨʉᵊ²¹³	ʨy³¹	ʨy³¹	ʨy⁵¹	ʨy³¹	ʨy³¹	ʨy³¹	ʨy³¹²	ʨy³¹²	ʨy³¹²	ʨy²⁴	ʨy³¹¹	ʨy²¹³	ʨy¹³	ʨy³¹	ʨy³¹²	ʨy²¹²	ʨy³¹²	ʨy³¹²	ʨy³¹²
去		ʨʰi²⁴	ʨʰy²⁴/ʨʰy²⁴	ʨʰi²¹³/ʨʰy²¹³	ʨʰy³¹	ʨʰy³¹	ʨʰy⁵¹	ʨʰy³¹	ʨʰy³¹	ʨʰy³¹	ʨʰy³¹²	ʨʰy³¹²	ʨʰy³¹²	ʨʰy²⁴	ʨʰy³¹¹	ʨʰy²¹³	ʨʰy¹³	ʨʰy³¹	ʨʰy³¹²	ʨʰy²¹²	ʨʰy³¹²	ʨʰy³¹²	ʨʰy³¹²
渠		ʨʰy²⁴	ʨʰy¹¹⁴	ʨʰy⁴¹²	ʨʰy⁵³	ʨʰy⁵³	ʨʰy⁵³	ʨʰy⁵³	ʨʰy⁵³	ʨʰy⁵³	ʨʰy⁵³⁴	ʨʰy⁵³	ʨʰy⁵³⁴	ʨʰy³¹²	ʨʰy⁵²	ʨʰy³¹²	ʨʰy³¹²	ʨʰy⁵²	ʦʰy⁵²	ʨʰy⁵²	ʨʰy⁵³⁴	ʨʰy⁵²	ʨʰy⁵³
鱼		y²⁴	y¹¹⁴	y⁴¹²	y⁵³	y⁵³	y⁵³	y⁵³	y⁵³	y⁵³	y⁵³⁴	y⁵³	y⁵³⁴	y³¹²	y⁵²	y³¹²	y³¹²	y⁵²	y⁵²	y⁵²	y⁵³⁴	y⁵²	y⁵³
许		ɕy⁵²	ɕy⁴⁴	ɕʉ⁴⁴	ɕy⁴⁴	ɕy⁵³	ɕy⁵³	ɕy⁵³	ɕy⁴⁴	ɕy⁴⁴	ɕy⁴⁴	ɕy⁵³/ɕy⁴⁴	ɕy⁴⁴	ɕy³¹²/ɕy⁵²	ʨʰy⁴⁴	ʨʰy⁵³	ɕy⁵³	ɕy³³	ɕy⁴⁴	ɕy⁴⁴	ɕy⁵⁵	ɕy⁵⁵	ɕy⁴⁴
余		y²⁴	y¹¹⁴	y⁴¹²	y⁵³	y⁵³	y⁵³	y⁵³	y⁵³	y⁵³	y⁵³⁴	y⁵³	y⁵³⁴	y³¹²	y⁵²	y³¹²	y⁴⁴	y⁵²	y⁵²	y⁵²	y⁵³⁴	y⁵²	y⁵³
府		fu⁵²	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁵²	fu⁴⁴	fu⁵³	fu⁵³	fu³³	fu⁴⁴	fu⁴⁴	fu⁵⁵	fu⁵⁵	fu⁴⁴
付		fu⁴⁴	fu¹¹⁴	fu⁴⁴	fu⁵³	fu³¹	fu⁵¹	fu³¹	fu³¹	fu³¹	fu³¹²	fu³¹²/fu⁵³	fu³¹²	fu²⁴	fu³¹¹	fu²¹³	fu¹³	fu³¹	fu³¹²	fu²¹²	fu³¹²	fu³¹²	fu³¹²
竖		fu²⁴	ʂʯ²⁴	ʂʯ²¹³	ʂʯ³¹	ʂʯ³¹	ʂʯ⁵¹	ʂʯ³¹	ʂu³¹	ʂuə²⁴/ʂu³¹	ʂuə²⁴/ʂu³¹	ʂu³¹²	sʮ³¹²	ʂu²⁴/ʂʯ²⁴	ʂu³¹¹	fu²¹³/ʂu²¹³	ʂu¹³	ʂʯ³¹	ʂu³¹²	ʂʯ²¹²	ʃy³¹²/ʂu³¹²	ʂu³¹²	ʂu²⁴
树		fu²⁴	ʂʯ²⁴	ʂʯ²¹³	ʂʯ³¹	ʂʯ³¹	ʂʯ⁵¹	ʂʯ³¹	ʂu³¹	ʂu³¹	ʂu³¹²	ʂu³¹²	sʮ³¹²	ʂʯ²⁴	ʂʯ³¹¹	ʂu²¹³/fu²¹³	ʂu¹³	ʂʯ³¹	ʂu³¹²	ʂʯ²¹²	ʃy³¹²/ʂu³¹²	ʂu³¹²	fu³¹²
句		ʨy⁴⁴	ʨy²⁴	ʨʉᵊ⁴⁴	ʨy³¹	ʨy³¹	ʨy⁵¹	ʨy³¹	ʨy³¹	ʨy³¹	ʨy³¹²	ʨy³¹²	ʨy³¹²	ʨy²⁴	ʨy³¹¹	ʨy²¹³	ʨy¹³	ʨy³¹	ʨy³¹²	ʨy²¹²	ʨy²⁴	ʨy³¹²	ʨy³¹²
区		ʨʰy³¹	ʨʰy⁵³	ʨʰy⁵³	ʨʰy⁴⁴	ʨʰy³⁴	ʨʰy²⁴	ʨʰy³⁵	ʨʰy²⁴	ʨʰy²⁴	ʨʰy²⁴	ʨʰy²⁴	ʨʰy²⁴	ʨʰy⁴⁴	ʨʰy²⁴	ʨʰy⁴⁴	ʨʰy⁴⁴	ʨʰy²⁴	ʨʰy³⁴	ʨʰy²⁴	ʨʰy⁵⁵	ʨʰy²⁴	ʨʰy⁴⁴
遇		y⁴⁴	y²⁴	y²¹³	y³¹	y³¹	y⁵¹	y³¹	y³¹	y³¹	y³¹	y³¹²	y³¹²	y²⁴	y³¹¹	y²¹³	y¹³	y³¹	y³¹²	y²¹²	y²⁴	y³¹²	y³¹²
雨		y⁵²	y⁴⁴	y⁴⁴	y⁴⁴	y⁴⁴	y⁴⁴	y⁴⁴	y⁴⁴	y⁴⁴	y⁴⁴	y⁴⁴	y⁴⁴	y⁵²	y⁴⁴	y⁵³	y⁵³	y³³	y⁴⁴	y⁴⁴	y⁵⁵	y⁵⁵	y⁴⁴
芋		y⁴⁴	y²⁴	y²¹³	y³¹	y³¹	y⁵¹	y³¹	y³¹	y³¹	y³¹²	y³¹²	y³¹²	y²⁴	y⁵²	y³¹²	y¹³	y³¹	y³¹²	y²¹²	y⁵⁵	y³¹²	y³¹²
裕		y⁴⁴	y²⁴	y⁴¹²	y³¹	y³¹	y⁵¹	y³¹	y³¹	y³¹	y³¹²	y⁴⁴	y³¹²	y²⁴	y³¹¹	y²¹³	y¹³	y⁵²	y⁵²	y⁵²	y⁵⁵	y⁵²	y³¹²
胎		tʰai³¹	tʰɛ⁵³	tʰɛᵉ⁵³	tʰɛ⁴⁴	tʰai³⁴	tʰai²⁴	tʰɛ³⁵	tʰai²⁴	tʰai²⁴	tʰai²⁴	tʰai²⁴	tʰai²⁴	tʰɛⁱ⁴⁴	tʰɛ²⁴	tʰæ⁴⁴	tʰæ⁴⁴	tʰai²⁴	tʰai³⁴	tʰai²⁴	tʰai²⁴	tʰɛ²⁴	tʰɛⁱ²⁴
台		tʰai²⁴	tʰɛ¹¹⁴	tʰɛᵉ⁴¹²	tʰɛ⁵³	tʰai⁵³	tʰai⁵³	tʰɛⁱ⁵³	tʰai⁵³	tʰai⁵³	tʰai⁵³⁴	tʰai⁵³	tʰai⁵³⁴	tʰɛⁱ³¹²	tʰɛ⁵²	tʰæ³¹²	tʰæ³¹²	tʰai⁵²	tʰai⁵²	tʰai⁵²	tʰai⁵³⁴	tʰɛ⁵²	tʰɛⁱ⁵³
袋		tai⁴⁴	tɛ²⁴	tʰɛᵉ²¹³	tɛ³¹	tai³¹	tai⁵¹	tɛ³¹	tai³¹	tai³¹	tai³¹²	tai³¹²	tai³¹²	tɛⁱ²⁴	tɛ³¹¹	tæ²¹³	tæ¹³	tai³¹	tai³¹²	tai²¹²	tai³¹²	tɛ³¹²	tɛⁱ³¹²
来		lai²⁴	lɛ¹¹⁴	lɛᵉ⁴¹²/nɛᵉ⁴¹²	lɛ⁵³	lai⁵³	lai⁵³	lɛⁱ⁵³	lai⁵³	lai⁵³	lai⁵³⁴	lai⁵³	lai⁵³⁴	lɛⁱ³¹²	lɛ⁵²	læ³¹²	læ³¹²	lai⁵²	lai⁵²	lai⁵²	lai⁵³⁴	lɛ⁵²	lɛⁱ⁵³
菜		ʦʰai⁴⁴	ʦʰɛ²⁴	ʦʰɛᵉ²¹³	ʦʰɛ³¹	ʦʰai³¹	ʦʰai⁵¹	ʦʰɛ³¹	ʦʰai³¹	ʦʰai³¹	ʦʰai³¹²	ʦʰai³¹²	ʦʰai³¹²	ʦʰɛⁱ²⁴	ʦʰɛ³¹¹	ʦʰæ²¹³	ʦʰæ¹³	ʦʰai³¹	ʦʰai³¹²	ʦʰai²¹²	ʦʰai³¹²	ʦʰɛ³¹²	ʦʰɛⁱ³¹²
财		ʦʰai²⁴	ʦʰɛ¹¹⁴	ʦʰɛᵉ⁴¹²	ʦʰɛ⁵³	tsʰai⁵³	tsʰai⁵³	tsʰɛⁱ⁵³	ʦʰai⁵³	ʦʰai⁵³	ʦʰai⁵³⁴	ʦʰai⁵³	ʦʰai⁵³⁴	ʦʰɛⁱ³¹²	ʦʰɛ⁵²	ʦʰæ³¹²	ʦʰæ³¹²	ʦʰai⁵²	ʦʰai⁵²	ʦʰai⁵²	ʦʰai⁵³⁴	ʦʰɛ⁵²	ʦʰɛⁱ⁵³
该		kai³¹	kɛ⁵³	kɛᵉ⁵³	kɛ⁴⁴	kai³⁴	kai²⁴	kɛ³⁵	kai²⁴	kai²⁴	kai²⁴	kai²⁴	kai²⁴	kɛⁱ⁴⁴	kɛ²⁴	kæ⁴⁴	kæ⁴⁴	kai²⁴	kai³⁴	kai²⁴	kai²⁴	kɛ²⁴	kɛⁱ²⁴
改		kai⁵²	kɛ⁴⁴	kɛᵉ⁴⁴	kɛ⁴⁴	kai⁴⁴	kai⁴⁴	kɛⁱ⁴⁴	kai⁴⁴	kai⁴⁴	kai⁴⁴	kai⁴⁴	kai⁴⁴	kɛⁱ⁵²	kɛ⁴⁴	kæ⁵³	kæ⁵³	kai³³	kai⁴⁴	kai⁴⁴	kai⁵⁵	kɛ⁵⁵	kɛⁱ⁴⁴
开		kʰai³¹	kʰɛ⁵³	kʰɛᵉ⁵³	kʰɛ⁴⁴	kʰai³⁴	kʰai²⁴	kʰɛ³⁵	kʰai²⁴	kʰai²⁴	kʰai²⁴	kʰai²⁴	kʰai²⁴	kʰɛⁱ⁴⁴	kʰɛ²⁴	kʰæ⁴⁴	kʰæ⁴⁴	kʰai²⁴	kʰai³⁴	kʰai²⁴	kʰai²⁴	kʰɛ²⁴	kʰɛⁱ²⁴
海		xai⁵²	xɛ⁴⁴	xɛᵉ⁴⁴	xɛ⁴⁴	xai⁴⁴	xai⁴⁴	xɛⁱ⁴⁴	xai⁴⁴	xai⁴⁴	xai⁴⁴	xai⁴⁴	xai⁴⁴	xɛⁱ⁵²	xɛ⁴⁴	xæ⁵³	xæ⁵³	xai³³	xai⁴⁴	xai⁴⁴	xai⁵⁵	xɛ⁵⁵	xɛⁱ⁴⁴
爱		ŋai⁴⁴	ŋɛ²⁴	ŋɛᵉ²¹³	ŋɛ³¹	ɣai³¹	ɣai⁵¹	ɣɛ³¹	ɣai³¹	ɣai³¹	ai³¹²	ɣai³¹²	ɣai³¹²	ɣɛⁱ²⁴	ɣɛ³¹¹	ɣæ²¹³	ɣæ¹³	ɣai³¹	ɣai³¹²	ɣai²¹²	ɣai³¹²	ɣɛ³¹²	ɣɛⁱ³¹²
贝		pei⁴⁴	pei²⁴	peɪ²¹³	pei³¹	pei³¹	pei⁵¹	pei⁴⁴	pei³¹	pei³¹	pei³¹²	pei³¹²	pei³¹²	pei²⁴	pei³¹¹	pei²¹³	pei¹³	pei³¹	pei³¹²	pei²¹²	pei²⁴	pei³¹²	pei³¹²
带		tai⁴⁴	tɛ²⁴	tɛᵉ²¹³	tɛ³¹	tai³¹	tai⁵¹	tɛ³¹	tai³¹	tai³¹	tai³¹²	tai³¹²	tai³¹²	tɛⁱ²⁴	tɛ³¹¹	tæ²¹³	tæ¹³	tai³¹	tai³¹²	tai²¹²	tai³¹²	tɛ³¹²	tɛⁱ³¹²
盖		kai⁴⁴	kɛ²⁴	kɛᵉ²¹³	kɛ³¹	kai³¹	kai⁵¹	kɛ³¹	kai³¹	kai³¹	kai³¹²	kai³¹²	kai³¹²	kɛⁱ²⁴	kɛ³¹¹	kæ²¹³	kæ¹³	kai³¹	kai³¹²	kai²¹²	kai³¹²	kɛ³¹²	kɛⁱ³¹²
害		xai⁴⁴	xɛ²⁴	xɛᵉ²¹³	xɛ³¹	xai³¹	xai⁵¹	xɛ³¹	xai³¹	xai³¹	xai³¹²	xai³¹²	xai³¹²	xɛⁱ²⁴	xɛ³¹¹	xæ²¹³	xæ¹³	xai³¹	xai³¹²	xai²¹²	xai³¹²	xɛ³¹²	xɛⁱ³¹²
拜		pai⁴⁴	pɛ²⁴	pɛᵉ²¹³	pɛ³¹	pai³¹	pai⁵¹	pɛ³¹	pai³¹	pai³¹	pai³¹²	pai³¹²	pai³¹²	pɛⁱ²⁴	pɛ³¹¹	pæ²¹³	pæ¹³	pai³¹	pai³¹²	pai²¹²	pai³¹²	pɛ³¹²	pɛⁱ²⁴
排		pʰai²⁴	pʰɛ¹¹⁴	pʰɛᵉ⁴¹²	pʰɛ⁵³	pʰai⁵³	pʰai⁵³	pʰɛⁱ⁵³	pʰai⁵³	pʰai⁵³	pʰai⁵³⁴	pʰai⁵³	pʰai⁵³⁴	pʰɛⁱ³¹²	pʰɛ⁵²	pʰæ³¹²	pʰæ³¹²	pʰai⁵²	pʰai⁵²	pʰai⁵²	pʰai⁵³⁴	pʰɛ⁵²	pʰɛⁱ⁵³
埋		mai²⁴	mɛ¹¹⁴	mɛᵉ⁴¹²	mɛ⁵³	mai⁵³	mai⁵³	mɛⁱ⁵³	mai⁵³	mai⁵³	mai⁵³⁴	mai⁵³	mai⁵³⁴	mɛⁱ³¹²	mɛ⁵²	mæ³¹²	mæ³¹²	mai⁵²	mai⁵²	mai⁵²	mɛ⁵³⁴	mɛ⁵²	mɛⁱ⁵³
戒		tɕiai⁴⁴	tɕiɛ²⁴	ʨiɛ²¹³	ʨiɛ³¹	ʨiɛ³¹	ʨiɛ⁵¹	ʨiɛ³¹	ʨiɛ³¹	ʨiᴇ³¹	ʨiᴇ³¹²	ʨiɛ³¹²	ʨiai³¹²	ʨiɛ²⁴	ʨiɛ³¹¹	ʨiɛ²¹³	ʨiɛ¹³	ʨiɛ³¹	ʨiɛ³¹²	ʨiɛ²¹²	ʨiai³¹²	ʨiɛ³¹²	ʨiɛ³¹²
摆		pai⁵²	pɛ⁴⁴	pɛᵉ⁴⁴	pɛ⁴⁴	pai⁴⁴	pai⁴⁴	pɛⁱ⁴⁴	pai⁴⁴	pai⁴⁴	pai⁴⁴	pai⁴⁴	pai⁴⁴	pɛⁱ⁵²	pɛ⁴⁴	pæ⁵³	pæ⁵³	pai³³	pai⁴⁴	pai⁴⁴	pai⁵⁵	pɛ⁵⁵	pɛⁱ⁴⁴
