字	罗马字	拟音	注
升	sein[1]	sen[1]	
陞	sein[1]	sen[1]	
锌	sein[1]	sen[1]	
神	sein[2]	sen[2]	
辰	sein[2]	sen[2]	
臣	sein[2]	sen[2]	
乘	sein[2]	sen[2]	~势
绳	sein[2]	sen[2]	
承	sein[2]	sen[2]	甘心～愿
蝇	sein[2]	sen[2]	
信	sein[5]	sen[5]	1信件
讯	sein[5]	sen[5]	
迅	sein[5]	sen[5]	
裥	kein[3]	ken[3]	
拣	kein[3]	ken[3]	挑选
笕	kein[3]	ken[3]	
轻	k'ein[1]	kʰen[1]	
□	k'ein[2]	kʰen[2]	~茶：倒茶
犬	k'ein[3]	kʰen[3]	狗
□	hein[2]	hen[2]	~船：晕船
烟	∅ein[1]	ʔen[1]	于真切冒烟
胭	∅ein[1]	ʔen[1]	
印	∅ein[5]	ʔen[5]	
人	yein[2]	jen[2]	
仁	yein[2]	jen[2]	2慈~
笔	peit[7]	pet[7]	
必	peit[7]	pet[7]	
毕	peit[7]	pet[7]	
逼	peit[7]	pet[7]	
□	peit[7]	pet[7]	□□pi2pɔ2~:蝙蝠
域	peit[8]	pet[8]	区~
阈	peit[8]	pet[8]	
役	peit[8]	pet[8]	劳~
□	peit[8]	pet[8]	开裂。阳入
必	peit[8]	pet[8]	校补，便于匹配：开裂。阳入
蜜	meit[8]	met[8]	
适	teit[7]	tet[7]	2～用
□	teit[7]	tet[7]	～农惜：可爱
直	teit[8]	tet[8]	
值	teit[8]	tet[8]	
植	teit[8]	tet[8]	
笛	teit[8]	tet[8]	
敌	teit[8]	tet[8]	
日	neit[8]	net[8]	
力	leit[8]	let[8]	
七	ch'eit[7]	tʃʰet[7]	
叱	ch'eit[7]	tʃʰet[7]	
拭	ch'eit[7]	tʃʰet[7]	擦
穑	seit[7]	set[7]	体力劳动
式	seit[7]	set[7]	样～
□	seit[7]	set[7]	□suŋ5~：怎么
实	seit[8]	set[8]	
橘	keit[7]	ket[7]	橘子
邑	∅eit[7]	ʔet[7]	
揖	∅eit[7]	ʔet[7]	
一	∅eit[7]	ʔet[7]	
□	poun[2]	pon[2]	吹火
粪	poun[5]	pon[5]	
喷	p'oun[5]	pʰon[5]	～气
闷	moun[6]	mon[6]	
问	moun[6]	mon[6]	2学～
盾	toun[3]	ton[3]	
顿	toun[5]	ton[5]	
吨	toun[5]	ton[5]	
椿	t'oun[1]	tʰon[1]	香~
暖	noun[3]	non[3]	1
韧	noun[6]	non[6]	
闰	noun[6]	non[6]	
轮	loun[2]	lon[2]	
伦	loun[2]	lon[2]	
俊	choun[5]	tʃon[5]	
春	ch'oun[1]	tʃʰon[1]	
□	ch'oun[3]	tʃʰon[3]	发～：发芽
旋	soun[2]	son[2]	~转
船	soun[2]	son[2]	
巡	soun[2]	son[2]	
驯	soun[2]	son[2]	
唇	soun[2]	son[2]	
纯	soun[2]	son[2]	
选	soun[3]	son[3]	
损	soun[3]	son[3]	
顺	soun[6]	son[6]	
军	koun[1]	kon[1]	
君	koun[1]	kon[1]	
群	koun[2]	kon[2]	
裙	koun[2]	kon[2]	
棍	koun[5]	kon[5]	
郡	koun[6]	kon[6]	
款	k'oun[3]	kʰon[3]	
恳	k'oun[3]	kʰon[3]	
分	houn[1]	hon[1]	2～开，～明
纷	houn[1]	hon[1]	
魂	houn[2]	hon[2]	
焚	houn[2]	hon[2]	
坟	houn[2]	hon[2]	
芸	houn[2]	hon[2]	
云	houn[2]	hon[2]	
训	houn[5]	hon[5]	
分	houn[6]	hon[6]	过～
份	houn[6]	hon[6]	
温	∅oun[1]	ʔon[1]	
润	youn[6]	jon[6]	～色
文	boun[2]	won[2]	
纹	boun[2]	won[2]	
蚊	boun[2]	won[2]	2
韵	boun[6]	won[6]	
运	boun[6]	won[6]	
晕	boun[6]	won[6]	
不	pout[7]	pot[7]	
没	mout[8]	mot[8]	埋～
□	t'out[7]	tʰot[7]	塞
律	lout[8]	lot[8]	1
率	lout[8]	lot[8]	速~
卒	chout[7]	tʃot[7]	士~
出	ch'out[7]	tʃʰot[7]	
屈	k'out[7]	kʰot[7]	~服
哭	k'out[7]	kʰot[7]	
佛	hout[8]	hot[8]	供～
郁	∅out[7]	ʔot[7]	
握	∅out[7]	ʔot[7]	
屋	∅out[7]	ʔot[7]	
物	bout[8]	wot[8]	
根	kuen[1]	køn[1]	1树～
巾	kuen[1]	køn[1]	
筋	kuen[1]	køn[1]	
近	kuen[6]	køn[6]	
勤	k'uen[2]	kʰøn[2]	
芹	k'uen[2]	kʰøn[2]	
银	nguen[2]	ŋøn[2]	
憖	nguen[5]	ŋøn[5]	
勋	huen[1]	høn[1]	
狠	huen[3]	høn[3]	
很	huen[3]	høn[3]	
殷	∅uen[1]	ʔøn[1]	~勤
给	k'uet[7]	kʰøt[7]	1配~
乞	k'uet[7]	kʰøt[7]	给
禀	ping[3]	piŋ[3]	
品	p'ing[3]	pʰiŋ[3]	
展	ting[3]	tiŋ[3]	
典	ting[3]	tiŋ[3]	
碘	ting[3]	tiŋ[3]	
顶	ting[3]	tiŋ[3]	
逞	t'ing[3]	tʰiŋ[3]	
艇	t'ing[3]	tʰiŋ[3]	
□	ling[3]	liŋ[3]	~□ŋœ2:老鹰
省	sing[3]	siŋ[3]	2~略
省	sing[3]	siŋ[3]	～察
醒	sing[3]	siŋ[3]	2
谨	king[3]	kiŋ[3]	
景	king[3]	kiŋ[3]	
警	king[3]	kiŋ[3]	
境	king[3]	kiŋ[3]	
拱	king[3]	kiŋ[3]	～手
遣	k'ing[3]	kʰiŋ[3]	
肯	k'ing[3]	kʰiŋ[3]	
影	∅ing[3]	ʔiŋ[3]	2
永	bing[3]	wiŋ[3]	
纺	p'ung[3]	pʰuŋ[3]	~车
□	mung[3]	muŋ[3]	~拍～变□mai5：越打越变坏
罔	mung[3]	muŋ[3]	校补便于匹配：~拍～变□mai5：越打越变坏
懂	tung[3]	tuŋ[3]	
冢	tung[3]	tuŋ[3]	
拢	lung[3]	luŋ[3]	
总	chung[3]	tʃuŋ[3]	
种	chung[3]	tʃuŋ[3]	~子
肿	chung[3]	tʃuŋ[3]	
□	sung[5]	suŋ[5]	~□set7：怎么
光	kung[1]	kuŋ[1]	
狂	kung[2]	kuŋ[2]	
广	kung[3]	kuŋ[3]	
讲	kung[3]	kuŋ[3]	
矿	kung[3]	kuŋ[3]	1银～
圹	k'ung[3]	kʰuŋ[3]	
孔	k'ung[3]	kʰuŋ[3]	
恐	k'ung[3]	kʰuŋ[3]	
旷	k'ung[5]	kʰuŋ[5]	
荒	hung[1]	huŋ[1]	
慌	hung[1]	huŋ[1]	
谎	hung[1]	huŋ[1]	
方	hung[1]	huŋ[1]	
肪	hung[1]	huŋ[1]	
坊	hung[1]	huŋ[1]	
仿	hung[1]	huŋ[1]	
皇	hung[2]	huŋ[2]	
磺	hung[2]	huŋ[2]	
楻	hung[2]	huŋ[2]	粪~：粪桶
晃	hung[3]	huŋ[3]	
访	hung[3]	huŋ[3]	
汞	hung[3]	huŋ[3]	
楦	hung[5]	huŋ[5]	鞋~
放	hung[5]	huŋ[5]	2～肆
况	hung[5]	huŋ[5]	
勇	yung[3]	juŋ[3]	
黄	bung[2]	wuŋ[2]	
亡	bung[2]	wuŋ[2]	
王	bung[2]	wuŋ[2]	
□	bung[2]	wuŋ[2]	晕
往	bung[3]	wuŋ[3]	
忘	bung[6]	wuŋ[6]	
妄	bung[6]	wuŋ[6]	
望	bung[6]	wuŋ[6]	2希～
旺	bung[6]	wuŋ[6]	
郭	kuc[7]	kuk[7]	
国	kuc[7]	kuk[7]	
等	tüing[3]	tyiŋ[3]	2等待；平~
绷	pang[1]	paŋ[1]	
棚	pang[2]	paŋ[2]	
平	pang[2]	paŋ[2]	1形容词
坪	pang[2]	paŋ[2]	
柄	pang[5]	paŋ[5]	
病	pang[6]	paŋ[6]	
甏	p'ang[1]	pʰaŋ[1]	一种瓮
彭	p'ang[2]	pʰaŋ[2]	
评	p'ang[2]	pʰaŋ[2]	
□	p'ang[5]	pʰaŋ[5]	松
网	mang[1]	maŋ[1]	2蜘蛛～
芒	mang[2]	maŋ[2]	麦～
虻	mang[2]	maŋ[2]	
蜢	mang[2]	maŋ[2]	青~：蚱蜢
冥	mang[2]	maŋ[2]	夜晚
暝	mang[2]	maŋ[2]	校补便于匹配：夜晚
□	mang[5]	maŋ[5]	饭
□	tang[2]	taŋ[2]	光解～：耀眼；透过光看
撑	t'ang[1]	tʰaŋ[1]	1
撑	t'ang[5]	tʰaŋ[5]	2～杆
□	nang[1]	naŋ[1]	骹~：脚后跟
两	lang[6]	laŋ[6]	1数词
争	chang[1]	tʃaŋ[1]	1
井	chang[3]	tʃaŋ[3]	
青	ch'ang[1]	tʃʰaŋ[1]	生，不熟；~苔
生	ch'ang[1]	tʃʰaŋ[1]	校补便于匹配：生，不熟；~苔
醒	ch'ang[3]	tʃʰaŋ[3]	1
生	sang[1]	saŋ[1]	1
牲	sang[1]	saŋ[1]	1头~:家畜
甥	sang[1]	saŋ[1]	
晴	sang[2]	saŋ[2]	
省	sang[3]	saŋ[3]	1~钱
省	sang[3]	saŋ[3]	本~
姓	sang[5]	saŋ[5]	1
性	sang[5]	saŋ[5]	1~急
更	kang[1]	kaŋ[1]	1时间单位
羹	kang[1]	kaŋ[1]	
经	kang[1]	kaŋ[1]	1~布：织布
坑	k'ang[1]	kʰaŋ[1]	
桁	∅ang[2]	ʔaŋ[2]	1~鱼：一种檩子
□	mac[7]	mak[7]	喙~：脸颊凹下去
瘪	mac[7]	mak[7]	校补便于匹配：喙~：脸颊凹下去
饼	piang[3]	piaŋ[3]	
并	piang[5]	piaŋ[5]	
□	p'iang[6]	pʰiaŋ[6]	比喻
明	miang[2]	miaŋ[2]	1松～
名	miang[2]	miaŋ[2]	
命	miang[6]	miaŋ[6]	1
庭	tiang[2]	tiaŋ[2]	1院子
鼎	tiang[3]	tiaŋ[3]	锅
定	tiang[6]	tiaŋ[6]	1～意
厅	t'iang[1]	tʰiaŋ[1]	
听	t'iang[1]	tʰiaŋ[1]	
程	t'iang[2]	tʰiaŋ[2]	
□	t'iang[2]	tʰiaŋ[2]	tu6~：路程
□	t'iang[5]	tʰiaŋ[5]	痛
正	chiang[5]	tʃiaŋ[5]	1形容词；刚
成	ch'iang[2]	tʃʰiaŋ[2]	1做～；做完
请	ch'iang[3]	tʃʰiaŋ[3]	1～看
声	siang[1]	siaŋ[1]	
成	siang[2]	siaŋ[2]	2变～
城	siang[2]	siaŋ[2]	
圣	siang[5]	siaŋ[5]	1
惊	kiang[1]	kiaŋ[1]	怕
行	kiang[2]	kiaŋ[2]	1走
镜	kiang[5]	kiaŋ[5]	
迎	ngiang[2]	ŋiaŋ[2]	
兄	hiang[1]	hiaŋ[1]	1~弟
赢	yiang[2]	yiaŋ[2]	
营	yiang[2]	yiaŋ[2]	军队的编制单位
□	tiac[8]	tiak[8]	~蜀下：惊一下
领	leang[3]	leaŋ[3]	
岭	leang[3]	leaŋ[3]	
□	leang[5]	leaŋ[5]	发光
□	kuang[1]	kuaŋ[1]	桌椅的横条𤖖校补便于匹配：桌椅的横条
𤖖	kuang[1]	kuaŋ[1]	校补便于匹配：桌椅的横条
矿	kuang[3]	kuaŋ[3]	2采～
梗	kuang[3]	kuaŋ[3]	秤~
横	huang[2]	huaŋ[2]	
□	buang[3]	wuaŋ[3]	一种拟声词
法	huac[7]	huak[7]	
帮	pong[1]	pɔŋ[1]	
邦	pong[1]	pɔŋ[1]	
旁	pong[2]	pɔŋ[2]	
谤	pong[5]	pɔŋ[5]	诽～
蚌	pong[6]	pɔŋ[6]	
胖	p'ong[5]	pʰɔŋ[5]	
□	p'ong[5]	pʰɔŋ[5]	~起来：肿起来
碰	p'ong[6]	pʰɔŋ[6]	
忙	mong[2]	mɔŋ[2]	
茫	mong[2]	mɔŋ[2]	
望	mong[6]	mɔŋ[6]	1看
当	tong[1]	tɔŋ[1]	～面，~兵，该～
唐	tong[2]	tɔŋ[2]	
塘	tong[2]	tɔŋ[2]	
堂	tong[2]	tɔŋ[2]	
棠	tong[2]	tɔŋ[2]	
长	tong[2]	tɔŋ[2]	1形容词
肠	tong[2]	tɔŋ[2]	1
挡	tong[5]	tɔŋ[5]	阻~当妥～；典～
荡	tong[6]	tɔŋ[6]	
丈	tong[6]	tɔŋ[6]	1千～
撞	tong[6]	tɔŋ[6]	
汤	t'ong[1]	tʰɔŋ[1]	
糖	t'ong[2]	tʰɔŋ[2]	
囊	nong[2]	nɔŋ[2]	
瓤	nong[2]	nɔŋ[2]	
酿	nong[6]	nɔŋ[6]	
郎	long[2]	lɔŋ[2]	1新～
狼	long[2]	lɔŋ[2]	
廊	long[2]	lɔŋ[2]	
浪	long[2]	lɔŋ[2]	2~漫
晾	long[5]	lɔŋ[5]	
浪	long[6]	lɔŋ[6]	1防~堤
脏	chong[1]	tʃɔŋ[1]	
装	chong[1]	tʃɔŋ[1]	
妆	chong[1]	tʃɔŋ[1]	
藏	chong[2]	tʃɔŋ[2]	收～
葬	chong[5]	tʃɔŋ[5]	
壮	chong[5]	tʃɔŋ[5]	
藏	chong[6]	tʃɔŋ[6]	宝~
脏	chong[6]	tʃɔŋ[6]	
状	chong[6]	tʃɔŋ[6]	形~
仓	ch'ong[1]	tʃʰɔŋ[1]	
苍	ch'ong[1]	tʃʰɔŋ[1]	
疮	ch'ong[1]	tʃʰɔŋ[1]	
窗	ch'ong[1]	tʃʰɔŋ[1]	2天~
床	ch'ong[2]	tʃʰɔŋ[2]	
□	ch'ong[5]	tʃʰɔŋ[5]	～门：闩门
桑	song[1]	sɔŋ[1]	
丧	song[1]	sɔŋ[1]	~事
霜	song[1]	sɔŋ[1]	
丧	song[5]	sɔŋ[5]	～失
缸	kong[1]	kɔŋ[1]	
刚	kong[1]	kɔŋ[1]	
纲	kong[1]	kɔŋ[1]	
钢	kong[1]	kɔŋ[1]	
江	kong[1]	kɔŋ[1]	2
扛	kong[1]	kɔŋ[1]	
杠	kong[5]	kɔŋ[5]	
降	kong[5]	kɔŋ[5]	～能
康	k'ong[1]	kʰɔŋ[1]	
糠	k'ong[1]	kʰɔŋ[1]	
慷	k'ong[1]	kʰɔŋ[1]	
抗	k'ong[5]	kʰɔŋ[5]	
囥	k'ong[5]	kʰɔŋ[5]	藏放
□	ngong[6]	ŋɔŋ[6]	傻
行	hong[2]	hɔŋ[2]	1分~
航	hong[2]	hɔŋ[2]	
防	hong[2]	hɔŋ[2]	
降	hong[2]	hɔŋ[2]	投~
项	hong[6]	hɔŋ[6]	
秧	∅ong[1]	ʔɔŋ[1]	
行	∅ong[2]	ʔɔŋ[2]	2量词；茶～
眏	∅ong[5]	ʔɔŋ[5]	盼
笐	∅ong[6]	ʔɔŋ[6]	竹~：晒衣服用的竹竿
博	poc[7]	pɔk[7]	换
驳	poc[7]	pɔk[7]	
□	poc[7]	pɔk[7]	扔
薄	poc[8]	pɔk[8]	2轻~
泊	poc[8]	pɔk[8]	停～
爆	p'oc[7]	pʰɔk[7]	炸~
朴	p'oc[7]	pʰɔk[7]	~素
雹	p'oc[8]	pʰɔk[8]	雷~：冰雹
膜	moc[7]	mɔk[7]	
寞	moc[7]	mɔk[7]	
卓	toc[7]	tɔk[7]	2
斵	toc[7]	tɔk[7]	
落	loc[8]	lɔk[8]	3
络	loc[8]	lɔk[8]	2
乐	loc[8]	lɔk[8]	快~
作	choc[7]	tʃɔk[7]	
浊	choc[8]	tʃɔk[8]	2
□	choc[8]	tʃɔk[8]	□o1～：肮脏
撮	ch'oc[7]	tʃʰɔk[7]	2
戳	ch'oc[8]	tʃʰɔk[8]	~印
蟀	soc[7]	sɔk[7]	蟋～
各	koc[7]	kɔk[7]	2～式
阁	koc[7]	kɔk[7]	
搁	koc[7]	kɔk[7]	
觉	koc[7]	kɔk[7]	感~
确	k'oc[7]	kʰɔk[7]	
□	k'oc[7]	kʰɔk[7]	敲；～头：磕头
愕	ngoc[8]	ŋɔk[8]	
腭	ngoc[8]	ŋɔk[8]	
萼	ngoc[8]	ŋɔk[8]	
乐	ngoc[8]	ŋɔk[8]	音~
学	hoc[8]	hɔk[8]	2～生
貉	hoc[8]	hɔk[8]	
恶	∅oc[7]	ʔɔk[7]	粗~
张	tiong[1]	tiɔŋ[1]	1夸～
长	tiong[2]	tiɔŋ[2]	2延～
肠	tiong[2]	tiɔŋ[2]	2
场	tiong[2]	tiɔŋ[2]	
□	tiong[2]	tiɔŋ[2]	□put7～：知道
等	tiong[3]	tiɔŋ[3]	1
长	tiong[3]	tiɔŋ[3]	生～；市～
帐	tiong[5]	tiɔŋ[5]	
账	tiong[5]	tiɔŋ[5]	
胀	tiong[5]	tiɔŋ[5]	
丈	tiong[6]	tiɔŋ[6]	3姑~
长	tiong[6]	tiɔŋ[6]	直亮切剩
张	t'iong[1]	tʰiɔŋ[1]	2量词；伸~
畅	t'iong[5]	tʰiɔŋ[5]	
杖	t'iong[6]	tʰiɔŋ[6]	
仗	t'iong[6]	tʰiɔŋ[6]	
娘	niong[2]	niɔŋ[2]	1新~
让	niong[5]	niɔŋ[5]	
嚷	niong[6]	niɔŋ[6]	
将	chiong[1]	tʃiɔŋ[1]	~来
浆	chiong[1]	tʃiɔŋ[1]	
鱂	chiong[1]	tʃiɔŋ[1]	
章	chiong[1]	tʃiɔŋ[1]	
障	chiong[1]	tʃiɔŋ[1]	
掌	chiong[3]	tʃiɔŋ[3]	
酱	chiong[5]	tʃiɔŋ[5]	
将	chiong[5]	tʃiɔŋ[5]	~军
障	chiong[5]	tʃiɔŋ[5]	
瘴	chiong[5]	tʃiɔŋ[5]	
枪	ch'iong[1]	tʃʰiɔŋ[1]	
娼	ch'iong[1]	tʃʰiɔŋ[1]	
墙	ch'iong[2]	tʃʰiɔŋ[2]	
蔷	ch'iong[2]	tʃʰiɔŋ[2]	~薇
抢	ch'iong[3]	tʃʰiɔŋ[3]	
厂	ch'iong[3]	tʃʰiɔŋ[3]	
唱	ch'iong[5]	tʃʰiɔŋ[5]	
倡	ch'iong[5]	tʃʰiɔŋ[5]	
象	ch'iong[6]	tʃʰiɔŋ[6]	
像	ch'iong[6]	tʃʰiɔŋ[6]	
橡	ch'iong[6]	tʃʰiɔŋ[6]	
匠	ch'iong[6]	tʃʰiɔŋ[6]	
绱	ch'iong[6]	tʃʰiɔŋ[6]	
相	siong[1]	siɔŋ[1]	～对
箱	siong[1]	siɔŋ[1]	
镶	siong[1]	siɔŋ[1]	
商	siong[1]	siɔŋ[1]	
伤	siong[1]	siɔŋ[1]	
详	siong[2]	siɔŋ[2]	
常	siong[2]	siɔŋ[2]	
尝	siong[2]	siɔŋ[2]	
裳	siong[2]	siɔŋ[2]	
偿	siong[3]	siɔŋ[3]	
赏	siong[3]	siɔŋ[3]	
想	siong[3]	siɔŋ[3]	
鲞	siong[3]	siɔŋ[3]	
相	siong[5]	siɔŋ[5]	看~；宰～
上	siong[6]	siɔŋ[6]	～去
痒	siong[6]	siɔŋ[6]	
尚	siong[6]	siɔŋ[6]	和~
上	siong[6]	siɔŋ[6]	船~
姜	kiong[1]	kiɔŋ[1]	
疆	kiong[1]	kiɔŋ[1]	
缰	kiong[1]	kiɔŋ[1]	
强	kiong[2]	kiɔŋ[2]	1形容词
强	kiong[2]	kiɔŋ[2]	1勉～
强	kiong[3]	kiɔŋ[3]	2~壮
强	kiong[3]	kiɔŋ[3]	2勉~
腔	k'iong[1]	kʰiɔŋ[1]	
仰	ngiong[3]	ŋiɔŋ[3]	
乡	hiong[1]	hiɔŋ[1]	
香	hiong[1]	hiɔŋ[1]	
响	hiong[3]	hiɔŋ[3]	
享	hiong[3]	hiɔŋ[3]	
向	hiong[5]	hiɔŋ[5]	
央	hiong[1]	hiɔŋ[1]	
羊	hiong[2]	hiɔŋ[2]	
洋	hiong[2]	hiɔŋ[2]	大片的平地
阳	hiong[2]	hiɔŋ[2]	
杨	hiong[2]	hiɔŋ[2]	
扬	hiong[2]	hiɔŋ[2]	
溶	hiong[2]	hiɔŋ[2]	~解
镕	hiong[2]	hiɔŋ[2]	~□pɛ2:田鸡
养	hiong[3]	hiɔŋ[3]	
样	hiong[6]	hiɔŋ[6]	
掠	lioc[8]	liɔk[8]	2
爵	chioc[7]	tʃiɔk[7]	
酌	chioc[7]	tʃiɔk[7]	
着	chioc[8]	tʃiɔk[8]	2～急
雀	ch'ioc[7]	tʃʰiɔk[7]	2
鹊	ch'ioc[7]	tʃʰiɔk[7]	
削	sioc[7]	siɔk[7]	
脚	k'ioc[7]	kʰiɔk[7]	
却	k'ioc[7]	kʰiɔk[7]	
剧	k'ioc[8]	kʰiɔk[8]	悲~
虐	ngioc[8]	ŋiɔk[8]	
约	yioc[7]	yiɔk[7]	
若	yioc[8]	yiɔk[8]	2～干
弱	yioc[8]	yiɔk[8]	
育	yioc[8]	yiɔk[8]	
辱	yioc[8]	yiɔk[8]	
欲	yioc[8]	yiɔk[8]	爱~，据INTRɔDUkkIɔN第V页,Ibañɛz修道士原来的“欲”字标音还有jok
良	leong[2]	leɔŋ[2]	
量	leong[2]	leɔŋ[2]	动词
凉	leong[2]	leɔŋ[2]	
粮	leong[2]	leɔŋ[2]	
梁	leong[2]	leɔŋ[2]	
粱	leong[2]	leɔŋ[2]	
两	leong[3]	leɔŋ[3]	2数词
量	leong[6]	leɔŋ[6]	大~
亮	leong[6]	leɔŋ[6]	
谅	leong[6]	leɔŋ[6]	
朋	poeng[2]	pœŋ[2]	
烹	p'oeng[1]	pʰœŋ[1]	
盟	moeng[2]	mœŋ[2]	
梦	moeng[5]	mœŋ[5]	
网	moeng[6]	mœŋ[6]	1
登	toeng[1]	tœŋ[1]	
灯	toeng[1]	tœŋ[1]	2
东	toeng[1]	tœŋ[1]	
冬	toeng[1]	tœŋ[1]	
腾	toeng[2]	tœŋ[2]	
誊	toeng[2]	tœŋ[2]	
同	toeng[2]	tœŋ[2]	1
铜	toeng[2]	tœŋ[2]	
桐	toeng[2]	tœŋ[2]	2
筒	toeng[2]	tœŋ[2]	
栋	toeng[5]	tœŋ[5]	
冻	toeng[5]	tœŋ[5]	
动	toeng[6]	tœŋ[6]	1□tin6～：动
洞	toeng[6]	tœŋ[6]	
重	toeng[6]	tœŋ[6]	1形容词
通	t'oeng[1]	tʰœŋ[1]	1
桐	t'oeng[2]	tʰœŋ[2]	1～籽
虫	t'oeng[2]	tʰœŋ[2]	
通	t'oeng[5]	tʰœŋ[5]	2～气
能	noeng[2]	nœŋ[2]	
农	noeng[2]	nœŋ[2]	人
侬	noeng[2]	nœŋ[2]	人
脓	noeng[2]	nœŋ[2]	
□	noeng[5]	nœŋ[5]	软
聋	loeng[2]	lœŋ[2]	
笼	loeng[2]	lœŋ[2]	
咙	loeng[2]	lœŋ[2]	喉~
弄	loeng[6]	lœŋ[6]	动词
弄	loeng[6]	lœŋ[6]	名词
□	loeng[6]	lœŋ[6]	头pun3~：太阳穴
曾	choeng[1]	tʃœŋ[1]	玄～孙
增	choeng[1]	tʃœŋ[1]	
争	choeng[1]	tʃœŋ[1]	2～闹
筝	choeng[1]	tʃœŋ[1]	
棕	choeng[1]	tʃœŋ[1]	
曾	choeng[2]	tʃœŋ[2]	～经
综	choeng[5]	tʃœŋ[5]	～合
粽	choeng[5]	tʃœŋ[5]	
匆	ch'oeng[1]	tʃʰœŋ[1]	
葱	ch'oeng[1]	tʃʰœŋ[1]	
双	soeng[1]	sœŋ[1]	
生	soeng[1]	sœŋ[1]	2～长，学～
牲	soeng[1]	sœŋ[1]	2牺~
送	soeng[5]	sœŋ[5]	
更	koeng[1]	kœŋ[1]	2变~
耕	koeng[1]	kœŋ[1]	
江	koeng[1]	kœŋ[1]	1
工	koeng[1]	kœŋ[1]	1手~；蜀~；一天
更	koeng[5]	kœŋ[5]	～大
共	koeng[6]	kœŋ[6]	1和，跟
空	k'oeng[1]	kʰœŋ[1]	1～腹，墙～：墙孔
硬	ngoeng[6]	ŋœŋ[6]	
恒	hoeng[2]	hœŋ[2]	
行	hoeng[2]	hœŋ[2]	2~为，旅~
桁	hoeng[2]	hœŋ[2]	2
宏	hoeng[2]	hœŋ[2]	
雄	hoeng[2]	hœŋ[2]	1鸭~：公鸭
□	hoeng[2]	hœŋ[2]	丢弃
巷	hoeng[5]	hœŋ[5]	
行	hoeng[6]	hœŋ[6]	丑～
幸	hoeng[6]	hœŋ[6]	
幸	hoeng[6]	hœŋ[6]	侥～
翁	∅oeng[1]	ʔœŋ[1]	
红	∅oeng[2]	ʔœŋ[2]	
瓮	∅oeng[5]	ʔœŋ[5]	
北	poec[7]	pœk[7]	
柏	poec[7]	pœk[7]	
迫	poec[7]	pœk[7]	1
白	poec[8]	pœk[8]	2明～
帛	poec[8]	pœk[8]	
迫	p'oec[7]	pʰœk[7]	2
魄	p'oec[7]	pʰœk[7]	
墨	moec[8]	mœk[8]	
默	moec[8]	mœk[8]	
貊	moec[8]	mœk[8]	
目	moec[8]	mœk[8]	1~珠：眼睛，数~
得	toec[7]	tœk[7]	～意
德	toec[7]	tœk[7]	
特	toec[8]	tœk[8]	
泽	toec[8]	tœk[8]	
择	toec[8]	tœk[8]	～要
□	t'oec[7]	tʰœk[7]	刺，动词
读	t'oec[8]	tʰœk[8]	
落	loec[7]	lœk[7]	1掉落
勒	loec[8]	lœk[8]	~索
略	loec[8]	lœk[8]	大~
掠	loec[8]	lœk[8]	1掳～
鹿	loec[8]	lœk[8]	
六	loec[8]	lœk[8]	
□	loec[8]	lœk[8]	□pœ2～钻：钻，一种工具
则	choec[7]	tʃœk[7]	
责	choec[7]	tʃœk[7]	
厕	ch'oec[7]	tʃʰœk[7]	~所
侧	ch'oec[7]	tʃʰœk[7]	~面
测	ch'oec[7]	tʃʰœk[7]	
策	ch'oec[7]	tʃʰœk[7]	
凿	ch'oec[8]	tʃʰœk[8]	
色	soec[7]	sœk[7]	
□	soec[7]	sœk[7]	用手打
角	koec[7]	kœk[7]	鹿～
革	koec[7]	kœk[7]	
格	koec[7]	kœk[7]	
壳	k'oec[7]	kʰœk[7]	
克	k'oec[7]	kʰœk[7]	
刻	k'oec[7]	kʰœk[7]	
客	k'oec[7]	kʰœk[7]	2刺～
逆	ngoec[8]	ŋœk[8]	1
黑	hoec[7]	hœk[7]	
或	hoec[8]	hœk[8]	
惑	hoec[8]	hœk[8]	
划	hoec[8]	hœk[8]	2笔~
□	hoec[8]	hœk[8]	~气：呻吟
□	hoec[8]	hœk[8]	粪～：粪桶
凭	peing[2]	peŋ[2]	
平	peing[2]	peŋ[2]	2~等
秉	peing[3]	peŋ[3]	
并	peing[5]	peŋ[5]	～且
拼	p'eing[1]	pʰeŋ[1]	~死
民	meing[2]	meŋ[2]	平~
鸣	meing[2]	meŋ[2]	
明	meing[2]	meŋ[2]	3聪~
命	meing[6]	meŋ[6]	2
灯	teing[1]	teŋ[1]	1
丁	teing[1]	teŋ[1]	
钉	teing[1]	teŋ[1]	名词
疗	teing[1]	teŋ[1]	
亭	teing[2]	teŋ[2]	
停	teing[2]	teŋ[2]	
庭	teing[2]	teŋ[2]	2家～
订	teing[5]	teŋ[5]	
碇	teing[5]	teŋ[5]	锚
定	teing[6]	teŋ[6]	2
听	t'eing[5]	tʰeŋ[5]	不~老人语
仁	neing[2]	neŋ[2]	1目珠~：眼珠子
宁	neing[2]	neŋ[2]	安~
灵	leing[2]	leŋ[2]	~魂
零	leing[2]	leŋ[2]	
铃	leing[2]	leŋ[2]	
伶	leing[2]	leŋ[2]	~俐
吝	leing[6]	leŋ[6]	
令	leing[6]	leŋ[6]	
另	leing[6]	leŋ[6]	
津	cheing[1]	tʃeŋ[1]	
精	cheing[1]	tʃeŋ[1]	~明
晶	cheing[1]	tʃeŋ[1]	
层	cheing[2]	tʃeŋ[2]	
