單字	松柏(調類)	松柏(調值)	注释
仙	sin1	sin⁴⁵	
宣	sin1	sin⁴⁵	
選	sin2	sin²¹⁴	
蘚	sin2	sin²¹⁴	
渲	sin3	sin⁴⁴	
線	sin3	sin⁴⁴	
雪	sit8	sit³	
薛	sit8	sit³	
涎			
鏇	sin4	sin²¹	
璇	sin4	sin²¹	
旋	sin4	sin²¹	
嬛			便嬛
遣	hin2	hin²¹⁴	
譴	hin2	hin²¹⁴	
設	ʦʰit8	ʦʰit³	
羶			
說	sit8	sit³	講
扇	sin3	sin⁴⁴	
煽	sin3	sin⁴⁴	
燃	jin4	jin²¹	
然	jin4	jin²¹	
軟	jin5	jin²¹²	
熱	jit9	jit⁵²	
遷	ʦʰin1	ʦʰin⁴⁵	
詮	ʦʰin4	ʦʰin²¹	
拴	san1	san⁴⁵	
銓			
痊	ʦʰin4	ʦʰin²¹	
翩	pʰin1	pʰin⁴⁵	
篇	pʰin1	pʰin⁴⁵	
偏	pʰin1	pʰin⁴⁵	
扁			一葉扁舟
棉	min4	min²¹	
綿	min4	min²¹	
緬	min5	min²¹²	
面	min6	min⁵²	
滅	mit9	mit⁵²	
沔			
連	lin4	lin²¹	
令			令居，古地名
漣	lin4	lin²¹	
戀	lin5	lin²¹²	
劣	lit8	lit³	
冽	lit9	lit⁵²	
烈	lit9	lit⁵²	
裂	lit8	lit³	
輦			
鰱	lin4	lin²¹	
攣	lin4	lin²¹	
煎	ʦin1	ʦin⁴⁵	
剪	ʦin2	ʦin²¹⁴	
翦	ʦin2	ʦin²¹⁴	
箭	ʦin3	ʦin⁴⁴	
濺	ʦin6	ʦin⁵²	飛濺
鐫			
絹	kin3	kin⁴⁴	
孑			
雋			
全	ʦʰin4	ʦʰin²¹	又读ʦʰin²¹
錢	ʦʰin4	ʦʰin²¹	
泉	ʦʰin4	ʦʰin²¹	
踐	ʦin6	ʦin⁵²	又读ʦʰin²¹²
餞			
賤	ʦin6	ʦin⁵²	
絕	ʦit9	ʦit⁵²	
船	sin4	sin²¹	
折	sit9	sit⁵²	折本
單			單于
單	sin6	sin⁵²	單姓
蟬	sim4	sim²¹	
禪	sin4	sin²¹	禪師
禪	sin6	sin⁵²	禪讓
善	sin6	sin⁵²	
擅	sin6	sin⁵²	
繕	sin6	sin⁵²	
嬋	sin4	sin²¹	
川	ʦʰin1	ʦʰin⁴⁵	
穿	ʦʰin1	ʦʰin⁴⁵	
闡	ʦʰin4	ʦʰin²¹	
舛	ʦʰin2	ʦʰin²¹⁴	
喘	ʦʰin2	ʦʰin²¹⁴	
膳	sin6	sin⁵²	
便	pin6	pin⁵²	便利
便			大腹便便
平	pʰɪŋ4	pʰɪŋ²¹	
鞭	piɛn1	piɛn⁴⁵	又读pin⁴⁵
鱉	pit8	pit³	
憋	pit8	pit³	
綴			綴足
展	ʦin2	ʦin²¹⁴	
輾	ʦin2	ʦin²¹⁴	輾轉
轉	ʦin2	ʦin²¹⁴	轉變
轉	ʦin3	ʦin⁴⁴	自轉
哲	ʦit8	ʦit³	
蜇	ʦit8	ʦit³	
圜			天體
焉	jin4	jin²¹	心不在焉
圓	jin4	jin²¹	
焉	jin1	jin⁴⁵	焉知非福
諺	jin6	jin⁵²	
彥	jin6	jin⁵²	
這	ʦɛ2	ʦɛ²¹⁴	
孽	nip8	nip³	
嫣	jin1	jin⁴⁵	
騫	hin1	hin⁴⁵	
愆			
栓	san1	san⁴⁵	
乾	kʰin4	kʰin²¹	乾坤
捲	kin2	kin²¹⁴	白读kiɛn²¹⁴;ʔiɛn²¹⁴
虔	kʰin4	kʰin²¹	
蜷	kin2	kin²¹⁴	
鍵	kin6	kin⁵²	
權	kʰin4	kʰin²¹	
卷	kin2	kin²¹⁴	白读kiɛn²¹⁴
拳	kʰin4	kʰin²¹	
件	kin6	kin⁵²	
倦	kin6	kin⁵²	
杰	kit9	kit⁵²	
傑	kit9	kit⁵²	
鬈			
顴			
桀	kit9	kit⁵²	
碣	kʰit8	kʰit³	
碾	niɛn2	niɛn²¹⁴	又读ŋan²¹⁴
吶	nap9	nap⁵²	
冕	min5	min²¹²	白读miɛn²¹²
免	miɛn5	miɛn²¹²	
勉	min5	min²¹²	白读miɛn²¹²
娩	min5	min²¹²	白读miɛn²¹²
卷	kin2	kin²¹⁴	試卷
眷	kin3	kin⁴⁴	
傳	ʦʰin4	ʦʰin²¹	傳播
傳	ʦin6	ʦin⁵²	自傳
纏	ʦʰin4	ʦʰin²¹	
轍	ʦʰit8	ʦʰit³	
撤	ʦʰit8	ʦʰit³	
徹	ʦʰit8	ʦʰit³	
澈	ʦʰit8	ʦʰit³	
椽			
篆			
鏈	lin6	lin⁵²	
辨	pin6	pin⁵²	
辯	pin6	pin⁵²	
汴	pin6	pin⁵²	
別	pit9	pit⁵²	
變	pin3	pin⁴⁴	
胭	jin1	jin⁴⁵	
湮			
燕	jin3	jin⁴⁴	燕子
燕	jin1	jin⁴⁵	燕國
淵	jin1	jin⁴⁵	
咽	jin1	jin⁴⁵	咽喉
咽			狼吞虎咽
咽			哽咽
煙	jin1	jin⁴⁵	
宴	jin3	jin⁴⁴	
嚥			
噎			
妍	jin4	jin²¹	
研	jin4	jin²¹	又读ŋan²¹
硯	jin6	jin⁵²	
齧			
銑	sin2	sin²¹⁴	
冼	sin2	sin²¹⁴	
霰			
先	sin1	sin⁴⁵	
顯	hin2	hin²¹⁴	
絢			
決	kʰit8	kʰit³	
血	hit8	hit³	
眩			
縣	jin6	jin⁵²	
絃	jin4	jin²¹	
懸	jin4	jin²¹	
賢	jin4	jin²¹	
弦	jin4	jin²¹	
玄	jin4	jin²¹	
見			發見
炫	jin4	jin²¹	
現	jin6	jin⁵²	
頁	jip9	jip⁵²	
穴	jit9	jit⁵²	
縴	hin1	hin⁴⁵	
牽	hin1	hin⁴⁵	
犬	hin2	hin²¹⁴	
缺	hit8	hit³	
契			殷商的始祖
天	tʰin1	tʰin⁴⁵	
腆	tin2	tin²¹⁴	
靦			靦顏事仇
鐵	tʰit8	tʰit³	
倩	sin6	sin⁵²	
竊	sit8	sit³	
切	ʦʰit8	ʦʰit³	急切
仟	ʦʰin1	ʦʰin⁴⁵	
阡	ʦʰin1	ʦʰin⁴⁵	
千	ʦʰin1	ʦʰin⁴⁵	
沏			
茜	sɐi1	sɐi⁴⁵	
片	pʰin3	pʰin⁴⁴	白读pʰiɛn⁴⁴
瞥	pʰit8	pʰit³	
年	nin4	nin²¹	
捏	niɛt9	niɛt⁵²	
撚			
攆	niɛn2	niɛn²¹⁴	
涅	nip9	nip⁵²	
眠	min4	min²¹	
麵	min6	min⁵²	
篾	mit9	mit⁵²	
蔑	mit9	mit⁵²	
捩			捩手
零	lɪŋ4	lɪŋ²¹	
蓮	lin4	lin²¹	
憐	lin4	lin²¹	
練	lin6	lin⁵²	
鍊	lin6	lin⁵²	
楝	lin6	lin⁵²	
淺	ʦʰiɛn2	ʦʰiɛn²¹⁴	
箋			
濺			濺濺
薦	ʦin3	ʦin⁴⁴	
節	ʦit8	ʦit³	
癤	ʦit8	ʦit³	
肩	kin1	kin⁴⁵	
堅	kin1	kin⁴⁵	
涓	kin1	kin⁴⁵	
鵑	kin1	kin⁴⁵	
繭	kin2	kin²¹⁴	
見	kin3	kin⁴⁴	看見
訣	kʰit8	kʰit³	
桔	kɐt7	kɐt⁴	桔梗
結	kit8	kit³	
鍥	kʰit8	kʰit³	
抉	kʰit8	kʰit³	
潔	kit8	kit³	
譎			
癲	tin1	tin⁴⁵	
巔	tin1	tin⁴⁵	
顛	tin1	tin⁴⁵	
典	tin2	tin²¹⁴	
唸			
闐	tʰin4	tʰin²¹	
田	tʰin4	tʰin²¹	
佃	tin4	tin²¹	佃作
佃	tʰin6	tʰin⁵²	佃農
奠	tin6	tin⁵²	
電	tin6	tin⁵²	
殿	tin6	tin⁵²	
甸	tin6	tin⁵²	
澱	tin6	tin⁵²	
跌	tit8	tit³	
迭	tit9	tit⁵²	
前	ʦʰin4	ʦʰin²¹	
荐	ʦin3	ʦin⁴⁴	
截	ʦit9	ʦit⁵²	
胼			
辮	pin1	pin⁴⁵	
癟	pit9	pit⁵²	
駢			
扁	piɛn2	piɛn²¹⁴	扁平
邊	pin1	pin⁴⁵	白读piɛn⁴⁵
蝙	pʰin1	pʰin⁴⁵	
編	pʰin1	pʰin⁴⁵	
匾	piɛn2	piɛn²¹⁴	
遍	pʰin3	pʰin⁴⁴	
援	jin4	jin²¹	又读wun²¹
垣	fun4	fun²¹	
園	jin4	jin²¹	
轅	jin4	jin²¹	
猿	jin4	jin²¹	
袁	jin4	jin²¹	
遠			遠小人
遠	jin5	jin²¹²	遠方
粵	jit9	jit⁵²	
曰	jit8	jit³	
越	jit9	jit⁵²	
謁			
蔫			
噦			
鴛	jin1	jin⁴⁵	
冤	jin1	jin⁴⁵	
怨	jin3	jin⁴⁴	
宛	wun2	wun²¹⁴	宛然
宛			大宛
蜿	jin1	jin⁴⁵	
堰	jin2	jin²¹⁴	
苑	jin2	jin²¹⁴	
鼴	jin2	jin²¹⁴	
婉	wun2	wun²¹⁴	
源	jin4	jin²¹	
元	jin4	jin²¹	
阮	jin5	jin²¹²	
原	jin4	jin²¹	
言	jin4	jin²¹	
願	jin6	jin⁵²	
月	jit9	jit⁵²	
螈			
掀	hin1	hin⁴⁵	
軒	hin1	hin⁴⁵	
喧	hin1	hin⁴⁵	
暄	hin1	hin⁴⁵	
憲	hin3	hin⁴⁴	
歇	hit8	hit³	
蠍	kʰit8	kʰit³	
楦			
萱	sin1	sin⁴⁵	
券	kʰin3	kʰin⁴⁴	
勸	hin3	hin⁴⁴	
闕	kʰit8	kʰit³	
圈	kʰiɛn1	kʰiɛn⁴⁵	豬圈
健	kin6	kin⁵²	
竭	kʰit8	kʰit³	
腱			
憠			
碣			
反	fan2	fan²¹⁴	
翻	fan1	fan⁴⁵	
蔓	man6	man⁵²	藤蔓
挽	wan2	wan²¹⁴	
輓	wan2	wan²¹⁴	
晚	man5	man²¹²	
萬	man6	man⁵²	
襪	mat9	mat⁵²	
建	kin3	kin⁴⁴	
撅	kʰit8	kʰit³	
蕨	kʰit8	kʰit³	
厥	kʰit8	kʰit³	
孓			
藩	fan1	fan⁴⁵	
樊	fan4	fan²¹	
繁	fan4	fan²¹	
蟠	pʰun4	pʰun²¹	
番	fan1	fan⁴⁵	
蕃			蕃盛
煩	fan4	fan²¹	
飯	fan6	fan⁵²	
罰	fat9	fat⁵²	
拔	pat9	pat⁵²	
筏	fat9	fat⁵²	
伐	fat9	fat⁵²	
礬			
阪			
返	fan2	fan²¹⁴	
販	fan3	fan⁴⁴	
髮	fat8	fat³	
發	fat8	fat³	
坂			
區	ʔɐu1	ʔɐu⁴⁵	區姓
歐	ʔɐu1	ʔɐu⁴⁵	
嘔			嘔啞
嘔	ʔɐu2	ʔɐu²¹⁴	嘔吐
謳	ʔɐu1	ʔɐu⁴⁵	
鷗	ʔɐu1	ʔɐu⁴⁵	
瞘			
甌	ʔɐu1	ʔɐu⁴⁵	
毆	ʔɐu1	ʔɐu⁴⁵	
漚	ʔɐu3	ʔɐu⁴⁴	
慪			
藕	ŋɐu5	ŋɐu²¹²	
偶	ŋɐu5	ŋɐu²¹²	
藪	sɐu2	sɐu²¹⁴	
擻	sɐu2	sɐu²¹⁴	抖擻
叟	sɐu2	sɐu²¹⁴	
嗽	sɐu3	sɐu⁴⁴	
吼	hɐu2	hɐu²¹⁴	
蔻	kʰɐu3	kʰɐu⁴⁴	
喉	hɐu4	hɐu²¹	
猴	hɐu4	hɐu²¹	
侯	hɐu4	hɐu²¹	
後	hɐu6	hɐu⁵²	
厚	hɐu5	hɐu²¹²	
后	hɐu6	hɐu⁵²	
逅	hɐu6	hɐu⁵²	
候	hɐu6	hɐu⁵²	
夠	kɐu3	kɐu⁴⁴	
口	hɐu2	hɐu²¹⁴	
叩	kʰɐu3	kʰɐu⁴⁴	
扣	kʰɐu3	kʰɐu⁴⁴	
寇	kʰɐu3	kʰɐu⁴⁴	
偷	tʰɐu1	tʰɐu⁴⁵	
透	tʰɐu3	tʰɐu⁴⁴	
趣	ʦʰi3	ʦʰi⁴⁴	
湊	ʦʰɐu3	ʦʰɐu⁴⁴	
耨			
某	mɐu5	mɐu²¹²	
牡	mau5	mau²¹²	
畝	mɐu5	mɐu²¹²	
拇	mu5	mu²¹²	
母	mu5	mu²¹²	
姆	mu1	mu⁴⁵	
茂	mɐu6	mɐu⁵²	
貿	mɐu6	mɐu⁵²	
戊	mɐu6	mɐu⁵²	
袤	mɐu6	mɐu⁵²	
嘍	lɐu4	lɐu²¹	
髏	lɐu4	lɐu²¹	
樓	lɐu4	lɐu²¹	
簍	lɐu5	lɐu²¹²	
陋	lɐu6	lɐu⁵²	
漏	lɐu6	lɐu⁵²	
耬			
瘻			
走	ʦɐu2	ʦɐu²¹⁴	
奏	ʦɐu3	ʦɐu⁴⁴	
溝	kʰɐu1	kʰɐu⁴⁵	
篝	kɐu1	kɐu⁴⁵	
枸	kɐu2	kɐu²¹⁴	
鉤	ŋɐu1	ŋɐu⁴⁵	
垢	kʰɐu3	kʰɐu⁴⁴	
苟	kɐu2	kɐu²¹⁴	
狗	kɐu2	kɐu²¹⁴	
搆	kʰɐu3	kʰɐu⁴⁴	
構	kʰɐu3	kʰɐu⁴⁴	
購	kʰɐu3	kʰɐu⁴⁴	
彀			
媾			
詬	kʰɐu3	kʰɐu⁴⁴	
兜	tɐu1	tɐu⁴⁵	
斗	tɐu2	tɐu²¹⁴	
陡	tɐu2	tɐu²¹⁴	
蚪	tɐu2	tɐu²¹⁴	
抖	tɐu2	tɐu²¹⁴	
鬥	tɐu3	tɐu⁴⁴	
讀			句讀
投	tʰɐu4	tʰɐu²¹	
頭	tʰɐu4	tʰɐu²¹	
豆	tɐu6	tɐu⁵²	
竇	tɐu6	tɐu⁵²	
荳	tɐu6	tɐu⁵²	
骰			
幽	jɐu1	jɐu⁴⁵	
幼	jɐu3	jɐu⁴⁴	
繆	mɐu6	mɐu⁵²	繆論
謬	mɐu6	mɐu⁵²	
糾	tɐu2	tɐu²¹⁴	
赳	kɐu2	kɐu²¹⁴	
丟	tiu1	tiu⁴⁵	
彪	piu1	piu⁴⁵	
鄒	ʦɐu1	ʦɐu⁴⁵	
皺	ʦɐu3	ʦɐu⁴⁴	白读jɐu⁴⁴
肘			
晝	ʦɐu3	ʦɐu⁴⁴	
州	ʦɐu1	ʦɐu⁴⁵	
洲	ʦɐu1	ʦɐu⁴⁵	
舟	ʦɐu1	ʦɐu⁴⁵	
周	ʦɐu1	ʦɐu⁴⁵	
祝	ʦʊk7	ʦʊk⁴	
帚			
宥			
囿	jɐu6	jɐu⁵²	
疣	jɐu4	jɐu²¹	
尤	jɐu4	jɐu²¹	
郵	jɐu4	jɐu²¹	
有	jɐu5	jɐu²¹²	
右	jɐu6	jɐu⁵²	
友	jɐu5	jɐu²¹²	
祐	jɐu6	jɐu⁵²	
佑	jɐu6	jɐu⁵²	
又	jɐu6	jɐu⁵²	
優	jɐu1	jɐu⁴⁵	
憂	jɐu1	jɐu⁴⁵	
莠	jɐu5	jɐu²¹²	
鼬			
遊	jɐu4	jɐu²¹	
悠	jɐu4	jɐu²¹	
攸	jɐu4	jɐu²¹	
游	jɐu4	jɐu²¹	
猶	jɐu4	jɐu²¹	
油	jɐu4	jɐu²¹	
由	jɐu4	jɐu²¹	
誘	jɐu5	jɐu²¹²	
酉	jɐu5	jɐu²¹²	
柚	jɐu6	jɐu⁵²	
琇	sɐu3	sɐu⁴⁴	
牛	ŋɐu4	ŋɐu²¹	
脩	sɐu1	sɐu⁴⁵	
羞	sɐu1	sɐu⁴⁵	
修	sɐu1	sɐu⁴⁵	
繡	sɐu3	sɐu⁴⁴	
宿			星宿
秀	sɐu3	sɐu⁴⁴	
囚	ʦʰɐu4	ʦʰɐu²¹	
袖	ʦɐu6	ʦɐu⁵²	
泅			
休	jɐu1	jɐu⁴⁵	
咻			一傅眾咻
朽	lɐu5	lɐu²¹²	
蚯	kʰɐu4	kʰɐu²¹	
丘	jɐu1	jɐu⁴⁵	
邱	jɐu1	jɐu⁴⁵	
糗	ʦʰɐu3	ʦʰɐu⁴⁴	
收	sɐu1	sɐu⁴⁵	
守	sɐu3	sɐu⁴⁴	
守	sɐu2	sɐu²¹⁴	
手	sɐu2	sɐu²¹⁴	
首	sɐu2	sɐu²¹⁴	
獸	ʦʰɐu3	ʦʰɐu⁴⁴	又读sɐu⁴⁴
狩	sɐu3	sɐu⁴⁴	
餿			
颼	sɐu1	sɐu⁴⁵	
搜	sɐu2	sɐu²¹⁴	
蒐	sɐu2	sɐu²¹⁴	
瘦	sɐu3	sɐu⁴⁴	
漱	sɐu3	sɐu⁴⁴	
柔	jɐu4	jɐu²¹	
揉	jɐu4	jɐu²¹	
蹂	jɐu4	jɐu²¹	
蹂	jɐu4	jɐu²¹	
蹂	jɐu4	jɐu²¹	
求	kʰɐu4	kʰɐu²¹	
仇			仇姓
球	kʰɐu4	kʰɐu²¹	
毬	kʰɐu4	kʰɐu²¹	
舅	ʦʰɐu5	ʦʰɐu²¹²	
臼	kau3	kau⁴⁴	
舊	kɐu6	kɐu⁵²	
柩			
裘	kʰɐu4	kʰɐu²¹	
鰍			
秋	ʦʰɐu1	ʦʰɐu⁴⁵	
鞦			
覆	fʊk7	fʊk⁴	
副	fu3	fu⁴⁴	
鈕	nɐu2	nɐu²¹⁴	
紐	nɐu2	nɐu²¹⁴	
扭	nɐu2	nɐu²¹⁴	
糅	jɐu4	jɐu²¹	
繆	mɐu4	mɐu²¹	未雨綢繆
謀	mɐu4	mɐu²¹	
矛	mau4	mau²¹	
牟	mɐu4	mɐu²¹	
眸	mɐu4	mɐu²¹	
榴	lɐu4	lɐu²¹	
流	lɐu4	lɐu²¹	
劉	lɐu4	lɐu²¹	
瘤	lɐu4	lɐu²¹	
瀏	lɐu4	lɐu²¹	
留	lɐu4	lɐu²¹	
硫	lɐu4	lɐu²¹	
柳	lɐu5	lɐu²¹²	
溜	lɐu1	lɐu⁴⁵	
遛	lɐu1	lɐu⁴⁵	
啾	ʦɐu1	ʦɐu⁴⁵	
酒	ʦɐu2	ʦɐu²¹⁴	
揫			
龜	kɐn1	kɐn⁴⁵	
鳩	kɐu1	kɐu⁴⁵	
灸	kɐu3	kɐu⁴⁴	
九	kɐu2	kɐu²¹⁴	
韭	kɐu2	kɐu²¹⁴	
玖	kɐu2	kɐu²¹⁴	
久	kɐu2	kɐu²¹⁴	
疚	kɐu3	kɐu⁴⁴	
救	kɐu3	kɐu⁴⁴	
究	kɐu3	kɐu⁴⁴	
鬮			
鷲	ʦɐu6	ʦɐu⁵²	
就	ʦɐu6	ʦɐu⁵²	
酋	ʦʰɐu4	ʦʰɐu²¹	
遒	ʦʰɐu4	ʦʰɐu²¹	
愁	sɐu4	sɐu²¹	
驟	ʦau6	ʦau⁵²	
躊	ʦʰɐu4	ʦʰɐu²¹	
稠	ʦʰɐu4	ʦʰɐu²¹	
籌	ʦʰɐu4	ʦʰɐu²¹	
疇	ʦʰɐu4	ʦʰɐu²¹	
紂	ʦɐu6	ʦɐu⁵²	
冑	ʦɐu6	ʦɐu⁵²	
宙	ʦɐu6	ʦɐu⁵²	
惆	ʦʰɐu4	ʦʰɐu²¹	
抽	ʦʰɐu1	ʦʰɐu⁴⁵	
丑	ʦʰɐu2	ʦʰɐu²¹⁴	
畜	ʦʰʊk7	ʦʰʊk⁴	
壽	sɐu6	sɐu⁵²	
受	sɐu6	sɐu⁵²	
授	sɐu6	sɐu⁵²	
售	sɐu6	sɐu⁵²	
酬	ʦʰɐu4	ʦʰɐu²¹	
醜	ʦʰɐu2	ʦʰɐu²¹⁴	
臭	ʦʰɐu3	ʦʰɐu⁴⁴	
讎			
浮	fɐu4	fɐu²¹	白读pʰou²¹
負	fu6	fu⁵²	
婦	fu5	fu²¹²	
複	fʊk7	fʊk⁴	
復	fʊk9	fʊk⁵²	又读fʊk⁴
伏	fʊk9	fʊk⁵²	
阜	fɐu6	fɐu⁵²	
否	fɐu2	fɐu²¹⁴	否定
不	pɐt7	pɐt⁴	
輻	fʊk7	fʊk⁴	
富	fu3	fu⁴⁴	
捉	ʦʊk7	ʦʊk⁴	白读ʦuɔk³
樁	ʦuɔŋ1	ʦuɔŋ⁴⁵	
桌	ʦʰiɛk8	ʦʰiɛk³	又读ʦuɔk³
琢	tiɛk8	tiɛk³	
卓	ʦʰiɛk8	ʦʰiɛk³	
涿			
握	ʔɐk7	ʔɐk⁴	
渥			
喔			喔喔叫
齷			
嶽			
岳	ŋuɔk9	ŋuɔk⁵²	
樂	ŋuɔk9	ŋuɔk⁵²	音樂
缸	kuɔŋ1	kuɔŋ⁴⁵	
降	huɔŋ4	huɔŋ²¹	投降,老派koŋ⁴⁴
項	huɔŋ6	huɔŋ⁵²	
巷	huɔŋ6	huɔŋ⁵²	
學	huɔk9	huɔk⁵²	
控	huŋ3	huŋ⁴⁴	
腔	huɔŋ1	huɔŋ⁴⁵	
確	kʰuɔk8	kʰuɔk³	
雙	suɔŋ1	suɔŋ⁴⁵	
朔	suɔk8	suɔk³	
數			數見不鮮
璞			
肨			
朴	pʰuɔk8	pʰuɔk³	
邈	miu2	miu²¹⁴	
江	kuɔŋ1	kuɔŋ⁴⁵	
肛	kuɔŋ1	kuɔŋ⁴⁵	
扛			
降	kuɔŋ3	kuɔŋ⁴⁴	降落
講	kuɔŋ2	kuɔŋ²¹⁴	
港	kuɔŋ2	kuɔŋ²¹⁴	
覺	kuɔk8	kuɔk³	直覺
杠	kʊŋ3	kʊŋ⁴⁴	杠杆
杠	kuɔŋ3	kuɔŋ⁴⁴	单杠
豇			
耩			
絳	kuɔŋ3	kuɔŋ⁴⁴	
齪			
浞			
撞	ʦuɔŋ6	ʦuɔŋ⁵²	
幢			幡幢
幢	tʊŋ6	tʊŋ⁵²	量詞
擢			
濁	ʦuɔk9	ʦuɔk⁵²	
噇			
龐	pʰuɔŋ4	pʰuɔŋ²¹	
棒	pʰɐŋ5	pʰɐŋ²¹²	
蚌	pʰuɔŋ5	pʰuɔŋ²¹²	
雹	pʰau1	pʰau⁴⁵	
邦	puɔŋ1	puɔŋ⁴⁵	
剝	puɔk7	puɔk⁴	
駁	puɔk8	puɔk³	
渣	ʦa1	ʦa⁴⁵	白读ja⁴⁵
詐	ʦa3	ʦa⁴⁴	
榨	ʦa3	ʦa⁴⁴	
爹	tɛ1	tɛ⁴⁵	
吒	ʦat8	ʦat³	哪吒
遮	ʦɛ1	ʦɛ⁴⁵	
者	ʦɛ2	ʦɛ²¹⁴	
蔗	ʦɛ3	ʦɛ⁴⁴	
炙	ʦɪk1	ʦɪk⁴⁵	
赭			
鴉	ʔa1	ʔa⁴⁵	
椏	ʔa1	ʔa⁴⁵	
窪	wa1	wa⁴⁵	
丫	ʔa1	ʔa⁴⁵	
啞	ʔa2	ʔa²¹⁴	聾啞
啞			嘔啞
亞	ʔa3	ʔa⁴⁴	
斜	ʦʰɛ4	ʦʰɛ²¹	
椰	jɛ4	jɛ²¹	
邪	ʦʰɛ4	ʦʰɛ²¹	
耶	jɛ4	jɛ²¹	
冶	jɛ5	jɛ²¹²	
也	ja5	ja²¹²	白读jɛ²¹²
夜	jɛ6	jɛ⁵²	
射			僕射
芽	ŋa4	ŋa²¹	
呀	ʔa1	ʔa⁴⁵	
牙	ŋa4	ŋa²¹	
枒	ŋa4	ŋa²¹	
雅	ŋa5	ŋa²¹²	
瓦	ŋa5	ŋa²¹²	
訝	ŋa6	ŋa⁵²	
迓			
些	sɛ1	sɛ⁴⁵	
瀉	sɛ3	sɛ⁴⁴	
寫	sɛ2	sɛ²¹⁴	
卸	sɛ3	sɛ⁴⁴	
榭	ʦɛ6	ʦɛ⁵²	
謝	ʦɛ6	ʦɛ⁵²	
譁	wa1	wa⁴⁵	
花	fa1	fa⁴⁵	
華			春華秋實
嚇	hɐk7	hɐk⁴	
唬	fu2	fu²¹⁴	
化	fa3	fa⁴⁴	
瘕	ha1	ha⁴⁵	
罅	la3	la⁴⁴	又读lɛ⁴⁴
遐	ha4	ha²¹	
樺	wa4	wa²¹	
划			划船
瑕	ha4	ha²¹	
蝦	ha1	ha⁴⁵	蝦仁
霞	ha4	ha²¹	
華	wa4	wa²¹	中華
華	wa4	wa²¹	華山
踝	wai4	wai²¹	
夏	ha6	ha⁵²	
廈	ha6	ha⁵²	
下	ha6	ha⁵²	下面
下	ha5	ha²¹²	白讀
暇	ha6	ha⁵²	
鏵			
跨	kʰa1	kʰa⁴⁵	
夸	kʰa1	kʰa⁴⁵	
誇	kʰa1	kʰa⁴⁵	
奢	ʦʰɛ1	ʦʰɛ⁴⁵	
捨	sɛ2	sɛ²¹⁴	
舍	sɛ3	sɛ⁴⁴	宿舍
舍	sɛ2	sɛ²¹⁴	舍生取義
赦	sɛ3	sɛ⁴⁴	
賒	sɛ1	sɛ⁴⁵	
鯊	sa1	sa⁴⁵	
砂	sa1	sa⁴⁵	
紗	sa1	sa⁴⁵	
沙	sa1	sa⁴⁵	
傻	suɔ4	suɔ²¹	
若			般若
惹	jɛ5	jɛ²¹²	
吧	pa1	pa⁴⁵	酒吧
怕	pʰa3	pʰa⁴⁴	
麻	ma4	ma²¹	
蟆			
痲			
罵	ma6	ma⁵²	
碼	ma5	ma²¹²	
馬	ma5	ma²¹²	
姐	ʦɛ2	ʦɛ²¹⁴	
借	ʦɛ3	ʦɛ⁴⁴	
嗟	ʦɛ1	ʦɛ⁴⁵	
賈	ka2	ka²¹⁴	賈姓
茄	kʰa1	kʰa⁴⁵	雪茄
枷	ka1	ka⁴⁵	
加	ka1	ka⁴⁵	
瓜	ka1	ka⁴⁵	
嘉	ka1	ka⁴⁵	
家	ka1	ka⁴⁵	家人
寡	ka2	ka²¹⁴	
假	ka2	ka²¹⁴	假如
假	ka2	ka²¹⁴	放假
價	ka3	ka⁴⁴	
嫁	ka3	ka⁴⁴	
駕	ka3	ka⁴⁴	
架	ka3	ka⁴⁴	
痂	ka1	ka⁴⁵	
稼	ka3	ka⁴⁴	
剮			
笳			
藉	ʦɪk9	ʦɪk⁵²	
褯			
蛇	sɛ4	sɛ²¹	毒蛇
射	sɛ6	sɛ⁵²	發射
差	ʦʰa1	ʦʰa⁴⁵	差別
杈	ʦʰa1	ʦʰa⁴⁵	
汊	ʦʰa1	ʦʰa⁴⁵	
查	ʦʰa4	ʦʰa²¹	檢查
槎	ʦʰa4	ʦʰa²¹	
乍	ʦa3	ʦa⁴⁴	
茬			
茶	ʦʰa4	ʦʰa²¹	
搽	ʦʰa4	ʦʰa²¹	
奼			
詫	ʦʰa3	ʦʰa⁴⁴	
社	sɛ5	sɛ²¹²	
車	ʦʰɛ1	ʦʰɛ⁴⁵	汽車
斥	ʦʰɪk7	ʦʰɪk⁴	
杷	pʰa4	pʰa²¹	
琶	pʰa4	pʰa²¹	
爬	pʰa4	pʰa²¹	
巴	pa1	pa⁴⁵	
笆	pa1	pa⁴⁵	
芭	pa1	pa⁴⁵	
把	pa2	pa²¹⁴	
霸	pa3	pa⁴⁴	
靶	pa3	pa⁴⁴	
欛			
垻	pa3	pa⁴⁴	
渦	wuɔ1	wuɔ⁴⁵	漩渦
阿	ʔuɔ1	ʔuɔ⁴⁵	阿諛奉承
倭	wuɔ1	wuɔ⁴⁵	
涴			
侉			
屙	ʔuɔ1	ʔuɔ⁴⁵	
訛	ŋuɔ4	ŋuɔ²¹	
峨	ŋuɔ4	ŋuɔ²¹	
蛾	ŋuɔ4	ŋuɔ²¹	
哦	ŋuɔ4	ŋuɔ²¹	吟哦
俄	ŋuɔ4	ŋuɔ²¹	
鵝	ŋuɔ4	ŋuɔ²¹	
