	阴平	阳平	阴上	阳上	阴去	阳去	阴入	阳入	
tʰin	听汀厅		艇挺		听（~任）□（剩）				
din		亭停廷=庭=蜓=		锭（迷信品）		定锭（~子）			
lin	拎=	林淋临邻鳞燐陵凌菱零灵铃伶玲翎廷-庭-蜒-疄（~沟）		领岭		令另（~外）			
tɕin	今金津巾斤筋均钧菌君军京荆惊经精晶睛襟埂（坝~）		锦尽（~管）紧境景警井颈茎谨		浸禁晋劲俊敬镜径进				
tɕʰin	钦亲卿清轻青蜻侵倾（倒：~出来）		寝请顷		揿搇庆磐				
dʑin		琴禽擒妗勤芹旬循巡殉群裙擎鲸情晴寻		近		尽仅瑾郡竞静靖净（干干~~）			
ȵin		吟银凝迎宁人-壬任（姓）		忍（~~你）		闰认-韧-赁			
ɕin	心辛新薪欣熏勋薰兴（~旺）星腥馨掀猩		省（反~）醒		信讯迅训兴（高~）性姓				
ʑin		寻（又音）荀行=秦				净（~手）			
ʔin	音阴因姻殷应（~该）莺樱=婴英缨荫鹦=（~鹉）		饮引（~导）允影隐		印应（响~）映				
ɦin		淫寅匀云盈赢刑型形营茔行-萤邢莹		□（万年青）引（~进）		韵运晕熨孕幸尹颖行（品~）			
pã	浜绷								
pʰã	烹（~酒）				碰（~一对：玩牌时抓对手）□（~雨）				
bã		彭膨棚朋庞蟛（~蜞）		蚌碰		甏膨（~肚皮：大肚子）			
mã	□（喝：~一口酒；醉醺醺：吃来有点~）			稝（密）		孟（又音）			
tã			打						
nã				□（怎样：~做）					
lã				冷					
tsã	章樟张帐（~子）瘴争（~口气）		掌涨长（生~）		账胀仗（打~）障				
tsʰã	昌菖撑（~船）		厂敞		畅倡伥怅创撑（~门面）				
dzã		常嫦尝偿长（~短）肠场裳=				丈杖□（剩）			
sã	商伤生甥牲		赏省□（刮风：风~）						
kã	更（五~）粳庚羮		耿哽		梗				
kʰã	坑（~缸）								
gã		□（挤人）							
ŋã						硬			
hã	夯亨（大~）				□（转~：天气变化；长~雨）				
hɦã		行（~文）		胻（鸡鸭屁股上面突出部分，引申为碰不得）		杏			
ʔã	樱-鹦-								
liã		凉良量（~长短）粮梁粱		两		亮谅辆量（数~）			
tɕiã	将（~来）疆僵薑缰姜雀-（麻~）		蒋奖桨		酱将（大~）□（鸟的统称）				
tɕʰiã	枪羌锵抢（~位置）		抢		呛				
dʑiã		详祥强		犟		匠			
ȵiã	孃（~~：姑母）	娘		仰		仰（又音）			
ɕiã	相（~互）箱厢湘襄镶香乡		想享响		相（~貌）向饷				
ʑiã		墙		象像橡匠（又音）					
ʔiã	秧央殃								
ɦiã		羊洋烊扬杨阳疡		养痒		样漾匠（又音）			
kuã	光（~火）		□（裂：~㿭）						
kʰuã	哐（~啷）								
guã		□（撒，泼洒）							
ʔuã	横（~蛮）								
ɦuã		横（与竖相对）				横（不讲理）			
pɑ̃	邦帮		榜绑		谤				
pʰɑ̃			捧（又音）髈（大脚~）		胖				
bɑ̃		旁螃防		棒		傍			
mɑ̃		忙芒盲虻茫		网莽		蟒望忘梦			
fɑ̃	方肪芳妨		纺仿彷访		放				
vɑ̃		房亡（逃~）				妄望（又音）忘（又音）亡（~故）			
tɑ̃	当		党档		当（~作，典~）				
tʰɑ̃	汤		倘躺淌		烫趟𢴳（~网）				
dɑ̃		堂棠螳唐糖塘		荡		宕			
nɑ̃		囊		□（~进~出：事情出入的幅度大）					
lɑ̃		郎廊狼				朗浪㫰（晾）			
tsɑ̃	赃脏（肮~）庄装				葬壮				
tsʰɑ̃	仓苍疮沧窗		闯□（摩擦：~脱一层皮）		唱				
dzɑ̃		藏（储~）		撞		藏（西~）脏（内~）状			
sɑ̃	桑丧（婚~）霜孀双声（~气）		磉嗓搡爽		丧（~失）				
zɑ̃		床裳-尝（~滋味）		上（动词）		上（~下）尚壤让=			
kɑ̃	冈岗刚纲钢缸江-扛豇□（~ɑ̃：那儿）		讲港		杠降（下~）				
kʰɑ̃	康糠框-		慷		抗炕困				
gɑ̃				戆（~头~脑）		讲（~神：聊天）			
hɦɑ̃		航杭降（投~）				巷项			
ʔɑ̃	肮								
tɕiɑ̃	江=□（~ɑ̃：这儿）		讲=		降=				
tɕʰiɑ̃	腔羌（又音）								
ȵiɑ̃	酿瓤（又音）					让			
ɦiɑ̃		王-		旺（稗子的讳名）		旺-			
kuɑ̃	光		广桄（一~线）		逛（荡~）□（用手抚摸）				
kʰuɑ̃	匡筐眶框=				旷矿				
guɑ̃		狂				逛			
huɑ̃	荒慌黄-（蛋~）		谎恍晃		况				
ʔuɑ̃	汪		往						
ɦuɑ̃		王=黄簧皇蝗		□（扶）		枉旺=晃（日头~：阳光照到的地方）			
poŋ	蹦								
pʰoŋ	□（蓬松）		捧						
boŋ		蓬篷埲（~尘）							
moŋ		蒙濛朦		懵					
foŋ	风枫疯丰封峰蜂锋		讽		俸（薪~）				
voŋ		冯逢缝（~纫）				凤奉缝（一条~）			
toŋ	东冬		董懂		冻栋				
