"字目"	"读音"	"注释"	"声母"	"韵母"	"声调"	"重复数"	"潮语拼音"	"罗马字拼音"
"脐"	"tsãi44"	""	"ts"	"ãi"	"44"	"1"	"zain5"	"tsainn5"
"前"	"tsãi44"	""	"ts"	"ãi"	"44"	"1"	"zain5"	"tsainn5"
"指"	"tsãi53"	"手～"	"ts"	"ãi"	"53"	"3"	"zain2"	"tsainn2"
"趾"	"tsãi53"	"训"	"ts"	"ãi"	"53"	"2"	"zain2"	"tsainn2"
"臍"	"tsãi44"	""	"ts"	"ãi"	"44"	"1"	"zain5"	"tsainn5"
"殿"	"tãi13"	"门～（门槛）"	"t"	"ãi"	"13"	"2"	"dain6"	"tainn6"
"□"	"tãi311"	"坚硬"	"t"	"ãi"	"311"	"55"	"dain7"	"tainn7"
"先"	"sãi22"	"～后"	"s"	"ãi"	"22"	"2"	"sain1"	"sainn1"
"爿"	"pãi44"	""	"p"	"ãi"	"44"	"1"	"bain5"	"painn5"
"板"	"pãi53"	"黑～"	"p"	"ãi"	"53"	"2"	"bain2"	"painn2"
"反"	"pãi53"	"～过来（翻过来）"	"p"	"ãi"	"53"	"2"	"bain2"	"painn2"
"办"	"pãi311"	"～公"	"p"	"ãi"	"311"	"2"	"bain7"	"painn7"
"辦"	"pãi311"	"～公"	"p"	"ãi"	"311"	"2"	"bain7"	"painn7"
"盖"	"kʰãi21"	"盖子，盖住（动词）"	"kʰ"	"ãi"	"21"	"2"	"kain3"	"khainn3"
"蓋"	"kʰãi21"	"盖子，盖住（动词）"	"kʰ"	"ãi"	"21"	"2"	"kain3"	"khainn3"
"拣"	"kãi53"	""	"k"	"ãi"	"53"	"1"	"gain2"	"kainn2"
"茧"	"kãi53"	""	"k"	"ãi"	"53"	"1"	"gain2"	"kainn2"
"间"	"kãi22"	"房～"	"k"	"ãi"	"22"	"3"	"gain1"	"kainn1"
"肩"	"kãi22"	""	"k"	"ãi"	"22"	"2"	"gain1"	"kainn1"
"间"	"kãi21"	"～谍"	"k"	"ãi"	"21"	"3"	"gain3"	"kainn3"
"揀"	"kãi53"	""	"k"	"ãi"	"53"	"1"	"gain2"	"kainn2"
"繭"	"kãi53"	""	"k"	"ãi"	"53"	"1"	"gain2"	"kainn2"
"間"	"kãi22"	"房～"	"k"	"ãi"	"22"	"3"	"gain1"	"kainn1"
"間"	"kãi21"	"～谍"	"k"	"ãi"	"21"	"3"	"gain3"	"kainn3"
"还"	"hãi44"	"～钱，～原"	"h"	"ãi"	"44"	"4"	"hain5"	"hainn5"
"蚬"	"hãi53"	""	"h"	"ãi"	"53"	"1"	"hain2"	"hainn2"
"害"	"hãi311"	"让"	"h"	"ãi"	"311"	"2"	"hain7"	"hainn7"
"苋"	"hãi311"	""	"h"	"ãi"	"311"	"1"	"hain7"	"hainn7"
"還"	"hãi44"	"～钱，～原"	"h"	"ãi"	"44"	"4"	"hain5"	"hainn5"
"蜆"	"hãi53"	""	"h"	"ãi"	"53"	"1"	"hain2"	"hainn2"
"莧"	"hãi311"	""	"h"	"ãi"	"311"	"1"	"hain7"	"hainn7"
"恶"	"ak32"	"罪～"	""	"ak"	"32"	"2"	"ag4"	"ak4"
"抑"	"ak32"	"训"	""	"ak"	"32"	"1"	"ag4"	"ak4"
"沃"	"ak32"	"淋湿"	""	"ak"	"32"	"2"	"ag4"	"ak4"
"惡"	"ak32"	"罪～"	""	"ak"	"32"	"2"	"ag4"	"ak4"
"凿"	"tsʰak54"	""	"tsʰ"	"ak"	"54"	"1"	"cag8"	"tshak8"
"贼"	"tsʰak54"	""	"tsʰ"	"ak"	"54"	"1"	"cag8"	"tshak8"
"擦"	"tsʰak32"	""	"tsʰ"	"ak"	"32"	"1"	"cag4"	"tshak4"
"察"	"tsʰak32"	""	"tsʰ"	"ak"	"32"	"1"	"cag4"	"tshak4"
"漆"	"tsʰak32"	""	"tsʰ"	"ak"	"32"	"1"	"cag4"	"tshak4"
"鑿"	"tsʰak54"	""	"tsʰ"	"ak"	"54"	"1"	"cag8"	"tshak8"
"賊"	"tsʰak54"	""	"tsʰ"	"ak"	"54"	"1"	"cag8"	"tshak8"
"实"	"tsak54"	"雨～（雨下得大），tãi6～（口感硬）"	"ts"	"ak"	"54"	"2"	"zag8"	"tsak8"
"札"	"tsak32"	""	"ts"	"ak"	"32"	"1"	"zag4"	"tsak4"
"节"	"tsak32"	"～约（估计）"	"ts"	"ak"	"32"	"2"	"zag4"	"tsak4"
"煠"	"tsak54"	""	"ts"	"ak"	"54"	"2"	"zag8"	"tsak8"
"作"	"tsak32"	""	"ts"	"ak"	"32"	"1"	"zag4"	"tsak4"
"實"	"tsak54"	"雨～（雨下得大），tãi6～（口感硬）"	"ts"	"ak"	"54"	"2"	"zag8"	"tsak8"
"劄"	"tsak32"	""	"ts"	"ak"	"32"	"1"	"zag4"	"tsak4"
"節"	"tsak32"	"～约（估计）"	"ts"	"ak"	"32"	"2"	"zag4"	"tsak4"
"读"	"tʰak54"	""	"tʰ"	"ak"	"54"	"1"	"tag8"	"tak8"
"拓"	"tʰak32"	""	"tʰ"	"ak"	"32"	"1"	"tag4"	"tak4"
"踢"	"tʰak32"	""	"tʰ"	"ak"	"32"	"1"	"tag4"	"tak4"
"讀"	"tʰak54"	""	"tʰ"	"ak"	"54"	"1"	"tag8"	"tak8"
"达"	"tak54"	"～到"	"t"	"ak"	"54"	"2"	"dag8"	"tak8"
"值"	"tak54"	""	"t"	"ak"	"54"	"2"	"dag8"	"tak8"
"毒"	"tak54"	""	"t"	"ak"	"54"	"1"	"dag8"	"tak8"
"達"	"tak54"	""	"t"	"ak"	"54"	"1"	"dag8"	"tak8"
"萨"	"sak32"	""	"s"	"ak"	"32"	"1"	"sag4"	"sak4"
"撒"	"sak32"	""	"s"	"ak"	"32"	"1"	"sag4"	"sak4"
"虱"	"sak32"	""	"s"	"ak"	"32"	"1"	"sag4"	"sak4"
"塞"	"sak32"	"～车"	"s"	"ak"	"32"	"2"	"sag4"	"sak4"
"薩"	"sak32"	""	"s"	"ak"	"32"	"1"	"sag4"	"sak4"
"雹"	"pʰak54"	""	"pʰ"	"ak"	"54"	"1"	"pag8"	"phak8"
"曝"	"pʰak54"	"晒"	"pʰ"	"ak"	"54"	"1"	"pag8"	"phak8"
"博"	"pʰak32"	"～士"	"pʰ"	"ak"	"32"	"2"	"pag4"	"phak4"
"瀑"	"pʰak32"	""	"pʰ"	"ak"	"32"	"1"	"pag4"	"phak4"
"别"	"pak54"	"～人"	"p"	"ak"	"54"	"3"	"bag8"	"pak8"
"扒"	"pak32"	"～掉"	"p"	"ak"	"32"	"3"	"bag4"	"pak4"
"叭"	"pak32"	"曾经；认识"	"p"	"ak"	"32"	"1"	"bag4"	"pak4"
"别"	"pak32"	"认识"	"p"	"ak"	"32"	"3"	"bag4"	"pak4"
"缚"	"pak32"	""	"p"	"ak"	"32"	"1"	"bag4"	"pak4"
"剥"	"pak32"	""	"p"	"ak"	"32"	"1"	"bag4"	"pak4"
"北"	"pak32"	""	"p"	"ak"	"32"	"1"	"bag4"	"pak4"
"幅"	"pak32"	""	"p"	"ak"	"32"	"1"	"bag4"	"pak4"
"腹"	"pak32"	""	"p"	"ak"	"32"	"1"	"bag4"	"pak4"
"別"	"pak54"	"～人"	"p"	"ak"	"54"	"3"	"bag8"	"pak8"
"別"	"pak32"	"认识"	"p"	"ak"	"32"	"3"	"bag4"	"pak4"
"縛"	"pak32"	""	"p"	"ak"	"32"	"1"	"bag4"	"pak4"
"剝"	"pak32"	""	"p"	"ak"	"32"	"1"	"bag4"	"pak4"
"鳄"	"ŋak54"	""	"ŋ"	"ak"	"54"	"1"	"ngag8"	"ngak8"
"鄂"	"ŋak54"	""	"ŋ"	"ak"	"54"	"1"	"ngag8"	"ngak8"
"鱷"	"ŋak54"	""	"ŋ"	"ak"	"54"	"1"	"ngag8"	"ngak8"
"目"	"mak54"	""	"m"	"ak"	"54"	"1"	"mag8"	"mak8"
"摸"	"mak32"	"手沾到液体"	"m"	"ak"	"32"	"2"	"mag4"	"mak4"
"栗"	"lak54"	"板～"	"l"	"ak"	"54"	"3"	"lag8"	"lak8"
"乐"	"lak54"	"快～"	"l"	"ak"	"54"	"3"	"lag8"	"lak8"
"力"	"lak54"	""	"l"	"ak"	"54"	"1"	"lag8"	"lak8"
"六"	"lak54"	""	"l"	"ak"	"54"	"1"	"lag8"	"lak8"
"落"	"lak32"	"脱落下来"	"l"	"ak"	"32"	"4"	"lag4"	"lak4"
"樂"	"lak54"	"快～"	"l"	"ak"	"54"	"3"	"lag8"	"lak8"
"咳"	"kʰak32"	""	"kʰ"	"ak"	"32"	"2"	"kag4"	"khak4"
"霍"	"kʰak32"	""	"kʰ"	"ak"	"32"	"1"	"kag4"	"khak4"
"藿"	"kʰak32"	""	"kʰ"	"ak"	"32"	"1"	"kag4"	"khak4"
"确"	"kʰak32"	""	"kʰ"	"ak"	"32"	"1"	"kag4"	"khak4"
"壳"	"kʰak32"	""	"kʰ"	"ak"	"32"	"1"	"kag4"	"khak4"
"確"	"kʰak32"	""	"kʰ"	"ak"	"32"	"1"	"kag4"	"khak4"
"殼"	"kʰak32"	""	"kʰ"	"ak"	"32"	"1"	"kag4"	"khak4"
"结"	"kak32"	"打～"	"k"	"ak"	"32"	"3"	"gag4"	"kak4"
"各"	"kak32"	""	"k"	"ak"	"32"	"1"	"gag4"	"kak4"
"觉"	"kak32"	"～得"	"k"	"ak"	"32"	"2"	"gag4"	"kak4"
"角"	"kak32"	""	"k"	"ak"	"32"	"1"	"gag4"	"kak4"
"結"	"kak32"	"打～"	"k"	"ak"	"32"	"3"	"gag4"	"kak4"
"覺"	"kak32"	"～得"	"k"	"ak"	"32"	"2"	"gag4"	"kak4"
"学"	"hak54"	""	"h"	"ak"	"54"	"2"	"hag8"	"hak8"
"喝"	"hak32"	"喝彩"	"h"	"ak"	"32"	"3"	"hag4"	"hak4"
"瞎"	"hak32"	""	"h"	"ak"	"32"	"1"	"hag4"	"hak4"
"辖"	"hak32"	""	"h"	"ak"	"32"	"1"	"hag4"	"hak4"
"□"	"hak32"	"购置"	"h"	"ak"	"32"	"55"	"hag4"	"hak4"
"郝"	"hak32"	""	"h"	"ak"	"32"	"1"	"hag4"	"hak4"
"壑"	"hak32"	""	"h"	"ak"	"32"	"1"	"hag4"	"hak4"
"學"	"hak54"	""	"h"	"ak"	"54"	"2"	"hag8"	"hak8"
"轄"	"hak32"	""	"h"	"ak"	"32"	"1"	"hag4"	"hak4"
"墨"	"bak54"	""	"b"	"ak"	"54"	"1"	"bhag8"	"bak8"
"木"	"bak54"	""	"b"	"ak"	"54"	"1"	"bhag8"	"bak8"
"饮"	"am53"	""	""	"am"	"53"	"2"	"am2"	"am2"
"庵"	"am22"	""	""	"am"	"22"	"1"	"am1"	"am1"
"鹌"	"am22"	""	""	"am"	"22"	"1"	"am1"	"am1"
"暗"	"am21"	""	""	"am"	"21"	"1"	"am3"	"am3"
"含"	"am13"	""	""	"am"	"13"	"3"	"am6"	"am6"
"飲"	"am53"	""	""	"am"	"53"	"2"	"am2"	"am2"
"鵪"	"am22"	""	""	"am"	"22"	"1"	"am1"	"am1"
"惭"	"tsʰam44"	""	"tsʰ"	"am"	"44"	"1"	"cam5"	"tsham5"
"惨"	"tsʰam53"	""	"tsʰ"	"am"	"53"	"1"	"cam2"	"tsham2"
"参"	"tsʰam22"	""	"tsʰ"	"am"	"22"	"2"	"cam1"	"tsham1"
"渗"	"tsʰam22"	""	"tsʰ"	"am"	"22"	"4"	"cam1"	"tsham1"
"渗"	"tsʰam21"	"又"	"tsʰ"	"am"	"21"	"4"	"cam3"	"tsham3"
"慚"	"tsʰam44"	""	"tsʰ"	"am"	"44"	"1"	"cam5"	"tsham5"
"慘"	"tsʰam53"	""	"tsʰ"	"am"	"53"	"1"	"cam2"	"tsham2"
"參"	"tsʰam22"	""	"tsʰ"	"am"	"22"	"2"	"cam1"	"tsham1"
"滲"	"tsʰam22"	""	"tsʰ"	"am"	"22"	"4"	"cam1"	"tsham1"
"滲"	"tsʰam21"	"又"	"tsʰ"	"am"	"21"	"4"	"cam3"	"tsham3"
"斩"	"tsam53"	""	"ts"	"am"	"53"	"1"	"zam2"	"tsam2"
"簪"	"tsam22"	""	"ts"	"am"	"22"	"1"	"zam1"	"tsam1"
"针"	"tsam22"	""	"ts"	"am"	"22"	"1"	"zam1"	"tsam1"
"渗"	"tsam21"	"～水"	"ts"	"am"	"21"	"4"	"zam3"	"tsam3"
"站"	"tsam13"	""	"ts"	"am"	"13"	"1"	"zam6"	"tsam6"
"斬"	"tsam53"	""	"ts"	"am"	"53"	"1"	"zam2"	"tsam2"
"針"	"tsam22"	""	"ts"	"am"	"22"	"1"	"zam1"	"tsam1"
"滲"	"tsam21"	"～水"	"ts"	"am"	"21"	"4"	"zam3"	"tsam3"
"谭"	"tʰam44"	""	"tʰ"	"am"	"44"	"1"	"tam5"	"tam5"
"潭"	"tʰam44"	""	"tʰ"	"am"	"44"	"1"	"tam5"	"tam5"
"坛"	"tʰam44"	"老～"	"tʰ"	"am"	"44"	"2"	"tam5"	"tam5"
"谈"	"tʰam44"	""	"tʰ"	"am"	"44"	"1"	"tam5"	"tam5"
"痰"	"tʰam44"	""	"tʰ"	"am"	"44"	"1"	"tam5"	"tam5"
"贪"	"tʰam22"	""	"tʰ"	"am"	"22"	"1"	"tam1"	"tam1"
"坍"	"tʰam22"	"又"	"tʰ"	"am"	"22"	"2"	"tam1"	"tam1"
"探"	"tʰam21"	""	"tʰ"	"am"	"21"	"1"	"tam3"	"tam3"
"譚"	"tʰam44"	""	"tʰ"	"am"	"44"	"1"	"tam5"	"tam5"
"罈"	"tʰam44"	"老～"	"tʰ"	"am"	"44"	"1"	"tam5"	"tam5"
"談"	"tʰam44"	""	"tʰ"	"am"	"44"	"1"	"tam5"	"tam5"
"貪"	"tʰam22"	""	"tʰ"	"am"	"22"	"1"	"tam1"	"tam1"
"胆"	"tam53"	""	"t"	"am"	"53"	"2"	"dam2"	"tam2"
"淫"	"tam44"	"湿"	"t"	"am"	"44"	"2"	"dam5"	"tam5"
"耽"	"tam22"	""	"t"	"am"	"22"	"1"	"dam1"	"tam1"
"担"	"tam22"	""	"t"	"am"	"22"	"2"	"dam1"	"tam1"
"坍"	"tam22"	""	"t"	"am"	"22"	"2"	"dam1"	"tam1"
"膽"	"tam53"	""	"t"	"am"	"53"	"2"	"dam2"	"tam2"
"擔"	"tam22"	""	"t"	"am"	"22"	"2"	"dam1"	"tam1"
"三"	"sam22"	""	"s"	"am"	"22"	"3"	"sam1"	"sam1"
"杉"	"sam22"	""	"s"	"am"	"22"	"1"	"sam1"	"sam1"
"岩"	"ŋam44"	""	"ŋ"	"am"	"44"	"2"	"ngam5"	"ngam5"
"勘"	"ŋam22"	"估测"	"ŋ"	"am"	"22"	"2"	"ngam1"	"ngam1"
"堪"	"ŋam22"	"刚"	"ŋ"	"am"	"22"	"2"	"ngam1"	"ngam1"
"南"	"nam44"	""	"n"	"am"	"44"	"2"	"nam5"	"nam5"
"男"	"nam44"	""	"n"	"am"	"44"	"1"	"nam5"	"nam5"
"婪"	"nam44"	""	"n"	"am"	"44"	"2"	"nam5"	"nam5"
"蓝"	"nam44"	""	"n"	"am"	"44"	"2"	"nam5"	"nam5"
"淋"	"nam44"	"～糖，普宁特产糕点"	"n"	"am"	"44"	"2"	"nam5"	"nam5"
"览"	"lam53"	""	"l"	"am"	"53"	"1"	"lam2"	"lam2"
"揽"	"lam53"	""	"l"	"am"	"53"	"1"	"lam2"	"lam2"
"缆"	"lam53"	""	"l"	"am"	"53"	"1"	"lam2"	"lam2"
"舰"	"nam53"	""	"n"	"am"	"53"	"1"	"nam2"	"nam2"
"滥"	"nam13"	""	"n"	"am"	"13"	"1"	"nam6"	"nam6"
"藍"	"nam44"	""	"n"	"am"	"44"	"2"	"nam5"	"nam5"
"覽"	"nam53"	""	"n"	"am"	"53"	"1"	"nam2"	"nam2"
"攬"	"nam53"	""	"n"	"am"	"53"	"1"	"nam2"	"nam2"
"纜"	"nam53"	""	"n"	"am"	"53"	"1"	"nam2"	"nam2"
"艦"	"nam53"	""	"n"	"am"	"53"	"1"	"nam2"	"nam2"
"濫"	"nam13"	""	"n"	"am"	"13"	"1"	"nam6"	"nam6"
"婪"	"lam44"	""	"l"	"am"	"44"	"2"	"lam5"	"lam5"
"嵐"	"lam44"	""	"l"	"am"	"44"	"1"	"lam5"	"lam5"
"岚"	"lam44"	""	"l"	"am"	"44"	"1"	"lam5"	"lam5"
"淋"	"lam44"	""	"l"	"am"	"44"	"2"	"lam5"	"lam5"
"腩"	"lam53"	""	"l"	"am"	"53"	"1"	"lam2"	"lam2"
"坎"	"kʰam53"	""	"kʰ"	"am"	"53"	"2"	"kam2"	"kham2"
"限"	"kʰam53"	"训"	"kʰ"	"am"	"53"	"2"	"kam2"	"kham2"
"堪"	"kʰam22"	""	"kʰ"	"am"	"22"	"2"	"kam1"	"kham1"
"勘"	"kʰam22"	""	"kʰ"	"am"	"22"	"2"	"kam1"	"kham1"
"坎"	"kʰam21"	""	"kʰ"	"am"	"21"	"2"	"kam3"	"kham3"
"槛"	"kʰam21"	""	"kʰ"	"am"	"21"	"1"	"kam3"	"kham3"
"檻"	"kʰam21"	""	"kʰ"	"am"	"21"	"1"	"kam3"	"kham3"
"含"	"kam44"	""	"k"	"am"	"44"	"3"	"gam5"	"kam5"
"感"	"kam53"	""	"k"	"am"	"53"	"1"	"gam2"	"kam2"
"㔶"	"kam53"	""	"k"	"am"	"53"	"1"	"gam2"	"kam2"
"尴"	"kam53"	""	"k"	"am"	"53"	"3"	"gam2"	"kam2"
"甘"	"kam22"	""	"k"	"am"	"22"	"1"	"gam1"	"kam1"
"尴"	"kam22"	""	"k"	"am"	"22"	"3"	"gam1"	"kam1"
"监"	"kam22"	"～狱，坐～"	"k"	"am"	"22"	"2"	"gam1"	"kam1"
"赣"	"kam21"	""	"k"	"am"	"21"	"1"	"gam3"	"kam3"
"监"	"kam21"	"～管，～督"	"k"	"am"	"21"	"2"	"gam3"	"kam3"
"鉴"	"kam21"	"借～"	"k"	"am"	"21"	"1"	"gam3"	"kam3"
"尷"	"kam53"	""	"k"	"am"	"53"	"3"	"gam2"	"kam2"
"尷"	"kam21"	"又"	"k"	"am"	"21"	"3"	"gam3"	"kam3"
"尷"	"kam22"	""	"k"	"am"	"22"	""	"gam1"	"kam1"
"監"	"kam22"	"～狱，坐～"	"k"	"am"	"22"	"2"	"gam1"	"kam1"
"贛"	"kam21"	""	"k"	"am"	"21"	"1"	"gam3"	"kam3"
"監"	"kam21"	"～管，～督"	"k"	"am"	"21"	"2"	"gam3"	"kam3"
"鑒"	"kam21"	""	"k"	"am"	"21"	"1"	"gam3"	"kam3"
"含"	"ham44"	""	"h"	"am"	"44"	"3"	"ham5"	"ham5"
"涵"	"ham44"	""	"h"	"am"	"44"	"1"	"ham5"	"ham5"
"函"	"ham44"	""	"h"	"am"	"44"	"1"	"ham5"	"ham5"
"咸"	"ham44"	""	"h"	"am"	"44"	"2"	"ham5"	"ham5"
"衔"	"ham44"	""	"h"	"am"	"44"	"2"	"ham5"	"ham5"
"蚶"	"ham22"	""	"h"	"am"	"22"	"1"	"ham1"	"ham1"
"憨"	"ham22"	""	"h"	"am"	"22"	"1"	"ham1"	"ham1"
"酣"	"ham22"	""	"h"	"am"	"22"	"1"	"ham1"	"ham1"
"喊"	"ham21"	""	"h"	"am"	"21"	"1"	"ham3"	"ham3"
"撼"	"ham13"	""	"h"	"am"	"13"	"1"	"ham6"	"ham6"
"憾"	"ham13"	""	"h"	"am"	"13"	"1"	"ham6"	"ham6"
"陷"	"ham311"	""	"h"	"am"	"311"	"1"	"ham7"	"ham7"
"馅"	"ham311"	""	"h"	"am"	"311"	"2"	"ham7"	"ham7"
"鹹"	"ham44"	""	"h"	"am"	"44"	"2"	"ham5"	"ham5"
"銜"	"ham44"	""	"h"	"am"	"44"	"2"	"ham5"	"ham5"
"餡"	"ham311"	""	"h"	"am"	"311"	"2"	"ham7"	"ham7"
"卵"	"lan13"	""	"l"	"an"	"13"	"4"	"lant6"	"lan6"
"红"	"aŋ44"	""	""	"aŋ"	"44"	"1"	"ang5"	"ang5"
"洪"	"aŋ44"	"洪水，姓"	""	"aŋ"	"44"	"2"	"ang5"	"ang5"
"安"	"aŋ22"	""	""	"aŋ"	"22"	"2"	"ang1"	"ang1"
"肮"	"aŋ22"	""	""	"aŋ"	"22"	"1"	"ang1"	"ang1"
"翁"	"aŋ22"	""	""	"aŋ"	"22"	"3"	"ang1"	"ang1"
"按"	"aŋ21"	""	""	"aŋ"	"21"	"1"	"ang3"	"ang3"
"宴"	"aŋ21"	""	""	"aŋ"	"21"	"1"	"ang3"	"ang3"
"紅"	"aŋ44"	""	""	"aŋ"	"44"	"1"	"ang5"	"ang5"
"残"	"tsʰaŋ44"	""	"tsʰ"	"aŋ"	"44"	"1"	"cang5"	"tshang5"
"田"	"tsʰaŋ44"	"训"	"tsʰ"	"aŋ"	"44"	"1"	"cang5"	"tshang5"
"藏"	"tsʰaŋ44"	""	"tsʰ"	"aŋ"	"44"	"2"	"cang5"	"tshang5"
"塍"	"tsʰaŋ44"	""	"tsʰ"	"aŋ"	"44"	"1"	"cang5"	"tshang5"
"铲"	"tsʰaŋ53"	""	"tsʰ"	"aŋ"	"53"	"1"	"cang2"	"tshang2"
"产"	"tsʰaŋ53"	""	"tsʰ"	"aŋ"	"53"	"1"	"cang2"	"tshang2"
"餐"	"tsʰaŋ22"	""	"tsʰ"	"aŋ"	"22"	"1"	"cang1"	"tshang1"
"苍"	"tsʰaŋ22"	""	"tsʰ"	"aŋ"	"22"	"1"	"cang1"	"tshang1"
"沧"	"tsʰaŋ22"	""	"tsʰ"	"aŋ"	"22"	"1"	"cang1"	"tshang1"
"疮"	"tsʰaŋ22"	""	"tsʰ"	"aŋ"	"22"	"2"	"cang1"	"tshang1"
"葱"	"tsʰaŋ22"	""	"tsʰ"	"aŋ"	"22"	"1"	"cang1"	"tshang1"
"灿"	"tsʰaŋ21"	""	"tsʰ"	"aŋ"	"21"	"1"	"cang3"	"tshang3"
"璨"	"tsʰaŋ21"	""	"tsʰ"	"aŋ"	"21"	"1"	"cang3"	"tshang3"
"颤"	"tsʰaŋ21"	"新"	"tsʰ"	"aŋ"	"21"	"2"	"cang3"	"tshang3"
"创"	"tsʰaŋ21"	""	"tsʰ"	"aŋ"	"21"	"1"	"cang3"	"tshang3"
"殘"	"tsʰaŋ44"	""	"tsʰ"	"aŋ"	"44"	"1"	"cang5"	"tshang5"
"鏟"	"tsʰaŋ53"	""	"tsʰ"	"aŋ"	"53"	"1"	"cang2"	"tshang2"
"產"	"tsʰaŋ53"	""	"tsʰ"	"aŋ"	"53"	"1"	"cang2"	"tshang2"
"蒼"	"tsʰaŋ22"	""	"tsʰ"	"aŋ"	"22"	"1"	"cang1"	"tshang1"
"滄"	"tsʰaŋ22"	""	"tsʰ"	"aŋ"	"22"	"1"	"cang1"	"tshang1"
"瘡"	"tsʰaŋ22"	""	"tsʰ"	"aŋ"	"22"	"2"	"cang1"	"tshang1"
"蔥"	"tsʰaŋ22"	""	"tsʰ"	"aŋ"	"22"	"1"	"cang1"	"tshang1"
"燦"	"tsʰaŋ21"	""	"tsʰ"	"aŋ"	"21"	"1"	"cang3"	"tshang3"
"顫"	"tsʰaŋ21"	"新"	"tsʰ"	"aŋ"	"21"	"2"	"cang3"	"tshang3"
"創"	"tsʰaŋ21"	""	"tsʰ"	"aŋ"	"21"	"1"	"cang3"	"tshang3"
"层"	"tsaŋ44"	""	"ts"	"aŋ"	"44"	"1"	"zang5"	"tsang5"
"丛"	"tsaŋ44"	""	"ts"	"aŋ"	"44"	"1"	"zang5"	"tsang5"
"总"	"tsaŋ53"	"抓头发"	"ts"	"aŋ"	"53"	"2"	"zang2"	"tsang2"
"脏"	"tsaŋ22"	""	"ts"	"aŋ"	"22"	"2"	"zang1"	"tsang1"
"赃"	"tsaŋ22"	""	"ts"	"aŋ"	"22"	"1"	"zang1"	"tsang1"
"曾"	"tsaŋ22"	""	"ts"	"aŋ"	"22"	"3"	"zang1"	"tsang1"
"罾"	"tsaŋ22"	""	"ts"	"aŋ"	"22"	"1"	"zang1"	"tsang1"
"棕"	"tsaŋ22"	""	"ts"	"aŋ"	"22"	"1"	"zang1"	"tsang1"
"赞"	"tsaŋ21"	""	"ts"	"aŋ"	"21"	"1"	"zang3"	"tsang3"
"壮"	"tsaŋ21"	""	"ts"	"aŋ"	"21"	"1"	"zang3"	"tsang3"
"甑"	"tsaŋ21"	""	"ts"	"aŋ"	"21"	"1"	"zang3"	"tsang3"
"粽"	"tsaŋ21"	""	"ts"	"aŋ"	"21"	"1"	"zang3"	"tsang3"
"绽"	"tsaŋ13"	"又"	"ts"	"aŋ"	"13"	"2"	"zang6"	"tsang6"
"藏"	"tsaŋ13"	""	"ts"	"aŋ"	"13"	"2"	"zang6"	"tsang6"
"脏"	"tsaŋ13"	"臟"	"ts"	"aŋ"	"13"	"2"	"zang6"	"tsang6"
"赠"	"tsaŋ311"	""	"ts"	"aŋ"	"311"	"1"	"zang7"	"tsang7"
"層"	"tsaŋ44"	""	"ts"	"aŋ"	"44"	"1"	"zang5"	"tsang5"
"灇"	"tsaŋ44"	"泼"	"ts"	"aŋ"	"44"	"1"	"zang5"	"tsang5"
"叢"	"tsaŋ44"	""	"ts"	"aŋ"	"44"	"1"	"zang5"	"tsang5"
"總"	"tsaŋ53"	"抓头发"	"ts"	"aŋ"	"53"	"2"	"zang2"	"tsang2"
"髒"	"tsaŋ22"	""	"ts"	"aŋ"	"22"	"1"	"zang1"	"tsang1"
"贓"	"tsaŋ22"	""	"ts"	"aŋ"	"22"	"1"	"zang1"	"tsang1"
"贊"	"tsaŋ21"	""	"ts"	"aŋ"	"21"	"1"	"zang3"	"tsang3"
"壯"	"tsaŋ21"	""	"ts"	"aŋ"	"21"	"1"	"zang3"	"tsang3"
"綻"	"tsaŋ13"	"又"	"ts"	"aŋ"	"13"	"2"	"zang6"	"tsang6"
"贈"	"tsaŋ311"	""	"ts"	"aŋ"	"311"	"1"	"zang7"	"tsang7"
"檀"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"1"	"tang5"	"tang5"
"弹"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"2"	"tang5"	"tang5"
"堂"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"2"	"tang5"	"tang5"
"棠"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"1"	"tang5"	"tang5"
"螳"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"1"	"tang5"	"tang5"
"唐"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"2"	"tang5"	"tang5"
"桐"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"2"	"tang5"	"tang5"
"虫"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"1"	"tang5"	"tang5"
"毯"	"tʰaŋ53"	""	"tʰ"	"aŋ"	"53"	"1"	"tang2"	"tang2"
"坦"	"tʰaŋ53"	""	"tʰ"	"aŋ"	"53"	"1"	"tang2"	"tang2"
"倘"	"tʰaŋ53"	""	"tʰ"	"aŋ"	"53"	"1"	"tang2"	"tang2"
"躺"	"tʰaŋ53"	""	"tʰ"	"aŋ"	"53"	"1"	"tang2"	"tang2"
"汤"	"tʰaŋ22"	"浩浩～～"	"tʰ"	"aŋ"	"22"	"2"	"tang1"	"tang1"
"通"	"tʰaŋ22"	""	"tʰ"	"aŋ"	"22"	"3"	"tang1"	"tang1"
