汉字	注释	大槐树	赵城	辛村	山头	堤村	淹底
菊		ʨy24	ʨy24	ʨy21	ʨy24	ʨy21	ʨy21
育		y21	y21	y21	y24	y21	y21
封		fəŋ21	fə̃21	fəŋ21	fə̃21	fen21	fəŋ21
峰		fəŋ21	fə̃21	fəŋ21	fə̃24	fen24	fəŋ24
蜂		fəŋ21	fə̃21	fəŋ21	fə̃21	fen21	fəŋ21
捧		pʰəŋ42	pʰə̃42	pʰəŋ42	pʰə̃42	pʰen24	pʰəŋ42
浓		nəŋ24	nə̃24	nuəŋ24	nə̃24	nuen24	nen24
龙		ləŋ24	lə̃24	ləŋ24	lə̃24	len24	ləŋ24
陇		luəŋ42	lə̃42	ləŋ24	luə̃42	luen42	ləŋ24
从	跟～	ʦʰuəŋ24	ʦʰuə̃24	ʦʰuəŋ24	ʦʰuə̃24	ʦʰuen24	ʦʰuəŋ24
重	～复	tʂʰuəŋ24	tʂʰuə̃24	tʂʰuəŋ24	tʂʰuə̃24	tʂʰuen24	tʂʰuəŋ24
重	轻～	tʂʰuen53	tʂʰuə̃53	tʂʰuen53	tʂʰuə̃53	tʂʰuen53	ʦʰuen53
钟		tʂuəŋ21	tʂuə̃21	tʂuəŋ21	tʂuə̃21	tʂuen21	tʂuəŋ21
蛊		tʂuəŋ21	tʂuə̃21	tʂuəŋ21	tʂuə̃21	tʂuen21	tʂuəŋ21
种	～类	tʂuəŋ24	tʂuə̃24	tʂuəŋ24	tʂuə̃24	tʂuen24	tʂuəŋ44
肿		tʂuen42	tʂuə̃42	tʂuen42	tʂuə̃42	tʂuen42	tʂuen42
种	～树	tʂuen33	tʂuə̃24	tʂuen44	tʂuə̃53	tʂuen24	tʂuen44
冲		tʂʰuəŋ21	tʂʰuə̃21	tʂʰuəŋ21	tʂʰuə̃21	tʂʰuen21	tʂʰuəŋ21
巩	～固	kuəŋ24	kuə̃42	kuəŋ42	kuə̃24	kuen42	kuəŋ44
恐		kʰuəŋ42	kʰuə̃42	kʰuəŋ42	kʰuə̃24	kʰuen42	kʰuəŋ42
共		kuəŋ53	kuə̃24	kuəŋ53	kuə̃24	kuen24	kuəŋ53
胸		ɕyəŋ21	ɕyə̃21	ɕyəŋ21	ɕyə̃21	ɕyen21	ɕyəŋ21
凶	吉～	ɕyəŋ21	ɕyə̃21	ɕyəŋ21	ɕyə̃21	ɕyen21	ɕyəŋ21
容		ʐuəŋ24	ʐuə̃24	ʐuəŋ24	ʐuə̃24	ʐuen24	yəŋ24
勇		yəŋ42	yə̃42	yəŋ42	yə̃42	yen42	yəŋ42
用		yəŋ53	yə̃53	yəŋ53	yə̃53	yen53	yəŋ53
绿		ly21	ly21	ly21	ly21	ly21	ly21
录		lou21	lou21	lou21	lou21	lou21	lou21
足		ʦu24	ʦou21	ʦu44	ʦu24	ʨy21	ʦou24
促		ʦʰuo21	ʦʰuo21	ʦʰuo21	ʦʰuo21	ʦʰu21	ʦʰo24
俗		ɕy21	ɕy24	ɕy21	ɕy24	ɕy24	su21
续		ɕy53	ɕy53	ɕy53	ɕy53	ɕy53	ɕy53
烛		tʂu21	tʂu21	tʂu21	tʂu21	tʂu21	tʂu21
触		tʂu24	tʂʰu24	tʂu24	tʂu24	tʂʰu21	tʂu21
蜀		ʂu24	ʂu24	ʂu24	ʂu24	ʂu24	fu24
属		ʂu24	ʂu24	ʂu24	ʂu24	ʂu24	fu24
曲	～折；歌～	ʨʰy21	ʨʰy21	ʨʰy21	ʨʰy21	ʨʰy21	ʨʰy42
局		ʨy24	ʨy24	ʨy24	ʨy24	ʨʰy24	ʨy24
玉		y21	y21	y21	y21	y21	y21
狱		y53	y53	y53	y24	y53	y53
欲		y53	y53	y53	y53	y53	y53
浴		y53	y53	y53	y53	y53	y53
