繁体	简体	IPA	注释	来源		#說明：	
硃	硃	tʃʯ1	餘~	鄉音字類			
株	株	tʃʯ1	~連	鄉音字類			
吱	吱	tʃʯ1	若要俏，凍得~~叫	蘇州同音常用字彙			
誅	诛	tʃʯ1	~殺	鄉音字類			
蛛	蛛	tʃʯ1	結~	鄉音字類			
邾	邾	tʃʯ1	①古國名。②姓	鄉音字類			
銖	铢	tʃʯ1	古代計算重量的單位：錙~必較	鄉音字類			
洙	洙	tʃʯ1	~水：河流名，在山東省，泗水的支流	鄉音字類			
茱	茱	tʃʯ1	~萸	鄉音字類			
諸	诸	tʃʯ1	姓	鄉音字類			
豬	猪	tʃʯ1	~頭三	鄉音字類			
猪	猪	tʃʯ1	同“豬”	蘇州同音字彙1892			
瀦	潴	tʃʯ1	①水流停聚（處）。②蓄積，積聚	鄉音字類			
之	之	tʃʯ1	味~素：味精	鄉音字類			
芝	芝	tʃʯ1	~麻萁：芝麻稈	鄉音字類			
知	知	tʃʯ1	~趣：懂得進退，不惹人討厭	鄉音字類			
躇	躇	tʃʯ1	讀音來源不明	蘇州同音字彙1892			
蜘	蜘	tʃʯ1	~蛛	蘇州同音常用字彙			
支	支	tʃʯ1	~持	鄉音字類			
枝	枝	tʃʯ1	樹椏~：樹枝	鄉音字類			
肢	肢	tʃʯ1	四~	鄉音字類			
卮	卮	tʃʯ1	①古代盛酒的器具。②量詞，相當於“杯”	鄉音字類			
禔	禔	tʃʯ1	福、安	鄉音字類			
栀	栀	tʃʯ1	~珠花：梔子花	鄉音字類			
祗	祗	tʃʯ1	敬，恭敬	鄉音字類			
脂	脂	tʃʯ1	胭~	鄉音字類			
榰	榰	tʃʯ1	①基石，柱脚。②支撐	鄉音字類			
只	只	tʃʯ3	語氣助詞	鄉音字類			
咫	咫	tʃʯ3	~尺	鄉音字類			
枳	枳	tʃʯ3	~實	鄉音字類			
軹	轵	tʃʯ3	①古代指車轂外端的小孔。②車軸端，軸頭	鄉音字類			
主	主	tʃʯ3	~客：顧客	鄉音字類			
拄	拄	tʃʯ3	~拐	鄉音字類			
止	止	tʃʯ3	~瀉	鄉音字類			
沚	沚	tʃʯ3	水中的小塊陸地	鄉音字類			
祉	祉	tʃʯ3	福	鄉音字類			
趾	趾	tʃʯ3	~高氣揚	鄉音字類			
芷	芷	tʃʯ3	白~	鄉音字類			
址	址	tʃʯ3	地~	鄉音字類			
厎	厎	tʃʯ3	定	鄉音字類			
黹	黹	tʃʯ3	縫紉，刺繡。本音	鄉音字類			
黹	黹	tʃʰʯ3	白讀：~襪底。聲調類推	蘇州同音常用字彙			
渚	渚	tʃʯ3	小洲，水中的小陸地	鄉音字類			
煑	煮	tʃʯ3	同“煮”	鄉音字類			
煮	煮	tʃʯ3	一種烹飪方法，將食物放入水或湯加熱烹熟。蘇州話一般不用	蘇州同音常用字彙			
旨	旨	tʃʯ3	宗~	鄉音字類			
指	指	tʃʯ3	~人節頭：食指	鄉音字類			
嘴	嘴	tʃʯ3	唊~舌：搬弄是非	蘇州同音常用字彙			
𡟹	𡟹	tʃʯ5	標~	蘇州同音字彙1892			
至	至	tʃʯ5	弗超~於：用不到這樣	鄉音字類			
贄	贽	tʃʯ5	古代初次拜見尊長所送的禮物	鄉音字類			
摯	挚	tʃʯ5	①親密，誠懇。②攫取。③同“贄”。④同“鷙”	鄉音字類			
鷙	鸷	tʃʯ5	①兇猛的鳥，如鷹、雕、梟等。②兇猛	鄉音字類			
懥	懥	tʃʯ5	忿恨、憤怒的樣子	鄉音字類			
轾	轾	tʃʯ5	軒~：車前高後低稱“軒”，車前低後高稱“輊”，用來喻高低優劣	鄉音字類			
㨖	㨖	tʃʯ5	①刺。②劫財。③到，直達。④密集	鄉音字類			
疐	疐	tʃʯ5	①阻擋，限止。②牽絆；顛仆。也作“躓”	鄉音字類			
躓	踬	tʃʯ5	①被東西絆倒：顛~。②事情不順利，受挫折：~踣。③文辭晦澀不順暢	鄉音字類			
痣	痣	tʃʯ5	飯~	蘇州同音常用字彙			
幟	帜	tʃʯ5	①旌旗，旗子：旗~。②記號，標記	鄉音字類			
疰	疰	tʃʯ5	~夏	蘇州同音常用字彙			
蛀	蛀	tʃʯ5	~蟲	蘇州同音常用字彙			
蛀	蛀	tʃʯ3		蘇州同音字彙1892			
鑄	铸	tʃʯ5	~造	鄉音字類			
澍	澍	tʃʯ5	①時雨。②雨潤及物。《集韻》：朱戍切	鄉音字類			
馵	馵	tʃʯ5	左後脚白色的馬	鄉音字類			
駐	驻	tʃʯ5	①車馬停止。②停留。③留住，保持	鄉音字類			
猘	猘	tʃʯ5	①狂犬，瘋狗。②瘋狂的。③兇猛，勇猛	鄉音字類			
寘	寘	tʃʯ5	①安置，放置。②棄置，廢止。③盡出。④滿	鄉音字類			
忮	忮	tʃʯ5	①嫉妒。②違逆	鄉音字類			
觶	觯	tʃʯ5	古代酒器，青銅製，形似尊而小，或有蓋。盛行於中國商代晩期和西周初期	鄉音字類			
置	置	tʃʯ5	安~	鄉音字類			
著	著	tʃʯ5	~名	鄉音字類			
翥	翥	tʃʯ5	高飛	鄉音字類			
智	智	tʃʯ5	~多星：泛指計謀多的人	鄉音字類			
熾	炽	tʃʯ5	《中州音韻》：張世切	鄉音字類			
饎	饎	tʃʯ5	①酒食。②炊熟，煮熟	鄉音字類			
熺	熺	tʃʯ5	同“熾”，炊也	鄉音字類			
晢	晢	tʃʯ5	~~：明亮的樣子	鄉音字類			
吹	吹	tʃʰʯ1	白讀：連~南風十八朝，曬得竹頭也要焦	蘇州同音常用字彙			
蚩	蚩	tʃʰʯ1	①無知，癡愚。②同“嗤”，譏笑。③同“媸”，醜陋	鄉音字類			
媸	媸	tʃʰʯ1	相貌醜陋，與“姸”相對	鄉音字類			
嗤	嗤	tʃʰʯ1	①譏笑。②形容笑的聲音。③形容撕紙的聲音	鄉音字類			
樞	枢	tʃʰʯ1	①門戶的轉軸。②中心部分、重要關鍵：中~。③北斗的第一顆星	鄉音字類			
姝	姝	tʃʰʯ1	①容貌美麗。②美女	鄉音字類			
櫖	櫖	tʃʰʯ1	同“樗”，臭椿	鄉音字類			
樗	樗	tʃʰʯ1	植物名，也稱爲臭椿	鄉音字類			
摴	摴	tʃʰʯ1	~蒱：一種古代賭博的遊戲	鄉音字類			
癡	痴	tʃʰʯ1	~頭怪腦：瘋瘋癲癲	鄉音字類			
痴	痴	tʃʰʯ1	~子：瘋子	蘇州同音常用字彙			
笞	笞	tʃʰʯ1	①用鞭或竹板打：鞭~。②古代一種用竹板鞭打的刑罰	鄉音字類			
瓻	瓻	tʃʰʯ1	古代陶製酒器	鄉音字類			
絺	絺	tʃʰʯ1	①細葛布：~素（細白葛布）。②姓	鄉音字類			
郗	郗	tʃʰʯ1	①古地名，在今河南省沁陽縣。②姓	鄉音字類			
褫	褫	tʃʰʯ1	理論應讀陰上：①脫掉，卸下。②剝奪，革除：~奪	鄉音字類			
摛	摛	tʃʰʯ1	①舒展。②鋪敘。③傳播，傳揚	鄉音字類			
螭	螭	tʃʰʯ1	古代傳說中的動物，外形似龍而無角	鄉音字類			
彲	彨	tʃʰʯ1	同“螭”	鄉音字類			
鴟	鸱	tʃʰʯ1	古書上指鷂鷹：~張（囂張、兇暴，像鴟張開翅膀一樣）	鄉音字類			
齒	齿	tʃʰʯ3	牙~	鄉音字類			
恥	耻	tʃʰʯ3	羞~	蘇州同音常用字彙			
耻	耻	tʃʰʯ3	羞~	鄉音字類			
杵	杵	tʃʰʯ3	①舂米或捶衣的木棒。②用長形的東西戳	鄉音字類			
哆	哆	tʃʰʯ3	張口的樣子。《廣韻》：尺氏切	鄉音字類			
侈	侈	tʃʰʯ3	奢~	鄉音字類			
恀	恀	tʃʰʯ3	依靠；仗恃	鄉音字類			
褚	褚	tʃʰʯ3	①製衣。②姓	鄉音字類			
楮	楮	tʃʰʯ3	①落葉喬木，樹皮是製造桑皮紙和宣紙的原料。②紙的代稱：~幣|~錢（舊俗祭祀時焚燒）	鄉音字類			
渚	渚	tʃʰʯ3	小洲，水中陸地。聲母理論不送氣	蘇州同音字彙1892			
鼠	鼠	tʃʰʯ3	黃~狼	鄉音字類			
癙	癙	tʃʰʯ3	①憂鬱病。②瘻瘡。理論應讀[ʃʯ⁵¹]	鄉音字類			
處	处	tʃʰʯ3	~暑	蘇州同音字彙1892			
處	处	tʃʰʯ5	嘸……~：沒有地方……	鄉音字類			
啻	啻	tʃʰʯ5	①但，只，僅。常用於疑問詞或否定詞後：不~|何~|奚~。②是；理。③餘，剩下	鄉音字類			
翅	翅	tʃʰʯ5	~膀	鄉音字類			
書	书	ʃʯ1	讀~	鄉音字類			
舒	舒	ʃʯ1	~服	鄉音字類			
紵	纻	ʃʯ1	疑記錯，或爲“紓”	鄉音字類			
詩	诗	ʃʯ1	~腐騰騰：指出言吐語文縐縐	鄉音字類			
施	施	ʃʯ1	~藥	鄉音字類			
鳲	鸤	ʃʯ1	~鳩：古書上指布穀鳥	鄉音字類			
蓍	蓍	ʃʯ1	~草	鄉音字類			
輸	输	ʃʯ1	~赢	鄉音字類			
妤	妤	ʃʯ1	理論應讀[ɦy²²³]	鄉音字類			
尿	尿	ʃʯ1	白讀：拆~（小便）。本音	蘇州同音常用字彙			
尿	尿	ʃʯ5	白讀。又音	蘇州同音字彙1892			
紓	纾	ʃʯ1	①緩和，解除：毀家~難。②寬裕，寬舒。③延緩	蘇州同音字彙1892			
抒	抒	ʃʯ1	①發洩，表達：~憤。②通“紓”，解除，清除	蘇州同音字彙1892			
水	水	ʃʯ3	白讀：~氽（江河水流猛漲）	蘇州同音常用字彙			
柕	柕	ʃʯ3	疑爲“杼”。《洪武正韻》：賞呂切	鄉音字類			
抒	抒	ʃʯ3	本音。《洪武正韻》：賞呂切	鄉音字類			
矢	矢	ʃʯ3	①箭：無的放~。②古代投壺燕飲時所用的籌碼。③通“屎”，糞便。④發誓：~志不忘。⑤正直的，端正的	鄉音字類			
黍	黍	ʃʯ3	玉蜀~，卽雨麥	鄉音字類			
暑	暑	ʃʯ3	處~	鄉音字類			
豕	豕	ʃʯ3	豬	鄉音字類			
始	始	ʃʯ3	一開~：開始時	鄉音字類			
伃	伃	ʃʯ3	理論應讀[ɦy²²³]：①倢~（女官名）。②大	鄉音字類			
妤	妤	ʃʯ3	理論應讀[ɦy²²³]	鄉音字類			
試	试	ʃʯ5	~~看	鄉音字類			
弑	弑	ʃʯ5	古時稱臣殺君、子殺父母	鄉音字類			
勢	势	ʃʯ5	僭~界：佔地太多。勢界，地方	鄉音字類			
世	世	ʃʯ5	現~：今生，這一輩子；丟人，出醜	鄉音字類			
貰	贳	ʃʯ5	①出借，租賃：~船。②賒欠。③寬貸，赦免	鄉音字類			
庶	庶	ʃʯ5	①衆多：富~。②平民，百姓：~民。③宗法制度下家庭的旁支，與“嫡”相對。④表示希望發生或出現某事，進行推測；但願，或許	鄉音字類			
恕	恕	ʃʯ5	①寬宥，原諒：寬~。②推己及人之道	鄉音字類			
戍	戍	ʃʯ5	①以兵卒防守邊疆。②守衛的人。③軍隊駐守的營房	鄉音字類			
儒	儒	ʒʯ2	~將	鄉音字類			
濡	濡	ʒʯ2	①沾濕，潤澤：~染。②停留，遲滯：~滯。③含忍：~忍	鄉音字類			
襦	襦	ʒʯ2	①短襖。②幼兒用的圍兜。③捕捉禽獸用的細密羅網	鄉音字類			
茹	茹	ʒʯ2	~苦含辛	鄉音字類			
洳	洳	ʒʯ2	~河	鄉音字類			
如	如	ʒʯ2	~意菜：黃豆芽。|作~：假如	鄉音字類			
袽	袽	ʒʯ2	破舊的衣服，古人用來堵塞舟船的漏洞	鄉音字類			
鴽	鴽	ʒʯ2	鵪鶉之類的小鳥	鄉音字類			
時	时	ʒʯ2	有常~……有常~……：有的時候……有的時候……	鄉音字類			
塒	埘	ʒʯ2	鑿墻做成的雞窩	鄉音字類			
鰣	鲥	ʒʯ2	~魚：海魚，每年春季到長江下游產卵，魚肉鮮美，富有脂肪，爲魚中之上品	鄉音字類			
漦	漦	ʒʯ2	①順流。②龍或魚的唾液	鄉音字類			
匙	匙	ʒʯ2	舀取流質液體的飲食用具	鄉音字類			
箷	箷	ʒʯ2	竿，衣架	鄉音字類			
氏	氏	ʒʯ4	~族	鄉音字類			
乳	乳	ʒʯ4	又音	鄉音字類			
乳	乳	dʒʯ4	~腐	蘇州同音字彙1892			
豎	竖	ʒʯ4	橫~橫，拆牛棚	鄉音字類			
𥪡	竖	dʒʯ6	同“豎”。又音。理論應讀陽上	蘇州同音字彙1892			
庤	庤	ʒʯ4	①儲備，儲藏。②準備，具備	鄉音字類			
痔	痔	ʒʯ4	~瘡	鄉音字類			
峙	峙	ʒʯ4	①聳立，對立：對~。②水中高土	鄉音字類			
畤	畤	ʒʯ4	①古代祭祀天地、五帝的祭壇。②水中的小塊陸地。③田際，田界。④土高出的地方。⑤通“庤”	鄉音字類			
恃	恃	ʒʯ4	有~無恐	鄉音字類			
廌	廌	ʒʯ4	古代傳說中的獨角獸。同“豸”	鄉音字類			
豸	豸	ʒʯ4	蟲~	鄉音字類			
豸	豸	dʒʯ6	又音。理論應讀陽上	蘇州同音字彙1892			
痓	痓	ʒʯ6	①惡。②痙攣。按韻書應讀[tʃʰʯ⁵²³]	鄉音字類			
示	示	ʒʯ6	告~	鄉音字類			
諡	谥	ʒʯ6	讀書音：①依死者生前的事跡所給予的稱號。②加諡號	鄉音字類			
樹	树	ʒʯ6	香椿~	鄉音字類			
侍	侍	ʒʯ6	讀書音：伺候，在旁邊陪著：陪~	鄉音字類			
誓	誓	ʒʯ6	宣~	鄉音字類			
逝	逝	ʒʯ6	~世	鄉音字類			
筮	筮	ʒʯ6	①古代用蓍草占卜吉凶的方法。②占卜	鄉音字類			
澨	澨	ʒʯ6	①堤防。②水邊，岸邊。③~水：古河名	鄉音字類			
噬	噬	ʒʯ6	①咬，吃：吞~。②侵吞，侵佔	鄉音字類			
嗜	嗜	ʒʯ6	~好	鄉音字類			
眂	眂	ʒʯ6	同“視”	鄉音字類			
孺	孺	ʒʯ4	又音	蘇州同音字彙1892			
孺	孺	ʒʯ6	本音。或讀且今讀陽平：①幼童，小孩：~子。②親慕，相親：~慕。③幼小，稚幼。④~人	鄉音字類			
儲	储	dʒʯ2	~蓄	鄉音字類			
躇	躇	dʒʯ2	躊~：猶豫不決；自得的樣子	鄉音字類			
除	除	dʒʯ2	~此之外	鄉音字類			
滁	滁	dʒʯ2	~河	鄉音字類			
篨	篨	dʒʯ2	籧~：一種粗的竹席，由竹或葦所編成；人體臃腫、不能下俯的病	鄉音字類			
踟	踟	dʒʯ2	~蹰：徘徊不前的樣子；相連接的樣子；一種古代接刻漏水的盛器	鄉音字類			
馳	驰	dʒʯ2	~騁	鄉音字類			
池	池	dʒʯ2	魚~	鄉音字類			
篪	篪	dʒʯ2	樂器名。一種形狀像笛的竹管樂器，橫吹，有八孔	鄉音字類			
趍	趍	dʒʯ2	①~趙：行走遲緩。②馳，奔跑。③衆多	鄉音字類			
殊	殊	dʒʯ2	~途同歸	鄉音字類			
殳	殳	ʒʯ2	又音	蘇州同音字彙1892			
殳	殳	dʒʯ2	①古代兵器名。以竹、木製成，一端有棱。②戟柄。③古代船尾用以控制方向的工具	鄉音字類			
蜍	蜍	dʒʯ2	蟾~，卽癩團	鄉音字類			
廚	厨	dʒʯ2	~子	鄉音字類			
躕	蹰	dʒʯ2	踟~：：徘徊不前的樣子；相連接的樣子；一種古代接刻漏水的盛器	鄉音字類			
幮	㡡	dʒʯ2	形狀似櫥子的床帳	鄉音字類			
橱	橱	dʒʯ2	五斗~：有五個抽屜的矮櫥	蘇州同音常用字彙			
𣗳	树	ʒʯ6	同“樹”	蘇州同音字彙1892			
遲	迟	dʒʯ2	~~疑疑：拿不定主意，猶豫	鄉音字類			
墀	墀	dʒʯ2	臺階上的平地：丹~|玉~	鄉音字類			
坻	坻	dʒʯ2	水中高地	鄉音字類			
蚳	蚳	dʒʯ2	螞蟻的卵	鄉音字類			
持	持	dʒʯ2	扶~	鄉音字類			
竾	竾	dʒʯ2	同“篪”	鄉音字類			
柱	柱	dʒʯ4	庭~：房屋的柱子	鄉音字類			
柱	柱	dʒʯ6	又音	蘇州同音字彙1892			
箸	箸	dʒʯ4	筷兒~籠：裝筷子的筒形器具。聲調應爲陽去	鄉音字類			
羜	羜	dʒʯ4	出生五個月的小羊	鄉音字類			
竚	伫	dʒʯ4	同“佇”	鄉音字類			
紵	纻	dʒʯ4	①一種麻料纖維。②用麻織成的布	鄉音字類			
宁	宁	dʒʯ4	①大門與屏風之間。②同“貯”，貯藏，積聚	鄉音字類			
寧	宁	ȵiɪn2	~波年糕	蘇州同音常用字彙			
苧	苎	dʒʯ4	~麻	鄉音字類			
貯	贮	dʒʯ4	積藏，儲蓄：~藏|~存	鄉音字類			
穉	穉	dʒʯ6	①幼。後作“稚”。②自驕矜貌	鄉音字類			
稚	稚	dʒʯ6	幼~園	鄉音字類			
住	住	dʒʯ6	~夜：過夜	鄉音字類			
滞	滞	dʒʯ6	①停留，靜止。②凝聚，積聚。③不流通	鄉音字類			
彘	彘	dʒʯ6	豬	鄉音字類			
摣	揸	tʃɑ1	~一把	蘇州同音常用字彙			
遮	遮	tʃɑ1	白讀：奢~（聰明，能幹）	鄉音字類			
樝	楂	tʃɑ1	同“楂”	鄉音字類			
柤	柤	tʃɑ1	①同“樝”，卽山楂。②渣滓。③木欄。④斫餘的殘樁	鄉音字類			
皻	皻	tʃɑ1	臉上或鼻上凸起的暗紅色小瘡	鄉音字類			
者	者	tʃɑ3	讀書音	鄉音字類			
赭	赭	tʃɑ3	讀書音：①紅褐色（的土）。②紫紅色的。③燒光，燒盡	鄉音字類			
蔗	蔗	tʃɑ5	讀書音	鄉音字類			
柘	柘	tʃɑ5	①植物名。②古同“蔗”，甘蔗	鄉音字類			
扯	扯	tʃʰɑ1	拉，使升起張開：~篷	蘇州同音常用字彙			
扯	扯	tʃʰɑ3	~~：閒談，攀談；多和少平均一下	蘇州同音常用字彙			
奢	奢	ʃɑ1	讀書音	鄉音字類			
耍	耍	ʃɑ3	~貨店	蘇州同音常用字彙			
耍	耍	ʃɑ5		蘇州同音字彙1892			
啥	啥	ʃɑ3		蘇州同音字彙1892			
啥	啥	ʃɑ5	爲~體	蘇州同音常用字彙			
赦	赦	ʃɑ5	讀書音	鄉音字類			
舍	舍	ʃɑ5	讀書音	鄉音字類			
厙	厍	ʃɑ5	讀書音	鄉音字類			
蛇	蛇	ʒɑ2	讀書音	鄉音字類			
社	社	ʒɑ6	讀書音	鄉音字類			
射	射	ʒɑ6	排洩大小便：~場尿	鄉音字類			
惹	惹	dʒɑ4	~動氣。聲母可能存疑	蘇州同音常用字彙			
鐘	钟	tʃoŋ1	做一日和尚撞一日~	鄉音字類			
鍾	锺	tʃoŋ1	姓	鄉音字類			
妐	妐	tʃoŋ1	稱謂：稱丈夫的父親、哥哥、姊姊	鄉音字類			
終	终	tʃoŋ1	有始有~	鄉音字類			
螽	螽	tʃoŋ1	~斯：昆蟲。身體綠色或褐色，善跳躍，對農作物有害	鄉音字類			
忠	忠	tʃoŋ1	~信	鄉音字類			
衷	衷	tʃoŋ1	~心	蘇州同音常用字彙			
悰	悰	tʃoŋ1	理論應讀從母：①樂趣；②心情，心緖：~緖	蘇州同音字彙1892			
中	中	tʃoŋ1	~央	鄉音字類			
盅	盅	tʃoŋ1	酒~	蘇州同音常用字彙			
騌	骔	tʃoŋ1	同“鬃”	蘇州同音字彙1892			
踵	踵	tʃoŋ3	①脚後跟，鞋後跟：接~而至。②追隨，跟隨。③繼承，繼續。④登臨	鄉音字類			
腫	肿	tʃoŋ3	①毒瘡，癰疽。②皮肉浮脹：蘇州話用“虛”表示腫，讀[he⁴⁴]。③粗大，肥胖：臃~	鄉音字類			
尰	尰	tʃoŋ3	一種足部浮腫的疾病	鄉音字類			
瘇	尰	tʃoŋ3	同“尰”	蘇州同音字彙1892			
衆	众	tʃoŋ5	民~敎育	鄉音字類			
種	种	tʃoŋ3	嘸不~：沒有膽量	蘇州同音字彙1892			
種	种	tʃoŋ5	芒~	鄉音字類			
中	中	tʃoŋ5	必發必~	蘇州同音常用字彙			
充	充	tʃʰoŋ1	~開水	鄉音字類			
珫	珫	tʃʰoŋ1	~耳：同“充耳”。古人冠冕上垂在兩側當耳處的玉、貝等裝飾物	鄉音字類			
种	种	tʃʰoŋ1	姓	鄉音字類			
忡	忡	tʃʰoŋ1	~~：憂慮不安的樣子	鄉音字類			
憧	憧	tʃʰoŋ1	~憬	鄉音字類			
罿	罿	tʃʰoŋ1	①卽罦，一種捕鳥的網。②捕魚的網	鄉音字類			
舂	舂	tʃʰoŋ1		鄉音字類			
舂	舂	ʃoŋ1	~米：把穀或糙米放在石臼裏搗去皮殼	蘇州同音常用字彙			
樁	樁	tʃʰoŋ1	①擊。②刺	鄉音字類			
穹	穹	tʃʰoŋ1	白讀：~窿山	蘇州同音常用字彙			
寵	宠	tʃʰoŋ3	得~	鄉音字類			
㧤	㧤	tʃʰoŋ5	①跳。②撞擊	蘇州同音字彙1892			
銃	铳	tʃʰoŋ5	吃~貨：買進僞劣商品	蘇州同音常用字彙			
𠑙	𠑙	tʃʰoŋ5	人傾撲未倒：~過去跌一交	蘇州同音常用字彙			
氄	氄	ʒoŋ4	鳥獸細密的毛髮	鄉音字類			
蟲	虫	dʒoŋ2	蛓毛~：一種樹上的有刺的毛蟲；指人脾氣壞，容易發怒，不好親近	鄉音字類			
爞	爞	dʒoŋ2	①~~：熏烤。②旱熱之氣	鄉音字類			
重	重	dʒoŋ2	~~疊疊。聲母可能存疑	蘇州同音常用字彙			
仲	仲	dʒoŋ6	①位置居中的。②兄弟排行第二。③姓	鄉音字類			
重	重	dʒoŋ6	輕~	蘇州同音常用字彙			
庄	庄	tʃɔŋ1	同“莊”	蘇州同音字彙1892			
莊	庄	tʃɔŋ1	姓	鄉音字類			
裝	装	tʃɔŋ1	~榫頭：故意陷害	鄉音字類			
樁	樁	tʃɔŋ1	打~	鄉音字類			
妝	妆	tʃɔŋ1	發~：指結婚那天，女方開始將嫁妝送往男方	鄉音字類			
壯	壮	tʃɔŋ5	强~	鄉音字類			
瘡	疮	tʃʰɔŋ1	楊梅~：梅毒	鄉音字類			
闖	闯	tʃʰɔŋ5	~階頭：串門。|~禍坯：指經常闖禍的人	鄉音字類			
雙	双	ʃɔŋ1	~~子：卽雙胞胎	鄉音字類			
艭	艭	ʃɔŋ1	船隻	鄉音字類			
𢥠	愯	ʃɔŋ1	同“愯”，恐懼	鄉音字類			
瀧	泷	ʃɔŋ1	①水名。卽今廣東省西江支流羅定江。②古州名。南朝梁置，治龍鄉縣（今廣東省羅定市東南）。③~岡：山名，在江西省永豐縣南鳳凰山	鄉音字類			
霜	霜	ʃɔŋ1	~降	鄉音字類			
驦	骦	ʃɔŋ1	骕~：良馬名	鄉音字類			
孀	孀	ʃɔŋ1	孤~：寡婦	鄉音字類			
礵	礵	ʃɔŋ1	砒~	蘇州同音字彙1892			
商	商	ʃɔŋ1	~量北寺塔：指多次商量而無果	蘇州同音字彙1892			
爽	爽	ʃɔŋ3	東西晾在通風處使潮氣去掉，變得乾燥：衣裳朆乾醒（乾透），再拿出去~~	蘇州同音字彙1892			
撞	撞	ʒɔŋ2	又音	鄉音字類			
撞	撞	dʒɔŋ6	~~看：沒有把握的情況下試試看	蘇州同音字彙1892			
幢	幢	ʒɔŋ2	①原指支撐帳幕、傘蓋、旌旗的木桿，後借指帳幕、傘蓋、旌旗。②~~：形容影子搖晃：人影~~。③刻著佛號或經咒的石柱：經~	鄉音字類			
床	床	ʒɔŋ2	~鋪	鄉音字類			
床	床	dʒɔŋ2	又音	蘇州同音字彙1892			
狀	状	ʒɔŋ6	又音	鄉音字類			
狀	状	dʒɔŋ6	惡形惡~：形容行爲乖戾、不體面、不近人情	蘇州同音字彙1892			
戇	戆	ʒɔŋ6	剛直	鄉音字類			
戇	戆	ɡɔŋ6	~大	蘇州同音常用字彙			
章	章	tʃaŋ1	文讀：文~	鄉音字類			
樟	樟	tʃaŋ1	文讀	鄉音字類			
彰	彰	tʃaŋ1	~明較著	鄉音字類			
嫜	嫜	tʃaŋ1	姑~：古代稱丈夫的母親或父親	鄉音字類			
璋	璋	tʃaŋ1	玉器，形如半圭	鄉音字類			
張	张	tʃaŋ1	姓	鄉音字類			
漳	漳	tʃaŋ1	~江：水名，也叫“九龍江”	鄉音字類			
粻	粻	tʃaŋ1	糧食	鄉音字類			
長	长	tʃaŋ3	~輩	蘇州同音常用字彙			
仉	仉	tʃaŋ3	姓	鄉音字類			
掌	掌	tʃaŋ3	手~	鄉音字類			
漲	涨	tʃaŋ3	水~船高	蘇州同音常用字彙			
障	障	tʃaŋ5	~礙	鄉音字類			
瘴	瘴	tʃaŋ5	山林間濕熱蒸鬱的毒氣，中國西南部山區常見：~氣	鄉音字類			
嶂	嶂	tʃaŋ5	形容高險像屏障的山：層巒疊~	鄉音字類			
帳	帐	tʃaŋ5	~子	鄉音字類			
漲	涨	tʃaŋ5	~性：米的出飯率。|~水：河中水位上升	鄉音字類			
幛	幛	tʃaŋ5	①在佈帛上題字，作爲慶賀或祭弔的禮品。②遮蔽，遮擋	鄉音字類			
賬	账	tʃaŋ5	軋~：核對收支賬目	蘇州同音字彙1892			
脹	胀	tʃaŋ5	身體內壁受到壓迫而產生不舒服的感覺：肚膨氣~|吃半碗飯肚皮~得唻	蘇州同音字彙1892			
仗	仗	tʃaŋ5	打~	蘇州同音字彙1892			
鬯	鬯	tʃaŋ5	理論應讀[tʃʰaŋ⁵²³]：①古代祭祀時所用的香酒，由鬱金香釀秬黍而成。②弓套。③通“暢”，草木茂盛	蘇州同音字彙1892			
