#漢字	常家河	榜羅	第三舖	李家店	碧玉	雞川	馬營	寺子川
真	tʂəŋ³¹²	tʂəŋ⁴¹²	tʂəŋ³¹²	tʂəŋ³¹²	tʂəŋ¹³	tʂəŋ¹³	tʂəŋ¹³	tʂəŋ¹³
身	ʂəŋ³¹²	ʂəŋ⁴¹²	ʂəŋ³¹²	ʂəŋ³¹²	ʂəŋ¹³	ʂəŋ¹³	ʂəŋ¹³	ʂəŋ¹³
失	ʂʅ³¹²	ʂʅ⁴¹²	ʂʅ³¹²	ʂʅ³¹²	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³
刃	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴
日(~头)	ʐə³¹²	ʐə⁴¹²	ʐə³¹²	ʐə³¹²	ʐə¹³	ʐə¹³	ʐə¹³	ʐə¹³
巾	tɕiŋ³¹²	tɕiŋ⁴¹²	tɕiŋ³¹²	tɕiŋ³¹²	tɕiŋ¹³	tɕiŋ¹³	tɕiŋ¹³	tɕiŋ¹³
乞	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³
仅	tɕiŋ⁵³	tɕiŋ⁵³	tɕiŋ⁵³	tɕiŋ⁵³	tɕiŋ⁵³	tɕiŋ⁵³	tɕiŋ⁵³	tɕiŋ⁵³
勤	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³
欣	ɕiŋ³¹²	ɕiŋ⁴¹²	ɕiŋ³¹²	ɕiŋ³¹²	ɕiŋ¹³	ɕiŋ¹³	ɕiŋ¹³	ɕiŋ¹³
印	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴
一	ʑi³¹²	ʑi⁴¹²	ʑi³¹²	ʑi³¹²	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³
本	pəŋ⁵³	pəŋ⁵³	pəŋ⁵³	pəŋ⁵³	pəŋ⁵³	pəŋ⁵³	pəŋ⁵³	pəŋ⁵³
喷	pʰəŋ³¹²	pʰəŋ⁴¹²	pʰəŋ³¹²	pʰəŋ³¹²	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³
饽	pə¹³	pə¹³	pə¹³	pə¹³	pə¹³	pə¹³	pə¹³	pə¹³
门	məŋ¹³	məŋ¹³	məŋ¹³	məŋ¹³	məŋ¹³	məŋ¹³	məŋ¹³	məŋ¹³
没	mə³¹²	mə⁴¹²	mə³¹²	mə³¹²	mə¹³	mə¹³	mə¹³	mə¹³
墩	tuŋ³¹²	tuŋ⁴¹²	tuŋ³¹²	tuŋ³¹²	tuŋ¹³	tuŋ¹³	tuŋ¹³	tuŋ¹³
突	tʰu³¹²	tʰu⁴¹²	tʰu³¹²	tʰu³¹²	tʰu¹³	tʰu¹³	tʰu¹³	tʰu¹³
嫩	luŋ⁴⁴	luŋ⁴⁴	luŋ⁴⁴	luŋ⁴⁴	luŋ⁴⁴	luŋ⁴⁴	luŋ⁴⁴	luŋ⁴⁴
论	luŋ⁴⁴	luŋ⁴⁴	luŋ⁴⁴	luŋ⁴⁴	luŋ⁴⁴	luŋ⁴⁴	luŋ⁴⁴	luŋ⁴⁴
律	tɕy³¹²	tɕy⁴¹²	tɕy³¹²	ly³¹²	ly¹³	ly¹³	ly¹³	ly¹³
遵	tsuŋ³¹²	tsuŋ⁴¹²	tsuŋ³¹²	tsuŋ³¹²	tsuŋ¹³	tsuŋ¹³	tsuŋ¹³	tsuŋ¹³
卒(兵~)	tsu¹³	tsu¹³	tsu¹³	tsu¹³	tsu¹³	tsu¹³	tsu¹³	tsu¹³
村	tsʰuŋ³¹²	tsʰuŋ⁴¹²	tsʰuŋ³¹²	tsʰuŋ³¹²	tsʰuŋ¹³	tsʰuŋ¹³	tsʰuŋ¹³	tsʰuŋ¹³
皴	tɕʰuŋ³¹²	tɕʰuŋ⁴¹²	tɕʰuŋ³¹²	tɕʰuŋ³¹²	tɕʰuŋ¹³	tɕʰuŋ¹³	tɕʰuŋ¹³	tɕʰuŋ¹³
孙	suŋ³¹²	suŋ⁴¹²	suŋ³¹²	suŋ³¹²	suŋ¹³	suŋ¹³	suŋ¹³	suŋ¹³
准	tʃʯŋ⁵³	tʃʯŋ⁵³	tʃʯŋ⁵³	tʃʯŋ⁵³	tʃʯŋ⁵³	tʃʯŋ⁵³	tʃʯŋ⁵³	tʃʯŋ⁵³
巡	ɕyŋ¹³	ɕyŋ¹³	ɕyŋ¹³	ɕyŋ¹³	ɕyŋ¹³	ɕyŋ¹³	ɕyŋ¹³	ɕyŋ¹³
椿	tʃʰʯŋ³¹²	tʃʰʯŋ⁴¹²	tʃʰʯŋ³¹²	tʃʰʯŋ³¹²	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³
术	ʃʯ³¹²	ʃʯ⁴¹²	ʃʯ³¹²	ʃʯ³¹²	ʃʯ¹³	ʃʯ¹³	ʃʯ¹³	ʃʯ¹³
春	tʃʰʯŋ³¹²	tʃʰʯŋ⁴¹²	tʃʰʯŋ³¹²	tʃʰʯŋ³¹²	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³
出	tʃʰʯ³¹²	tʃʰʯ⁴¹²	tʃʰʯ³¹²	tʃʰʯ³¹²	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³
纯	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³
润	ʒʯŋ⁴⁴	ʒʯŋ⁴⁴	ʒʯŋ⁴⁴	ʒʯŋ⁴⁴	ʒʯŋ⁴⁴	ʒʯŋ⁴⁴	ʒʯŋ⁴⁴	ʒʯŋ⁴⁴
滚	kuŋ⁵³	kuŋ⁵³	kuŋ⁵³	kuŋ⁵³	kuŋ⁵³	kuŋ⁵³	kuŋ⁵³	kuŋ⁵³
均	tɕyŋ³¹²	tɕyŋ⁴¹²	tɕyŋ³¹²	tɕyŋ³¹²	tɕyŋ¹³	tɕyŋ¹³	tɕyŋ¹³	tɕyŋ¹³
骨	ku³¹²	ku⁴¹²	ku³¹²	ku³¹²	ku¹³	ku¹³	ku¹³	ku¹³
婚	xuŋ³¹²	xuŋ⁴¹²	xuŋ³¹²	xuŋ³¹²	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³
忽	xu³¹²	xu⁴¹²	xu³¹²	xu³¹²	xu¹³	xu¹³	xu¹³	xu¹³
稳	uəŋ⁵³	uəŋ⁵³	uəŋ⁵³	vəŋ⁵³	uəŋ⁵³	uəŋ⁵³	uəŋ⁵³	vəŋ⁵³
允	yŋ⁵³	yŋ⁵³	yŋ⁵³	yŋ⁵³	yŋ⁵³	yŋ⁵³	yŋ⁵³	yŋ⁵³
粉	fəŋ⁵³	fəŋ⁵³	fəŋ⁵³	fəŋ⁵³	fəŋ⁵³	fəŋ⁵³	fəŋ⁵³	fəŋ⁵³
佛	fə¹³	fə¹³	fə¹³	fə¹³	fə¹³	fə¹³	fə¹³	fə¹³
文	uəŋ¹³	uəŋ¹³	uəŋ¹³	vəŋ¹³	uəŋ¹³	uəŋ¹³	uəŋ¹³	vəŋ¹³
物	uə³¹²	uə⁴¹²	uə³¹²	vuə³¹²	uə¹³	uə¹³	uə¹³	vuə¹³
军	tɕyŋ³¹²	tɕyŋ⁴¹²	tɕyŋ³¹²	tɕyŋ³¹²	tɕyŋ¹³	tɕyŋ¹³	tɕyŋ¹³	tɕyŋ¹³
屈	tɕʰy³¹²	tɕʰy⁴¹²	tɕʰy³¹²	tɕʰy³¹²	tɕʰy¹³	tɕʰy¹³	tɕʰy¹³	tɕʰy¹³
训	ɕyŋ⁴⁴	ɕyŋ⁴⁴	ɕyŋ⁴⁴	ɕyŋ⁴⁴	ɕyŋ⁴⁴	ɕyŋ⁴⁴	ɕyŋ⁴⁴	ɕyŋ⁴⁴
云	uəŋ¹³	uəŋ¹³	uəŋ¹³	ʑyŋ¹³	ʑyŋ¹³	ʑyŋ¹³	ʑyŋ¹³	ʑyŋ¹³
晕	ʑyŋ³¹²	ʑyŋ⁴¹²	ʑyŋ³¹²	ʑyŋ³¹²	ʑyŋ¹³	ʑyŋ¹³	ʑyŋ¹³	ʑyŋ¹³
帮	paŋ³¹²	paŋ⁴¹²	paŋ³¹²	paŋ³¹²	paŋ¹³	paŋ¹³	paŋ¹³	paŋ¹³
博	pə¹³	pə¹³	pə¹³	pə¹³	pə¹³	pə¹³	pə¹³	pə¹³
旁	pʰaŋ¹³	pʰaŋ¹³	pʰaŋ¹³	pʰaŋ¹³	pʰaŋ¹³	pʰaŋ¹³	pʰaŋ¹³	pʰaŋ¹³
薄	pʰə¹³	pʰə¹³	pʰə¹³	pʰə¹³	pʰə¹³	pʰə¹³	pʰə¹³	pʰə¹³
蟒	maŋ⁵³	maŋ⁵³	maŋ⁵³	maŋ⁵³	maŋ⁵³	maŋ⁵³	maŋ⁵³	maŋ⁵³
膜	mə⁵³	mə⁵³	mə⁵³	mə⁵³	mə⁵³	mə⁵³	mə⁵³	mə⁵³
挡	taŋ⁴⁴	taŋ⁴⁴	taŋ⁴⁴	taŋ⁴⁴	taŋ⁴⁴	taŋ⁴⁴	taŋ⁴⁴	taŋ⁴⁴
汤	tʰaŋ³¹²	tʰaŋ⁴¹²	tʰaŋ³¹²	tʰaŋ³¹²	tʰaŋ¹³	tʰaŋ¹³	tʰaŋ¹³	tʰaŋ¹³
托	tʰə³¹²	tʰə⁴¹²	tʰə³¹²	tʰə³¹²	tʰə¹³	tʰə¹³	tʰə¹³	tʰə¹³
宕(~昌)	tʰæn⁴⁴	tʰæn⁴⁴	tʰæn⁴⁴	tʰæn⁴⁴	tʰæ̃⁴⁴	tʰæ̃⁴⁴	tʰæ̃⁴⁴	tʰæ̃⁴⁴
囊	laŋ¹³	laŋ¹³	laŋ¹³	laŋ¹³	laŋ¹³	laŋ¹³	laŋ¹³	laŋ¹³
郎	laŋ¹³	laŋ¹³	laŋ¹³	laŋ¹³	laŋ¹³	laŋ¹³	laŋ¹³	laŋ¹³
诺	lə³¹²	lə⁴¹²	lə³¹²	lə³¹²	lə¹³	lə¹³	lə¹³	lə¹³
落	lə¹³	lə¹³	lə¹³	lə¹³	lə¹³	lə¹³	lə¹³	lə¹³
脏	tsaŋ³¹²	tsaŋ⁴¹²	tsaŋ³¹²	tsaŋ³¹²	tsaŋ¹³	tsaŋ¹³	tsaŋ¹³	tsaŋ¹³
作	tsə³¹²	tsə⁴¹²	tsə³¹²	tsə³¹²	tsuə¹³	tsə¹³	tsuə¹³	tsə¹³
仓	tsʰaŋ³¹²	tsʰaŋ⁴¹²	tsʰaŋ³¹²	tsʰaŋ³¹²	tsʰaŋ¹³	tsʰaŋ¹³	tsʰaŋ¹³	tsʰaŋ¹³
错	tsʰə⁴⁴	tsʰə⁴⁴	tsʰə⁴⁴	tsʰə⁴⁴	tsʰə⁴⁴	tsʰə⁴⁴	tsʰə⁴⁴	tsʰə⁴⁴
藏(隐~)	tsʰiaŋ¹³	tsʰiaŋ¹³	tsʰiaŋ¹³	tɕʰiaŋ¹³	tɕʰiaŋ¹³	tsʰiaŋ¹³	tɕʰiaŋ¹³	tɕʰiaŋ¹³
昨	tsʰə¹³	tsʰə¹³	tsʰə¹³	tsʰə¹³	tsʰə¹³	tsʰə¹³	tsʰə¹³	tsʰə¹³
桑	saŋ³¹²	saŋ³¹²	saŋ³¹²	saŋ³¹²	saŋ¹³	saŋ¹³	saŋ¹³	saŋ¹³
索	suə⁵³	suə⁵³	suə⁵³	suə⁵³	suə⁵³	suə⁵³	suə⁵³	suə⁵³
缸	kaŋ³¹²	kaŋ⁴¹²	kaŋ³¹²	kaŋ³¹²	kaŋ¹³	kaŋ¹³	kaŋ¹³	kaŋ¹³
各	kə³¹²	kə⁴¹²	kə³¹²	kə³¹²	kə¹³	kə¹³	kə¹³	kə¹³
炕	kʰaŋ⁴⁴	kʰaŋ⁴⁴	kʰaŋ⁴⁴	kʰaŋ⁴⁴	kʰaŋ⁴⁴	kʰaŋ⁴⁴	kʰaŋ⁴⁴	kʰaŋ⁴⁴
蛰	tʂə³¹²	tʂə⁴¹²	tʂə³¹²	tʂə³¹²	tʂə¹³	tʂə¹³	tʂə¹³	tʂə¹³
鹤	xə¹³	xə¹³	xə¹³	xə¹³	xə¹³	xə¹³	xə¹³	xə¹³
杭	xaŋ¹³	xaŋ¹³	xaŋ¹³	xaŋ¹³	xaŋ¹³	xaŋ¹³	xaŋ¹³	xaŋ¹³
恶	kə⁴⁴	kə⁴⁴	kə⁴⁴	kə⁴⁴	kə⁴⁴	kə⁴⁴	kə⁴⁴	kə⁴⁴
娘	tɕiaŋ¹³/tɕia¹³	tɕiaŋ¹³/tɕia¹³	tɕiaŋ¹³/tɕia¹³	ȵiaŋ¹³/ȵia¹³	ȵiaŋ¹³/ȵia¹³	ȵiaŋ¹³/ȵia¹³	ȵiaŋ¹³/ȵia¹³	ȵiaŋ¹³/ȵia¹³
醸	ʐaŋ⁵³	ʐaŋ⁵³	ʐaŋ⁵³	ʐaŋ⁵³	ʐaŋ⁵³	ʐaŋ⁵³	ʐaŋ⁵³	ʐaŋ⁵³
粮	liaŋ¹³	liaŋ¹³	liaŋ¹³	liaŋ¹³	liaŋ¹³	liaŋ¹³	liaŋ¹³	liaŋ¹³
略	liə³¹²	liə⁴¹²	liə³¹²	liə³¹²	liə¹³	liə¹³	liə¹³	liə¹³
蒋	tsiaŋ⁵³	tsiaŋ⁵³	tsiaŋ⁵³	tɕiaŋ⁵³	tɕiaŋ⁵³	tsiaŋ⁵³	tɕiaŋ⁵³	tɕiaŋ⁵³
雀	tsʰiɔ⁵³	tsʰiɔ⁵³	tsʰiɔ⁵³	tɕʰiɔ⁵³	tɕʰiɔ⁵³	tsʰiɔ⁵³	tɕʰiɔ⁵³	tɕʰiɔ⁵³
抢	tsʰiaŋ⁵³	tsʰiaŋ⁵³	tsʰiaŋ⁵³	tɕʰiaŋ⁵³	tɕʰiaŋ⁵³	tsʰiaŋ⁵³	tɕʰiaŋ⁵³	tɕʰiaŋ⁵³
鹊	tsʰiə³¹²	tsʰiə⁴¹²	tsʰiə³¹²	tɕʰiə³¹²	tɕʰiə¹³	tsʰiə¹³	tɕʰiə¹³	tɕʰiə¹³
墙	tsʰiaŋ¹³	tsʰiaŋ¹³	tsʰiaŋ¹³	tɕʰiaŋ¹³	tɕʰiaŋ¹³	tsʰiaŋ¹³	tɕʰiaŋ¹³	tɕʰiaŋ¹³
匠	tsʰiaŋ⁴⁴	tsʰiaŋ⁴⁴	tsʰiaŋ⁴⁴	tɕʰiaŋ⁴⁴	tɕʰiaŋ⁴⁴	tsʰiaŋ⁴⁴	tɕʰiaŋ⁴⁴	tɕʰiaŋ⁴⁴
想	siaŋ⁵³	siaŋ⁵³	siaŋ⁵³	ɕiaŋ⁵³	ɕiaŋ⁵³	siaŋ⁵³	ɕiaŋ⁵³	ɕiaŋ⁵³
削	siɔ³¹²	siɔ⁴¹²	siɔ³¹²	ɕiɔ³¹²	ɕiɔ¹³	siɔ¹³	ɕiɔ¹³	ɕiɔ¹³
详	siaŋ¹³	siaŋ¹³	siaŋ¹³	ɕiaŋ¹³	ɕiaŋ¹³	siaŋ¹³	ɕiaŋ¹³	ɕiaŋ¹³
胀	tʂaŋ⁴⁴	tʂaŋ⁴⁴	tʂaŋ⁴⁴	tʂaŋ⁴⁴	tʂaŋ⁴⁴	tʂaŋ⁴⁴	tʂaŋ⁴⁴	tʂaŋ⁴⁴
丈	tʂʰaŋ⁴⁴	tʂʰaŋ⁴⁴	tʂʰaŋ⁴⁴	tʂʰaŋ⁴⁴	tʂʰaŋ⁴⁴	tʂʰaŋ⁴⁴	tʂʰaŋ⁴⁴	tʂʰaŋ⁴⁴
着(睡~)	tʂʰə¹³	tʂʰə¹³	tʂʰə¹³	tʂʰə¹³	tʂʰə¹³	tʂʰə¹³	tʂʰə¹³	tʂʰə¹³
庄	tʃʯaŋ³¹²	tʃʯaŋ⁴¹²	tʃʯaŋ³¹²	tʃʯaŋ³¹²	tʃʯaŋ¹³	tʃʯaŋ¹³	tʃʯaŋ¹³	tʃʯaŋ¹³
闯	tʃʰʯaŋ⁵³	tʃʰʯaŋ⁵³	tʃʰʯaŋ⁵³	tʃʰʯaŋ⁵³	tʃʰʯaŋ⁵³	tʃʰʯaŋ⁵³	tʃʰʯaŋ⁵³	tʃʰʯaŋ⁵³
状	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴
霜	ʃʯaŋ³¹²	ʃʯaŋ⁴¹²	ʃʯaŋ³¹²	ʃʯaŋ³¹²	ʃʯaŋ¹³	ʃʯaŋ¹³	ʃʯaŋ¹³	ʃʯaŋ¹³
掌	tʂaŋ⁵³	tʂaŋ⁵³	tʂaŋ⁵³	tʂaŋ⁵³	tʂaŋ⁵³	tʂaŋ⁵³	tʂaŋ⁵³	tʂaŋ⁵³
昌	tʂʰaŋ⁵³	tʂʰaŋ⁵³	tʂʰaŋ⁵³	tʂʰaŋ⁵³	tʂʰaŋ⁵³	tʂʰaŋ⁵³	tʂʰaŋ⁵³	tʂʰaŋ⁵³
焯	tʂʰə³¹²	tʂʰə⁴¹²	tʂʰə³¹²	tʂʰə³¹²	tʂʰə¹³	tʂʰə¹³	tʂʰə¹³	tʂʰə¹³
勺	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³
攘	ʐaŋ⁵³	ʐaŋ⁵³	ʐaŋ⁵³	ʐaŋ⁵³	ʐaŋ⁵³	ʐaŋ⁵³	ʐaŋ⁵³	ʐaŋ⁵³
弱	ʐə³¹²	ʐə⁴¹²	ʐə³¹²	ʐə³¹²	ʐə¹³	ʐə¹³	ʐə¹³	ʐə¹³
疆	tɕiaŋ³¹²	tɕiaŋ⁴¹²	tɕiaŋ³¹²	tɕiaŋ³¹²	tɕiaŋ¹³	tɕiaŋ¹³	tɕiaŋ¹³	tɕiaŋ¹³
脚	tɕiə³¹²	tɕiə⁴¹²	tɕiə³¹²	tɕiə³¹²	tɕiə¹³	tɕiə¹³	tɕiə¹³	tɕiə¹³
强	tɕʰiaŋ¹³	tɕʰiaŋ¹³	tɕʰiaŋ¹³	tɕʰiaŋ¹³	tɕʰiaŋ¹³	tɕʰiaŋ¹³	tɕʰiaŋ¹³	tɕʰiaŋ¹³
享	ɕiaŋ⁵³	ɕiaŋ⁵³	ɕiaŋ⁵³	ɕiaŋ⁵³	ɕiaŋ⁵³	ɕiaŋ⁵³	ɕiaŋ⁵³	ɕiaŋ⁵³
央	iaŋ³¹²	iaŋ⁴¹²	iaŋ³¹²	iaŋ³¹²	iaŋ¹³	iaŋ¹³	iaŋ¹³	iaŋ¹³
约	iə³¹²	iə⁴¹²	iə³¹²	iə³¹²	iə¹³	iə¹³	iə¹³	iə¹³
洋	iaŋ¹³	iaŋ¹³	iaŋ¹³	iaŋ¹³	iaŋ¹³	iaŋ¹³	iaŋ¹³	iaŋ¹³
痒	tɕiɔ⁵³	tɕiɔ⁵³	tɕiɔ⁵³	ȵiɔ⁵³	ȵiɔ⁵³	ȵiɔ⁵³	ȵiɔ⁵³	ȵiɔ⁵³
药	iə³¹²	iə⁴¹²	iə³¹²	iə³¹²	iə¹³	iə¹³	iə¹³	iə¹³
放	faŋ⁴⁴	faŋ⁴⁴	faŋ⁴⁴	faŋ⁴⁴	faŋ⁴⁴	faŋ⁴⁴	faŋ⁴⁴	faŋ⁴⁴
访	faŋ⁵³	faŋ⁵³	faŋ⁵³	faŋ⁵³	faŋ⁵³	faŋ⁵³	faŋ⁵³	faŋ⁵³
房	faŋ¹³	faŋ¹³	faŋ¹³	faŋ¹³	faŋ¹³	faŋ¹³	faŋ¹³	faŋ¹³
缚	fu³¹²	fu³¹²	fu³¹²	fu³¹²	fu¹³	fu¹³	fu¹³	fu¹³
忘	uaŋ⁴⁴	uaŋ⁴⁴	uaŋ⁴⁴	vaŋ⁴⁴	uaŋ⁴⁴	uaŋ⁴⁴	uaŋ⁴⁴	vaŋ⁴⁴
光	kuaŋ³¹²	kuaŋ⁴¹²	kuaŋ³¹²	kuaŋ³¹²	kuaŋ¹³	kuaŋ¹³	kuaŋ¹³	kuaŋ¹³
郭	kuə³¹²	kuə⁴¹²	kuə³¹²	kuə³¹²	kuə¹³	kuə¹³	kuə¹³	kuə¹³
镢	tɕyə³¹²	tɕyə⁴¹²	tɕyə³¹²	tɕyə³¹²	tɕyə¹³	tɕyə¹³	tɕyə¹³	tɕyə¹³
狂	kʰuaŋ¹³	kʰuaŋ¹³	kʰuaŋ¹³	kʰuaŋ¹³	kʰuaŋ¹³	kʰuaŋ¹³	kʰuaŋ¹³	kʰuaŋ¹³
荒	xuaŋ³¹²	xuaŋ⁴¹²	xuaŋ³¹²	xuaŋ³¹²	xuaŋ¹³	xuaŋ¹³	xuaŋ¹³	xuaŋ¹³
劐	xuə³¹²	xuə⁴¹²	xuə³¹²	xuə³¹²	xuə¹³	xuə¹³	xuə¹³	xuə¹³
雹	pɔ¹³	pɔ¹³	pɔ¹³	pɔ¹³	pɔ¹³	pɔ¹³	pɔ¹³	pɔ¹³
王	uaŋ¹³	uaŋ¹³	uaŋ¹³	vaŋ¹³	uaŋ¹³	uaŋ¹³	uaŋ¹³	vaŋ¹³
绑	paŋ⁵³	paŋ⁵³	paŋ⁵³	paŋ⁵³	paŋ⁵³	paŋ⁵³	paŋ⁵³	paŋ⁵³
剥	pə³¹²	pə⁴¹²	pə³¹²	pə³¹²	pə¹³	pə¹³	pə¹³	pə¹³
棒(棍~)	pʰaŋ⁴⁴	pʰaŋ⁴⁴	pʰaŋ⁴⁴	pʰaŋ⁴⁴	pʰaŋ⁴⁴	pʰaŋ⁴⁴	pʰaŋ⁴⁴	pʰaŋ⁴⁴
攮	laŋ⁵³	laŋ⁵³	laŋ⁵³	laŋ⁵³	laŋ⁵³	laŋ⁵³	laŋ⁵³	laŋ⁵³
桌	tʃʯə³¹²	tʃʯə⁴¹²	tʃʯə³¹²	tʃʯə³¹²	tʃʯə¹³	tʃʯə¹³	tʃʯə¹³	tʃʯə¹³
戳	tʃʰʯə³¹²	tʃʰʯə⁴¹²	tʃʰʯə³¹²	tʃʰʯə³¹²	tʃʰʯə¹³	tʃʰʯə¹³	tʃʰʯə¹³	tʃʰʯə¹³
撞	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴	tʃʰʯaŋ⁴⁴
捉	tʃʯə³¹²	tʃʯə⁴¹²	tʃʯə³¹²	tʃʯə³¹²	tʃʯə¹³	tʃʯə¹³	tʃʯə¹³	tʃʯə¹³
双	ʃʯaŋ³¹²	ʃʯaŋ⁴¹²	ʃʯaŋ³¹²	ʃʯaŋ³¹²	ʃʯaŋ¹³	ʃʯaŋ¹³	ʃʯaŋ¹³	ʃʯaŋ¹³
朔	ʃʯə⁴⁴	ʃʯə⁴⁴	ʃʯə⁴⁴	ʃʯə⁴⁴	ʃʯə⁴⁴	ʃʯə⁴⁴	ʃʯə⁴⁴	ʃʯə⁴⁴
江	tɕiaŋ³¹²	tɕiaŋ³¹²	tɕiaŋ³¹²	tɕiaŋ³¹²	tɕiaŋ¹³	tɕiaŋ¹³	tɕiaŋ¹³	tɕiaŋ¹³
降(下~)	tɕiaŋ⁴⁴	tɕiaŋ⁴⁴	tɕiaŋ⁴⁴	tɕiaŋ⁴⁴	tɕiaŋ⁴⁴	tɕiaŋ⁴⁴	tɕiaŋ⁴⁴	tɕiaŋ⁴⁴
虹	kaŋ⁴⁴	kaŋ⁴⁴	kaŋ⁴⁴	kaŋ⁴⁴	kaŋ⁴⁴	kaŋ⁴⁴	kaŋ⁴⁴	kaŋ⁴⁴
觉(~着)	kə³¹²	kə⁴¹²	kə³¹²	kə³¹²	kə¹³	kə¹³	kə¹³	kə¹³
角	kə³¹²	kə⁴¹²	kə³¹²	kə³¹²	kə¹³	kə¹³	kə¹³	kə¹³
确	tɕʰyə³¹²	tɕʰyə⁴¹²	tɕʰyə³¹²	tɕʰyə³¹²	tɕʰyə¹³	tɕʰyə¹³	tɕʰyə¹³	tɕʰyə¹³
腔	kʰaŋ³¹²	kʰaŋ⁴¹²	kʰaŋ³¹²	kʰaŋ³¹²	kʰaŋ¹³	kʰaŋ¹³	kʰaŋ¹³	kʰaŋ¹³
降(~伏)	ɕiaŋ¹³	ɕiaŋ¹³	ɕiaŋ¹³	ɕiaŋ¹³	ɕiaŋ¹³	ɕiaŋ¹³	ɕiaŋ¹³	ɕiaŋ¹³
项(~圈)	xaŋ⁴⁴	xaŋ⁴⁴	xaŋ⁴⁴	xaŋ⁴⁴	xaŋ⁴⁴	xaŋ⁴⁴	xaŋ⁴⁴	xaŋ⁴⁴
巷	xaŋ⁴⁴	xaŋ⁴⁴	xaŋ⁴⁴	xaŋ⁴⁴	xaŋ⁴⁴	xaŋ⁴⁴	xaŋ⁴⁴	xaŋ⁴⁴
学	ɕiə¹³	ɕiə¹³	ɕiə¹³	ɕiə¹³	ɕiə¹³	ɕiə¹³	ɕiə¹³	ɕiə¹³
握	kə³¹²	kə⁴¹²	kə³¹²	kə³¹²	kə¹³	kə¹³	kə¹³	kə¹³
崩	pəŋ³¹²	pəŋ⁴¹²	pəŋ³¹²	pəŋ³¹²	pəŋ¹³	pəŋ¹³	pəŋ¹³	pəŋ¹³
北	pei³¹²	pei⁴¹²	pei³¹²	pe³¹²	pɛ¹³	pɛ¹³	pɛ¹³	pɛ¹³
朋	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³
墨	mei³¹²	mei⁴¹²	mei³¹²	me³¹²	mɛ¹³	mɛ¹³	mɛ¹³	mɛ¹³
等	təŋ⁵³	təŋ⁵³	təŋ⁵³	təŋ⁵³	təŋ⁵³	təŋ⁵³	təŋ⁵³	təŋ⁵³
得	tei³¹²	tei⁴¹²	tei³¹²	te³¹²	tɛ¹³	tɛ¹³	tɛ¹³	tɛ¹³
疼	tʰəŋ¹³	tʰəŋ¹³	tʰəŋ¹³	tʰəŋ¹³	tʰəŋ¹³	tʰəŋ¹³	tʰəŋ¹³	tʰəŋ¹³
特	tʰei³¹²	tʰei⁴¹²	tʰei³¹²	tʰei³¹²	tʰɛ¹³	tʰɛ¹³	tʰɛ¹³	tʰɛ¹³
能	ləŋ¹³	ləŋ¹³	ləŋ¹³	ləŋ¹³	ləŋ¹³	ləŋ¹³	ləŋ¹³	ləŋ¹³
