例字	注释	中古音	公平	九屋	潭下	甘棠	定江	三街	灵田	大圩力村	潮田	大境	海洋江尾
占		咸开三去艳章	tʃan35	tʃi35	tʃiɛ35	tsɑŋ35	tʃie55	tʃiᴇ35	tɕiᴇ55	tʃɑ̃35	tsɑ̃24	tʃã35	tʃã53
验		咸开三去艳疑	nan53	li53	niɛ21	ȵie21	lie31	liᴇ21	ȵiᴇn44	ȵiᴇ̃21	iᴇ̃24{借桂}	ȵiɛ̃21	niɛ̃33
艳		咸开三去艳以		iᴇn35{借桂}	iɛ35	15	ie55	iᴇ35	iᴇn44	ȵiᴇ̃35	iᴇ̃24	iɛ̃35	iɛ̃53
接		咸开三入叶精	tsi44	tʃiᴇ5	tʃiɛ5	tʃie5	tʃie5	tʃiᴇ5	tɕiᴇ21	tsiᴇ53	tʃiᴇ5	tʃiɛ5	tsiɛ5
折	~叠	咸开三入叶章	tʃi44	tʃiᴇ5	tʃiɛ5	tʃie5	tʃie5	tʃiᴇ5	tɕiᴇ21	tʃiᴇ̃53	tʃiᴇ5	tʃiɛ5	tʃiɛ5
叶		咸开三入叶以	i21	iᴇ422	iɛ5	ie5	ie5	iᴇ5	iᴇ4	iᴇ̃53	iᴇ5	iɛ53	iɛ̃5
严		咸开三平严疑		iŋ33	ᵘɔ33/iɛ33	ie22	ie22	iᴇ533/iᴇn533	iᴇn33	iᴇ̃33	iᴇ̃21{借桂}	iɛ̃33	iɛ̃21
剑		咸开三去酽见	kan35	tʃi35	tʃiɛ35	kie35	tʃie55	tʃiᴇ35	kiᴇn55	tʃiᴇ̃35	tʃiᴇ̃24	tʃiɛ̃35	tsiɛ̃53
欠		咸开三去酬溪	han35	hi35	tʃʰiɛ53	kʰie35	tʃʰie55	tʃʰiᴇ35	kʰiᴇn55	tʃʰiᴇ̃35	tʃʰiᴇ̃24	tʃʰiɛ̃35	tʃʰiɛ̃53
劫		咸开三入业见	ki4		15	kie44	tʃie22	tʃiᴇ5	kiᴇ21		tʃiᴇ21{借桂}	tʃiɛ5	tʃiɛ5
业		咸开三入业疑		iᴇ21	niɛ5	ȵie5	lie5	liᴇ5	ȵiᴇ21	ȵiᴇ̃53	ȵiᴇ5	iɛ21	ȵiɛ5
添		咸开四平添透	tʰan44	tʰi232	tʰiɛ13	tʰie132	tʰie24	tʰiᴇ13	tʰiᴇn242		tʰiᴇ̃43	tʰiɛ̃42	tʰiɛ̃24
甜		咸开四平添定	tan21	ti33	tiɛ33	tie22	tie22	tiᴇ533	tiᴇ33	tiᴇ̃33	tiᴇ̃33	tiɛ̃33	tiɛ̃21
兼		咸开四平添见		kiŋ232	tʃiɛ13	kie132		tʃiᴇn13	tɕiᴇn242	tʃiᴇ̃33{借桂}	tʃiᴇ̃43	tʃiɛ̃42	tʃiɛ̃24
谦		咸开四平添溪		tʃʰiᴇn33{借桂}	15	kʰie132	tʃʰie24	tʃʰiᴇ13	kʰiᴇn242		tʃʰiᴇ̃43	tʃʰiɛ̃42	tʃʰiɛ̃24
嫌		咸开四平添匣	han21	hi33	ʃiɛ33	hie22	ʃie22	ʃiᴇ533	ɕiᴇn33	ʃiᴇ̃33	ʃiᴇ̃33	ʃiɛ̃33	ʃiɛ̃21
点		咸开四上忝端	tan55	ti5	tiɛ44	tie44	tie33	tiᴇ33	liᴇn35	ɗiᴇ̃55	tiᴇ̃55	tiɛ̃55	tiɛ̃55
店		咸开四去㮇端	tan35	ti53	tiɛ53	tie21	tie33	tiᴇ21	liᴇn44	ɗiᴇ̃21	tiᴇ̃24	tiɛ̃21	tiɛ̃33
念		咸开四去㮇泥	nan553	ni53	niɛ53	ȵie21	lie31	liᴇ21	ȵiᴇn44	ȵiᴇ̃21	ȵiᴇ̃21	ȵiɛ̃21	ȵiɛ̃33
歉		咸开四去㮇溪		tʃʰiᴇn35{借桂}	tʃʰiɛ53	kʰie35	tʃʰie55	tʃʰiᴇ5	tɕʰiᴇn55		tʃʰiᴇ̃24	tʃʰiɛ̃35	tʃʰiɛ̃53
帖		咸开四入贴透	tʰi4	tʰiᴇ422	tʰiɛ5	tʰie5	tʰie22	tʰiᴇ5	tʰiᴇ21	tʰiᴇ̃53	tʰiᴇ̃21{借桂}	tʰiɛ̃5	tʰiɛ̃5
碟		咸开四入贴定		tiᴇ53	tiɛ53	tie21	tie31	tiᴇ21	tiᴇ4				tiɛ̃5
凡		咸合三平凡奉		fuo33	fan21{借桂}/fan33	fɑŋ22	fɔ22	fuo533	faŋ33	hʊɔ33	fɑ̃33	fã33	fã21
犯		咸合三上范奉	fɒ̃53	fuo53	fᵘɔ53	fᵘɔ21	fɔ31	fuo21	fa44	fɑ̃21	fɑ̃21	fã21	fã33
法		咸合三入乏非	fɒ55	fuo5	fᵘɔ5	fᵘɔ5	fɔ5	fuo5	fuo21	hʊɔ21	fiɑ5	fa5	fa5/hua5
林		深开三平侵来	lan21	niŋ33	niŋ33	ȵiŋ22	liŋ22	liŋ533	lin33	lin33	ȵiɘŋ33	liŋ33	lɑŋ21
心		深开三平侵心	saŋ44	ʃiŋ232	ʃiŋ13	ʃiŋ132	ʃiŋ24	ʃiŋ13	ɕin242	ʃin422	ʃiɘŋ43	ʃiŋ42	sɑŋ24
沉		深开三平侵澄	taŋ21	tiŋ33	tiŋ33	tsaŋ22	tiŋ22	tiŋ533	tin33		tsʰaŋ33	tʃaŋ33	ʃiᵊŋ21
针		深开三平侵章	tʃaŋ44	tsaŋ232	tsaŋ13	tsaŋ132	tsaŋ24	tsaŋ13	tɕin242	tʃin422	tʃiɘŋ43	tʃiŋ42	tʃiᵊŋ24
深		深开三平侵书	ʃaŋ44	saŋ232	saŋ13	saŋ132	saŋ24	saŋ13	ɕin242	ʃin422	ʃiɘŋ43	ʃiŋ42	ʃiᵊŋ24
今		深开三平侵见	kin44	kiŋ232	tʃiŋ13	kiŋ132	tʃiŋ24	tʃi{老派}/tʃiŋ{新派}	kin242	tʃin422	kiɘŋ43	tʃiŋ42	tʃiᵊŋ24
金		深开三平侵见	kiaŋ44	kiŋ232	tʃiŋ13	kiŋ132	tʃiŋ24	tʃiŋ13	kin242	tʃin422	kiɘŋ43	tʃiŋ42	tʃiᵊŋ24
琴		深开三平侵群	kiaŋ21	kiŋ33	tʃiɛ33	kiŋ22	tʃiŋ22	tʃiŋ533	kin33	tʃʰin33	tʃʰiɘŋ33	tʃiŋ33	tʃiᵊŋ21
音		深开三平侵影	iaŋ44	iŋ232	iŋ13	iŋ132	iŋ24	iŋ13	in242	in33	iɘŋ43	iŋ42	iᵊŋ24
品		深开三上寝滂		pʰiŋ422	pʰiŋ53{借桂}	pʰie44	pʰiŋ	pʰiŋ33{凡品官}/pʰəi33{品行}	pʰin35		pʰiɘŋ55	pʰiŋ55	pʰiᵊŋ55
渗		深开三去沁生	tsʰaŋ35		15	15		tʃʰiŋ35	tɕʰin55	ʃan21	ʃaŋ24	tʃʰiŋ35	ʃiᵊŋ53
任	责~	深开三去沁日		iŋ35	iᵘɔŋ21	iŋ21	iŋ55	iŋ35{任务}/iŋ21{上任}	in44	in33	iɘŋ24	iŋ35	iᵊŋ53
禁	~止	深开三去沁见	kiaŋ35	kiŋ35	tʃiŋ35	kiŋ35	tʃiŋ55	tʃiŋ35	kin55	tʃin35	kiɘŋ24	tʃiŋ35	tʃiᵊŋ53
粒		深开三入缉来	lia4	niᴇ422	ȵi21	ȵi44	li22	li5	li4	kʰʊɔ55{训读}	kʰuo55{训读}	kʰuo55{训读}	li21
集		深开三入缉从		tʃi21{借桂}	tʃi5	tʃi5	tʃi22	tʃi5	tɕiᴇ21		tʃi21	tʃi33	tsi21
习		深开三入缉邪		ʃi5	ʃi5	ʃi5		ʃi5	ɕiᴇ21	ʃi21{借桂}	ʃi21{借桂}	ʃi21{借桂}	siɛ5
蛰	惊~	深开三入缉澄	tʃi21	tʃi21	tsa21/tsəi21	tsəi21	tsəi22	tsəi21	tɕi4	tsʰᴇɪ21	tsɤ21	tʃiɛ33	tʃi21
汁		深开三入缉章		tʃi35	15	tʃi5	tsy24	tʃi5	tɕiᴇ21	tʃi21	tʃi24	tʃi21	tʃi21
湿		深开三入缉书	ʃa4	ʃiᴇ5	ʃi5	ʃi5	ʃi5	ʃi5	ɕiᴇ21	ʃi53	ʃiᴇ5	ʃiɛ5	ʃiɛ5
十		深开三入缉禅	ʃa4	ʃiᴇ53	ʃiɛ53	ʃie21	ʃie5	ʃiᴇ21	ɕiᴇ4	ʃiᴇ21	ʃiᴇ33	ʃiɛ33	ʃiɛ21
入		深开三入缉日	ȵia21	iᴇ422	iɛ5/y5	ŋ̩5	ŋ31	iu533{收入}/ȵi5{出入}	y4	ŋ53	ȵiᴇ5	ȵiɛ̃53	
急		深开三入缉见	kia4	kiᴇ5	tʃi5	ki5	tʃi5	tʃi5	kiᴇ21	tʃi53	tʃiᴇ5	tʃiɛ5	tʃiɛ5
级		深开三入缉见		kiᴇ5	tʃi5	ki21	tʃi22	tʃi5	kiᴇ21	tʃi53	tʃi21{借桂}	tʃi21	tʃi21
及		深开三入缉群		kiᴇ5	tʃi5	ki5	tʃi5{及时}/tʃi22{及第}	tʃi5	kiᴇ21	tʃi53	tʃi21	tʃiɛ55/tʃi21	tʃi21
吸		深开三入缉晓	hi4		tʃi5	hi5	tʃi22	15	suo21	ʃʊɔ53	suo5	ʃi21	tʃi21
单		山开一平寒端	tɒ̃44	tuo232	tᵘɔ13	tᵘɔ132	tɔ24	tuo13	lan242	ɗɑ̃422	tɑ̃43	tã42	tã24
摊		山开一平寒透	tʰɒ̃44	tʰuo232	tʰᵘɔ13	tʰᵘɔ132	tʰɔ24	tʰuo13	tʰan242	tʰɑ̃422	tʰɑ̃43	tʰã42	tʰã24
弹	~琴	山开一平寒定	tɒ̃21	tuo33	tᵘɔ33	tᵘɔ22	tɔ22	tuo533	tan33	tɑ̃33	tɑ̃33	tã33	tã21
难	~易	山开一平寒泥	nɒ̃21	nuo33	nᵘɔ33	nᵘɔ22	lɔ22	nuo533	na33	nɑ̃33	nɑ̃33	nã33	nã21
栏		山开一平寒来	lɒ̃21	nuo33	nᵘɔ33	luo22	lɔ22	luo533	lan33	lɑ̃33	nɑ̃33	lã33	lã21
餐		山开一平寒清	tsʰɒ̃44	tsʰuo232	tsʰᵘɔ13	tsʰᵘɔ132	tsʰɔ24	tsʰuo13	tsʰan242	tsʰɑ̃33{变调}	tsʰɑ̃43	tsʰã42	tsʰã24
残		山开一平寒从	tsɒ̃21	tsʰan21{借桂}	tsʰan21{借桂}	tsʰɑŋ22	tsɔ22	tsuo533	tsan33	tsʰɑ̃21{借桂}	tsʰɑ̃33	tsã33	tsʰã21
肝		山开一平寒见	kʊɒ̃44	koŋ232	kᵘɔŋ13	kuo132	kuo24	kuo13	kua242	kʊɑ̃422	kuɑ̃43	kuã42	kuã24
干	~湿	山开一平寒见	kʊɒ̃44	koŋ232	kᵘɔŋ13	kuo132	kuo24	kuo13	kua242	kʊɑ̃33{变调}	kuɑ̃43	kuã42	kuã24
寒		山开一平寒匣	hɒ̃21	huo33	hᵘɔ33	hᵘɔ22	hɔ22	huo533	han33	hɑ̃33	hɑ̃33	hã33	hã21
安		山开一平寒影	ɒ̃44	uo232	ᵘɔ13	ŋᵘɔ132	ŋɔ24	ŋuo13	an242	ɑ̃33	ɑ̃43	ã42	ã24
懒		山开一上旱来	lɒ̃33	nuo21	nᵘɔ21	nᵘɔ44	lɔ13	luo33	la21	lɑ̃13	nɑ̃52	lã53	lã55
伞		山开一上旱心	sɒ̃35	suo35	sᵘɔ35	sᵘɔ35	sɔ33	suo35	san55	sɑ̃35	sɑ̃24	sã35	sã55
赶		山开一上旱见	kɒ̃55/kʊaŋ55	koŋ422	kᵘɔ44	kᵘɔ44	kuaŋ33	kuo33	kua35	kʊɑ̃55	kɑ̃55	kuã55	kuã55
旱		山开一上旱匣	hɒ̃33	hoŋ21	hᵘɔŋ21	huo21	huo31	huo21	hua21	hʊɑ̃21	hɑ̃21	hã35	hã33
旦		山开一去翰端	tɒ̃35	tan35{借桂}	tɑŋ35	tᵘɔ21	tɔ31	tuo21	lan55	tɑ̃21	tɑ̃24	tã35	tã53
炭		山开一去翰透	tʰɒ̃35	tʰuo53	tʰᵘɔ53	tʰᵘɔ35	tʰɔ55	tʰuo35	tʰa5	tʰɑ̃35	tʰɑ̃24	tʰã35	tʰã53
蛋		山开一去翰定	tɒ̃53	tuo53	tᵘɔ53	tᵘɔ21	tɔ31	tuo21	tan44	tɑ̃21	tɑ̃21	tã21	tã33
难	灾~	山开一去翰泥	nɒ̃53	nuo53	nᵘɔ53	nᵘɔ21	lɔ31	luo21	nan44	nɑ̃21	nɑ̃24	nã21	nã33
烂		山开一去翰来	lɒ̃53	nuo53	nᵘɔ53	nɑŋ35	lɔ31	luo21	la44	lɑ̃21	nɑ̃21	lã21	lã33
灒	溅	山开一去翰精	tsɒ̃53	tʃʰi35{训读}	tsᵘɔ35	tsᵘɔ35	tsɔ55	tsuo35	tsa5	tsɑ̃35	tsɑ̃24	tsã35	tsã53
散		山开一去翰心	sɒ̃35	suo35	sᵘɔ35	sᵘɔ35	sɔ55	suo35	sa55	sɑ̃35	sɑ̃24	sã35	sã55
看	~见	山开一去翰溪	ȵiaŋ35	kʰuo53	kʰᵘɔ53	kʰᵘɔ35	kʰɔ55	kʰuo35	ɕiaŋ55{训读}	kʰʊɑ̃35	ȵiɑ24	ȵia35	ȵia53
岸		山开一去翰疑	ŋɒ̃53	uo53	ᵘɔ53	ŋᵘɔ21	ŋɔ31	ŋuo21	ua44	ʊɑ̃21	uɑ̃21	ã21	ŋã33
汉		山开一去翰晓	hɒ̃35	hoŋ53	hᵘɔ53	hᵘɔ35	hɔ55	huo21	han55	hɑ̃35	hɑ̃24	hã35	hã33
汗		山开一去翰匣	hɒ̃53	hoŋ53	hᵘɔŋ53	huo21	huo31	huo21	hua44	hʊɑ̃21	huɑ̃21	huã21	fã33
案		山开一去翰影	ɒ̃35	uo35	ᵘɔ35	ŋᵘɔ35	ŋɔ55	uo35{案件}/ŋuo35{案板}	a55	ɑ̃35	ɑ̃24	ã35	ã53
达		山开一入曷定		tuo5	tᵘɔ5	tᵘɔ5		tuo5	tuo21	tɑ53	ta21	ta5	ta5
捺		山开一入曷泥		na35	15	nᵘɔ5		luo5	nuo21		na21	na53	na5
辣		山开一入曷来	lʊo35	nua232	nuɯ35	nᵘɔ35	luo5	luo35	luo4	lɑ53	ȵiɑ5	la53	la5
擦		山开一入曷清	tsʰɒ55	tsʰuo422	tsʰᵘɔ5	tsʰᵘɔ44	tsʰɔ5	tsʰuo5	tsʰuo21	tsʰɑ53	tʃʰiɑ5	tsʰa5	tsʰa5
割		山开一入曷见	kʊɒ55	kua5	kuɯ5	kuo5	kuo5	kuo5	kuo21/kua21	kʊɔ53	kuɑ5	kua5	kua5
渴		山开一入曷溪		koŋ232	15	kʰuo44		kʰuo5		kʰʊɔ53	kʰuɑ5	kʰua5	kʰᵘo5
山		山开二平山生	ʃɒ̃44	suo232	sᵘɔ13	sᵘɔ132	sɔ24	ʃyɔ13	sa242	ʃɑ̃422	ʃɑ̃43	ʃã42	ʃã24
间		山开二平山见	kɒ̃44	kiŋ232	kᵘɔ13	kəi132	kɔ24	kuo13	tɕiᴇn242	kɑ̃33{变调}	kɑ̃43	kã42	kã24/tʃiɛ̃24
闲		山开二平山匣		huo33	hᵘɔ33	hᵘɔ22	ʃie22	huo533{老派}/ʃiᴇ13{新派}	ɕiᴇn33		hɑ̃33	ʃiɛ̃33	ʃiɛ̃21
铲		山开二上产初	tʃʰɒ̃55	tsʰuo21	tsʰᵘɔ21	tsʰᵘɔ44	tsʰɔ13	tʃʰyɔ33	tsʰan35	tʃʰɑ̃55	tʃʰɑ̃55	tʃʰã55	tsʰã55
简		山开二上产见		ki422	tʃiɛ44	kie44	tʃie33	tʃiᴇ33	kiᴇn35	tʃiᴇ̃53{借桂}	tʃiᴇ̃55	tʃiɛ̃55	tʃiɛ̃55
眼		山开二上产疑	ŋɒ̃33	uo21	ᵘɔ21	ŋᵘɔ44	ŋɔ13	ŋuo33	ŋa21	ŋɑ̃13	ŋɑ̃52	ŋã53	ŋã55
限		山开二上产匣		huo53	hᵘɔ53	hᵘɔ21	hɔ31	huo21	han44	hɑ̃21	ʃiᴇ̃24	hã21	hã33
扮		山开二去襉帮		puo53	pᵘɔŋ21	pɑŋ35	paŋ55	puo21	pan55	pɑ̃21	pɑ̃21	pã21	pã33
盼		山开二去襉滂		pʰan35{借桂}	pʰᵘɔ53	pʰɑŋ35	pʰaŋ55	pʰuo35	pʰan55	pʰɑ̃35	pʰɑ̃24	pʰã35	pʰã53
办		山开二去涧並	pɒ̃21	puo53	pᵘɔ53	pᵘɔ21	pɔ31	puo21	puan44	pɑ̃35	pɑ̃21	pã21	pã33
苋		山开二去襉匣	hɒ̃53	huo53	hᵘɔŋ21	hᵘɔ21	hɔ31	huo21	ha44	hɑ̃21	hɑ̃21	hã21	hã33
八		山开二入黠帮	pa55	puo5	pᵘɔ5	pᵘɔ5	pɔ5	puo5	puo21	ɓʊɔ53	piɑ5	pa5	pa5
拔		山开二入黠並	pa53	puo53	pᵘɔ5	pa44	pa5	puo21	pᴇn55	kʰʊæ̃e53	kʰuæ55{训读}	kʰuæ55{训读}	kʰuæ55{训读}/pa5
抹		山开二入黠明	mɒ55	kʰuo232	mɑu5	muo5	mɔ5	muo5	mua21	mʊɔ53	ma5	ma5	
扎	~辫子	山开二入黠庄	tʃɒ55	tsuo5	tsᵘɔ5	tsᵘɔ5	tsɔ5	tʃyɔ5	tsuo21		tʃa5	tʃa5	tʃa5
察		山开二入黠初	tʃʰɒ55	tsua33	tsʰᵘɔ5	tsᵘɔ22	tsʰɔ22	tʃʰyɔ533	tsuo33		tʃʰa5	tʃa33	tʃa21
杀		山开二入黠生	ʃɒ55	suo5	sᵘɔ5	sᵘɔ5	sɔ5	ʃyɔ5	suo21	ʃɑ53	ʃa5	ʃa5	ʃa5
班		山开二平删帮	pɒ̃44	puo232	pᵘɔ13	pᵘɔ132	pɔ24	puo13	pan242	ɓɑ̃422	pɑ̃43	pã42	pã24
蛮		山开二平删明	mɒ̃21	muo33	mᵘɔ33	mɑŋ22	mɔ22	muo533	man33	mɑ̃33	mɑ̃33	mã33	mã21
删		山开二平删生		soŋ232	sᵘɔŋ13	sᵘɔ132	sɔ24	ʃyɔ13	sua242	ʃyᴇ̃33	ʃuɑ̃43	ʃã42	suã24
奸		山开二平删见	kɒ̃44	tʃiᴇn33{借桂}	tʃiɛ13	kie132	tʃie24	tʃiᴇn13	kiᴇn242	tʃiᴇ̃33{借桂}	tʃiᴇ̃43	tʃiɛ̃42	tʃiɛ̃24
颜		山开二平删疑		iŋ33	iɛ33	ie22	ie22	iᴇn533	iᴇn33	iᴇ̃33	iᴇ̃33	iɛ̃33	iɛ̃21
板		山开二上潸帮	pɒ̃55	puo422	pᵘɔ44	pᵘɔ44	pɔ33	puo33	pa35	ɓɑ̃55	pɑ̃55	pã55	pã55
慢		山开二去谏明	mɒ̃53	muo53	mᵘɔ53	mᵘɔ21	mɔ31	muo21	ma44	mɑ̃21	mɑ̃21	mã21	mã33
雁		山开二去谏疑		uo35	ᵘɔ35	ŋᵘɔ21	ie55/ŋɔ55	ŋuo21	ŋan44	ŋʊɔ33	ŋɑ̃24	ŋã35/iɛ̃35	ŋã53
铡		山开二入辖崇		tsuo5	tsᵘɔ53	tsᵘɔ21	tsɔ31	tsau21	tsuo21	tʃɑ53	tʃa5	tʃa5	tʃa5
鞭		山开三平仙帮	pan44	pi232	piɛ13	pie132	pie24	piᴇ13	piᴇn242	ɓiᴇ̃33	piᴇ̃43	piɛ̃42	piɛ̃24
篇		山开三平仙滂	pʰan44	pʰi232	pʰiɛ13	pʰie132	pʰie24	pʰiᴇ13	pʰiᴇn242	pʰiᴇ̃33	pʰiᴇ̃43	pʰiɛ̃42	pʰiɛ̃24
便	{~宜}	山开三平仙並	pan21	pəi33	pəi33	pie21	pie22	pəi533	pᴇn33	piᴇ̃33	piᴇ̃33	piɛ̃33	piɛ̃21
棉		山开三平仙明	man21	mi33	miɛ33	mie21{借桂}	muo22/mie22	miᴇ533	miᴇn33	mʊɔ21	miᴇ̃33	miɛ̃33	miɛ̃21
连		山开三平仙来	lan21	ni33	niɛ33	ȵie22	lie22	liᴇ533	liᴇn33	liᴇ̃33	ȵiᴇ̃33	liɛ̃33	liɛ̃21
煎		山开三平仙精	tsan44	tʃi232	tʃiɛ13	tʃie132	tʃie24	tʃiᴇ13	tɕiᴇn242	tʃiᴇ̃422	tʃiᴇ̃43	tʃiɛ̃42	tsiɛ̃24
迁		山开三平仙清	tsʰan44	tʃʰi232	tʃʰiɛ13	tʃʰie132	tʃʰie24	tʃʰiᴇ13	tɕʰiᴇn242	tʃʰiᴇ̃422	tʃʰiᴇ̃43	tʃʰiɛ̃42	
钱		山开三平仙从	tsan21	tʃi33	tʃiɛ33	tʃie33	tʃie22	tʃiᴇ533	tɕiᴇ33	tʃʰiᴇ̃33	tʃʰiᴇ̃33	tʃiɛ̃33	tsiɛ̃21
仙		山开三平仙心	san44	ʃi232	ʃiɛ13	ʃie132	ʃie24	ʃiᴇ13	ɕiᴇ242	ʃiᴇ̃422	ʃiᴇ̃43	ʃiɛ̃42	siɛ̃24
燃		山开三平仙日	ŋan21	iŋ33	iɛ33	ie22	lie22	niᴇ533	iᴇn33	niᴇ̃33	iᴇ̃33	iɛ̃33	iɛ̃21
延		山开三平仙以		iᴇn21{借桂}	iɛ33	iŋ22	ie22	iᴇ533	iᴇn33	iᴇ̃33	iᴇ̃33	iɛ̃33	iɛ̃21
辨		山开三上狝並		piᴇn35{借桂}	piɛ53	pie21	pie31	piᴇ21	piᴇn44	piᴇ̃35{借桂}	piᴇ̃24	piɛ̃35	piɛ̃33
免		山开三上狝明	man33	miŋ21	miɛ21	mie44	mie13	miᴇ33	miᴇn21	miᴇ̃13	miᴇ̃52	miɛ̃53	miɛ̃55
碾	{~碎}	山开三上狝泥	nan55	ni21	niɛ21	ȵie44	lie13	niᴇ33	ȵiᴇn21	ȵiᴇ̃55	ȵiᴇ̃52	ȵiɛ̃53	ȵiɛ̃55
剪		山开三上狝精	tsan55	tʃi422	tʃiɛ44	tʃie44	tʃie33	tʃiᴇ33	tɕiᴇ35	tʃiᴇ̃55	tʃiᴇ̃55	tʃiɛ̃55	tsiɛ̃55
浅		山开三上狝清	tsʰan55	tʃʰi21	tʃʰiɛ21	tʃʰie44	tʃʰie13	tʃʰiᴇ33	tɕʰiᴇ35	tʃʰiᴇ̃55	tʃʰiᴇ̃55	tʃʰiɛ̃55	tsʰiɛ̃55
展		山开三上狝知	tʃin55	tsuo422	tsan44	tsɑŋ44	tsaŋ33	tsaŋ33	tsan35	tʃɑ̃55	tʃɑ̃55	tʃã55	tsã55
善		山开三上狝禅	ʃʊaŋ53	sɑŋ35	san35	sɑŋ35	saŋ55	saŋ35	san44		ʃɑ̃24	ʃã35	sã53
件		山开三上狝群	kan53	ki53	tʃiɛ53	kie21	tʃie31	tʃiᴇ21	kiᴇn44		tʃʰiᴇ̃21	tʃiɛ̃21	tʃiɛ̃33
演		山开三上狝疑		iŋ422	iɛ44	ie44	ie33	iᴇ33	iᴇn21	iᴇ̃53	iᴇ̃52	iɛ̃53	iɛ̃55
变		山开三去线帮	pan35	pi35	piɛ35	pie35	pie55	piᴇ35	piᴇ55	ɓiᴇ̃35	piᴇ̃24	piɛ̃35	piɛ̃53
骗	{~人}	山开三去线滂	pʰan35	pʰi53	pʰiɛ53	pʰie35	pʰie55	pʰiᴇ35	pʰiᴇn55	pʰiᴇ̃35	pʰiᴇ̃24	pʰiɛ̃35	pʰiɛ̃53
便	{方~}	山开三去线並	pan53	pi21	piɛ53	pie21	pie31	piᴇ21	piᴇn44	piᴇ̃21	piᴇ̃21	piɛ̃21	piɛ̃33
面		山开三去线明	man53	mi53	miɛ53	mie21	mie31	miᴇ21	miᴇn44	miᴇ̃21	miᴇ̃21	miɛ̃21	miɛ̃33
箭		山开三去线精	tsan35	tʃi35	tʃiɛ35	tʃie35	tʃie55	tʃiᴇ35	tɕiᴇ55	tʃiᴇ̃35	tʃiᴇ̃24	tʃiɛ̃35	tsiɛ̃53
贱		山开三去线从	tsan53	tʃi53	tʃiɛ53	tʃie21	tʃie31	tʃiᴇ21	tɕiᴇ44	tʃʰiᴇ̃21	tʃʰiᴇ̃21	tʃiɛ̃21	tsiɛ̃33
线		山开三去线心	san35	ʃi35	ʃiɛ35	ʃie35	ʃie55	ʃiᴇ35	ɕiᴇ55	ʃiᴇ̃35	ʃiᴇ̃24	ʃiɛ̃35	siɛ̃53
战		山开三去线章		tsan35	tsan53	tsɑŋ35	tsaŋ55	tsaŋ35	tsan55	tʃɑ̃35	tʃɑ̃24	tʃã35	tʃã53
扇		山开三去线书	ʃan35	ʃi35	ʃiɛ35	ʃie35	ʃie55	ʃiᴇ35	ɕiᴇ55	ʃiᴇ̃35	ʃɑ̃24	ʃiɛ̃35	ʃiɛ̃53
别		山开三入薛帮		piᴇ5	piɛ5	pie21	pie5	piᴇ21	piᴇ21	piᴇ21	piᴇ21	piɛ5	piɛ21
灭		山开三入薛明		miᴇ21	miɛ5	mie44	mie22	miᴇ5	miᴇ21	miᴇ53	miᴇ52	miɛ53	miɛ5
列		山开三入薛来		niᴇ21	niɛ5	ȵie44	lie22	liᴇ5	liᴇ21	liᴇ21	ȵiᴇ21{借桂}	liɛ5	liɛ5
撤		山开三入薛彻		tsʰa422	tsʰa5	tsʰa5	tsʰa5	tsʰa5	tsʰa21	tʃʰɑ53	tʃʰɤ5	tʃʰiɛ5	tsʰiɛ5
舌		山开三入薛船	ʃa21	ʃi53	ʃiɛ53	ʃie21	ʃie31	ʃiᴇ21	ɕiᴇ4	ʃiᴇ21	ʃiᴇ21	ʃiɛ21	ʃiɛ21
折	{~本}	山开三入薛禅	ʃi21	ʃiᴇ53	ʃiɛ53	ʃie5	ʃie31	ʃiᴇ21	ɕiᴇ4	ʃiᴇ21		ʃiɛ21	
热		山开三入薛日	ȵi4	iᴇ422	iɛ5	ȵie5	lie5	niᴇ5	ȵiᴇ21	ȵiᴇ53	ȵiᴇ52	ȵiɛ53	ȵiɛ5
孽		山开三入薛疑	ȵi4	iᴇ422	iɛ5	ȵie5	lie5	liᴇ5	ȵiᴇ21		ȵiᴇ52	ȵiɛ53	ȵiɛ5
言		山开三平元疑		iᴇn21{借桂}	15	ie22	ie22	iᴇn533	iᴇn33		iᴇ̃33	iɛ̃33	iɛ̃21
建		山开三去愿见		tʃiᴇn35{借桂}	tʃiŋ35	kiŋ35	tʃiŋ55	tʃiᴇn35	tɕiᴇn55	tʃiᴇ̃35	tʃiᴇ̃24	tʃiɛ̃35	tʃiɛ̃53
献		山开三去愿晓		hi53	ʃiɛ35	hie35	ʃie55	ʃiᴇ35	ɕiᴇn55	ʃiᴇ̃35	ʃiᴇ̃24	ʃiɛ̃35	ʃiɛ̃33
揭		山开三入月见	tʃʰi33	kiᴇ5	tʃiɛ5	kie5	tʃie5	tʃiᴇ5	tɕiᴇ21		tʃiᴇ21	tʃiɛ5	tʃiɛ5
歇		山开三入月晓	hia4	hiᴇ5	ʃiɛ5	hie5	ʃie5	ʃiᴇ5	ɕiᴇ21	ʃiᴇ53	ʃiᴇ5		
边		山开四平先帮	pan44	pi232	piɛ13	pie132	pie24	piᴇ13	piᴇ242	ɓiᴇ̃422	piᴇ̃43	piɛ̃42	piɛ̃24
颠		山开四平先端			tiɛ13	tie132	tie24	tiᴇ13		ɗiᴇ̃422	tiᴇ̃43	tiɛ̃42	tiɛ̃24
