字	类型	读音
但	假名	ダン／タン
	IPA	daN / taN
壇／墰	假名	タン／ダン
	IPA	taN / daN
彈	假名	タン／ダン
	IPA	taN / daN
檀	假名	タン／ダン／チエン
	IPA	taN / daN / tɕieN
胆	假名	タン
	IPA	taN
鷤	假名	ピイ
	IPA	piː
安	假名	アン
	IPA	aN
鞍	假名	アン
	IPA	aN
殘	假名	ツアン／ヅアン／ザン／ヂン
	IPA	tsɯaN / dzɯaN / zaN / dʑiN
珊	假名	サン
	IPA	saN
難	假名	ナン／ナアン
	IPA	naN / naːN
餐/飡	假名	サ゚ン
	IPA	tsaN
看	假名	カン
	IPA	kaN
𣓁	假名	カン
	IPA	kaN
丹	假名	タン／タアン
	IPA	taN / taːN
單	假名	タン
	IPA	taN
殫	假名	タン
	IPA	taN
乾／干	假名	カン／ケン
	IPA	kaN / keN
奸	假名	ケン
	IPA	keN
汗	假名	ハアン／ハン
	IPA	haːN / haN
玕	假名	カン
	IPA	kaN
竿	假名	カン
	IPA	kaN
肝	假名	カン
	IPA	kaN
嘆	假名	タン
	IPA	taN
灘	假名	ダン
	IPA	daN
槃	假名	パン
	IPA	paN
帔	假名	ピイ
	IPA	piː
磐	假名	ホン
	IPA	hoN
繁	假名	ワン
	IPA	waN
般	假名	パン／パワン／ホ／ポ／パアン
	IPA	paN / pawaN / ho / po / paːN
搬	假名	パン
	IPA	paN
巒	假名	レン／ラン
	IPA	reN / raN
欒	假名	ロワン
	IPA	rowaN
鑾	假名	ロハン／ラン
	IPA	rohaN / raN
鸞	假名	ロハン／ラン
	IPA	rohaN / raN
丸	假名	ワン
	IPA	waN
完	假名	ワン
	IPA	waN
桓	假名	ワアン／フワン／ワン
	IPA	waːN / ɸɯwaN / waN
洹	假名	ワン
	IPA	waN
紈	假名	ワン
	IPA	waN
莞	假名	ワン
	IPA	waN
院	假名	イユン／イエン
	IPA	ijɯN / ieN
團	假名	トワン／ドハン／トハン／ドワン
	IPA	towaN / dohaN / tohaN / dowaN
摶	假名	フン／ポ／タン／ダン
	IPA	ɸɯN / po / taN / daN
敦	假名	ドヲン
	IPA	doːN
般	假名	パン／パワン／ホ／ポ／パアン
	IPA	paN / pawaN / ho / po / paːN
鼈	假名	ビイ／ピイ／ピ
	IPA	biː / piː / pi
豌	假名	ワン
	IPA	waN
酸	假名	ソワン／ワワン／ソハン
	IPA	sowaN / wawaN / sohaN
皮	假名	ヒイ／ピイ／ビイ
	IPA	çiː / piː / biː
瞞	假名	マアン
	IPA	maːN
臂	假名	ビイ／ピイ／ピツ／ピ
	IPA	biː / piː / piʔ / pi
鷿/鸊	假名	ピツ／ピ
	IPA	piʔ / pi
饅	假名	マン
	IPA	maN
鱉	假名	ピツ／ベ
	IPA	piʔ / be
歡	假名	ハアン／ハン／ホワン／フワン
	IPA	haːN / haN / howaN / ɸɯwaN
獾/貛	假名	ハアン
	IPA	haːN
寬	假名	クハン／クワン
	IPA	kɯɰaN / kɯwaN
鮅	假名	ピツ／ピ
	IPA	piʔ / pi
筆	假名	ピツ／ピ
	IPA	piʔ / pi
黿	假名	イユン／エン
	IPA	ijɯN / eN
端	假名	トハン／トワン／タン／トン
	IPA	tohaN / towaN / taN / toN
冠	假名	クハン／クワン
	IPA	kɯɰaN / kɯwaN
官	假名	クハン／クワン／コワン
	IPA	kɯɰaN / kɯwaN / kowaN
莞	假名	ワン
	IPA	waN
觀	假名	クワン／クアン
	IPA	kɯwaN / kɯaN
貫	假名	クワン
	IPA	kɯwaN
貒	假名	トワン
	IPA	towaN
圜	假名	ワン
	IPA	waN
環	假名	クハン／フワン／ワン
	IPA	kɯɰaN / ɸɯwaN / waN
還	假名	ハン／ワン／フアン／フワン
	IPA	haN / waN / ɸɯaN / ɸɯwaN
鍰/鐶	假名	パン
	IPA	paN
闤／阛	假名	ワン
	IPA	waN
鬟	假名	ワン
	IPA	waN
扳	假名	パン
	IPA	paN
觱	假名	ピツ
	IPA	piʔ
班	假名	パン／ポワン
	IPA	paN / powaN
般	假名	パン／パワン／ホ／ポ／パアン
	IPA	paN / pawaN / ho / po / paːN
灣／湾	假名	ワン
	IPA	waN
鮅	假名	ピツ／ピ
	IPA	piʔ / pi
壁	假名	ヒツ／ピツ／ピ
	IPA	çiʔ / piʔ / pi
扳	假名	パン
	IPA	paN
刪	假名	サン
	IPA	saN
潸	假名	ツアン
	IPA	tsɯaN
頑	假名	ワン
	IPA	waN
顏／顔	假名	ヱン／ユンイ／イエン／エン
	IPA	eN / jɯNi / ieN
關	假名	クハン／クワン
	IPA	kɯɰaN / kɯwaN
憪	假名	リン
	IPA	riN
湲	假名	ワン
	IPA	waN
閑	假名	ヒヱン／ヘン／ヘエン
	IPA	çieN / heN / heːN
鷴／鷳	假名	ヒヱン／ヱン
	IPA	çieN / eN
潺	假名	ヅ／ヅアン／ツアン
	IPA	dzɯ / dzɯaN / tsɯaN
殷	假名	イン
	IPA	iN
慳	假名	ケン
	IPA	keN
山	假名	サン／シヤン
	IPA	saN / ɕijaN
綸	假名	ルン
	IPA	rɯN
艱	假名	ケン
	IPA	keN
閒	假名	ヘエン
	IPA	heːN
間	假名	ケン／ヘン／ケエン
	IPA	keN / heN / keːN
蹁	假名	ペン
	IPA	peN
憐	假名	レン
	IPA	reN
蓮	假名	レン
	IPA	reN
零	假名	リン
	IPA	riN
弦／絃	假名	ヒヱン／へエン／ヘン
	IPA	çieN / heːN / heN
懸	假名	ヒヱン／ヘン／ヘエン
	IPA	çieN / heN / heːN
玄	假名	ヒヱン／ヘエン
	IPA	çieN / heːN
縣	假名	ヒヱン／ケン／ヘン
	IPA	çieN / keN / heN
賢	假名	ヒヱン／ヘン／ヘエン
	IPA	çieN / heN / heːN
嗔	假名	デン／チン
	IPA	deN / tɕiN
田	假名	テン／デン
	IPA	teN / deN
闐	假名	チン／テン／テ゚ン
	IPA	tɕiN / teN / diN
籩	假名	ペン
	IPA	peN
編	假名	ペン
	IPA	peN
萹	假名	へン
	IPA	heN
蝙	假名	ペン
	IPA	peN
蹁	假名	ペン
	IPA	peN
飄	假名	ヒヤ◦ウ／ヒヤーウ／ピヤーウ
	IPA	çijaɯ / pijaɯ
咽	假名	ユン
	IPA	jɯN
淵	假名	ヱエン／ユン
	IPA	eːN / jɯN
烟／煙	假名	ヱン／エン／イエン
	IPA	eN / ieN
燕	假名	ヱン／ユン／エン
	IPA	eN / jɯN
胭	假名	ヱン／ユン
	IPA	eN / jɯN
前	假名	ツエン／ツヱン／ヅヱン／チエン／スエン／ゼン／ヅエン
	IPA	tsɯeN / dzɯeN / tɕieN / sɯeN / zeN
先	假名	スヱン／スエン／セン／ゼン
	IPA	sɯeN / seN / zeN
蹮/躚	假名	スエン
	IPA	sɯeN
眠	假名	メン／ミイン
	IPA	meN / miːN
瞑	假名	ミン
	IPA	miN
年	假名	ネン
	IPA	neN
千	假名	カン／ツヱン／ツエン／チエン／チユン
	IPA	kaN / tsɯeN / tɕieN / tɕijɯN
阡	假名	ヱン
	IPA	eN
牽	假名	ケン／クン
	IPA	keN / kɯN
妍	假名	ケン／ネン
	IPA	keN / neN
研	假名	ネン
	IPA	neN
巔	假名	テ゚ン
	IPA	diN
顛	假名	テン
	IPA	teN
淺	假名	ツヱン／セン／チエン／ツエン
	IPA	tsɯeN / seN / tɕieN
濺	假名	ツエン
	IPA	tsɯeN
箋	假名	ツエン
	IPA	tsɯeN
韉	假名	ツヱン
	IPA	tsɯeN
堅	假名	ケン
	IPA	keN
涓	假名	ケユ／ケン
	IPA	kejɯ / keN
肩	假名	ケン
	IPA	keN
鵑	假名	ケエン／キヱン／キエン
	IPA	keːN / kieN
㳙	假名	ケン
	IPA	keN
吞	假名	トン
	IPA	toN
天	假名	テン／テ／テエン
	IPA	teN / te / teːN
便	假名	ベン／へン／ペン
	IPA	beN / heN / peN
飄	假名	ヒヤ◦ウ／ヒヤーウ／ピヤーウ
	IPA	çijaɯ / pijaɯ
圓	假名	ヱユン／エン
	IPA	ejɯN / eN
圜	假名	ワン
	IPA	waN
湲	假名	ワン
	IPA	waN
焉	假名	ヱン／エン／イエン
	IPA	eN / ieN
延	假名	エン／ヱン／ユン
	IPA	eN / jɯN
筵	假名	ヱン／ユン／エン
	IPA	eN / jɯN
緣	假名	ロ／ヱユン／ユン／エン
	IPA	ro / ejɯN / jɯN / eN
蜒	假名	ヱン
	IPA	eN
鉛	假名	エン／ユン
	IPA	eN / jɯN
鳶	假名	イユン／ユヱン／ヱユン／ユン
	IPA	ijɯN / jɯeN / ejɯN / jɯN
縁	假名	エン
	IPA	eN
衘	假名	エン
	IPA	eN
令	假名	リン
	IPA	riN
連	假名	レン
	IPA	reN
潺	假名	ヅ／ヅアン／ツアン
	IPA	dzɯ / dzɯaN / tsɯaN
單	假名	タン
	IPA	taN
禪	假名	セン／セ゚ン／チエン／ゼン
	IPA	seN / tɕieN / zeN
篅	假名	チヱン
	IPA	tɕieN
蟬	假名	デヱン／ヂエン
	IPA	deːN / dʑieN
編	假名	ペン
	IPA	peN
蝮	假名	ヒヤア／ホツ
	IPA	çijaː / hoʔ
娟	假名	ヘン
	IPA	heN
嬛	假名	ワン
	IPA	waN
焉	假名	ヱン／エン／イエン
	IPA	eN / ieN
全	假名	ツエン／ツヱン／ヅヱン／ヅエン／セ゚ン／チエン／ゼン
	IPA	tsɯeN / dzɯeN / tɕieN / zeN
泉	假名	ツエン／ツヱン／ジエン／スエン／ズエン／ゼン／ヅエン
	IPA	tsɯeN / dʑieN / sɯeN / zɯeN / zeN / dzɯeN
錢	假名	ツエン／ツヱン／ヅヱン
	IPA	tsɯeN / dzɯeN
仙/僊	假名	スエン／スヱン／セン／ゼン
	IPA	sɯeN / seN / zeN
宣	假名	スヱン／スエン／セン
	IPA	sɯeN / seN
瑄	假名	スエン
	IPA	sɯeN
秈	假名	スヱン
	IPA	sɯeN
躚	假名	スエン
	IPA	sɯeN
鮮	假名	スエン／セン／スヱン
	IPA	sɯeN / seN
撋	假名	ジン
	IPA	dʑiN
然	假名	ジヱン／ゼン／セン／ジユン／エン／ネン
	IPA	dʑieN / zeN / seN / dʑijɯN / eN / neN
燃	假名	ゼン
	IPA	zeN
川/巛	假名	チエン／チヱン／セン
	IPA	tɕieN / seN
燀	假名	チエン
	IPA	tɕieN
穿	假名	チヱン／チエン
	IPA	tɕieN
綿/緜	假名	メン
	IPA	meN
嬛	假名	ワン
	IPA	waN
扇	假名	サン／セン
	IPA	saN / seN
佺	假名	チエン
	IPA	tɕieN
詮	假名	ツエン
	IPA	tsɯeN
遷	假名	ツヱン／チエン
	IPA	tsɯeN / tɕieN
愆	假名	ケン
	IPA	keN
棬	假名	キユン
	IPA	kijɯN
褰	假名	ケン
	IPA	keN
偏	假名	ペン
	IPA	peN
冰	假名	ピン
	IPA	piN
篇	假名	ペン
	IPA	peN
翩	假名	ペン
	IPA	peN
萹	假名	へン
	IPA	heN
傳	假名	ヂヱン／チエン／テン／ゼン／ジエン
	IPA	dʑieN / tɕieN / teN / zeN
椽	假名	ツエン
	IPA	tsɯeN
纏	假名	チヱン／ヂヱン／チユン
	IPA	tɕieN / dʑieN / tɕijɯN
栓	假名	ツヱン
	IPA	tsɯeN
邅	假名	チヱン
	IPA	tɕieN
鱣	假名	テン
	IPA	teN
專	假名	チヱン／セ゚ン／チユン
	IPA	tɕieN / tɕijɯN
旃	假名	セン／チエン
	IPA	seN / tɕieN
氈/氊	假名	チヱン
	IPA	tɕieN
甎/磚	假名	チヱン／チエン
	IPA	tɕieN
煎	假名	ツヱン
	IPA	tsɯeN
乾	假名	カン／ケン
	IPA	kaN / keN
卷／捲	假名	キユン／チヱン／キヱン／ケエン／ケン
	IPA	kijɯN / tɕieN / kieN / keːN / keN
拳	假名	キヱン／ギヱン／キン／ケン／ゲエン
	IPA	kieN / gieN / kiN / keN / geːN
權	假名	チン／ギヱン／キエン／ケエン／ケン
	IPA	tɕiN / gieN / kieN / keːN / keN
犍	假名	ケン
	IPA	keN
虔	假名	ケン
	IPA	keN
舩	假名	ヂヱン／チヱン／チエン
	IPA	dʑieN / tɕieN
船	假名	チエン／チヱン／テヱン／ジエン／スヘン／ヅエン
	IPA	tɕieN / teːN / dʑieN / sɯɰeN / dzɯeN
旋	假名	ツヱン／ツエン／チエン
	IPA	tsɯeN / tɕieN
涎	假名	ツエン／ツヱン
	IPA	tsɯeN
璿	假名	ツヱン
	IPA	tsɯeN
還	假名	ハン／ワン／フアン／フワン
	IPA	haN / waN / ɸɯaN / ɸɯwaN
扮	假名	パン
	IPA	paN
屏	假名	ピン／ビン
	IPA	piN / biN
遠	假名	エヱン／スヱン／ユヱン／ヱユン／ユン／エン／イエン
	IPA	eːN / sɯeN / jɯeN / ejɯN / jɯN / eN / ieN
逺	假名	イエン／イユン
	IPA	ieN / ijɯN
反	假名	ハン
	IPA	haN
屏	假名	ピン／ビン
	IPA	piN / biN
堰	假名	ヱン
	IPA	eN
宛	假名	ワン／ユン／エン
	IPA	waN / jɯN / eN
苑	假名	エン
	IPA	eN
菀	假名	ワアン
	IPA	waːN
蝘	假名	ヱン
	IPA	eN
鰋	假名	ユン
	IPA	jɯN
晚	假名	ワン
	IPA	waN
幰	假名	ヘン
	IPA	heN
阮	假名	スヱン／ユン
	IPA	sɯeN / jɯN
卷	假名	キユン／チヱン／キヱン／ケエン／ケン
	IPA	kijɯN / tɕieN / kieN / keːN / keN
圈	假名	キヱン
	IPA	kieN
菌	假名	キユン
	IPA	kijɯN
蹇	假名	ケン
	IPA	keN
懶	假名	ラン
	IPA	raN
旱	假名	ハアン
	IPA	haːN
但	假名	ダン／タン
	IPA	daN / taN
誕	假名	タン
	IPA	taN
傘/繖	假名	サン／サ゚ン
	IPA	saN / tsaN
散	假名	サム／サン
	IPA	samɯ / saN
灘	假名	ダン
	IPA	daN
衎	假名	カン
	IPA	kaN
亶	假名	タン
	IPA	taN
担	假名	タン
	IPA	taN
伴	假名	ハン／バン／パン
	IPA	haN / baN / paN
卵	假名	ロハン
	IPA	rohaN
浣/澣	假名	クワン
	IPA	kɯwaN
緩	假名	ワアン／ワン
	IPA	waːN / waN
斷	假名	トワン／ドハン／トハン／タワン／タン／ドアン／ドワン／ダン
	IPA	towaN / dohaN / tohaN / tawaN / taN / doaN / dowaN / daN
緞	假名	ドハン／トハン
	IPA	dohaN / tohaN
盌/碗	假名	ワン
	IPA	waN
算	假名	サン／スワン／ソワン
	IPA	saN / sɯwaN / sowaN
滿	假名	マアン／マン／ムン／ヤン／モアン
	IPA	maːN / maN / mɯN / jaN / moaN
暖/煖	假名	ノハン／ノワン／ノアン
	IPA	nohaN / nowaN / noaN
款	假名	クハン
	IPA	kɯɰaN
斷	假名	トワン／ドハン／トハン／タワン／タン／ドアン／ドワン／ダン
	IPA	towaN / dohaN / tohaN / tawaN / taN / doaN / dowaN / daN
短	假名	トハン／トワン／タン
	IPA	tohaN / towaN / taN
盥	假名	クハン
	IPA	kɯɰaN
管	假名	クハン／クワン
	IPA	kɯɰaN / kɯwaN
憪	假名	リン
	IPA	riN
捍	假名	ハアン
	IPA	haːN
莞	假名	ワン
	IPA	waN
鯇	假名	ホヲン／ワン
	IPA	hoːN / waN
赧	假名	ナン
	IPA	naN
撰	假名	ヅアン／ヅヱン
	IPA	dzɯaN / dzɯeN
饌	假名	ヅアン
	IPA	dzɯaN
板/版	假名	パン／ハン
	IPA	paN / haN
潸	假名	ツアン
	IPA	tsɯaN
丳	假名	ツアン
	IPA	tsɯaN
限	假名	ヒヱン／ヘン
	IPA	çieN / heN
棧	假名	ツヱン
	IPA	tsɯeN
產	假名	ツアン
	IPA	tsɯaN
眼	假名	ヱン／エン／イエン
	IPA	eN / ieN
盞/醆	假名	ツアン／サ゚ン
	IPA	tsɯaN / tsaN
揀	假名	ケン
	IPA	keN
簡	假名	ケン
	IPA	keN
屏	假名	ピン／ビン
	IPA	piN / biN
辮	假名	ベン
	IPA	beN
泫	假名	ヒヱン
	IPA	çieN
蜆	假名	ヒヱン
	IPA	çieN
蜓	假名	テイン／デイン
	IPA	teiN / deiN
匾	假名	ペン
	IPA	peN
瓶/缾	假名	ピン／ビン
	IPA	piN / biN
編	假名	ペン
	IPA	peN
萹	假名	へン
	IPA	heN
宴	假名	ユン／エン
	IPA	jɯN / eN
蝘	假名	ヱン
	IPA	eN
洗	假名	スヱヽ
	IPA	sɯeː
筅	假名	スヱン
	IPA	sɯeN
箲	假名	スヱン
	IPA	sɯeN
眄	假名	ムン／メン
	IPA	mɯN / meN
蜆	假名	ヒヱン
	IPA	çieN
顯	假名	ヒヱン／ヘン
	IPA	çieN / heN
撚	假名	ネン
	IPA	neN
犬	假名	キヱン
	IPA	kieN
典	假名	テン
	IPA	teN
腆	假名	テン
	IPA	teN
靦／腼	假名	メン
	IPA	meN
濱/濵/瀕	假名	ピン／ビン
	IPA	piN / biN
辨	假名	ベン／へン
	IPA	beN / heN
兗	假名	クン
	IPA	kɯN
演	假名	ヱン／エン
	IPA	eN
蓮	假名	レン
	IPA	reN
輦	假名	レン
	IPA	reN
撰	假名	ヅアン／ヅヱン
	IPA	dzɯaN / dzɯeN
棧	假名	ツヱン
	IPA	tsɯeN
善	假名	ゼン／セン／ジエン／サン
	IPA	zeN / seN / dʑieN / saN
單	假名	タン
	IPA	taN
鱓	假名	チヱン／ヂヱン
	IPA	tɕieN / dʑieN
選	假名	スヱン
	IPA	sɯeN
鮮	假名	スエン／セン／スヱン
	IPA	sɯeN / seN
軟/輭	假名	ゼン／セン／ジエン
	IPA	zeN / seN / dʑieN
燀	假名	チエン
	IPA	tɕieN
闡	假名	チエン
	IPA	tɕieN
免	假名	メン
	IPA	meN
餅/餠	假名	ヒン／ピン／ビイン
	IPA	çiN / piN / biːN
勉	假名	メン
	IPA	meN
賓/賔	假名	ヒン／ピン／ビン
	IPA	çiN / piN / biN
平	假名	ヒン／ピン／ビン
	IPA	çiN / piN / biN
平	假名	ヒン／ピン／ビン
	IPA	çiN / piN / biN
淺	假名	ツヱン／セン／チエン／ツエン
	IPA	tsɯeN / seN / tɕieN
遣	假名	ケン
	IPA	keN
摶	假名	フン／ポ／タン／ダン
	IPA	ɸɯN / po / taN / daN
篆	假名	ヂン
	IPA	dʑiN
邅	假名	チヱン
	IPA	tɕieN
展	假名	チエン
	IPA	tɕieN
轉	假名	チヱン／チエン／チ゚エン／テエン／ツエン
	IPA	tɕieN / teːN / tsɯeN
燀	假名	チエン
	IPA	tɕieN
剪/翦	假名	ツヱン／ツエン／チエン
	IPA	tsɯeN / tɕieN
錢	假名	ツエン／ツヱン／ヅヱン
	IPA	tsɯeN / dzɯeN
件	假名	ゲン
	IPA	geN
圈	假名	キヱン
	IPA	kieN
卷／捲	假名	キユン／チヱン／キヱン／ケエン／ケン
	IPA	kijɯN / tɕieN / kieN / keːN / keN
蹇	假名	ケン
	IPA	keN
扉	假名	フイ／ヒイ
	IPA	ɸɯi / çiː
遠	假名	エヱン／スヱン／ユヱン／ヱユン／ユン／エン／イエン
	IPA	eːN / sɯeN / jɯeN / ejɯN / jɯN / eN / ieN
販	假名	パン
	IPA	paN
堰	假名	ヱン
	IPA	eN
怨	假名	ヱユン／ユン／エン
	IPA	ejɯN / jɯN / eN
緋	假名	フイ
	IPA	ɸɯi
蜚	假名	フイ
	IPA	ɸɯi
狒	假名	フイ／ホ
	IPA	ɸɯi / ho
蜚	假名	フイ
	IPA	ɸɯi
獻	假名	ケン／ヘン
	IPA	keN / heN
券	假名	キヱン
	IPA	kieN
勸	假名	キヱン／キエン／ケン／ケヘン
	IPA	kieN / keN / keheN
愿／願	假名	ヱユン／ユン／エン／イエン
	IPA	ejɯN / jɯN / eN / ieN
健/徤	假名	ゲン／ケン
	IPA	geN / keN
圈	假名	キヱン
	IPA	kieN
建	假名	キヱン／ケン
	IPA	kieN / keN
瀾	假名	ラン
	IPA	raN
爛	假名	ラン
	IPA	raN
扞/捍	假名	ハアン
	IPA	haːN
汗	假名	ハアン／ハン
	IPA	haːN / haN
瀚	假名	ハン
	IPA	haN
翰	假名	ハアン／カン
	IPA	haːN / kaN
但	假名	ダン／タン
	IPA	daN / taN
彈	假名	タン／ダン
	IPA	taN / daN
憚	假名	ダン／タン
	IPA	daN / taN
按	假名	アン
	IPA	aN
晏	假名	アン
	IPA	aN
案	假名	アン
	IPA	aN
散	假名	サム／サン
	IPA	samɯ / saN
漢	假名	ハアン／ハン
	IPA	haːN / haN
灘	假名	ダン
	IPA	daN
難	假名	ナン／ナアン
	IPA	naN / naːN
看	假名	カン
	IPA	kaN
衎	假名	カン
	IPA	kaN
岸	假名	ガン／カン
	IPA	gaN / kaN
怛	假名	タ／ト
	IPA	ta / to
旦	假名	タン
	IPA	taN
蛋	假名	ダン
	IPA	daN
讚／贊/讃	假名	サ゚ン／サン
	IPA	tsaN / saN
幹／榦	假名	カン
	IPA	kaN
嘆／歎	假名	タン
	IPA	taN
炭	假名	タン
	IPA	taN
伴	假名	ハン／バン／パン
	IPA	haN / baN / paN
蘼	假名	フイ／ミイ
	IPA	ɸɯi / miː
亂	假名	ロハン／ラハン／ロワン／ルロン／ラロン／ルワン／ルヲン／ロヲン
	IPA	rohaN / raɰaN / rowaN / rɯroN / raroN / rɯwaN / rɯoN / roːN
換	假名	ワン
	IPA	waN
段	假名	ドハン／ツワン
	IPA	dohaN / tsɯwaN
蘼	假名	フイ／ミイ
	IPA	ɸɯi / miː
絆	假名	パン
	IPA	paN
惋	假名	ワン
	IPA	waN
筭	假名	ツワン／ソハン／ソワン
	IPA	tsɯwaN / sohaN / sowaN
蒜	假名	ソワン／ソハン
	IPA	sowaN / sohaN
幔	假名	マアン
	IPA	maːN
漫	假名	マン
	IPA	maN
鉜	假名	フウ
	IPA	ɸɯː
喚	假名	ハン／ワン／フワン
	IPA	haN / waN / ɸɯwaN
煥	假名	フワン
	IPA	ɸɯwaN
糯	假名	ヅウ／ノウ
	IPA	dzɯː / noɯ
竄	假名	ツアン
	IPA	tsɯaN
泮	假名	ハン／パン
	IPA	haN / paN
玩／翫	假名	クウン
	IPA	kɯːN
斷	假名	トワン／ドハン／トハン／タワン／タン／ドアン／ドワン／ダン
	IPA	towaN / dohaN / tohaN / tawaN / taN / doaN / dowaN / daN
鑚	假名	ツアン
	IPA	tsɯaN
冠	假名	クハン／クワン
	IPA	kɯɰaN / kɯwaN
灌	假名	クハン／クワン
	IPA	kɯɰaN / kɯwaN
爟	假名	クワン
	IPA	kɯwaN
盥	假名	クハン
	IPA	kɯɰaN
觀	假名	クワン／クアン
	IPA	kɯwaN / kɯaN
貫	假名	クワン
	IPA	kɯwaN
雚	假名	クワン
	IPA	kɯwaN
館	假名	クハン／クワン
	IPA	kɯɰaN / kɯwaN
鸛	假名	クワン／クハン
	IPA	kɯwaN / kɯɰaN
観	假名	イユイ／クワン
	IPA	ijɯi / kɯwaN
貒	假名	トワン
	IPA	towaN
患	假名	ワン
	IPA	waN
槵	假名	ワン
	IPA	waN
棧	假名	ツヱン
	IPA	tsɯeN
晏	假名	アン
	IPA	aN
鴳/鷃	假名	アン／ヱン
	IPA	aN / eN
慢	假名	マン
	IPA	maN
柵	假名	ソツ／ツヱツ／サ゚
	IPA	soʔ / tsɯeʔ / tsa
雁/鴈	假名	エン／ヱン／イエン
	IPA	eN / ieN
串	假名	チヱン
	IPA	tɕieN
慣	假名	クハン／コワン／クワン
	IPA	kɯɰaN / kowaN / kɯwaN
澗	假名	ケン／ケエン
	IPA	keN / keːN
諫	假名	ケン／コン
	IPA	keN / koN
瓣	假名	ペン
	IPA	peN
辦	假名	バン／パン
	IPA	baN / paN
辨	假名	ベン／へン
	IPA	beN / heN
莧	假名	ヒヱン／キヱン
	IPA	çieN / kieN
扮	假名	パン
	IPA	paN
綻	假名	ヅアン／サ゚ン
	IPA	dzɯaN / tsaN
閒	假名	ヘエン
	IPA	heːN
揀	假名	ケン
	IPA	keN
楝	假名	レン
	IPA	reN
練/練	假名	レン
	IPA	reN
炫/衒	假名	ヘン
	IPA	heN
現	假名	ヒヱン／ヘン／ゲン
	IPA	çieN / heN / geN
縣	假名	ヒヱン／ケン／ヘン
	IPA	çieN / keN / heN
見	假名	ケン／ケヘン
	IPA	keN / keheN
殿	假名	テン
	IPA	teN
甸	假名	デ／テン／ラン
	IPA	de / teN / raN
闐	假名	チン／テン／テ゚ン
	IPA	tɕiN / teN / diN
電	假名	テン／デン／ルイ
	IPA	teN / deN / rɯi
咽／嚥	假名	ユン
	IPA	jɯN
宴	假名	ユン／エン
	IPA	jɯN / eN
燕	假名	ヱン／ユン／エン
	IPA	eN / jɯN
荐	假名	ツヱン
	IPA	tsɯeN
先	假名	スヱン／スエン／セン／ゼン
	IPA	sɯeN / seN / zeN
霰	假名	スヱン
	IPA	sɯeN
眄	假名	ムン／メン
	IPA	mɯN / meN
瞑	假名	ミン
	IPA	miN
絃	假名	ヒヱン／ヘン
	IPA	çieN / heN
茜	假名	スヱイ／ツヱン
	IPA	sɯei / tsɯeN
牽	假名	ケン／クン
	IPA	keN / kɯN
蜆	假名	ヒヱン
	IPA	çieN
片	假名	ペン
	IPA	peN
研	假名	ネン
	IPA	neN
硯	假名	ネン
	IPA	neN
殿	假名	テン
	IPA	teN
薦	假名	ツヱン／セ゚ン／チエン
	IPA	tsɯeN / tɕieN
見	假名	ケン／ケヘン
	IPA	keN / keheN
顛	假名	テン
	IPA	teN
便	假名	ベン／へン／ペン
	IPA	beN / heN / peN
援	假名	ヱユン／エン
	IPA	ejɯN / eN
院	假名	イユン／イエン
	IPA	ijɯN / ieN
延	假名	エン／ヱン／ユン
	IPA	eN / jɯN
涎	假名	ツエン／ツヱン
	IPA	tsɯeN
緣	假名	ロ／ヱユン／ユン／エン
	IPA	ro / ejɯN / jɯN / eN
羡	假名	ヅヱン／ツヱン
	IPA	dzɯeN / tsɯeN
戀	假名	レン
	IPA	reN
碾	假名	ナエン
	IPA	naeN
饌	假名	ヅアン
	IPA	dzɯaN
單	假名	タン
	IPA	taN
擅	假名	セン
	IPA	seN
禪	假名	セン／セ゚ン／チエン／ゼン
	IPA	seN / tɕieN / zeN
繕	假名	ジエン
	IPA	dʑieN
膳	假名	ゼン
	IPA	zeN
變	假名	ペン
	IPA	peN
徧/遍	假名	ペン／ペエン
	IPA	peN / peːN
堰	假名	ヱン
	IPA	eN
賤	假名	ヅヱン／セ゚ン／ツエン
	IPA	dzɯeN / tɕieN / tsɯeN
線	假名	スエン／スヱン
	IPA	sɯeN
選	假名	スヱン
	IPA	sɯeN
鮮	假名	スエン／セン／スヱン
	IPA	sɯeN / seN
穿	假名	チヱン／チエン
	IPA	tɕieN
釧	假名	チエン
	IPA	tɕieN
彪	假名	フウ
	IPA	ɸɯː
扇	假名	サン／セン
	IPA	saN / seN
遣	假名	ケン
	IPA	keN
偏	假名	ペン
	IPA	peN
傳	假名	ヂヱン／チエン／テン／ゼン／ジエン
	IPA	dʑieN / tɕieN / teN / zeN
纏	假名	チヱン／ヂヱン／チユン
	IPA	tɕieN / dʑieN / tɕijɯN
邅	假名	チヱン
	IPA	tɕieN
這	假名	チヱヽ／チエ／チエヽ
	IPA	tɕieː / tɕie
傳	假名	ヂヱン／チエン／テン／ゼン／ジエン
	IPA	dʑieN / tɕieN / teN / zeN
囀	假名	チエン
	IPA	tɕieN
轉	假名	チヱン／チエン／チ゚エン／テエン／ツエン
	IPA	tɕieN / teːN / tsɯeN
戰	假名	チヱン／チエン／セ゚ン
	IPA	tɕieN
顫	假名	チエン
	IPA	tɕieN
濺	假名	ツエン
	IPA	tsɯeN
煎	假名	ツヱン
	IPA	tsɯeN
箭	假名	ツヱン
	IPA	tsɯeN
倦	假名	ギユン／ギヱン／ギエン／ケエン／ゲエン
