字	阜南	临泉	太和	涡阳	颍上
镜	tɕiŋ53	tɕiŋ52	tɕiŋ41	tɕiŋ42	tɕiŋ51
戟	tɕi23	tɕi24	tɕi24	tɕi25	tɕi35
卿	tɕʰiŋ211	tɕʰiŋ213	tɕʰiŋ213	tɕʰiŋ213	tɕʰiŋ213
庆	tɕʰiŋ53	tɕʰiŋ52	tɕʰiŋ41	tɕʰiŋ42	tɕʰiŋ51
擎	tɕʰiŋ23	tɕʰiŋ24	tɕʰiŋ44	tɕʰiŋ25	tɕʰiŋ35
鲸	tɕiŋ211	tɕiŋ213	tɕiŋ213	tɕiŋ213	tɕiŋ213
競	tɕiŋ53	tɕiŋ52	tɕiŋ41	tɕiŋ42	tɕiŋ51
剧	tɕy53	tɕy52	tɕy41	tɕy42	tɕy51
屐	tɕi211	tɕi213	tɕi213	tɕi213	tɕi213
逆	ni53	ni52	ni41	ni42	ni51
英	iŋ211	iŋ213	iŋ213	iŋ213	iŋ213
影	iŋ23	iŋ24	iŋ24	iŋ25	iŋ35
映	iŋ53	iŋ52	iŋ41	iŋ42	iŋ51
饼	piŋ23	piŋ24	piŋ24	piŋ25	piŋ35
癖	pʰi53	pʰi52	pʰi41	pʰi42	pʰi51
僻	pʰi53	pʰi52	pʰi41	pʰi42	pʰi51
辟	pʰi53	pʰi52	pʰi41	pʰi42	pʰi51
名	miŋ55	miŋ55	miŋ44	miŋ44	miŋ33
领	liŋ23	liŋ24	liŋ24	liŋ25	liŋ35
嶺	liŋ23	liŋ24	liŋ24	liŋ25	liŋ35
精	tɕiŋ211	tɕiŋ213	tɕiŋ213	tɕiŋ213	tɕiŋ213
睛	tɕiŋ53	tɕiŋ44	tɕiŋ41	tɕiŋ42	tɕiŋ51
井	tɕiŋ23	tɕiŋ24	tɕiŋ24	tɕiŋ25	tɕiŋ35
脊	tɕi23	tɕi24	tɕi24	tɕi25	tɕi35
跡	tɕi55	tɕi55	tɕi44	tɕi44	tɕi33
积	tɕi55	tɕʰiŋ213	tɕi44	tɕi44	tɕi33
清	tɕʰiŋ211	tɕʰiŋ213	tɕʰiŋ213	tɕʰiŋ213	tɕʰiŋ213
请	tɕʰiŋ23	tɕʰiŋ24	tɕʰiŋ24	tɕʰiŋ25	tɕʰiŋ35
情	tɕʰiŋ55	tɕʰiŋ55	tɕʰiŋ44	tɕʰiŋ44	tɕʰiŋ33
晴	tɕʰiŋ55	tɕiŋ55	tɕʰiŋ44	tɕʰiŋ44	tɕʰiŋ33
静	tɕiŋ53	tɕiŋ52	tɕiŋ41	tɕiŋ42	tɕiŋ51
靖	tɕiŋ53	tɕiŋ52	tɕiŋ41	tɕiŋ42	tɕiŋ51
净	tɕiŋ53	tɕi52	tɕiŋ41	tɕiŋ42	tɕiŋ51
籍	tɕi55	tɕi55	tɕi44	tɕi44	tɕi33
省	ɕiŋ211	ɕiŋ213	ɕiŋ213	ɕiŋ213	ɕiŋ213
性	ɕiŋ53	ɕiŋ52	ɕiŋ41	ɕiŋ42	ɕiŋ51
蓆	ɕi55	ɕi55	ɕi44	ɕi44	ɕi33
贞	tsən211	tsən213	tsən213	tsən213	tsən213
侦	tsən211	tsʰəŋ24	tsən213	tsən213	tsən213
逞	tsʰəŋ23	tsʰəŋ24	tsʰəŋ24	tsʰəŋ25	tsʰəŋ35
呈	tsʰəŋ23	tsʰəŋ24	tsʰəŋ24	tsʰəŋ25	tsʰəŋ35
程	tsʰəŋ23	tsəŋ52	tsʰəŋ24	tsʰəŋ25	tsʰəŋ35
郑	tsəŋ53	tsɿ52	tsəŋ41	tsəŋ42	tsəŋ51
掷	tsɿ53	tsɿ52	tsɿ41	tsɿ42	tsɿ51
正	tsəŋ211	tsəŋ213	tsəŋ213	tsəŋ213	tsəŋ213
征	tsəŋ211	tsəŋ24	tsəŋ213	tsəŋ213	tsəŋ213
整	tsəŋ23	tsəŋ52	tsəŋ24	tsəŋ25	tsəŋ35
正	tsəŋ53	tsəŋ52	tsəŋ41	tsəŋ42	tsəŋ51
政	tsəŋ53	tsɿ213	tsəŋ41	tsəŋ42	tsəŋ51
支	tsɿ211	tsʰɿ213	tsɿ213	tsɿ213	tsɿ213
斥	tsʰɿ53	tsʰɿ52	tsʰɿ41	tsʰɿ42	tsʰɿ51
赤	tsʰɿ53	sɤ52	tsʰɿ41	tsʰɿ42	tsʰɿ51
声	səŋ211	səŋ213	səŋ213	səŋ213	səŋ213
圣	səŋ53	səŋ52	səŋ41	səŋ42	səŋ51
适	sɿ53	sɿ52	sɿ41	sɿ42	sɿ51
成	tsʰəŋ55	tsʰəŋ55	tsʰəŋ44	tsʰəŋ44	tsʰəŋ33
城	tsʰəŋ55	tsʰəŋ55	tsʰəŋ44	tsʰəŋ44	tsʰəŋ33
诚	tsʰəŋ55	tsʰəŋ55	tsʰəŋ44	tsʰəŋ44	tsʰəŋ33
盛	tsʰəŋ55	səŋ55	tsʰəŋ44	tsʰəŋ44	tsʰəŋ33
硕	suɤ53	kəŋ24	suɤ41	suɤ42	suɤ51
颈	tɕiŋ23	tɕiŋ24	tɕiŋ24	tɕiŋ25	kəŋ35
劲	tɕiənr53	tɕʰiŋ213	tɕiənr41	tɕiənr42	tɕiən51
轻	tɕʰiŋ211	tɕʰiŋ213	tɕʰiŋ213	tɕʰiŋ213	tɕʰiŋ213
婴	iŋ211	iŋ213	iŋ213	iŋ213	iŋ213
益	i55	i52	i44	i44	i33
盈	iŋ23	iŋ24	iŋ24	iŋ25	iŋ35
贏	iŋ23	i55	iŋ24	iŋ25	iŋ35
液	i55	iɛ55	i44	iɛ44	iɛ33
腋	i55	i55	i44	iɛ44	iɛ33
壁	pi53	pi52	pi41	pi42	pi51
劈	pʰi211	pʰi52	pʰi213	pʰi213	pʰi213
霹	pʰi53	pʰiŋ55	pʰi41	pʰi42	pʰi51
瓶	pʰiŋ55	pʰiŋ55	pʰiŋ44	pʰiŋ44	pʰiŋ33
屏	pʰiŋ55	pʰiŋ55	pʰiŋ44	pʰiŋ44	pʰiŋ33
萍	pʰiŋ55	piŋ52	pʰiŋ44	pʰiŋ44	pʰiŋ33
并	piŋ53	miŋ55	piŋ41	piŋ42	piŋ51
铭	miŋ55	miŋ55	miŋ44	miŋ44	miŋ33
暝	miŋ55	miŋ55	miŋ44	miŋ44	miŋ33
觅	mi53	mi52	mi41	mi42	mi51
丁	tiŋ211	tiŋ213	tiŋ213	tiŋ213	tiŋ213
钉	tiŋ211	tiŋ213	tiŋ213	tiŋ213	tiŋ213
疔	tiŋ211	tiŋ213	tiŋ213	tiŋ213	tiŋ213
叮	tiŋ211	tiŋ24	tiŋ213	tiŋ213	tiŋ213
顶	tiŋ23	tiŋ24	tiŋ24	tiŋ25	tiŋ35
鼎	tiŋ23	tiŋ52	tiŋ24	tiŋ25	tiŋ35
钉	tiŋ53	tiŋ52	tiŋ41	tiŋ42	tiŋ51
订	tiŋ53	ti55	tiŋ41	tiŋ42	tiŋ51
的	ti55	ti213	ti44	ti44	ti33
滴	ti211	ti55	ti213	ti213	ti213
嫡	ti55	ti55	ti44	ti44	ti33
听	tʰiŋ211	tʰiŋ213	tʰiŋ213	tʰiŋ213	tʰiŋ213
厅	tʰiŋ211	tʰiŋ213	tʰiŋ213	tʰiŋ213	tʰiŋ213
汀	tʰiŋ211	tʰiŋ213	tʰiŋ213	tʰiŋ213	tʰiŋ213
庭	tʰiŋ55	tʰiŋ24	tʰiŋ44	tʰiŋ25	tʰiŋ35
廷	tʰiŋ55	tʰiŋ24	tʰiŋ44	tʰiŋ25	tʰiŋ35
蜓	tʰiŋ55	tʰiŋ213	tʰiŋ44	tʰiŋ25	tʰiŋ35
挺	tʰiŋ23	tʰiŋ24	tʰiŋ24	tʰiŋ213	tʰiŋ213
艇	tʰiŋ23	tiŋ52	tʰiŋ24	tʰiŋ25	tʰiŋ35
锭	tiŋ53	tiŋ52	tiŋ41	tiŋ42	tiŋ51
定	tiŋ53	ti24	tiŋ41	tiŋ42	tiŋ51
狄	ti23	ti24	ti44	ti25	ti35
笛	ti55	ti24	ti44	ti25	ti35
敌	ti55	ti24	ti44	ti25	ti35
宁	niŋ53	niŋ52	niŋ41	niŋ42	niŋ51
铃	liŋ55	lin213	liŋ44	liŋ44	liŋ33
另	liŋ53	li52	liŋ41	liŋ42	liŋ51
历	li53	li52	li41	li42	li51
绩	tɕi53	ʨi52	tɕi41	tɕi42	tɕi51
戚	tɕʰi55	tɕʰi55	tɕʰi44	tɕʰi44	tɕʰi33
寂	tɕi53	ʨi52	tɕi41	tɕi42	tɕi51
星	ɕiŋ211	ɕiŋ213	ɕiŋ213	ɕiŋ213	ɕiŋ213
腥	ɕiŋ211	ɕiŋ213	ɕiŋ213	ɕiŋ213	ɕiŋ213
猩	ɕiŋ211	ɕiŋ24	ɕiŋ213	ɕiŋ213	ɕiŋ213
锡	ɕi211	ɕi55	ɕi213	ɕi213	ɕi213
激	tɕi211	tɕi213	tɕi213	tɕi213	tɕi213
吃	tsʰɿ211	tsʰɿ213	tsʰɿ213	tsʰɿ213	tsʰɿ213
形	ɕiŋ55	ɕiŋ24	ɕiŋ44	ɕiŋ25	ɕiŋ35
刑	ɕiŋ55	ɕiŋ24	ɕiŋ44	ɕiŋ25	ɕiŋ35
矿	kʰuaŋ53	kʰuaŋ52	kʰuaŋ5	kʰuaŋ42	kʰuaŋ51
横	xoŋ53	xoŋ52	xəŋ41	xoŋ42	xoŋ51
横	xoŋ53	xoŋ213	xoŋ41	xoŋ42	xoŋ51
宏	xoŋ55	xuɛ55	xoŋ44	xoŋ25	xoŋ35
获	xuɛ55	xua24	xuɛ44	xuɛ44	xuɛ33
划	xua53	xua24	xua24	xua25	xua35
兄	ɕioŋ211	ɕioŋ213	ɕioŋ213	ɕioŋ213	ɕioŋ213
荣	zoŋ23	ioŋ213	zoŋ24	zoŋ25	zoŋ35
永	zoŋ211	ioŋ213	ioŋ213	zoŋ213	zoŋ213
泳	ioŋ211	ioŋ213	zoŋ24	zoŋ213	zoŋ213
咏	ioŋ211	zoŋ24	zoŋ24	zoŋ213	zoŋ213
倾	tɕʰioŋ211	tɕʰiŋ213	tɕʰioŋ213	tɕʰioŋ213	tɕʰioŋ213
顷	tɕʰioŋ211	tɕʰiŋ24	tɕʰioŋ213	tɕʰioŋ213	tɕʰioŋ213
营	iŋ55	iŋ24	iŋ44	iŋ25	iŋ35
茔	iŋ55	iŋ213	iŋ44	iŋ25	iŋ35
萤	iŋ55	iŋ55	iŋ44	iŋ44	iŋ33
卜	pʰu55	pʰu213	pu24	pe25	pe35
扑	pʰu211	pu24	pʰu213	pʰu213	pʰu213
醭	pu23	pʰu24	pu24	pu25	pu35
篷	pʰəŋ23	pʰəŋ24	pʰəŋ24	pʰəŋ25	pʰəŋ35
蓬	pʰəŋ23	pʰəŋ24	pʰəŋ24	pʰəŋ25	pʰəŋ35
瀑	pʰu23	pɔ52	pʰu24	pʰu25	pʰu35
木	mu53	mu52	mu41	mu42	mu51
栋	toŋ53	tʰoŋ213	toŋ41	toŋ42	toŋ51
通	tʰoŋ211	tʰoŋ24	tʰoŋ213	tʰoŋ213	tʰoŋ213
秃	tʰu211	tʰu213	tʰu213	tʰu213	tʰu213
同	tʰoŋ55	tʰoŋ24	tʰoŋ44	tʰoŋ44	tʰoŋ33
筒	tʰoŋ23	tʰoŋ24	tʰoŋ44	tʰoŋ25	tʰoŋ35
童	tʰoŋ55	tʰoŋ55	tʰoŋ44	tʰoŋ25	tʰoŋ35
动	toŋ53	toŋ52	toŋ41	toŋ42	toŋ51
读	tu55	tu24	tu44	tu25	tu35
笼	loŋ55	loŋ55	loŋ44	loŋ44	loŋ33
弄	nəŋ53	nəŋ41	nəŋ42	nəŋ51	nəŋ51
鬃	tsoŋ211	tsoŋ213	tsoŋ213	tsoŋ213	tsoŋ213
棕	tsoŋ211	tsoŋ213	tsoŋ213	tsoŋ213	tsoŋ213
粽	tsoŋ53	tsəŋ52	tsoŋ41	tsoŋ42	tsoŋ51
葱	tsʰoŋ211	tsʰoŋ213	tsʰoŋ213	tsʰoŋ213	tsʰoŋ213
聰	tsʰoŋ211	tsʰoŋ213	tsʰoŋ213	tsʰoŋ213	tsʰoŋ213
囱	tʰoŋ23	tʰoŋ24	tʰoŋ24	tʰoŋ25	tʰoŋ35
族	tsu55	tsu55	tsʰu44	tsʰu44	tsʰu33
送	soŋ53	ɕioŋ52	soŋ41	soŋ42	soŋ51
速	su53	su52	su41	su42	su51
攻	koŋ211	koŋ213	koŋ213	koŋ213	koŋ213
蚣	koŋ211	koŋ213	koŋ213	koŋ213	koŋ213
贡	koŋ53	koŋ52	koŋ41	koŋ42	koŋ51
谷	ku55	ku55	ku44	ku44	ku33
空	kʰoŋ211	kʰoŋ213	kʰoŋ213	kʰoŋ213	kʰoŋ213
孔	kʰoŋ23	kʰoŋ24	kʰoŋ24	kʰoŋ25	kʰoŋ35
虹	xoŋ55	xoŋ55	xoŋ44	xoŋ44	xoŋ33
紅	xoŋ55	xoŋ24	xoŋ44	xoŋ25	xoŋ35
齆	oŋ211	oŋ213	toŋ213	oŋ213	oŋ213
督	tu211	tu213	tu213	tu213	toŋ213
笃	tu23	tu24	tu24	tu25	tu213
膿	noŋ55	noŋ55	noŋ44	noŋ44	noŋ33
宗	tsoŋ211	tsoŋ213	tsoŋ213	tsoŋ213	tsoŋ213
综	tsoŋ211	tsoŋ213	tsoŋ213	tsoŋ213	tsoŋ213
宋	soŋ53	soŋ52	soŋ41	soŋ42	soŋ51
沃	uɤ53	uɤ52	uɤ41	uɤ42	uɤ51
风	fəŋ211	fəŋ213	fəŋ213	fəŋ213	fəŋ213
蝠	fu55	fu55	fu44	fu44	fu33
隆	loŋ55	loŋ55	loŋ44	loŋ44	loŋ33
六	liɤo53	liɤo52	lu41	liɤo42	liɤo51
宿	ɕy211	sy213	ɕy213	ɕy213	su213
中	tsoŋ211	tsoŋ213	tsoŋ213	tsoŋ213	tsoŋ213
竹	tsu55	tsu55	tsu44	tsu44	tsu33
筑	tsu55	tsu55	tsu44	tsu44	tsu33
畜	ʦʰu53	tsʰu52	ɕy41	ɕy42	ɕy51
虫	tsʰoŋ23	tsʰoŋ24	tsʰoŋ24	tsʰoŋ25	tsʰoŋ35
仲	tsoŋ53	tsoŋ52	tsoŋ41	tsoŋ42	tsoŋ51
逐	tsu23	tsu24	tsuɤ24	tsuɤ25	tsuɤ35
轴	tsu23	tsɤu24	tsu24	tsu25	tsu35
崇	tsʰoŋ23	tsʰoŋ24	tsʰoŋ24	tsʰoŋ25	tsʰoŋ35
缩	su211	ɕyɛ213	su213	tsʰu213	tsʰu213
终	tsoŋ211	tsoŋ213	tsoŋ213	tsoŋ213	tsoŋ213
众	tsoŋ53	tsoŋ52	tsoŋ41	tsoŋ42	tsoŋ51
粥	tsu23	tsɤo24	tsu24	tsuɤ25	tsuɤ35
祝	tsu53	tsu52	tsu41	tsu42	tsu51
充	tsʰoŋ211	tsʰoŋ213	tsʰoŋ213	tsʰoŋ213	tsʰoŋ213
叔	su211	fu213	su213	su213	su213
淑	su23	su24	fu25	fu35	su35
熟	su55	su55	fu44	fu33	su33
绒	zoŋ55	zoŋ55	zɤo41	zoŋ44	zoŋ33
弓	koŋ211	koŋ213	koŋ213	koŋ213	koŋ213
躬	koŋ211	koŋ213	koŋ213	koŋ213	koŋ213
宫	koŋ211	koŋ213	koŋ213	koŋ213	koŋ213
菊	tɕy55	tɕy55	tɕy44	tɕy44	tɕy33
鞠	tɕy55	tɕy55	tɕy44	tɕy44	tɕy33
掬	tɕy55	tɕy55	tɕy44	tɕy44	tɕy33
穷	tɕʰioŋ55	tɕʰioŋ55	tɕʰioŋ44	tɕʰioŋ44	tɕʰioŋ33
嗅	ɕiɤo53	ɕiɤo52	ɕiɤo41	ɕiɤo42	ɕiɤo51
畜	ɕy53	ɕy52	ʦʰu41	ɕy42	ɕy51
熊	ɕioŋ55	ɕioŋ55	ɕioŋ44	ɕioŋ44	ɕioŋ33
雄	ɕioŋ55	ɕioŋ55	ɕioŋ44	ɕioŋ44	ɕioŋ33
融	zoŋ55	zoŋ55	zoŋ44	zoŋ44	zoŋ33
封	fəŋ211	fəŋ213	fəŋ213	fəŋ213	fəŋ213
蜂	fəŋ23	fəŋ24	fəŋ213	fəŋ25	fəŋ35
绿	lu53	ly52	lu41	lu42	lu51
纵	tsoŋ53	tsoŋ52	tsoŋ213	tsoŋ42	tsoŋ51
蹤	tsoŋ211	tsoŋ213	tsoŋ41	tsoŋ213	tsoŋ213
縱	tsoŋ53	tsoŋ52	ʨy213	tsoŋ42	tsoŋ51
足	tɕy211	ʨy24	tsoŋ44	tsu25	tsu35
从	tsoŋ55	tsoŋ55	tsu44	tsoŋ44	tsoŋ33
促	tsu55	tsu55	tsʰoŋ44	tsʰu44	tsʰu33
從	tsʰoŋ55	tsʰoŋ55	soŋ24	tsʰoŋ44	tsʰoŋ33
慫	soŋ23	soŋ24	su41	soŋ25	soŋ35
粟	su53	su52	su41	su42	su51
松	soŋ211	soŋ213	soŋ41	soŋ213	soŋ213
诵	soŋ53	soŋ52	soŋ41	soŋ42	soŋ51
颂	soŋ53	soŋ52	soŋ41	soŋ42	soŋ51
俗	ɕy55	su55	ɕy41	ɕy44	su33
冢	tsoŋ211	tsoŋ213	tsoŋ213	tsoŋ213	tsoŋ213
宠	tsʰoŋ23	tsʰoŋ24	tsʰoŋ24	tsʰoŋ25	tsʰoŋ35
重	tsʰoŋ23	tsʰoŋ24	tsoŋ41	tsʰoŋ25	tsʰoŋ35
钟	tsoŋ211	tsoŋ213	tsoŋ213	tsoŋ213	tsoŋ213
种	tsoŋ53	tsoŋ52	tsoŋ24	tsoŋ42	tsoŋ51
肿	tsoŋ23	tsoŋ24	tsoŋ24	tsoŋ25	tsoŋ35
烛	tsu55	tsu55	tsu24	tsu44	tsu33
嘱	tsu23	tsu24	tsʰoŋ213	tsu25	tsu35
触	tsu211	tsʰu213	su24	tsu213	tsu213
辱	zu23	zu24	zu24	zu25	zu35
褥	zu53	zu52	zu42	zu51	zu51
恭	koŋ211	koŋ213	koŋ213	koŋ213	koŋ213
供	koŋ53	koŋ52	koŋ24	koŋ42	koŋ51
供	koŋ53	koŋ24	kʰoŋ24	koŋ25	koŋ35
曲	tɕʰy55	tɕʰy55	tɕʰy44	tɕʰy44	tɕʰy33
局	tɕy55	tɕy55	tɕy44	tɕy44	tɕy33
胸	ɕioŋ211	ɕioŋ213	ɕioŋ213	ɕioŋ213	ɕioŋ213
兇	ɕioŋ211	ɕioŋ213	ɕioŋ213	ɕioŋ213	ɕioŋ213
凶	ɕioŋ211	ɕioŋ213	ɕioŋ213	ɕioŋ213	ɕioŋ213
匈	ɕioŋ211	ɕioŋ213	ɕioŋ213	ɕioŋ213	ɕioŋ213
擁	ioŋ211	ioŋ213	ioŋ213	ioŋ213	ioŋ213
容	zoŋ55	zoŋ24	zoŋ24	ioŋ25	ioŋ35
溶	zoŋ55	zoŋ24	zoŋ24	zoŋ25	zoŋ35
蓉	zoŋ55	zoŋ24	zoŋ24	zoŋ25	zoŋ35
庸	ioŋ211	ioŋ213	ioŋ213	ioŋ213	ioŋ213
熔	zoŋ55	zoŋ24	zoŋ24	zoŋ25	zoŋ35
勇	zoŋ23	ioŋ213	ioŋ213	ioŋ213	ioŋ213
涌	zoŋ211	ioŋ213	ioŋ213	ioŋ213	ioŋ213
恿	zoŋ211	ioŋ213	ioŋ213	ioŋ213	ioŋ213
踊	zoŋ211	ioŋ213	ioŋ213	ioŋ213	ioŋ213
甬	zoŋ211	ioŋ213	ioŋ213	ioŋ213	ioŋ213
欲	y53	y52	y41	y42	y51
