汉字	注释	卫家里村	文家村	枫林老村	上等元村	下南亭村
弯		uaŋ53	-	uan53	-	uan22
湾		uaŋ53	-	uan53	-	uan22
恋		-	lən31	-	-	lian22
劣		-	-	-	liɛ33	-
全		ʨin34	ʦən33	-	ʦən33	ʦʰuan33
泉		-	ʦən33	-	-	ʦʰuan33
绝		ʨiɛ21	-	ʦu24	ʨiɛ21	ʨʰyɛ52
宣		ɕin53	sən44	-	-	ɕyan22
选		ɕin44	sən33	suəŋ44	sən44	ɕyan33
雪		ɕi45	sən53	su5	ɕiɛ33	ɕyɛ33
旋		-	ʦən33	-	ʦən21	-
旋		-	ʦən33	-	ʦən21	-
转		ʦoŋ44	ʦuəŋ33	ʨyn24	ʦuan21	ʨʰyan33
转		tin35	ʦuəŋ33	ʨyn24	tən53	ʦʰuan52
传		ʦoŋ44	ʦən33	ʨyn31	ʨyn33	ʦʰuan33
椽		-	-	yan31	-	-
篆		-	-	ʨyn24	-	-
传		-	-	-	ʨyn21	ʦuan24
专		ʦoŋ53	ʦuəŋ44	ʨiŋ31	ʨyn55	ʦuan22
砖		ʦoŋ53	ʦən44	ʨyn53	ʨyn55	ʦuan22
膞		-	-	-	-	-
拙		-	-	-	-	-
川		-	ʦʰən44	ʨʰyn53	ʨʰyn55	ʦʰuan22
穿		ʦʰuəŋ53	-	ʨʰyn53	ʨʰyn55	ʦʰuan22
喘		ʦʰoŋ53	tiou33	ʦʰan53	ʨʰyn44	ʦʰuan33
串		ʦʰuəŋ35	ʦʰən33	ʨʰyn23	ʨʰyn53	ʦʰuan24
船		suəŋ34	sən33	ʨyn31	ɕyn33	suan33
说		-	-	-	-	-
软		ŋin44	ŋan33	ŋy44	ŋyn24	nuan33
捲		kin44	kən33	kyn44	kyn44	ʨyan24
眷		-	-	kyn23	-	-
卷		-	kən33	kyn44	kyn33	ʨyan24
绢		-	-	-	-	-
圈		kʰin53	kʰən44	kʰyn53	kʰyn55	ʨʰyan22
拳		kin34	kən33	kyn31	kyn33	ʨʰyan33
权		-	ʦən33	kyn31	kyn33	ʨʰyan33
颧		-	-	-	-	-
圈		-	kən33	-	-	-
倦		-	-	-	-	-
圆		loŋ34	-	yn31	vin33	nuan33
员		ioŋ34	-	-	-	yan33
院		ioŋ21	-	ian24	-	yan52
缘		-	uən33	-	-	yan33
沿		-	in33	-	-	yan33
铅		ʨʰin53	uən33	-	-	ʨʰyan33
捐		-	-	ʨyan23	kyn33	ʨyan33
悦		-	-	-	-	-
阅		-	-	-	-	-
反		fəŋ44	-	fan44	fəŋ44	fan35
返		-	-	fan44	-	fan35
贩		fəŋ21	fan53	fan23	fəŋ53	fan24
髮		-	-	-	-	-
发		xua45	fə53	fa5	-	xuo24
烦		faŋ34	fə42	fan31	fəŋ33	fan33
繁		-	fən33	-	-	fan33
矾		uaŋ44	-	fan31	fəŋ33	-
藩		-	fən33	-	-	-
饭		faŋ21	fən31	fan14	fəŋ21	fan52
伐		-	-	-	-	-
筏		-	-	-	-	-
罚		xua21	fə53	fa14	fo21	xuo52
阀		-	fə53	-	-	-
翻		faŋ53	fən33	fan53	fəŋ44	fan22
番		-	fən33	-	-	fan22
晚		uaŋ44	-	ən14	-	-
挽		-	-	-	-	uan24
万		uaŋ21	uə33	uan14	ŋ̍21	uan52
蔓		-	mo31	-	-	-
曼		-	-	-	-	-
袜		mo45	mo33	ma14	muo34	mo24
厥		-	-	-	kʰuɛ33	ʨʰyɛ33
蕨		-	-	-	kiɛ33	-
劝		kʰin35	kʰən42	kʰyn23	kʰyn53	ʦʰuan24
券		-	-	-	kyn33	-
掘		-	-	-	-	-
元		-	-	yan31	-	-
原		ioŋ34	uən33	yan31	-	yan33
源		-	uən33	yan31	-	yan33
阮		-	-	-	-	-
愿		lin21	-	ŋyn23	ŋyn21	yan52
月		lin45	ŋai42	ŋiɛ31	ŋuɛ33	nyɛ21
喧		-	-	-	-	-
冤		in53	-	yan31	vin55	yan22
鸳		-	-	-	-	-
宛		-	-	-	-	-
婉		-	-	-	-	-
怨		-	-	in23	-	yan24
袁		-	-	-	-	yan33
辕		-	-	-	-	-
园		ioŋ34	uən33	yn53	vin33	yan33
援		-	uən33	-	-	yan33
猿		-	-	-	-	-
远		ioŋ44	uən24	yn44	vin24	yan21
越		iɛ21	-	-	vɛ34	yɛ21
曰		-	-	iɛ44	-	-
粤		-	-	-	-	-
鹃		-	-	-	-	-
决		ki45	-	-	-	-
诀		-	-	-	-	-
犬		-	ʦən33	-	-	-
缺		kʰi45	kʰai42	kʰy5	kʰuɛi33	ʨʰyɛ33
血		ɕi45	xai53	ɕiɛ5	xuɛ33	ɕyɛ33
玄		-	-	-	-	ɕyan33
悬		-	-	-	-	ɕyan33
县		hin21	xən31	ɕian23	xən21	ɕian52
眩		-	-	-	-	-
穴		-	-	ɕyɛ31	-	-
渊		-	-	-	-	-
吞		tʰaŋ53	tan44	tʰaŋ53	tʰə55	tən22
跟		kən53	kaŋ44	kaŋ53	kə55	kən22
根		kaŋ53	kaŋ53	kaŋ53	kə55	kən22
恳		-	kʰaŋ53	kaŋ44	-	-
垦		-	kʰan53	-	-	-
啃		kʰaŋ53	-	kən44	-	kʰən24
痕		xən34	xən33	-	xə33	xən33
很		xən44	xən33	-	-	xən24
恨		xən21	xən42	-	xən33	xən24
恩		ŋaŋ53	-	ŋaŋ53	ə55	ən22
宾		-	pan44	-	pin55	-
槟		pən53	-	pən53	pən55	pin22
殡		-	-	-	-	-
鬓		-	pan33	-	-	-
笔		pɛi45	pə42	piɛ5	piɛ33	piɛ33
毕		-	-	pi31	-	pi33
必		-	-	pi31	-	pi33
滗		pɛi35	pi33	pi14	pi33	-
匹		pɛi34	pʰi33	pi31	pi33	pi33
贫		-	pən33	pʰin31	pin33	-
频		-	pən33	pʰin31	-	-
闽		-	-	-	-	-
民		man34	min33	mən31	-	mən33
悯		-	-	-	-	-
敏		-	mən33	mian44	-	-
抿		min44	mən33	mian44	man44	min24
密		mɛi45	-	mi31	mi33	-
蜜		mɛi45	mə33	mi31	mɛ33	miɛ21
邻		-	lən33	lian31	lən33	-
鳞		lən34	lən33	lian31	lən33	lin33
燐		-	-	lian31	-	-
磷		-	lən33	lian31	-	-
吝		-	-	-	-	-
栗		lɛi21	la42	liɛ14	li33	li33
津		-	-	-	-	ʨin22
儘		-	-	-	-	-
进		lin45	-	ʨian23	-	-
晋		-	-	-	-	-
亲		ʦʰən53	ʦʰən44	ʦʰaŋ53	ʦʰan55	ʨʰin22
七		ʦʰɛi45	ʦʰə42	ʦʰə5	ʦʰai33	ʨʰiɛ33
漆		ʦʰɛi45	ʦʰə42	ʦʰə5	ʦʰai33	ʨʰiɛ33
秦		ʨin34	ʦən33	ʦin31	ʦən33	ʨʰin33
尽		ʨin35	ʦən33	ʨin14	ʦən21	ʨin35
疾		ʦɛi21	ʦən24	-	ʦɛ33	-
辛		sən53	sən44	saŋ31	sən55	ɕin22
新		sən53	sən44	saŋ53	sən55	ɕin22
薪		-	sən44	sin44	-	-
信		sən35	sən53	saŋ23	sən53	ɕin24
讯		-	sən53	-	-	-
悉		ɕi21	-	sə23	ɕiɛ21	ɕiɛ22
膝		sɛi45	-	ʨʰi31	sai33	ɕyɛ33
蟋		ɕi21	-	-	-	ɕy33
珍		ʦən53	ʦən44	ʦaŋ53	ʦən55	ʨin22
镇		ʦən35	ʦən33	-	-	-
趁		ʦʰən35	ʦʰən33	ʨʰian23	tən53	ʦʰən24
陈		ʦən34	ʦən33	ʦən31	-	ʦʰən33
尘		ʦən44	ʦən33	ʨian31	tʂən33	ʨʰin33
阵		tən21	ʦən31	ʦən24	tən21	ʦən24
侄		ʨi21	ʦə42	ʦə24	tʂai21	ʨʰiɛ52
秩		-	ʦʰɿ53	-	-	-
臻		-	-	-	-	-
衬		ʦʰən35	ʦʰən53	ʦʰən23	ʦʰə53	ʦʰən24
瑟		-	-	-	-	-
虱		sa45	sə53	ɕiɛ5	ʂai33	sə24
真		ʦən53	ʦən44	ʨiɛ53	ʦən55	ʨin22
诊		-	ʦən33	ʦən44	ʨin44	ʦən24
疹		-	ʦən33	-	-	sən24
振		ʦən35	ʦən24	ʦən23	-	ʦən24
震		ʦən35	ʦən24	ʦən23	-	ʦən24
神		sən34	sən53	sən31	sən33	ɕin33
实		i21	sə42	ɕiɛ24	sai21	ɕiɛ52
身		sən53	sən44	ɕiɛ53	sən55	ɕin22
申		-	sən44	sən44	-	sən22
伸		tʰən53	sən44	ʨian53	sən55	-
娠		-	-	-	-	-
失		ɕiɛ21	ɕi24	ɕiɛ24	sai21	ɕiɛ52
室		-	-	-	-	ɕiɛ52
辰		-	ʦən33	-	-	-
晨		-	tiɛ44	-	-	-
臣		-	ʦən33	-	tʂən33	-
肾		-	sən33	-	-	-
慎		-	sən53	-	-	-
人		lin34	ni33	ŋiɛ31	nin33	ŋ̍33
仁		in34	-	in31	-	-
忍		ŋin44	nian33	ŋiɛ44	nin24	ŋ̍21
刃		-	nian53	-	-	-
认		lin21	nian42	ŋiɛ14	nin21	ŋ̍52
韧		-	-	ŋiɛ44	-	-
日		lin45	ŋai42	ŋiɛ24	niɛ33	niɛ24
巾		ʨin44	kian44	ʨin53	kin55	ʨin22
紧		ʦən44	kian33	ʨin44	kin44	ʨin35
吉		-	-	ʨi31	-	ʨiɛ33
仅		-	ʨian33	-	-	ʨin35
银		lin34	nin33	ŋin31	nin33	ŋ̍33
衅		-	-	-	-	-
因		-	ian44	in44	in55	-
姻		-	ian44	in44	in55	in22
印		in35	ian53	in23	in53	in24
乙		-	i53	i31	iɛ33	-
一		i45	iɛ53	iɛ5	iɛ33	iɛ24
寅		-	in33	-	nin33	-
引		in44	in33	-	in24	in45
蚓		-	-	-	-	ɕin33
逸		-	-	-	-	-
斤		ʦən53	ʨian44	ʨin53	kin55	ʨin22
筋		ʦən53	ʨian44	ʨin53	kin55	ʨin22
谨		-	-	-	-	ʨin24
劲		-	ʨian33	ʨin23	kin53	ʨin24
讫		-	-	-	-	-
乞		-	-	-	-	-
勤		ʦən44	ʦən33	-	kin33	ʨʰin33
芹		ʨin34	ʨin33	-	kin33	ʨʰin33
近		ʦən44	kən33	ʨin14	kin24	ʨʰin22
欣		-	-	-	-	-
殷		-	-	-	-	-
隐		-	-	-	-	-
奔		pən53	pən44	paŋ53	pə55	-
锛		-	paŋ44	-	-	-
本		poŋ44	paŋ33	paŋ44	pə44	pin24
喷		pʰoŋ34	pʰan53	pʰaŋ14	pʰə53	pʰin24
盆		poŋ34	pən33	paŋ53	pə33	pin33
笨		pən21	pən53	-	pə24	pən52
勃		-	-	-	-	-
饽		-	-	-	-	-
门		moŋ34	mən33	maŋ31	mə33	min33
闷		moŋ21	mən42	maŋ14	man21	mən52
没		mou45	mia31	-	-	mu52
敦		-	tan44	-	tən55	-
墩		toŋ53	tan44	taŋ53	tən55	tuəŋ22
顿		tən35	tan53	taŋ14	tə21	-
扽		pən35	tən33	taŋ14	tə53	-
屯		-	tən33	-	tə33	-
豚		-	-	-	-	-
饨		tən44	tʰən33	-	-	-
臀		-	-	-	-	-
囤		toŋ35	tʰən33	təŋ44	-	tuəŋ33
沌		-	tən33	-	-	-
盾		-	tən53	-	-	tən22
钝		-	taŋ53	-	-	-
遁		tən21	tan53	-	-	-
突		-	taŋ33	-	-	tu33
嫩		loŋ21	nən42	naŋ14	na21	nuəŋ52
论		-	lən33	lən23	-	-
崙		-	-	lən23	-	-
论		-	lən33	-	lə21	luəŋ52
尊		ʦən53	ʦən44	-	-	ʦən22
卒		tiou45	tiau53	ʨy31	tiou33	ʦu22
村		ʦʰoŋ53	ʦʰaŋ44	ʦʰaŋ53	ʦʰə55	ʦʰuəŋ22
忖		-	-	-	-	-
寸		ʦʰoŋ35	ʦʰaŋ53	ʦʰaŋ14	ʦʰə53	ʦʰuəŋ24
猝		-	-	-	-	-
存		ʦən34	ʦən33	ʦaŋ31	ʦə33	ʦʰən33
蹲		ʦoŋ34	taŋ33	-	ʦə33	ʦʰuəŋ33
孙		soŋ53	saŋ44	saŋ53	sə55	suəŋ22
损		sən44	saŋ33	-	-	sən24
逊		-	-	-	-	-
昆		kʰuən53	kʰuən44	-	-	-
崑		-	-	-	-	-
滚		kʰoŋ44	kuən33	kuaŋ44	kyn44	kyn35
棍		kʰoŋ35	kuən53	kuaŋ14	kuən53	kyn24
骨		kʰou45	kuo53	kuo5	kuai33	kuo24
坤		-	kʰuən44	kuaŋ53	-	kʰyn22
捆		kʰuən44	kʰuən33	xuo23	kʰuən44	kʰyn35
困		kʰuən35	kʰuə42	kʰuaŋ23	-	kʰyn24
睏		-	-	kʰuaŋ23	-	-
窟		-	-	kuo5	-	-
昏		xuən53	faŋ44	fəŋ53	xuən44	fin22
婚		xuən53	faŋ44	faŋ53	fə55	fin22
忽		-	-	-	-	fu33
魂		xuən34	fən33	uaŋ31	fə33	fin33
馄		xuən34	fən33	fən31	-	-
浑		xuən34	fən33	-	-	fin33
混		xuən21	fən24	faŋ14	fən24	fin52
核		-	-	xə23	-	-
温		uən53	uən44	aŋ53	və55	yn22
瘟		uən53	uən44	uaŋ53	və55	yn22
稳		uən44	uən44	uaŋ44	vən44	yn35
伦		-	lən33	-	lən33	-
轮		lən34	lən33	-	lən24	lən33
律		-	li33	-	-	ly33
率		-	li33	-	-	-
遵		-	ʦən44	-	-	-
俊		-	kən53	-	-	-
骏		-	-	-	-	-
卒		-	-	-	-	-
皴		-	-	ʦʰəŋ53	-	-
焌		-	-	-	-	ʨʰy24
黢		-	ʨʰi33	ʦʰy53	-	ʨʰy22
荀		-	-	-	-	-
笋		sən44	sən33	saŋ44	sən44	ɕioŋ24
榫		-	-	-	-	-
迅		-	ɕin33	-	-	-
戌		-	-	ɕy24	ɕy53	-
恤		-	-	-	-	-
旬		-	-	suən31	-	-
循		-	-	-	-	-
巡		-	sən33	-	-	-
驯		-	sən33	-	-	ɕyn52
殉		-	-	-	-	-
椿		ʦʰoŋ53	ʦʰən44	ʨʰin53	ʦʰuən55	ʨʰyn22
率		-	-	-	-	-
蟀		suo21	-	-	-	suo33
肫		suən21	-	ɕian14	sən33	-
准		ʦuən44	ʦən42	ʦən44	ʦuən44	ʨyn24
準		ʦuən44	ʦən42	ʦən44	ʦuən44	ʨyn24
春		ʦʰoŋ53	ʦʰən44	ʨʰin53	ʦʰuən55	ʨʰyn22
蠢		ʦʰuən44	ʦʰuən53	ʨʰin44	ʦʰuən44	ʨʰyn33
出		ʦʰu45	ʦʰə53	ʦʰə5	tʂʰai33	ʨʰyɛ24
唇		-	-	-	sən33	ɕy33
顺		suən21	sən42	suən14	suən21	ɕyn52
术		-	sou53	su31	-	-
述		-	-	-	-	-
舜		-	-	-	-	-
纯		suən34	-	-	-	-
醇		-	suən42	-	-	-
鹑		-	suən42	-	-	-
润		ioŋ21	uən42	yan14	ŋuən21	yn52
闰		ioŋ21	uən42	yan14	ŋuən21	yn52
均		-	ʨin44	-	-	-
钧		-	-	-	-	-
橘		ki45	ʨi42	-	-	-
窘		-	-	-	-	-
菌		kin21	kuan33	kyan14	kuən24	ʨʰioŋ22
匀		ioŋ34	uən33	yn31	vən33	yn33
允		ioŋ44	uən33	-	-	yn35
尹		-	-	-	-	-
不		pu45	pə33	pu5	pai33	po45
分		foŋ53	fən44	faŋ53	fə55	fin22
吩		-	faŋ44	-	fə55	fin22
粉		foŋ44	faŋ33	faŋ44	fə44	fin35
粪		foŋ35	faŋ53	faŋ23	fə53	fin24
奋		-	faŋ53	-	-	-
芬		-	-	-	-	-
纷		-	faŋ44	-	-	-
焚		-	-	-	-	-
坟		foŋ34	fən33	faŋ31	fə33	fin33
愤		-	-	-	-	-
忿		-	faŋ42	-	-	-
份		foŋ21	faŋ42	faŋ14	fə21	fin52
分		fən21	-	faŋ14	fə21	fin22
佛		fu34	uən33	xuo23	fai21	fu33
文		uən53	uən33	uaŋ31	və33	yn33
纹		uən34	mən33	-	-	-
蚊		məŋ34	uən33	maŋ31	mə33	min33
闻		uən34	uən33	uaŋ31	-	yn33
吻		-	-	-	-	-
刎		-	man31	-	-	-
问		məŋ21	-	maŋ23	mə21	min52
璺		-	-	-	-	-
物		-	-	u31	-	-
勿		-	kuən53	-	-	-
君		-	kuan44	-	kuan55	ʨyn22
军		kin53	-	kyɛ53	kuan55	ʨyn22
屈		-	-	-	-	-
群		ʨin34	kuən33	-	kuən33	ʨʰyn33
裙		kin34	-	kyɛ31	kuən33	ʨʰioŋ33
郡		-	ʨiɛ42	-	-	-
倔		-	fən44	-	-	-
熏		ɕin53	sən44	-	xuan55	ɕioŋ22
勋		-	-	-	-	-
薰		-	fən44	-	-	ɕioŋ22
荤		xuən53	sən42	faŋ53	fə55	fin22
训		-	-	ɕyn14	-	ɕyn52
熨		-	-	-	-	yn52
酝		-	i42	-	-	-
鬱		-	uən33	-	-	-
云		ioŋ34	uən33	yan31	vən33	yn33
耘		ioŋ34	-	yan31	vən33	yn33
韵		ioŋ21	uən42	-	-	-
运		ioŋ21	uən42	yan14	vən21	yn52
晕		in53	pin44	yan31	-	yn33
帮		paŋ53	-	pəŋ53	paŋ55	paŋ22
榜		paŋ44	-	-	poŋ44	paŋ24
谤		-	-	-	-	-
博		-	-	-	-	-
滂		-	-	-	-	-
泊		-	pəŋ33	-	-	pæ45
旁		paŋ34	pəŋ33	pəŋ31	poŋ33	paŋ33
螃		paŋ34	pəŋ53	puo31	pou33	paŋ33
膀		-	-	pu14	-	-
傍		-	pʰo42	-	-	-
薄		paŋ21	po44	-	pai21	po52
泊		-	məŋ33	-	-	-
忙		maŋ34	məŋ33	maŋ31	məŋ33	məŋ33
芒		-	məŋ53	-	məŋ33	məŋ33
茫		-	-	-	-	-
莽		maŋ44	mo24	-	-	-
蟒		maŋ44	mo42	-	-	mən21
莫		-	mo42	muo31	mo34	mo21
膜		-	mou42	muo31	-	-
幕		-	mou42	mu14	-	-
寞		-	mu44	muo31	-	-
摸		mau53	-	muo44	muɛ33	mu33
漠		-	-	-	-	-
当		taŋ53	-	tuən53	toŋ55	taŋ22
铛		taŋ44	-	-	-	taŋ22
裆		taŋ21	taŋ53	nuan24	-	naŋ22
党		taŋ44	taŋ42	taŋ44	-	taŋ45
挡		taŋ44	taŋ42	təŋ44	toŋ44	taŋ45
当		taŋ35	taŋ42	tuan23	toŋ53	taŋ24
档		taŋ44	tʰaŋ44	-	toŋ44	taŋ45
汤		tʰaŋ53	-	tən53	tʰoŋ55	tʰaŋ22
倘		-	tʰuəŋ33	-	-	-
躺		tʰaŋ44	tʰaŋ42	tuəŋ44	-	tʰaŋ45
烫		tʰaŋ35	tʰaŋ42	tuəŋ23	tʰuəŋ53	taŋ24
趟		tʰaŋ44	-	tuəŋ44	-	tʰaŋ24
託		-	-	tu5	-	tʰuo24
托		tau21	tuəŋ33	-	-	-
堂		taŋ34	tuəŋ33	tuəŋ31	toŋ33	taŋ33
棠		-	-	-	-	-
螳		-	tuəŋ33	-	tioŋ33	-
唐		taŋ34	tuəŋ33	fuaŋ31	toŋ33	taŋ33
糖		taŋ34	tuəŋ33	tuəŋ31	toŋ33	taŋ33
塘		taŋ34	laŋ33	tuəŋ31	toŋ33	taŋ33
荡		laŋ44	-	-	-	naŋ45
宕		-	-	-	-	-
铎		-	-	-	-	-
踱		tou21	-	-	-	-
囊		-	-	nuəŋ23	-	-
曩		-	-	-	-	-
诺		-	luəŋ33	-	-	-
郎		laŋ34	luəŋ33	nuəŋ31	loŋ33	laŋ33
廊		-	-	laŋ31	-	laŋ33
狼		laŋ34	-	-	-	laŋ33
螂		-	-	-	-	-
榔		laŋ44	-	nuəŋ31	loŋ33	laŋ33
朗		-	-	-	-	laŋ52
浪		laŋ21	-	-	loŋ21	laŋ52
落		la45	lau42	lə24	lou34	luo21
烙		la45	lau31	-	lau34	luo52
骆		-	-	luo31	-	luo33
酪		-	-	-	-	-
洛		-	luo42	-	-	luo33
络		-	luo42	-	-	-
乐		-	lə42	lə23	lou34	lə24
赃		ʦaŋ53	-	-	-	-
脏		ʦaŋ44	-	-	-	-
葬		ʦaŋ35	-	ʦuan23	ʦoŋ53	ʦaŋ24
作		ʦuo35	ʦə42	-	-	ʦuo24
仓		ʦʰaŋ53	ʦʰaŋ33	ʦʰuan53	ʦʰoŋ55	ʦʰaŋ22
苍		-	ʦʰaŋ33	-	-	-
舱		ʦʰaŋ53	-	-	ʦʰoŋ55	ʦʰaŋ22
藏		ʦaŋ34	-	-	-	-
藏		-	-	-	-	-
脏		-	ʦaŋ31	-	-	-
凿		ʦa21	ʦuəŋ33	ʦuɛ23	ʦu21	ʦʰuo52
昨		ʦuo34	ʦaŋ33	ʦan44	ʦa21	ʦʰəŋ33
柞		-	-	-	-	-
桑		-	saŋ44	-	-	-
丧		saŋ53	saŋ44	-	-	saŋ22
磉		-	-	-	soŋ44	-
嗓		-	-	-	-	saŋ45
搡		-	-	-	ʦʰaŋ44	-
丧		-	-	-	-	-
索		sa45	-	suo5	sou34	suo24
冈		-	kuən44	-	-	kaŋ22
岗		kaŋ53	kuən44	-	-	kaŋ45
刚		kaŋ53	kuən44	ʨiəŋ53	ʨiŋ55	ʨiaŋ22
纲		-	kuən44	-	-	-
钢		kaŋ53	kuən44	kaŋ53	koŋ55	kaŋ22
缸		kaŋ53	-	-	-	kaŋ22
钢		-	-	-	-	-
杠		kaŋ35	-	kuən23	koŋ53	kaŋ24
各		ka45	ka31	ka5	kuo34	kuaŋ45
阁		-	-	-	-	-
搁		-	-	-	-	-
胳		ka45	-	-	-	-
康		-	-	-	-	kʰaŋ22
糠		kaŋ53	kʰaŋ44	kʰuan53	kʰoŋ55	kʰaŋ22
慷		-	kʰaŋ33	-	-	kʰaŋ35
抗		kaŋ35	-	-	-	-
炕		-	-	kʰuan14	-	-
昂		ŋan34	aŋ33	ŋan31	maŋ33	-
腭		ŋuo34	-	-	-	-
鄂		-	-	-	-	-
郝		-	-	-	-	-
行		xaŋ21	xaŋ33	xuəŋ31	xoŋ33	xan33
航		-	-	uo31	-	-
杭		xaŋ34	-	-	-	xən33
鹤		-	-	-	-	-
恶		a45	uo42	-	ou24	uo22
恶		ŋa45	uo42	-	ou34	uo24
娘		-	nian33	-	niɛ33	niaŋ33
酿		liaŋ21	nian33	ioŋ14	-	niaŋ52
良		liaŋ34	lian33	lioŋ31	lian33	liaŋ33
凉		liaŋ34	lian33	lioŋ31	lian33	liaŋ33
量		liaŋ34	lian33	lioŋ31	lian33	liaŋ33
粮		liaŋ34	lian33	lioŋ31	lian33	liaŋ33
梁		liaŋ34	lian33	lioŋ31	lian33	liaŋ33
粱		-	-	lioŋ31	lian33	-
两		liaŋ44	liɛ24	lioŋ44	lian24	liaŋ45
俩		-	-	-	lian24	-
亮		liaŋ21	lian33	lioŋ14	lian21	liaŋ35
谅		liaŋ21	-	lioŋ23	-	liaŋ22
辆		-	lian33	lioŋ14	tiŋ21	-
量		liaŋ21	lian33	-	lian21	liaŋ33
略		-	-	-	-	-
掠		-	-	-	-	-
将		ʨiaŋ53	ʨian44	ʦioŋ53	ʨiŋ55	ʨiaŋ22
浆		ʨiaŋ53	ʨian44	ʦioŋ53	ʨiŋ55	ʨiaŋ24
蒋		ʨiaŋ44	ʨian33	ʦioŋ44	ʨiŋ44	ʨiaŋ45
奖		ʨiaŋ44	-	ʦioŋ44	ʨiŋ53	ʨiaŋ45
桨		ʨiaŋ44	-	ʦioŋ14	-	ʨiaŋ35
酱		ʨiaŋ35	ʨian42	ʦioŋ23	ʨiŋ53	ʨiaŋ24
将		ʨiaŋ35	-	ʦioŋ53	ʨiŋ44	ʨiaŋ24
爵		-	-	-	-	-
雀		ʨʰia21	-	-	-	-
枪		ʨʰiaŋ53	ʨʰian44	ʦʰioŋ14	ʨʰin55	ʨʰiaŋ22
抢		ʨʰiaŋ44	ʨʰian31	ʦʰiŋ44	ʨʰiŋ44	ʨʰiaŋ24
鹊		ʨʰia21	-	-	-	-
墙		ʨiaŋ34	ʨian33	ʦioŋ31	ʨiŋ33	ʨʰiaŋ33
匠		ʨiaŋ35	ʨian31	ʦioŋ14	ʨiŋ21	ʨʰiaŋ52
嚼		ʨia21	ʨiɛ33	ʨiau31	ʨiau21	ʨʰiau52
相		-	ɕian42	ɕioŋ23	ɕiŋ53	-
箱		ɕiaŋ53	ɕian53	ɕioŋ53	ɕiŋ55	ɕiaŋ22
厢		ɕiaŋ53	ɕian44	-	ɕiŋ55	ɕiaŋ22
湘		-	ɕian44	-	-	-
镶		ɕiaŋ53	ɕian44	-	ɕiŋ55	ɕiaŋ22
想		ɕiaŋ44	ɕian33	sioŋ44	ɕiŋ44	ɕiaŋ33
相		ɕiaŋ35	ɕian31	sioŋ23	ɕiŋ44	ɕiaŋ22
削		ɕia45	-	sə5	ɕiou55	ɕiou22
详		-	ɕian24	ʦioŋ31	-	ʨʰiaŋ33
祥		-	ɕian24	ʦioŋ31	-	ʨʰiaŋ33
翔		-	-	ʨʰiaŋ31	-	-
象		ʨiaŋ21	ɕian42	sioŋ14	ʨiŋ21	ʨʰiaŋ52
像		ʨiaŋ21	ɕian53	ɕiŋ14	ʨiŋ21	ʨʰiaŋ45
橡		-	ɕian53	-	-	-
张		ʦaŋ53	tian44	ʨiŋ53	ʦə55	ʦaŋ22
长		ʨiaŋ44	ʨian33	ʨiŋ44	ʦə44	ʦiaŋ45
涨		ʨiaŋ44	ʨian33	ʨiŋ44	ʦə44	ʦiaŋ45
帐		ʨiaŋ35	ʨian53	ʨiŋ23	ʦə53	ʦaŋ24
账		ʨiaŋ35	ʨian53	ʨiŋ23	ʦə53	ʦaŋ24
胀		tiaŋ35	tian53	ʨioŋ23	tian53	ʦaŋ24
涨		ʨiaŋ44	ʨian33	ʨioŋ44	ʦə21	ʦiaŋ45
着		-	tiɛ42	ʨioŋ31	-	-
畅		-	-	-	-	-
长		tiaŋ34	tian33	-	tian33	tiaŋ33
肠		ʦaŋ21	ʦaŋ24	ʨioŋ31	ʦoŋ53	ʦʰaŋ52
场		ʨiaŋ34	-	ʨioŋ31	ʦə33	ʦʰaŋ33
丈		tiaŋ21	tian42	ʨiŋ14	tiŋ21	tiaŋ52
仗		ʦaŋ35	tian42	ʨian14	ʦə53	ʦaŋ24
杖		-	-	-	-	-
着		tia21	-	-	-	tiɛ22
庄		ʦuaŋ53	ʦaŋ44	ʦioŋ53	ʦoŋ55	ʦuaŋ22
装		ʦuaŋ53	ʦaŋ44	ʦioŋ53	ʦoŋ55	ʦuaŋ22
妆		ʦuaŋ53	ʦaŋ44	ʦioŋ53	ʦoŋ55	ʦuaŋ22
壮		ʦuaŋ35	-	ʨioŋ23	ʦoŋ53	ʦuaŋ24
疮		ʦʰuaŋ53	-	ʦʰuan53	ʦʰoŋ55	ʦʰuaŋ22
闯		ʦʰuaŋ44	ʦʰuaŋ31	ʦʰuəŋ44	ʦʰoŋ44	ʦʰuaŋ45
创		ʦuaŋ21	ʦʰan53	-	ʦʰoŋ55	-
创		-	-	-	-	-
床		suaŋ34	ʦuəŋ33	suoŋ31	ʦoŋ33	ʦʰuaŋ33
状		ʦuaŋ21	-	ʦuaŋ23	-	ʦuaŋ24
霜		suaŋ53	saŋ44	suoŋ53	soŋ55	suaŋ22
孀		-	-	-	-	-
爽		suaŋ44	-	-	-	suaŋ45
章		ʨiaŋ53	ʨian44	ʨioŋ53	ʦə55	ʦaŋ22
樟		ʨiaŋ53	ʨian44	ʨioŋ31	ʦə55	ʦaŋ22
掌		ʨiaŋ44	ʨian33	ʨiŋ44	ʦə44	ʦaŋ45
障		-	-	-	-	-
瘴		-	ʦaŋ53	-	-	-
酌		-	ʦou42	-	ʦou34	-
灼		-	ʦou42	-	-	-
昌		-	-	ʦʰaŋ44	ʦʰə55	-
菖		-	-	-	-	-
