#漢字	音標	解釋
#簡稱	/	尤溪話
#全稱	/	尤溪城關話
#版本	/	2022-5-29
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	阴平33 阳平12 上声55 阴去51 阳去42 入声24
#說明	/	參考資料：《尤溪方言志》，錄入人：阿纓
露	lio5	
路	lio6	文读
廖	lio6	
料	lio6	白读
租	tsio1	
焦	tsio1	
椒	tsio1	
蕉	tsio1	
祖	tsio3	
组	tsio3	
阻	tsio3	
照	tsio5	白读
粗	tsʰio1	
初	tsʰio1	
楚	tsʰio3	
础	tsʰio3	
醋	tsʰio5	白读
臭	tsʰio5	
笑	tsʰio5	白读
苏	sio1	
酥	sio1	
烧	sio1	
萧	sio1	
小	sio3	文读
所	sio3	
数	sio5	
塑	sio5	
素	sio5	
娇	kio1	
缴	kio3	
搅	kio3	白读
叫	kio5	
轿	kio6	
跷	kʰio1	
□	ŋio2	骄傲
晓	xio3	白读
搜	ɕio1	
腰	io1	
摇	io2	
窑	io2	
舀	io3	
鹞	io5	文读
彪	piu1	白读
漂	pʰiu5	～白
谬	miu6	
昼	tiu5	
住	tiu6	
