漢字	IPA	IPA调类	注释
形	jɐn²¹	jɐn2	
型	jɐn²¹	jɐn2	
滎	jɐn²¹	jɐn2	
益	jɐn²¹	jɐn2	
寅	jɐn²¹	jɐn2	
引	jɐn²¹	jɐn2	
癮	jɐn²¹	jɐn2	
迎	jɐn²¹	jɐn2	
熒	jɐn²¹	jɐn2	
盈	jɐn²¹	jɐn2	
瑩	jɐn²¹	jɐn2	
螢	jɐn²¹	jɐn2	
營	jɐn²¹	jɐn2	
楹	jɐn²¹	jɐn2	
蠅	jɐn²¹	jɐn2	
贏	jɐn²¹	jɐn2	
贏	jɐn²¹	jɐn2	
忍	jɐn³⁵	jɐn3	
隱	jɐn³⁵	jɐn3	
隱	jɐn³⁵	jɐn3	名词，芽
影	jɐn³⁵	jɐn3	电～
映	jɐn³⁵	jɐn3	～电影
印	jɐn⁴⁴³	jɐn5	
應	jɐn⁴⁴³	jɐn5	～用
恩	jɐn⁴⁵	jɐn1	
欣	jɐn⁴⁵	jɐn1	
因	jɐn⁴⁵	jɐn1	
茵	jɐn⁴⁵	jɐn1	
姻	jɐn⁴⁵	jɐn1	
殷	jɐn⁴⁵	jɐn1	
應	jɐn⁴⁵	jɐn1	～该
英	jɐn⁴⁵	jɐn1	
嬰	jɐn⁴⁵	jɐn1	
嚶	jɐn⁴⁵	jɐn1	
纓	jɐn⁴⁵	jɐn1	
櫻	jɐn⁴⁵	jɐn1	
鸚	jɐn⁴⁵	jɐn1	
鷹	jɐn⁴⁵	jɐn1	
刃	jɐn⁵²	jɐn6	
認	jɐn⁵²	jɐn6	
仞	jɐn⁵²	jɐn6	
紉	jɐn⁵²	jɐn6	
韌	jɐn⁵²	jɐn6	坚～
閏	jɐn⁵²	jɐn6	
潤	jɐn⁵²	jɐn6	
釁	jɐn⁵²	jɐn6	
孕	jɐn⁵²	jɐn6	
壤	jaŋ²¹	jaŋ2	
攘	jaŋ²¹	jaŋ2	
嚷	jaŋ²¹	jaŋ2	
揚	jaŋ²¹	jaŋ2	
羊	jaŋ²¹	jaŋ2	
陽	jaŋ²¹	jaŋ2	
楊	jaŋ²¹	jaŋ2	
佯	jaŋ²¹	jaŋ2	
瘍	jaŋ²¹	jaŋ2	
洋	jaŋ²¹	jaŋ2	
仰	jaŋ²¹	jaŋ2	
養	jaŋ²¹	jaŋ2	
氧	jaŋ²¹	jaŋ2	
癢	jaŋ²¹	jaŋ2	
□	jaŋ³⁵	jaŋ3	动词，抖动布料、衣物等
烊	jaŋ³⁵	jaŋ3	打～：店铺晚间结束营业
□	jɐŋ³⁵	jɐŋ3	～～跳：暴跳如雷
□	jɐŋ⁴⁴³	jɐŋ5	动词，起脚踢
央	jaŋ⁴⁵	jaŋ1	
泱	jaŋ⁴⁵	jaŋ1	
殃	jaŋ⁴⁵	jaŋ1	
鴦	jaŋ⁴⁵	jaŋ1	
秧	jaŋ⁴⁵	jaŋ1	又读
怏	jaŋ⁴⁵	jaŋ1	
釀	jaŋ⁵²	jaŋ6	动词，烹饪方式，把馅料填进掏空的鱼、瓜、豆腐等再作烹调。
讓	jaŋ⁵²	jaŋ6	
樣	jaŋ⁵²	jaŋ6	
□	jap⁴	jap7b	发～：生气、恼火
□	jap⁴	jap7b	动词，把对象掖在裤腰等地方；卷起衣袖或裤腿
泣	jɐp⁴⁵	jɐp7a	
揖	jɐp⁴⁵	jɐp7a	
邑	jɐp⁴⁵	jɐp7a	
挹	jɐp⁴⁵	jɐp7a	～衫尾：抓住衣角，引申为白占便宜
挹	jɐp⁴⁵	jɐp7a	眨
熠	jɐp⁴⁵	jɐp7a	
□	jap⁵²	jap8	摇晃，摇摆，上下或前后摇摆；招手
一	jɐt⁴⁵	jɐt7a	
壹	jɐt⁴⁵	jɐt7a	
抑	jɐt⁴⁵	jɐt7a	
膉	jɐt⁴⁵	jɐt7a	
日	jɐt⁵²	jɐt8	
液	jɐt⁵²	jɐt8	
腋	jɐt⁵²	jɐt8	
