汉字	注释	关峡	羊石	兰蓉	五团	麻林	牛头
赢		ie²²	ie²¹	ie²⁴	io¹¹²	ie¹³	ie¹¹
易	交易	i⁵³	i³³	i⁵⁵	i⁵⁵	i¹³	i³⁵
壁		pio²¹³	pia⁴⁴	pia³³	piɑ¹¹²	pi¹³	pia¹¹
劈		pʰio²¹³	pʰia⁴⁴	/	pʰiɑ¹¹²	pʰia²²	pʰia¹¹
瓶		pʰin²¹³	pin²¹	bin²⁴	bie¹¹²	bin¹²	bin¹¹
萍		pʰin³³	pin²¹	bin²⁴	bin¹¹²	bin¹²	pʰin¹¹
並		pin⁵³	pin³³	/	bin²²	pin³⁵	/
丁		tin⁴⁴	tin¹³	tin⁵⁵	tin³³	tin³³	tin³³
钉	钉子	te⁴⁴	tie¹³	tie⁵⁵	tie⁵⁵	tie³⁵	tie⁵⁵
顶		te³³	tin³³	tin³³	tin²²	tin²²	tin²²
钉	钉住	te⁴⁴	tie³³	tie³³	tie³³	tie³³	tie³³
订	订约	tin⁵³	tin³³	tin⁵⁵	tin⁴²	tie³³	tie³³
的	目的	ti²¹³	ti⁴⁴	/	ti⁴²	ti¹³	ti¹¹
滴		te²¹³	tia⁴⁴	tia³³	tie³³	tie²²	tie³³
嫡		ti²¹³	ti⁴⁴	/	ti¹¹²	ti¹³	ti¹¹
听	听见	tʰe⁴⁴	tʰe³³	tʰie⁴⁴	tʰie³³	tʰie³³	tʰie³³
厅		tʰin⁴⁴	tʰin¹³	tʰin⁴⁴	tʰie⁵⁵	tʰie³⁵	tʰie⁵⁵
踢		tʰio²¹³	tʰia⁴⁴	tʰai³³	tʰi¹¹²	tʰi¹³	tʰi¹¹
亭		te²²	tin²¹	din²⁴	din¹¹²	din¹³	din¹¹
停		tin²²	tin²¹	din²⁴	din¹¹²	din¹³	din¹¹
廷		tin²²	tin²¹	din²⁴	din¹¹²	din¹²	din¹¹
庭		tin²²	tin²¹	din²⁴	din¹¹²	din¹²	din¹¹
挺		tʰin³³	tʰin³³	tʰin³³	tʰin²²	tʰin²²	tʰin²²
定		te³³	tin³³	tin¹¹	tin⁴²	tin¹¹	tin³⁵
笛		ti³¹²	ti¹¹	ti²⁴	ti¹¹²	tie¹¹	ti¹¹
敌		ti³¹²	ti¹¹	ti²⁴	ti¹¹²	ti¹³	ti¹¹
宁	安宁	nin²²	nin²¹	nin²⁴	nin¹¹²	ȵin¹³	nin¹¹
灵		lin²²	lin²¹	lin²⁴	lin¹¹²	lin¹³	lin¹¹
零		lin²²	lin²¹	lin²⁴	lin¹¹²	lin¹²	lin¹¹
铃		lin²²	lin²¹	lin²⁴	lin¹¹²	lin¹³	lin¹¹
另		lin⁵³	lin³³	lin⁵⁵	lin⁵⁵	lin¹¹	lin³⁵
历	经历	li⁵³	li¹¹	li²⁴	li⁵⁵	li¹³	li³⁵
历	历史	li⁵³	li¹¹	li²⁴	li⁵⁵	li¹³	li³⁵
绩		tsi²¹³	tsi⁴⁴	tɕi²⁴	tsi¹¹²	tɕi¹³	tɕi¹¹
青		tsʰe⁴⁴	tsʰe¹³	tsʰie⁵⁵	tsʰie⁵⁵	tsʰai³⁵	tʰie⁵⁵
戚		tsʰi²¹³	tsʰi⁴⁴	tsʰi³³	tsʰi³³	tɕʰi¹³	tʰi¹¹
星		se⁴⁴	se¹³	sie⁵⁵	sie⁵⁵	sai³⁵	ɬie⁵⁵
腥		se⁴⁴	saŋ¹³	sie⁵⁵	sie⁵⁵	sai³⁵	ɬie⁵⁵
醒		sin⁵³	se⁴⁵	sin³³	sin²²	/	/
锡		ɕi²¹³	ɕi⁴⁴	ɕi²⁴	ɕi¹¹²	ɕia²²	ɕi¹¹
经		tɕin⁴⁴	tɕin¹³	tɕin⁵⁵	tɕin³³	tɕin³⁵	tɕin³³
击		tɕi²¹³	tɕi⁴⁴	tɕi²⁴	tɕi¹¹²	tɕi¹³	tɕi¹¹
激		tɕi²¹³	tɕi⁴⁴	/	tɕi¹¹²	tɕi¹³	tɕi¹¹
形		ɕin²²	ɕin²¹	/	ʑin¹¹²	ʑin²²	ɕin¹¹
矿		kʰuaŋ⁵³	kuaŋ⁴⁵	kʰuaŋ⁵⁵	kʰuaŋ⁵⁵	kʰuaŋ³⁵	kʰuaŋ³⁵
横	横直	uaŋ²²	xaŋ²¹	vai²⁴-；vin²⁴=	vai¹¹²	vai¹³	vai¹¹
横	蛮横	uaŋ²²	xaŋ³³	vai²⁴	vai¹¹²	ven¹²	vai¹¹
轰		xoŋ⁴⁴	/	/	/	hoŋ³³	hoŋ³³
划		fa³³	fa¹¹	va²⁴	vɑ²⁴	va¹¹	fa³⁵
兄		fai⁴⁴	fei¹³	fai⁵⁵-弟~；ɕioŋ⁴⁴=长~	fei⁵⁵	fei³⁵	fe⁵⁵
荣		ioŋ²²	ioŋ²¹	ioŋ²⁴	ioŋ¹¹²	yn¹³	ioŋ¹¹
永		ioŋ³³	yn³³	ioŋ³³	yn²²	yn²²	ioŋ²²
倾		tɕʰin⁴⁴	tɕʰin¹³	/	kʰyn³³	tɕʰyn³³	/
营		in²²	in²¹	yn²⁴	in¹¹²	yn¹³	in¹¹
萤		/	yn²¹	ye²⁴	ye¹¹²	yn¹³	ye¹¹
扑		pu²¹³	pʰu⁴⁴	pu³³	pʰu¹¹²	pʰu¹³	pʰu¹¹
篷		poŋ²²	poŋ²¹	bo²⁴~洞：地名	boŋ¹¹²	boŋ¹³	bo¹¹
蒙		moŋ²²	moŋ²¹	moŋ²⁴	moŋ¹¹²	moŋ¹³	moŋ¹¹
木		məu³¹²	moŋ¹¹	moŋ¹¹	moŋ³¹	ŋ̍¹¹	moŋ²¹¹
东		toŋ⁴⁴	toŋ¹³	toŋ⁵⁵	toŋ⁵⁵	toŋ³⁵	toŋ⁵⁵
董		toŋ³³	toŋ⁴⁵	toŋ³³	toŋ²²	toŋ²²	toŋ²²
冻		toŋ³³	toŋ³³	taŋ⁴⁴	taŋ³³	taŋ³³	taŋ³³
通		tʰaŋ⁴⁴	tʰoŋ¹³	tʰoŋ⁵⁵	tʰoŋ⁵⁵	tʰoŋ³⁵	tʰoŋ³³
桶		tʰaŋ⁵³	tʰaŋ⁴⁵	tʰaŋ³³	tʰaŋ²²	tʰaŋ²²	tʰaŋ²²
痛		tʰaŋ³³	tʰaŋ³³	tʰaŋ³³	tʰaŋ³³	tʰaŋ³³	tʰaŋ³³
同		toŋ²²	toŋ²¹	doŋ²⁴	doŋ¹¹²	doŋ¹²	doŋ¹¹
铜		toŋ²²	toŋ²¹	doŋ²⁴	doŋ¹¹²	doŋ¹³	doŋ¹¹
桐		toŋ²²	toŋ²¹	doŋ²⁴	daŋ¹¹²	doŋ¹³	daŋ¹¹
筒		toŋ²²	toŋ²¹	daŋ²⁴	daŋ¹¹²	doŋ¹³	daŋ¹¹
动		taŋ³³	taŋ³³	daŋ³³	daŋ²²	daŋ²²	taŋ³³
洞		toŋ³³	toŋ³³	taŋ¹¹	toŋ⁴²	taŋ¹¹-；doŋ¹³=	taŋ⁵²
独		tu³¹²	tu¹¹	tu¹¹	du³¹	dɤu¹³	du²¹¹
读		tu³¹²	tu¹¹	tu¹¹	du³¹	du¹¹	du²¹
笼		laŋ²²	laŋ²¹	laŋ²⁴	laŋ¹¹²	laŋ¹³	laŋ¹¹
聋		laŋ⁴⁴	laŋ¹³	laŋ²⁴	laŋ¹¹²	laŋ¹³	laŋ¹¹
拢		loŋ³³	loŋ³³	loŋ³³	loŋ²²	loŋ²²	laŋ²²
弄		liaŋ³³	laŋ³³	loŋ⁵⁵	loŋ⁵⁵	loŋ¹¹	loŋ³⁵
鹿		lu²¹³	lu¹¹	lu²⁴	lu¹¹²	lɤu¹³	lu²¹
棕		tsoŋ⁴⁴	tsoŋ¹³	tsoŋ⁵⁵	tsaŋ⁵⁵	tsoŋ³⁵	tɬaŋ⁵⁵
总		tsoŋ³³	tsoŋ⁴⁵	tsoŋ³³	tsoŋ²²	tsoŋ²²	tsoŋ²²
粽		tsoŋ³³	tsoŋ³³	tsoŋ⁴⁴	tsaŋ³³	tsoŋ³⁵	tsoŋ³⁵
聪		tsʰoŋ⁴⁴	tsʰoŋ¹³	tsʰoŋ⁵⁵	tsʰoŋ⁵⁵	tsʰoŋ³⁵	tʰoŋ⁵⁵
葱		tsʰoŋ⁴⁴	tsʰoŋ¹³	tsʰaŋ⁵⁵	tsʰaŋ⁵⁵	tsʰoŋ³⁵	tʰaŋ⁵⁵
族		tsu²¹³	tsʰu¹¹	tsʰu²⁴	tsʰu¹¹²	dzɤu¹³	ɬaŋ³³
送		saŋ³³	saŋ³³	saŋ⁴⁴	saŋ³³	saŋ³³	ɬaŋ³³
速		su²¹³	su⁴⁴	su²⁴	su¹¹²	sɤu¹³	su¹¹
公		koŋ⁴⁴	koŋ¹³	koŋ⁵⁵	koŋ⁵⁵	koŋ³⁵	koŋ³⁵
工		koŋ⁴⁴	koŋ¹³	koŋ⁵⁵	koŋ³³	koŋ³³	koŋ³³
功		koŋ⁴⁴	koŋ¹³	koŋ⁵⁵	koŋ³³	koŋ³³	koŋ³³
攻	攻击	koŋ⁴⁴	koŋ¹³	koŋ⁵⁵	koŋ³³	koŋ³³	koŋ³³
贡		koŋ³³	koŋ³³	koŋ⁵⁵	koŋ⁵⁵	koŋ³⁵	koŋ³⁵
谷		ku²¹³	ku⁴⁴	ku³³	ku¹¹²	ku²²	ku¹¹
空	空虚	kʰoŋ⁴⁴	kʰoŋ¹³	haŋ⁵⁵	haŋ⁵⁵	haŋ³⁵	haŋ⁵⁵
孔		kʰaŋ⁵³	kʰoŋ³³	kʰoŋ³³	kʰoŋ²²	kʰoŋ²²	kʰoŋ²²
空	有空	kʰoŋ³³	kʰoŋ³³	haŋ⁴⁴	kʰoŋ³³	haŋ³⁵	haŋ⁵⁵
哭		fu²¹³	fu⁴⁴	kai³³训读	kiɑ¹¹²训读	kai²²训读	tɕiɑ²²训读
烘		xoŋ⁴⁴	xoŋ¹³	/	foŋ⁵⁵	foŋ³⁵	hoŋ³³
红		xoŋ²²	xoŋ²¹	hoŋ²⁴	ɦoŋ¹¹²	hoŋ¹³	ɦoŋ¹¹
洪		xoŋ²²	xoŋ²¹	hoŋ²⁴	ɦoŋ¹¹²	hoŋ¹²	ɦoŋ¹¹
瓮		/	/	oŋ⁴⁴	/	/	/
屋		u²¹³	u⁴⁴	vu³³	vu¹¹²	vu²²	vu¹¹
冬		toŋ⁴⁴	toŋ¹³	toŋ⁵⁵	taŋ⁵⁵	toŋ³⁵	taŋ⁵⁵
统		tʰoŋ³³	tʰoŋ³³	tʰoŋ³³	tʰoŋ²²	tʰoŋ²²	tʰoŋ²²
毒		tu³¹²	tu¹¹	tu⁵⁵	tu²⁴	tu³⁵	du²¹¹
农		noŋ²²	noŋ²¹	noŋ²⁴	noŋ¹¹²	loŋ¹²	noŋ¹¹
宗		tsoŋ⁴⁴	tsoŋ¹³	tsoŋ⁵⁵	tsoŋ³³	tsoŋ³³	tɬoŋ⁵⁵
松	松紧	soŋ⁴⁴	soŋ¹³	soŋ⁵⁵	soŋ⁵⁵	soŋ³⁵	ɬoŋ⁵⁵
宋		soŋ⁵³	soŋ³³	soŋ⁵⁵	soŋ⁵⁵	soŋ³⁵	soŋ³⁵
风		xoŋ⁴⁴	pʰoŋ¹³	poŋ⁵⁵	poŋ⁵⁵	poŋ³⁵	poŋ⁵⁵
枫		xoŋ⁴⁴	foŋ¹³	foŋ⁴⁴	poŋ⁵⁵	poŋ³⁵	poŋ⁵⁵
疯		xoŋ⁴⁴	foŋ¹³	/	foŋ⁵⁵	foŋ³³	foŋ³³
福		fu²¹³	fu⁴⁴	fu³³	fu¹¹²	fu¹³	fu¹¹
幅		fu²¹³	fu⁴⁴	fu³³	fu³³	fu¹³	fu¹¹
复	复制	fu²¹³	fu⁴⁴	fu²⁴	fu¹¹²	fu¹³	fu¹¹
丰		xoŋ⁴⁴	foŋ⁴⁴	foŋ⁴⁴	foŋ³³	foŋ³³	hoŋ¹¹
覆	反履	fu²¹³	fu⁴⁴	/	fu¹¹²	fu¹³	fu¹¹
冯		xoŋ²²	xoŋ²¹	hoŋ²⁴	ɦoŋ¹¹²	hoŋ¹²	foŋ¹¹
凤		xoŋ⁵³	xoŋ³³	hoŋ⁵⁵	hoŋ²⁴	hoŋ¹³	hoŋ³³
服		fu²¹³	fu¹¹	fu²⁴	fu¹¹²	fu¹³	fu²¹¹
伏		fu²¹³	fu¹¹	fu²⁴	fu¹¹²	fu¹³	fu²¹¹
复	复原	fu²¹³	fu¹¹	fu⁴⁴	fu¹¹²	fu¹³	fu¹¹
梦		moŋ³³	moŋ³³	moŋ¹¹	moŋ⁴²	moŋ²²	moŋ⁵²
目		mu²¹³	mu⁴⁴	mo²⁴	mo³¹	mu¹³	mu²¹¹
隆		/	loŋ²¹	/	loŋ¹¹²	loŋŋ¹²	loŋ¹¹
六		liəu²¹³	liu¹¹	liu¹¹	lei³¹	lei¹¹	liu²¹¹
肃		/	/	/	su⁴²	sɤu¹³	su¹¹
中	当中	toŋ⁴⁴	tsoŋ¹³	toŋ⁵⁵	toŋ⁵⁵	tsoŋ³³	toŋ⁵⁵
忠		tsoŋ⁴⁴	/	tsoŋ⁵⁵	tsoŋ³³	tsoŋ³³	tsoŋ³³
中	射中	tsoŋ³³	tsoŋ³³	tsoŋ⁵⁵	tsoŋ⁵⁵	tɕin³³	tsoŋ³⁵
竹		tiəu²¹³	tiu⁴⁴	tiu³³	tei¹¹²	tei²²	tiu¹¹
筑		tsəu²¹³	/	tiu³³	tsu¹¹²	tsɤu¹³	tiu¹¹
畜	畜牲	tsʰəu²¹³	tsʰu⁴⁴	tsʰiu³³	tɕʰy¹¹²	tɕʰy²²	tɕʰiu¹¹
虫		tin²²	tin²¹	din²⁴	din¹¹²	din¹³	din¹¹
缩		səu²¹³	su⁴⁴	su³³	su¹¹²	sɤu¹³	ɬo¹¹
终		tsoŋ⁴⁴	/	tsoŋ⁴⁴	tsoŋ⁵⁵	tsoŋ³³	tsoŋ³³
众		tsoŋ⁵³	tsoŋ³³	tsoŋ⁵⁵	tsoŋ⁵⁵	tsoŋ³⁵	tsoŋ³⁵
祝		tsu²¹³	tsu⁴⁴	tsu²⁴	tsu¹¹²	tsɤu³	tsu¹¹
粥		tɕiəu³³	tiu⁴⁴	/	tɕy¹¹²	kai³⁵训读羹	/
充		tsʰoŋ⁴⁴	tsʰoŋ⁴⁴	tsʰoŋ⁴⁴	tsʰoŋ⁵⁵	tsʰoŋ³³	tsʰoŋ³³
铳	放铳	tsʰoŋ⁴⁴	tsʰoŋ³³	tʰoŋ⁴⁴	tʰoŋ³³	tɕʰioŋ³³	tʰoŋ³³
叔		səu²¹³	su⁴⁴	su²⁴	/	sɤu³⁵	su¹¹
熟		ɕiəu³¹²	su¹³	tɕiu¹¹	/	tɕy¹¹	dʑiu²¹¹
绒		ioŋ²²	ioŋ²¹	ioŋ²⁴	ioŋ¹¹²	ioŋ¹³	ioŋ¹¹
肉		niəu²¹³	niu¹¹	nai³³训读	nai³³训读	lai²²训读	nai³³训读
弓		koŋ⁴⁴	koŋ¹³	koŋ⁵⁵	koŋ³³	koŋ³⁵	koŋ³³
宫		koŋ⁴⁴	koŋ¹³	koŋ⁴⁴	koŋ³³	koŋ³³	koŋ³³
菊		tɕy²¹³	tɕy⁴⁴	tɕy²⁴	tɕy¹¹²	tɕy¹³	tɕy¹¹
穷		tɕioŋ²²	tɕʰioŋ²¹	dʑioŋ²⁴	dʑioŋ¹¹²	dʑioŋ¹³	dʑioŋ¹¹
蓄	储蓄	/	/	/	/	ɕiɤu¹³	/
熊		ɕioŋ²²	ɕioŋ²¹	ʑioŋ²⁴	ɕioŋ¹¹²	ioŋ¹²	ɕioŋ¹¹
雄		ɕioŋ²²	ɕioŋ²¹	ʑioŋ²⁴	ioŋ¹¹²	ioŋ¹²	ɕioŋ¹¹
融		ioŋ²²	ioŋ²¹	/	ioŋ¹¹²	ioŋ¹³	ioŋ¹¹
育		y³³	iu¹¹	y⁴⁵	y⁵⁵	iɤu¹³	iu¹¹
封		xoŋ⁴⁴	foŋŋ¹³	foŋ⁴⁴	foŋ⁵⁵	foŋ³⁵	hoŋ³³
峰		xoŋ⁴⁴	xoŋ¹³	/	foŋ⁵⁵	foŋ³³	/
蜂		xoŋ⁴⁴	xoŋ¹³	pʰoŋ⁵⁵	pʰoŋ⁵⁵	pʰoŋ³⁵	pʰoŋ⁵⁵
锋		xoŋ⁴⁴	xoŋ¹³	foŋ⁴⁴	foŋ³³	foŋ³³	hoŋ³³
捧		pʰoŋ³³	pʰoŋ⁴⁵	pʰoŋ³³	pʰoŋ³¹	pʰoŋ²²	pʰoŋ²²
逢		foŋ²²	foŋ¹³	foŋ²⁴	foŋ¹¹²	boŋ¹³	/
缝	缝衣服	xoŋ²²	xoŋ¹³	/	foŋ¹¹²	hoŋ¹³	/
奉		/	xoŋ¹³	foŋ⁵⁵	foŋ²⁴	foŋ¹³	/
缝	一条缝	poŋ⁴⁴	xoŋ³³	/	/	foŋ¹¹	/
浓		noŋ²¹³	nioŋ²¹	loŋ²⁴	nin¹¹²	ioŋ¹³	ȵin¹¹
龙		loŋ²²	loŋ²¹	loŋ²⁴	loŋ¹¹²	loŋ¹³	loŋ¹¹
绿		liəu³¹²	liu¹¹	liu¹¹	lei³¹	lei¹¹	liu²¹¹
足		tsu²¹³	/	tsu²⁴	tsu¹¹²	tsɤu¹³	tsu¹¹
从	跟从	tsʰoŋ²²	tsʰoŋ²¹	tsʰoŋ²⁴	tsʰoŋ¹¹²	dzoŋ¹²	/
粟		ɕiəu²¹³	li⁴⁴	li²⁴	sei¹¹²	ɕiɤu¹³	ɬiu¹¹
松	松树	tsin²²	tsʰoŋ²¹	dzoŋ²⁴	dzaŋ¹¹²	dzoŋ¹³	ɮaŋ¹¹
俗		su²¹³	su¹¹	su²⁴	su¹¹²	sɤu¹³	su²¹¹
续		/	ɕy⁴⁴	su²⁴	su³³	sɤu¹³	su²¹¹
重	重复	tsʰoŋ²¹³	tsʰoŋ²¹	tsʰoŋ²⁴	tsʰoŋ¹¹²	dzoŋ¹³	ɮoŋ¹¹
重	轻重	tin³³	tin³³	din³³	din²²	din²²	din²²
钟		tsoŋ⁴⁴	tsoŋ¹³	tsoŋ⁵⁵	tsoŋ⁵⁵	tɕioŋ³⁵	toŋ⁵⁵
种	种类	tsoŋ³³	tsoŋ⁴⁵	tsoŋ³³	tɕin²²	tsoŋ²²	tɕin²²
肿		tsoŋ³³	tɕin⁴⁵	tɕin³³	tɕin²²	tɕin²²	tɕin²²
种	种树	/	/	/	/	tɕin³³	tɕin³³
烛		tɕiəu²¹³	tsu⁴⁴	tsu²⁴	tsu¹¹²	dzɤu¹³	tsu¹¹
嘱		tɕiəu²¹³	tsu⁴⁴	/	/	dzɤu¹³	/
冲		tsʰoŋ⁴⁴	tsʰoŋ¹³	tsʰoŋ⁴⁴	tsʰoŋ³³	tɕʰin³⁵	tsʰoŋ³³
触		tsʰəu²¹³	/	tsʰu²⁴	tsʰu¹¹²	tsʰɤu¹³	/
束		tsʰəu²¹³	tsʰu⁴⁴	tsʰu²⁴	tsʰu¹¹²	tsʰɤu¹³	/
属		səu²¹³	su¹¹	su²⁴	su¹¹²	sɤu³	/
恭		koŋ⁴⁴	koŋ¹³	koŋ⁴⁴	koŋ³³	koŋ³³	koŋ³³
供	供不起	koŋ³³	koŋ³³	/	koŋ⁵⁵	koŋ³³	koŋ³³
恐		kʰoŋ³³	kʰoŋ³³	kʰoŋ³³	kʰoŋ²²	kʰoŋ²²	/
曲	曲折	tɕʰiəu²¹³	tɕʰy⁴⁴	/	tɕʰy³³	tɕʰiɤu¹³	tɕʰiu¹¹
共		koŋ³³	koŋ³³	koŋ⁵⁵	tɕioŋ³³	tɕioŋ¹¹	tɕioŋ³³
局		tɕy²¹³	tɕy¹³	/	tɕy¹¹²	tɕy¹³	tɕy¹¹
玉		y⁵³	y¹¹	y⁵⁵	y³⁵	y³⁵	y³⁵
胸		ɕioŋ⁴⁴	ɕioŋ¹³	ɕioŋ⁵⁵	ɕioŋ³³	ɕioŋ³⁵	ɕioŋ³³
凶		ɕioŋ⁴⁴	ɕioŋ¹³	ɕioŋ⁵⁵	ɕioŋ³³	ɕioŋ³⁵	ɕio⁵⁵
拥		ioŋ³³	ioŋ³³	ioŋ³³	ioŋ²²	ioŋ²²	ioŋ²²
容		ioŋ²²	ioŋ²¹	ioŋ²⁴	ioŋ¹¹²	ioŋ¹³	ioŋ¹¹
勇		ioŋ³³	ioŋ³³	ioŋ³³	ioŋ²²	ioŋ²²	ioŋ²²
用		ioŋ⁴⁴	ioŋ³³	ioŋ¹¹	ioŋ⁴²	ioŋ¹¹	ioŋ⁵²
