例字	注释	中古音	公平	九屋	潭下	甘棠
拐		蟹合二上蟹见	kʊᴇ55	kua422	kua44	kua44
挂		蟹合二去卦见	kʊa35	kua35	kua35	kᵘɔ35
画		蟹合二去卦匣	fɒ53	hua53	huɯ53	hᵘɔ132
快		蟹合二去夬溪	fa35	hua35	kʰua53	kʰua35
话		蟹合二去夬匣	fɒ53	hua53	huɯ53	hᵘɔ21
岁		蟹合三去祭心	sᴇɪ35	sɛ35	ʃy35	ʃʏ35
税		蟹合三去祭书	ʃʊᴇɪ35	sɤᵊ35	ʃy35	ʃʏ35
卫		蟹合三去祭云		uᴇi35	uei21	uei21
肺		蟹合三去废敷	fᴇɪ35{借桂}	fᴇi35	fei35	fei35
桂		蟹合四去齐见	kʊæ35	kuᴇi35	kuei35	kuei35
惠		蟹合四去霁匣		huᴇi35	huei35	huei21
碑		止开三平支帮	pæ44	pᴇi232	pei13	pei132
披		止开三平支滂	pʰæ44	pʰi232	pʰi13	pʰi132
皮		止开三平支並	pæ21	pi33	pi33	pi22
脾		止开三平支並	pʰi21{借桂}	pʰi21{借桂}	pi33	pʰi44{变调}
篱		止开三平支来	læ21	ni33	ni33	ȵi22
撕		止开三平支心	tʃʰiᴇ55{训读}	sa53	ʃi53	sɿ132
池		止开三平支澄		tsɿ33	tsʰɿ21{借桂}	tsʰɿ22
支		止开三平支章	tʃi44	tʃi232	tʃi13	tʃi132
奇		止开三平支群	ki21	ki33	tʃi33	ki22
移		止开三平支以	i21	i33	i33	i22
被	~子	止开三上纸並	pæ33	pi21	pi21	pi21
紫		止开三上纸精	tsɿ53{借桂}	tsɿ422	tsɿ53{借桂}	tsɿ44
纸		止开三上纸章	tʃi55	tʃi422	tʃi44	tʃi44
是		止开三上纸禅	tʃi33	tʃi21	tʃi21	ʃi44
技		止开三上纸群	tʃi35{借桂}	tʃi35{借桂}	tʃi35	tʃi35
椅		止开三上纸影	taŋ35{训读}		i44	i44
避		止开三去寘並	pæ53	pi53	pi53	pi21
荔		止开三去寘来	li35/læ21{荔浦}	ni53	ni53	ȵi21
刺		止开三去寘清	tsʰæ35	tsʰɿ53	tsʰɿ53	tsʰɿ35
智		止开三去寘知	tʃi35{借桂}	tsɿ53	tsɿ35	tsɿ35
翅		止开三去寘书	tʃi35	tʃi35	tʃi35	tʃi35
寄		止开三去寘见	ki35	ki35	tʃi35	ki35
义		止开三去寘疑	i35	i21{借桂}	i53	i21
戏		止开三去寘晓	hi35	ʃi35	ʃi35	hi35
易	难~	止开三去寘以	i53	i21	i21	i35
悲		止开三平脂帮			pei131	pei132
枇	~杷	止开三平脂並	pæ21	pi33	pi33	pi22
眉		止开三平脂明	mæ21		mi33	mi22
尼		止开三平脂泥	nᴇɪ21	ni21{借桂}	ni33	ȵi22
梨		止开三平脂来	læ21	ni33	ni33	ȵi22
资		止开三平脂精	tsɿ33{借桂}	tsɿ232	tsɿ13	tsɿ132
瓷		止开三平脂从	tsæ21	tsɿ33	tsɿ33	tsɿ22
私		止开三平脂心	sæ44	sɿ232	sɿ13/ʃi13	sɿ132
迟		止开三平脂澄	tæ21	ti33	ti33	tsʰɿ21{借桂}
师		止开三平脂生	sɿ44	sɿ232	sɿ13	sɿ132
尸	~体	止开三平脂书	ʃi44	ʃi232	ʃi13	sɿ132
饥	~饿	止开三平脂见	ki44	ki232	tʃi13	ki132
姨		止开三平脂以	i21{借桂}	i33	i33	i22
比	~较	止开三上旨帮	pæ55	pi422	pi44	pi44
美		止开三上旨明	ʊæ33		mei53	mei44
死		止开三上旨心	sæ55	sɿ422	sɿ44	sɿ44
指		止开三上旨章	tʃi55	tʃi422	tʃi44	tʃi44
屎		止开三上旨书	ʃi55	ʃi422	ʃi44	ʃi44
秘		止开三去至帮		mi35{借桂}	mi35	mi35
屁		止开三去至滂	pʰæ35	pʰi53	pʰi53	pʰi35
备		止开三去至並	pæ53	pi21	piɛ21	pi21
鼻		止开三去至並	piə21	pɛ53	pʰi53	pi21
地		止开三去至定	tæ53	ti53	ti53	ti21
利		止开三去至来	læ53	ni53	ni53	ȵi21
次		止开三去至清	tsʰæ35	tsʰɿ53	tsʰɿ53	tsʰɿ35
自		止开三去至从	tsæ53	tsɿ53	tsɿ53	tsɿ21
四		止开三去至心	sæ35	sɿ35	sɿ35	sɿ35
致		止开三去至知	tʃi35{借桂}	tsɿ35{借桂}	tsɿ35{借桂}	tʃi35
示		止开三去至船	ʃi35	sɿ35	sɿ21	sɿ21
视		止开三去至禅	ʃi35	sɿ35{借桂}	ʃi35	15
二		止开三去至日	ȵi53	i53	i53	i21
器		止开三去至溪		kʰi21	tʃʰi35	kʰi35
弃		止开三去至溪		hi35	tʃʰi35	kʰi35
厘		止开三平之来	læ21	ni33	ni33	ȵi22
