	序号	字		合浦党江	灵山陆屋
	621	拜		pai33	pai35
	622	排		pʰai33	pʰai21
	623	韛			
	624	埋		mai33	mai21
	625	攋			
	626	䍉			
	627	齋		tsai45	tsai11
	628	豺		tsʰui33	tsʰai21
	629	皆		kai45	kai11
	630	階		kai45	kai11
	631	稭		kai45	kai11
	632	介		kai33	kai35
	633	界		kai33	kai35
	634	芥		kai33	kai35
	635	尬		kai33	kai35
	636	疥		kai33	kai35
	637	届		kai33	kai35
	638	戒		kai33	kai35
	639	揩		kai45	kai11
	640	楷		kai45	kai11
	641	諧		hai33	hai21
	642	駭		hɐt21	hai33
	643	械		kai33	hai33
	644	挨		ŋai45	ai11
	645	擺		pai13	pai55
	646	派		pʰai33	pʰai35
	647	牌		pʰai33	pʰai21
	648	簰		pʰai33	pʰai21
	649	罷		pʰɒ21	pʰa33
	650	稗			pʰai33
	651	買		mai13	mai33
	652	賣		mai21	mai33
	653	奶		nai13	nai33
	654	債		tsai33	tsai35
	655	釵		tsʰai45	tsʰai11
	656	差	出差	tsʰai45	tsʰai11
	657	柴		sai33	sai21
	658	篩		sɐi45	sɐi11
	659	灑		sɒ13	sai55
	660	曬		sai33	sai55
	661	佳		kai45	kai11
	662	街		kai45	kai11
	663	解		kai13	kai55
	664	懈		hai33	hai35
	665	涯		ŋai33	ŋai21
	666	崖		ŋai33	ŋai21
	667	捱		ŋai33	ŋai21
	668	鞋		hai33	hai21
	669	解		kai13	kai55
	670	解		kai13	kai55
	671	蟹		hai13	hai55
	672	矮		ai13	ai55
	673	隘		ai33	ai35
	674	敗		pʰai21	pʰai33
	675	邁		mai21	mai33
	676	寨		sai21	tsʰai33
	677	蔽		pʰi21	pei35
	678	敝		pʰi21	pʰei33
	679	弊		pʰi21	pʰei33
	680	幣		pʰi21	pʰei33
	681	斃		pʰi21	pʰei33
	682	例		lɐi21	lɐi33
	683	厲		lɐi21	lɐi33
	684	勵		lɐi21	lɐi33
	685	祭		tsɐi33	tsɐi35
	686	際		tsɐi33	tsɐi35
	687	穄		tsɐi33	tsɐi35
	688	滯		tsɐi21	tsɐi33
	689	制		tsɐi33	tsɐi35
	690	製		tsɐi33	tsɐi35
	691	世		sɐi33	sɐi35
	692	勢		sɐi33	sɐi35
	693	誓		sɐi21	sɐi33
	694	逝		sɐi21	sɐi33
	695	藝		ŋɐi21	ŋɐi33
	696	刈			
	697	蓖		pi45	pei11
	698	閉		pɐi33	pɐi35
	699	箅		pʰɐi21	pɐi35
	700	批		pʰɐi45	pʰɐi11
	701	陛		pʰi21	pʰɐi33
	702	鐾		pʰi21	pʰɐi33
	703	迷		mi33	mei21
	704	米		mɐi13	mɐi33
	705	謎		mi33	mei21
	706	低		tɐi45	tɐi11
	707	堤		tʰɐi33	tʰɐi21
	708	底		tɐi13	tɐi55
	709	抵		tɐi13	tɐi55
	710	帝		tɐi33	tɐi35
	711	梯		tʰɐi45	tʰɐi11
	712	體		tʰɐi13	tʰɐi55
	713	替		tʰɐi33	tʰɐi55
	714	涕		tʰɐi33	tʰɐi55
	715	剃		tʰɐi33	tʰɐi55
	716	屜		tʰɐi33	tʰɐi55
	717	題		tʰɐi33	tʰɐi21
	718	提		tʰɐi33	tʰɐi21
	719	蹄		tʰɐi33	tʰɐi21
	720	啼		tʰɐi33	tʰɐi21
	721	弟		tʰɐi21	tʰɐi33
	722	第		tʰɐi21	tʰɐi33
	723	遞		tʰɐi21	tʰɐi33
	724	泥		nɐi33	nɐi21
	725	犂		lɐi33	lɐi21
	726	黎		lɐi33	lɐi21
	727	禮		lɐi13	lɐi33
	728	麗		lɐi21	lɐi33
	729	棣		tʰɐi21	tʰɐi33
	730	擠		tsɐi45	tsɐi11
	731	濟		tsɐi33	tsɐi35
	732	妻		tsʰɐi45	tsʰɐi11
	733	砌		tsɐi33	tsʰɐi35
	734	齊		tsɐi33	tsʰɐi21
	735	臍		tsɐi33	tsʰɐi21
	736	薺		tsɐi33	tsʰɐi21
	737	劑		tsɐi45	tsɐi11
	738	西		ɬɐi45	ɬɐi11
	739	棲		ɬɐi45	ɬɐi11
	740	犀		ɬɐi45	ɬɐi11
	741	洗		ɬɐi13	ɬɐi55
	742	細		ɬɐi33	ɬɐi35
	743	婿		ɬɐi33	ɬɐi35
	744	鷄		kɐi45	kɐi11
	745	稽		kʰɐi45	kʰɐi11
	746	計		kɐi33	kɐi35
	747	繼		kɐi33	kɐi35
	748	繫		hɐi21	hɐi33
	749	髻		kɐi33	kɐi35
	750	溪		kʰɐi45	kʰɐi11
	751	啓		kʰɐi13	kʰɐi55
	752	契		kʰɐi33	kʰɐi35
	753	倪		nɐi33	ŋɐi21
	754	奚		kʰɐi45	kʰɐi11
	755	兮			
	756	系		hɐi21	hɐi33
	757	繫		hɐi21	hɐi33
	758	係		hɐi21	hɐi33
	759	縊			
	760	瞖			
	761	杯		pui45	pui11
	762	輩		pui33	pui35
	763	背		pui33	pui35
	764	胚		pʰui45	pʰui11
	765	坯		pʰui45	pʰui11
	766	配		pʰui33	pʰui35
	767	培		pʰui33	pʰui21
	768	陪		pʰui33	pʰui21
	769	賠		pʰui33	pʰui21
	770	裴		pʰui33	pʰui21
	771	倍		pʰui13	pʰui33
	772	佩		pʰui33	pʰui33
	773	背	背诵	pʰui21	pʰui33
	774	焙		pʰui21	pʰui33
	775	梅		mui33	mui21
	776	枚		mui33	mui21
	777	媒		mui33	mui21
	778	煤		mui33	mui21
	779	每		mui13	mui33
	780	妹		mui21	mui33
	781	昧		mui21	mui33
	782	堆		tui45	tui11
	783	對		tui33	tui35
	784	碓		tui33	tui35
	785	推		tʰui45	tʰui11
	786	腿		tʰui13	tʰui55
	787	退		tʰui33	tʰui35
	788	隊		tʰui21	tʰui33
	789	内		nui21	nui33
	790	雷		lui33	lui21
	791	儡		lui13	lui33
	792	累		lui21	lui33
	793	催		tsʰui45	tsʰui11
	794	崔		tsʰui45	tsʰui11
	795	罪		tsʰui21	tsʰui33
	796	碎		ɬui33	ɬui35
	797	盔		kʰuɐi45	kʰɐi11
	798	魁		kʰuɐi45	kʰɐi11
	799	恢		fui45	fui11
	800	傀		kuɐi13	kɐi55
	801	塊		fai33	fai35
	802	桅		vɐi33	ŋɐi21
	803	灰		fui45	vui11
	804	賄		fui13	fui55
	805	悔		fui13	fui55
	806	晦		fui13	fui55
	807	回		fui33	vui21
	808	茴		fui33	vui21
	809	匯		fui33	vui33
	810	潰		kʰuɐi33	kʰɐi33
	811	煨		vui45	vui11
	812	蜕		tʰui33	tʰui35
	813	兑		tui33	tʰui33
	814	最		tsui33	tsui35
	815	會		fui21	vui33
	816	劊		kʰuɐi33	kʰui35
	817	檜		fui21	kʰui35
	818	外		vai21	vai35
	819	會	会议	fui21	vui33
	820	會	会不会	fui21	vui33
	821	繪		fui21	vui33
	822	𢶀			
	823	乖		kuai45	kai11
	824	怪		kuai33	kai35
	825	蒯		fai33	kʰai35
	826	塊		fai33	fai35
	827	懷		vai33	vai21
	828	槐		vai33	vai21
	829	淮		vai33	vai21
	830	壞		vai21	vai33
	831	柺		kuai13	kʰai55
	832	掛		kuɒ33	ka35
	833	卦		kuɒ33	ka35
	834	歪		vai45	vai11
	835	畫		væk21	vɛk22
	836	蛙		vɒ45	va11
	837	快		fai33	vai35
	838	筷		fai33	fai35
	839	話		vɒ33	va21
	840	脆		tsʰui33	tsʰui35
	841	歲		ɬui33	ɬui35
	842	綴		tsʰui21	tsui35
	843	贅		tsʰui21	tsui35
	844	税		sui33	sui35
	845	芮		jui21	ȵui33
	846	鱖			
	847	衛		vɐi21	vɐi33
	848	鋭		ȵui21	jui33
	849	廢		fɐi33	fei35
	850	肺		fɐi33	fei35
	851	吠		fi21	fei33
	852	穢		vui21	vui35
	853	圭		kuɐi45	kɐi11
	854	閨		kuɐi45	kɐi11
	855	桂		kuɐi33	kuɐi35
	856	奎		kʰuɐi45	kʰɐi11
	857	携		kʰuɐi33	kʰɐi21
	858	畦		kʰuɐi33	kʰɐi21
	859	惠		fui21	vɐi33
	860	慧		fui21	vɐi33
