"繁体"	"简体"	"IPA"	"注释"	"来源"	""	"#符號說明："	"音標後的“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"鎔"	"镕"	"ɦioŋ2"	"~化"	"鄉音字類"	""	""	""
"榕"	"榕"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"溶"	"溶"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"慵"	"慵"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"榮"	"荣"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"嶸"	"嵘"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"瑩"	"莹"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"禜"	"禜"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"滎"	"荥"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"熒"	"荧"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"縈"	"萦"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"營"	"营"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"塋"	"茔"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"漾"	"漾"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"融"	"融"	"ɦioŋ2"	"金~"	"鄉音字類"	""	""	""
"肜"	"肜"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"熊"	"熊"	"ɦioŋ2"	"姓"	"鄉音字類"	""	""	""
"雄"	"雄"	"ɦioŋ2"	"英~"	"鄉音字類"	""	""	""
"顒"	"颙"	"ɦioŋ2"	""	"鄉音字類"	""	""	""
"用"	"用"	"ɦioŋ6"	""	"鄉音字類"	""	""	""
"噰"	"噰"	"ioŋ1"	""	"鄉音字類"	""	""	""
"饔"	"饔"	"ioŋ1"	""	"鄉音字類"	""	""	""
"雍"	"雍"	"ioŋ1"	""	"鄉音字類"	""	""	""
"雝"	"雝"	"ioŋ1"	""	"鄉音字類"	""	""	""
"廱"	"廱"	"ioŋ1"	""	"鄉音字類"	""	""	""
"癰"	"痈"	"ioŋ1"	""	"鄉音字類"	""	""	""
"邕"	"邕"	"ioŋ1"	""	"鄉音字類"	""	""	""
"𡄸"	"噰"	"ioŋ1"	""	"鄉音字類"	""	""	""
"永"	"永"	"ioŋ3"	""	"鄉音字類"	""	""	""
"甬"	"甬"	"ioŋ3"	"指寧波"	"鄉音字類"	""	""	""
"涌"	"涌"	"ioŋ3"	""	"鄉音字類"	""	""	""
"踴"	"踊"	"ioŋ3"	""	"鄉音字類"	""	""	""
"俑"	"俑"	"ioŋ3"	""	"鄉音字類"	""	""	""
"勇"	"勇"	"ioŋ3"	""	"鄉音字類"	""	""	""
"湧"	"涌"	"ioŋ3"	""	"鄉音字類"	""	""	""
"踊"	"踊"	"ioŋ3"	""	"鄉音字類"	""	""	""
"壅"	"壅"	"ioŋ3"	"掗~"	"鄉音字類"	""	""	""
"擁"	"拥"	"ioŋ3"	"~擠得極"	"鄉音字類"	""	""	""
"蛹"	"蛹"	"ioŋ3"	"蠶~"	"蘇州同音常用字彙"	""	""	""
"壅"	"壅"	"ioŋ5"	""	"鄉音字類"	""	""	""
"泳"	"泳"	"ioŋ5"	"游~"	"鄉音字類"	""	""	""
"詠"	"咏"	"ioŋ5"	""	"鄉音字類"	""	""	""
"櫻"	"樱"	"aŋ1"	"白讀：~桃"	"鄉音字類"	""	""	""
"朋"	"朋"	"baŋ2"	"~友"	"鄉音字類"	""	""	""
"螃"	"螃"	"baŋ2"	""	"鄉音字類"	""	""	""
"𦗭"	"𦗭"	"baŋ2"	"聋子。"	"鄉音字類"	""	""	""
"彭"	"彭"	"baŋ2"	"姓"	"鄉音字類"	""	""	""
"膨"	"膨"	"baŋ2"	"~脹"	"鄉音字類"	""	""	""
"蟛"	"蟛"	"baŋ2"	""	"鄉音字類"	""	""	""
"棚"	"棚"	"baŋ2"	"白讀：牛~"	"蘇州同音常用字彙"	""	""	""
"鵬"	"鹏"	"baŋ2"	"白讀"	"蘇州同音常用字彙"	""	""	""
"硼"	"硼"	"baŋ2"	"~砂"	"蘇州同音常用字彙"	""	""	""
"甏 "	"甏 "	"baŋ6"	"酒~"	"鄉音字類"	""	""	""
"蚌"	"蚌"	"baŋ6"	""	"鄉音字類"	""	""	""
"掽"	"掽"	"baŋ6"	""	"鄉音字類"	""	""	""
"碰"	"碰"	"baŋ6"	""	"鄉音字類"	""	""	""
"𥕱"	"𥕱"	"baŋ6"	""	"鄉音字類"	""	""	""
"行"	"行"	"ɦaŋ2"	"白讀：~貨"	"鄉音字類"	""	""	""
"杏"	"杏"	"ɦaŋ4"	"白讀：~子"	"蘇州同音常用字彙"	""	""	""
"杏"	"杏"	"ɦaŋ6"	""	"鄉音字類"	""	""	""
"邦"	"邦"	"pɔŋ1"	""	"鄉音字類"	""	""	""
"梆"	"梆"	"pɔŋ1"	"敲~"	"鄉音字類"	""	""	""
"牓"	"牓"	"pɔŋ3"	"肩~"	"鄉音字類"	""	""	""
"榜"	"榜"	"pɔŋ3"	""	"鄉音字類"	""	""	""
"搒"	"搒"	"pɔŋ5"	""	"鄉音字類"	""	""	""
"龐"	"庞"	"bɔŋ2"	"姓"	"鄉音字類"	""	""	""
"逄"	"逄"	"bɔŋ2"	""	"鄉音字類"	""	""	""
"旁"	"旁"	"bɔŋ2"	"~邊"	"鄉音字類"	""	""	""
"傍"	"傍"	"bɔŋ2"	"側，亦作“旁”"	"鄉音字類"	""	""	""
"徬"	"徬"	"bɔŋ2"	""	"鄉音字類"	""	""	""
"滂"	"滂"	"bɔŋ2"	""	"鄉音字類"	""	""	""
"雱"	"雱"	"bɔŋ2"	""	"鄉音字類"	""	""	""
"防"	"防"	"bɔŋ2"	""	"鄉音字類"	""	""	""
"鲂"	"鲂"	"bɔŋ2"	""	"鄉音字類"	""	""	""
"霶"	"霶"	"bɔŋ2"	""	"鄉音字類"	""	""	""
"尨"	"尨"	"bɔŋ2"	""	"鄉音字類"	""	""	""
"哤"	"哤"	"bɔŋ2"	""	"鄉音字類"	""	""	""
"厖"	"厖"	"bɔŋ2"	""	"鄉音字類"	""	""	""
"傍"	"傍"	"bɔŋ6"	"依~"	"鄉音字類"	""	""	""
"蚌"	"蚌"	"bɔŋ6"	""	"鄉音字類"	""	""	""
"棒"	"棒"	"bɔŋ6"	""	"鄉音字類"	""	""	""
"邙"	"邙"	"mɔŋ2"	""	"鄉音字類"	""	""	""
"鋩"	"铓"	"mɔŋ2"	"鋒~"	"鄉音字類"	""	""	""
"茫"	"茫"	"mɔŋ2"	""	"鄉音字類"	""	""	""
"芒"	"芒"	"mɔŋ2"	""	"鄉音字類"	""	""	""
"忙"	"忙"	"mɔŋ2"	"早起三光，遲起三~"	"鄉音字類"	""	""	""
"杗"	"杗"	"mɔŋ2"	""	"鄉音字類"	""	""	""
"盲"	"盲"	"mɔŋ2"	""	"蘇州同音常用字彙"	""	""	""
"氓"	"氓"	"mɔŋ2"	"流~"	"蘇州同音常用字彙"	""	""	""
"莽"	"莽"	"mɔŋ4"	"鹵~"	"鄉音字類"	""	""	""
"蟒"	"蟒"	"mɔŋ4"	""	"鄉音字類"	""	""	""
"方"	"方"	"fɔŋ1"	""	"鄉音字類"	""	""	""
"坊"	"坊"	"fɔŋ1"	""	"鄉音字類"	""	""	""
"芳"	"芳"	"fɔŋ1"	""	"鄉音字類"	""	""	""
"妨"	"妨"	"fɔŋ1"	""	"鄉音字類"	""	""	""
"肪"	"肪"	"fɔŋ1"	""	"蘇州同音常用字彙"	""	""	""
"紡"	"纺"	"fɔŋ3"	"~紗"	"鄉音字類"	""	""	""
"仿"	"仿"	"fɔŋ3"	"~造"	"鄉音字類"	""	""	""
"髣"	"髣"	"fɔŋ3"	""	"鄉音字類"	""	""	""
"昉"	"昉"	"fɔŋ3"	""	"鄉音字類"	""	""	""
"倣"	"倣"	"fɔŋ3"	""	"鄉音字類"	""	""	""
"瓬"	"瓬"	"fɔŋ3"	""	"鄉音字類"	""	""	""
"放"	"放"	"fɔŋ5"	""	"鄉音字類"	""	""	""
"舫"	"舫"	"fɔŋ5"	""	"鄉音字類"	""	""	""
"房"	"房"	"vɔŋ2"	"~子"	"鄉音字類"	""	""	""
"亡"	"亡"	"vɔŋ2"	""	"鄉音字類"	""	""	""
"忘"	"忘"	"vɔŋ2"	""	"鄉音字類"	""	""	""
"罔"	"罔"	"vɔŋ4"	""	"鄉音字類"	""	""	""
"惘"	"惘"	"vɔŋ4"	""	"鄉音字類"	""	""	""
"網"	"网"	"vɔŋ4"	""	"鄉音字類"	""	""	""
"網"	"网"	"mɔŋ4"	""	"蘇州同音常用字彙"	""	""	""
"望"	"望"	"vɔŋ6"	""	"鄉音字類"	""	""	""
"妄"	"妄"	"vɔŋ6"	"~想"	"鄉音字類"	""	""	""
"當"	"当"	"tɔŋ1"	""	"鄉音字類"	""	""	""
"簹"	"筜"	"tɔŋ1"	""	"鄉音字類"	""	""	""
"璫"	"珰"	"tɔŋ1"	""	"鄉音字類"	""	""	""
"鐺"	"铛"	"tɔŋ1"	""	"鄉音字類"	""	""	""
"黨"	"党"	"tɔŋ3"	""	"鄉音字類"	""	""	""
"䣊"	"䣊"	"tɔŋ3"	""	"鄉音字類"	""	""	""
"党"	"党"	"tɔŋ3"	""	"鄉音字類"	""	""	""
"檔"	"档"	"tɔŋ5"	""	"蘇州同音常用字彙"	""	""	""
"湯"	"汤"	"tʰɔŋ1"	""	"鄉音字類"	""	""	""
"鐋"	"铴"	"tʰɔŋ1"	""	"鄉音字類"	""	""	""
"钂"	"镋"	"tʰɔŋ1"	""	"鄉音字類"	""	""	""
"惝"	"惝"	"tʰɔŋ3"	""	"鄉音字類"	""	""	""
"倘"	"倘"	"tʰɔŋ3"	""	"鄉音字類"	""	""	""
"儻"	"傥"	"tʰɔŋ3"	""	"鄉音字類"	""	""	""
"帑"	"帑"	"tʰɔŋ3"	""	"鄉音字類"	""	""	""
"讜"	"谠"	"tʰɔŋ3"	""	"鄉音字類"	""	""	""
"鐋"	"铴"	"tʰɔŋ3"	""	"鄉音字類"	""	""	""
"燙"	"烫"	"tʰɔŋ5"	"~手"	"蘇州同音常用字彙"	""	""	""
"趟"	"趟"	"tʰɔŋ5"	""	"蘇州同音常用字彙"	""	""	""
"唐"	"唐"	"dɔŋ2"	"姓"	"鄉音字類"	""	""	""
"塘"	"塘"	"dɔŋ2"	""	"鄉音字類"	""	""	""
"搪"	"搪"	"dɔŋ2"	"~塞"	"鄉音字類"	""	""	""
"餹"	"糖"	"dɔŋ2"	"白~"	"鄉音字類"	""	""	""
"螗"	"螗"	"dɔŋ2"	""	"鄉音字類"	""	""	""
"堂"	"堂"	"dɔŋ2"	"混~"	"鄉音字類"	""	""	""
"螳"	"螳"	"dɔŋ2"	"~螂"	"鄉音字類"	""	""	""
"棠"	"棠"	"dɔŋ2"	"海~"	"鄉音字類"	""	""	""
"簜"	"簜"	"dɔŋ6"	""	"鄉音字類"	""	""	""
"蕩"	"荡"	"dɔŋ6"	""	"鄉音字類"	""	""	""
"璗"	"璗"	"dɔŋ6"	""	"鄉音字類"	""	""	""
"盪"	"荡"	"dɔŋ6"	""	"鄉音字類"	""	""	""
"宕"	"宕"	"dɔŋ6"	""	"鄉音字類"	""	""	""
"碭"	"砀"	"dɔŋ6"	""	"鄉音字類"	""	""	""
"囊"	"囊"	"nɔŋ2"	""	"鄉音字類"	""	""	""
"瓤"	"瓤"	"nɔŋ2"	""	"鄉音字類"	""	""	""
"曩"	"曩"	"nɔŋ4"	""	"鄉音字類"	""	""	""
"廊"	"廊"	"lɔŋ2"	"~下"	"鄉音字類"	""	""	""
"榔"	"榔"	"lɔŋ2"	""	"鄉音字類"	""	""	""
"桹"	"桹"	"lɔŋ2"	""	"鄉音字類"	""	""	""
"郎"	"郎"	"lɔŋ2"	"~中"	"鄉音字類"	""	""	""
"筤"	"筤"	"lɔŋ2"	""	"鄉音字類"	""	""	""
"狼"	"狼"	"lɔŋ2"	"黃~"	"鄉音字類"	""	""	""
"稂"	"稂"	"lɔŋ2"	""	"鄉音字類"	""	""	""
"琅"	"琅"	"lɔŋ2"	""	"鄉音字類"	""	""	""
"閬"	"阆"	"lɔŋ6"	""	"鄉音字類"	""	""	""
"浪"	"浪"	"lɔŋ6"	"~頭"	"鄉音字類"	""	""	""
"臧"	"臧"	"ʦɔŋ1"	"姓"	"鄉音字類"	""	""	""
"牂"	"牂"	"ʦɔŋ1"	""	"鄉音字類"	""	""	""
"贓"	"赃"	"ʦɔŋ1"	""	"鄉音字類"	""	""	""
"淙"	"淙"	"ʦɔŋ1"	""	"鄉音字類"	""	""	""
"鏦"	"鏦"	"ʦɔŋ1"	""	"鄉音字類"	""	""	""
"摐"	"摐"	"ʦɔŋ1"	""	"鄉音字類"	""	""	""
"葬"	"葬"	"ʦɔŋ5"	""	"鄉音字類"	""	""	""
"倉"	"仓"	"ʦʰɔŋ1"	"開~"	"鄉音字類"	""	""	""
"滄"	"沧"	"ʦʰɔŋ1"	"~浪亭"	"鄉音字類"	""	""	""
"鶬"	"鸧"	"ʦʰɔŋ1"	""	"鄉音字類"	""	""	""
"蒼"	"苍"	"ʦʰɔŋ1"	""	"鄉音字類"	""	""	""
"桑"	"桑"	"sɔŋ1"	"~葉"	"鄉音字類"	""	""	""
"喪"	"丧"	"sɔŋ1"	""	"鄉音字類"	""	""	""
"喪"	"丧"	"sɔŋ5"	""	"蘇州同音常用字彙"	""	""	""
"顙"	"颡"	"sɔŋ3"	""	"鄉音字類"	""	""	""
"搡"	"搡"	"sɔŋ3"	"~一跤"	"蘇州同音常用字彙"	""	""	""
"磉"	"磉"	"sɔŋ3"	""	"鄉音字類"	""	""	""
"藏"	"藏"	"zɔŋ2"	""	"鄉音字類"	""	""	""
"奘"	"奘"	"zɔŋ4"	""	"鄉音字類"	""	""	""
"臟"	"脏"	"zɔŋ6"	"~湯"	"鄉音字類"	""	""	""
"鋼"	"钢"	"kɔŋ1"	"~刀"	"鄉音字類"	""	""	""
"綱"	"纲"	"kɔŋ1"	"大~"	"鄉音字類"	""	""	""
"剛"	"刚"	"kɔŋ1"	""	"鄉音字類"	""	""	""
"岡"	"冈"	"kɔŋ1"	""	"鄉音字類"	""	""	""
"茳"	"茳"	"kɔŋ1"	""	"鄉音字類"	""	""	""
"釭"	"釭"	"kɔŋ1"	""	"鄉音字類"	""	""	""
"矼"	"矼"	"kɔŋ1"	""	"鄉音字類"	""	""	""
"杠"	"杠"	"kɔŋ1"	""	"鄉音字類"	""	""	""
"扛"	"扛"	"kɔŋ1"	""	"鄉音字類"	""	""	""
"缸"	"缸"	"kɔŋ1"	"水~"	"鄉音字類"	""	""	""
"笐"	"笐"	"kɔŋ1"	""	"鄉音字類"	""	""	""
"罡"	"罡"	"kɔŋ1"	""	"鄉音字類"	""	""	""
"肛"	"肛"	"kɔŋ1"	"~門"	"蘇州同音常用字彙"	""	""	""
"康"	"康"	"kʰɔŋ1"	"姓"	"鄉音字類"	""	""	""
"穅"	"糠"	"kʰɔŋ1"	""	"鄉音字類"	""	""	""
"慷"	"慷"	"kʰɔŋ3"	""	"鄉音字類"	""	""	""
"忼"	"忼"	"kʰɔŋ3"	""	"鄉音字類"	""	""	""
"亢"	"亢"	"kʰɔŋ5"	""	"鄉音字類"	""	""	""
"伉"	"伉"	"kʰɔŋ5"	""	"鄉音字類"	""	""	""
"抗"	"抗"	"kʰɔŋ5"	""	"鄉音字類"	""	""	""
"炕"	"炕"	"kʰɔŋ5"	""	"鄉音字類"	""	""	""
"昂"	"昂"	"ŋɔŋ2"	"~頭"	"鄉音字類"	""	""	""
"卬"	"卬"	"ŋɔŋ2"	""	"鄉音字類"	""	""	""
"杭"	"杭"	"ɦɔŋ2"	"~州"	"鄉音字類"	""	""	""
"航"	"航"	"ɦɔŋ2"	"~船"	"鄉音字類"	""	""	""
"吭"	"吭"	"ɦɔŋ2"	""	"鄉音字類"	""	""	""
"頏"	"颃"	"ɦɔŋ2"	""	"鄉音字類"	""	""	""
"盎"	"盎"	"ɔŋ1"	""	"鄉音字類"	""	""	""
"沆"	"沆"	"ɔŋ1"	""	"鄉音字類"	""	""	""
"洸"	"洸"	"kuɔŋ1"	""	"鄉音字類"	""	""	""
"光"	"光"	"kuɔŋ1"	""	"鄉音字類"	""	""	""
"桄"	"桄"	"kuɔŋ1"	""	"鄉音字類"	""	""	""
"觥"	"觥"	"kuɔŋ1"	""	"鄉音字類"	""	""	""
"絖"	"絖"	"kuɔŋ1"	""	"鄉音字類"	""	""	""
"廣"	"广"	"kuɔŋ3"	""	"鄉音字類"	""	""	""
"曠"	"旷"	"kʰuɔŋ5"	""	"鄉音字類"	""	""	""
"纊"	"纩"	"kʰuɔŋ5"	""	"鄉音字類"	""	""	""
"卝"	"卝"	"kʰuɔŋ5"	""	"鄉音字類"	""	""	""
"狂"	"狂"	"ɡuɔŋ2"	"~妄"	"鄉音字類"	""	""	""
"荒"	"荒"	"huɔŋ1"	"~年"	"鄉音字類"	""	""	""
"肓"	"肓"	"huɔŋ1"	""	"鄉音字類"	""	""	""
"䀮"	"䀮"	"huɔŋ1"	""	"鄉音字類"	""	""	""
"晃"	"晃"	"huɔŋ3"	""	"鄉音字類"	""	""	""
"幌"	"幌"	"huɔŋ3"	""	"鄉音字類"	""	""	""
"滉"	"滉"	"huɔŋ3"	""	"鄉音字類"	""	""	""
"皝"	"皝"	"huɔŋ3"	""	"鄉音字類"	""	""	""
"㑆"	"㑆"	"huɔŋ3"	""	"鄉音字類"	""	""	""
"謊"	"谎"	"huɔŋ3"	"~騙"	"鄉音字類"	""	""	""
"慌"	"慌"	"huɔŋ1"	"恐~。據《集韻》：呼光切"	"蘇州同音常用字彙"	""	""	""
"慌"	"慌"	"huɔŋ3"	"又音。據《廣韻》：呼晃切"	"鄉音字類"	""	""	""
"貺"	"贶"	"huɔŋ5"	""	"鄉音字類"	""	""	""
"況"	"况"	"huɔŋ5"	"~且"	"鄉音字類"	""	""	""
"誑"	"诳"	"huɔŋ5"	"説~。疑非本字，聲母不合韻書"	"蘇州同音常用字彙"	""	""	""
"黄"	"黄"	"huɔŋ1"	"白讀：蛋~"	"蘇州同音常用字彙"	""	""	""
"黄"	"黄"	"ɦuɔŋ2"	""	"鄉音字類"	""	""	""
"璜"	"璜"	"ɦuɔŋ2"	""	"鄉音字類"	""	""	""
"潢"	"潢"	"ɦuɔŋ2"	""	"鄉音字類"	""	""	""
"簧"	"簧"	"ɦuɔŋ2"	"彈~"	"鄉音字類"	""	""	""
"煌"	"煌"	"ɦuɔŋ2"	""	"鄉音字類"	""	""	""
"皇"	"皇"	"ɦuɔŋ2"	""	"鄉音字類"	""	""	""
"篁"	"篁"	"ɦuɔŋ2"	""	"鄉音字類"	""	""	""
"惶"	"惶"	"ɦuɔŋ2"	"驚~"	"鄉音字類"	""	""	""
"徨"	"徨"	"ɦuɔŋ2"	""	"鄉音字類"	""	""	""
"偟"	"偟"	"ɦuɔŋ2"	""	"鄉音字類"	""	""	""
"隍"	"隍"	"ɦuɔŋ2"	"城~"	"鄉音字類"	""	""	""
"蝗"	"蝗"	"ɦuɔŋ2"	"~蟲"	"鄉音字類"	""	""	""
"凰"	"凰"	"ɦuɔŋ2"	""	"鄉音字類"	""	""	""
"艎"	"艎"	"ɦuɔŋ2"	""	"鄉音字類"	""	""	""
"喤"	"喤"	"ɦuɔŋ2"	""	"鄉音字類"	""	""	""
"鰉"	"鳇"	"ɦuɔŋ2"	""	"蘇州同音常用字彙"	""	""	""
"鍠"	"锽"	"ɦuɔŋ2"	""	"鄉音字類"	""	""	""
"王"	"王"	"ɦuɔŋ2"	"姓"	"鄉音字類"	""	""	""
"旺"	"旺"	"ɦuɔŋ6"	"文讀：興~"	"鄉音字類"	""	""	""
"汪"	"汪"	"uɔŋ1"	"姓"	"鄉音字類"	""	""	""
"尪"	"尪"	"uɔŋ1"	""	"鄉音字類"	""	""	""
"枉"	"枉"	"uɔŋ3"	"冤~"	"鄉音字類"	""	""	""
"往"	"往"	"uɔŋ3"	"~來"	"鄉音字類"	""	""	""
"暀"	"暀"	"uɔŋ3"	""	"鄉音字類"	""	""	""
"江"	"江"	"ʨiɔŋ1"	""	"鄉音字類"	""	""	""
"江"	"江"	"kɔŋ1"	"白讀"	"蘇州同音常用字彙"	""	""	""
"豇"	"豇"	"kɔŋ1"	"長~豆"	"蘇州同音常用字彙"	""	""	""
"𧢸"	"䚗"	"ʨiɔŋ1"	""	"鄉音字類"	""	""	""
"䚗"	"䚗"	"ʨiɔŋ1"	""	"鄉音字類"	""	""	""
"茳"	"茳"	"ʨiɔŋ1"	""	"鄉音字類"	""	""	""
"講"	"讲"	"kɔŋ3"	"白讀；吃~茶"	"蘇州同音常用字彙"	""	""	""
"講"	"讲"	"ʨiɔŋ3"	"讀書音"	"鄉音字類"	""	""	""
"港"	"港"	"ʨiɔŋ3"	"讀書音"	"鄉音字類"	""	""	""
"港"	"港"	"kɔŋ3"	""	"蘇州同音常用字彙"	""	""	""
"槓"	"杠"	"kɔŋ5"	"~棒"	"蘇州同音常用字彙"	""	""	""
"降"	"降"	"ʨiɔŋ5"	"讀書音"	"鄉音字類"	""	""	""
"降"	"降"	"kɔŋ5"	"白讀"	"蘇州同音常用字彙"	""	""	""
"絳"	"绛"	"ʨiɔŋ5"	""	"鄉音字類"	""	""	""
"洚"	"洚"	"ʨiɔŋ5"	""	"鄉音字類"	""	""	""
"腔"	"腔"	"ʨʰiɔŋ1"	"南~北調"	"鄉音字類"	""	""	""
"项"	"项"	"ɦiɔŋ2"	""	"鄉音字類"	""	""	""
"銗"	"銗"	"ɦiɔŋ2"	""	"鄉音字類"	""	""	""
"巷"	"巷"	"ɦiɔŋ6"	"文讀"	"鄉音字類"	""	""	""
"打"	"打"	"taŋ3"	""	"鄉音字類"	""	""	""
"坑"	"坑"	"kʰaŋ1"	"白讀：~缸（糞坑）"	"鄉音字類"	""	""	""
"粱"	"粱"	"liaŋ2"	""	"鄉音字類"	""	""	""
"梁"	"梁"	"liaŋ2"	""	"鄉音字類"	""	""	""
"糧"	"粮"	"liaŋ2"	"完~"	"鄉音字類"	""	""	""
"良"	"良"	"liaŋ2"	"~民"	"鄉音字類"	""	""	""
"涼"	"凉"	"liaŋ2"	"風~"	"鄉音字類"	""	""	""
"两"	"两"	"liaŋ4"	""	"鄉音字類"	""	""	""
"俩"	"俩"	"liaŋ4"	""	"鄉音字類"	""	""	""
"緉"	"緉"	"liaŋ4"	""	"鄉音字類"	""	""	""
"諒"	"谅"	"liaŋ6"	"原~"	"鄉音字類"	""	""	""
"量"	"量"	"liaŋ2"	"丈~"	"蘇州同音常用字彙"	""	""	""
"量"	"量"	"liaŋ6"	"本音"	"鄉音字類"	""	""	""
"亮"	"亮"	"liaŋ6"	""	"鄉音字類"	""	""	""
"喨"	"喨"	"liaŋ6"	""	"蘇州同音常用字彙"	""	""	""
"陽"	"阳"	"ɦiaŋ2"	""	"鄉音字類"	""	""	""
"楊"	"杨"	"ɦiaŋ2"	"姓"	"鄉音字類"	""	""	""
"揚"	"扬"	"ɦiaŋ2"	""	"鄉音字類"	""	""	""
"颺"	"飏"	"ɦiaŋ2"	""	"蘇州同音常用字彙"	""	""	""
"颺"	"飏"	"ɦiaŋ6"	""	"蘇州同音常用字彙"	""	""	""
"暘"	"旸"	"ɦiaŋ2"	""	"鄉音字類"	""	""	""
"敭"	"扬"	"ɦiaŋ2"	""	"鄉音字類"	""	""	""
"羊"	"羊"	"ɦiaŋ2"	"順手牽~"	"鄉音字類"	""	""	""
"洋"	"洋"	"ɦiaŋ2"	""	"鄉音字類"	""	""	""
"佯"	"佯"	"ɦiaŋ2"	""	"鄉音字類"	""	""	""
"徉"	"徉"	"ɦiaŋ2"	""	"鄉音字類"	""	""	""
"痒"	"痒"	"ɦiaŋ2"	""	"鄉音字類"	""	""	""
"烊"	"烊"	"ɦiaŋ2"	"燒~个哉"	"蘇州同音常用字彙"	""	""	""
"癢"	"痒"	"ɦiaŋ4"	""	"鄉音字類"	""	""	""
"養"	"养"	"ɦiaŋ4"	"~育"	"鄉音字類"	""	""	""
"養"	"养"	"ɦiaŋ6"	"供~"	"蘇州同音常用字彙"	""	""	""
"鞅"	"鞅"	"ɦiaŋ4"	""	"鄉音字類"	""	""	""
"怏"	"怏"	"ɦiaŋ4"	""	"鄉音字類"	""	""	""
"坱"	"坱"	"ɦiaŋ4"	""	"鄉音字類"	""	""	""
"樣"	"样"	"ɦiaŋ6"	""	"鄉音字類"	""	""	""
"漾"	"漾"	"ɦiaŋ6"	""	"鄉音字類"	""	""	""
"恙"	"恙"	"ɦiaŋ6"	""	"鄉音字類"	""	""	""
"瀁"	"瀁"	"ɦiaŋ6"	""	"鄉音字類"	""	""	""
"漿"	"浆"	"ʦiaŋ1"	""	"鄉音字類"	""	""	""
"將"	"将"	"ʦiaŋ1"	"~要"	"鄉音字類"	""	""	""
"將"	"将"	"ʦiaŋ5"	"~官"	"蘇州同音常用字彙"	""	""	""
"蒋"	"蒋"	"ʦiaŋ3"	""	"鄉音字類"	""	""	""
"蔣"	"蒋"	"ʦiaŋ3"	"姓"	"蘇州同音常用字彙"	""	""	""
"奖"	"奖"	"ʦiaŋ3"	""	"鄉音字類"	""	""	""
"獎"	"奖"	"ʦiaŋ3"	"~賞"	"蘇州同音常用字彙"	""	""	""
"桨"	"桨"	"ʦiaŋ3"	""	"鄉音字類"	""	""	""
"槳"	"桨"	"ʦiaŋ3"	"划~"	"蘇州同音常用字彙"	""	""	""
"醬"	"酱"	"ʦiaŋ5"	"~園"	"鄉音字類"	""	""	""
"瑲"	"玱"	"ʦʰiaŋ1"	""	"鄉音字類"	""	""	""
"蹌"	"跄"	"ʦʰiaŋ1"	""	"鄉音字類"	""	""	""
"鎗"	"枪"	"ʦʰiaŋ1"	"~手"	"鄉音字類"	""	""	""
"槍"	"枪"	"ʦʰiaŋ1"	""	"鄉音字類"	""	""	""
"鏘"	"锵"	"ʦʰiaŋ1"	""	"鄉音字類"	""	""	""
"蹡"	"跄"	"ʦʰiaŋ1"	""	"鄉音字類"	""	""	""
"斨"	"斨"	"ʦʰiaŋ1"	""	"鄉音字類"	""	""	""
"螿"	"螀"	"ʦʰiaŋ1"	""	"鄉音字類"	""	""	""
"相"	"相"	"siaŋ1"	""	"鄉音字類"	""	""	""
"緗"	"缃"	"siaŋ1"	""	"鄉音字類"	""	""	""
"湘"	"湘"	"siaŋ1"	"~妃竹"	"鄉音字類"	""	""	""
"箱"	"箱"	"siaŋ1"	"~子"	"鄉音字類"	""	""	""
"廂"	"廂"	"siaŋ1"	"~房"	"鄉音字類"	""	""	""
"襄"	"襄"	"siaŋ1"	""	"鄉音字類"	""	""	""
"驤"	"骧"	"siaŋ1"	""	"鄉音字類"	""	""	""
"想"	"想"	"siaŋ3"	""	"鄉音字類"	""	""	""
"鮺"	"鲝"	"siaŋ3"	"鹹~"	"鄉音字類"	""	""	""
"相"	"相"	"siaŋ5"	""	"蘇州同音常用字彙"	""	""	""
"詳"	"详"	"ziaŋ2"	""	"鄉音字類"	""	""	""
"庠"	"庠"	"ziaŋ2"	""	"鄉音字類"	""	""	""
"翔"	"翔"	"ziaŋ2"	"南~"	"鄉音字類"	""	""	""
"牆"	"墙"	"ziaŋ2"	""	"鄉音字類"	""	""	""
"檣"	"樯"	"ziaŋ2"	""	"鄉音字類"	""	""	""
"嬙"	"嫱"	"ziaŋ2"	""	"鄉音字類"	""	""	""
"戕"	"戕"	"ziaŋ2"	""	"鄉音字類"	""	""	""
"廧"	"廧"	"ziaŋ2"	""	"鄉音字類"	""	""	""
