字	注释	张集	大杨集	李老家	田庙	郑集	站集	店集	芒种桥	
横	~蛮	xuŋ⁴¹	xuŋ⁴¹	xuŋ⁴¹	xuŋ⁴¹	xuŋ⁴¹	xuŋ⁴¹	xuŋ⁴¹	xuŋ⁴¹	
轰		xuŋ²⁴	xuŋ²⁴	xuŋ²⁴	xuŋ²⁴	xuŋ²⁴	xuŋ²⁴	xuŋ²⁴	xuŋ²⁴	
获		xuo²⁴	xuo²⁴	xuo⁵²	xuo⁵²	xuo⁴¹	xuo⁵²	xuo⁵²	xuɛ⁵²	
划		xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	
兄		ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	
荣		yŋ⁵²	yŋ⁵²	yŋ⁵²	yŋ⁵²	ʐuŋ⁵²	ʐuŋ⁵²	ʐuŋ⁵²	ʐuŋ⁵²	
永		yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	ʐuŋ⁴⁴	ʐuŋ⁴⁴	ʐuŋ⁴⁴	
泳		yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	ʐuŋ⁴⁴	ʐuŋ⁴⁴	ʐuŋ⁴⁴	
倾		tɕʰyŋ²⁴	tɕʰyŋ²⁴	tɕʰyŋ²⁴	tɕʰyŋ²⁴	tɕʰyŋ²⁴	tɕʰiŋ²⁴	tɕʰyŋ²⁴	tɕʰiŋ²⁴	
营		iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	
