字	注释	张集	大杨集	李老家	田庙	郑集	站集	店集	芒种桥	
兑		tuei⁴¹	tuei⁴¹	tuei⁴¹	tuei⁴¹	tuei⁴¹	tuei⁴¹	tuei⁴¹	tuei⁴¹	
最		tsuei⁴¹	tsuei⁴¹	tsuei⁴¹	tsuei⁴¹	tsuei⁴¹	tsuei⁴¹	tsuei⁴¹	tsuei⁴¹	
会	~计	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	
外		uɛ⁴¹	uɛ⁴¹	uɛ⁴¹	uɛ⁴¹	uɛ⁴¹	uɛ⁴¹	uɛ⁴¹	uɛ⁴¹	
会	~开	xuei⁴¹	xuei⁴¹	xuei⁴¹	xuei⁴¹	xuei⁴¹	xuei⁴¹	xuei⁴¹	xuei⁴¹	
乖		kuɛ²⁴	kuɛ²⁴	kuɛ²⁴	kuɛ²⁴	kuɛ²⁴	kuɛ²⁴	kuɛ²⁴	kuɛ²⁴	
怪		kuɛ⁴¹	kuɛ⁴¹	kuɛ⁴¹	kuɛ⁴¹	kuɛ⁴¹	kuɛ⁴¹	kuɛ⁴¹	kuɛ⁴¹	
块		kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	
怀		xuɛ⁵²	xuɛ⁵²	xuɛ⁵²	xuɛ⁵²	xuɛ⁵²	xuɛ⁵²	xuɛ⁵²	xuɛ⁵²	
槐		xuɛ⁵²	xuɛ⁵²	xuɛ⁵²	xuɛ⁵²	xuɛ⁵²	xuɛ⁵²	xuɛ⁵²	xuɛ⁵²	
坏		xuɛ⁴¹	xuɛ⁴¹	xuɛ⁴¹	xuɛ⁴¹	xuɛ⁴¹	xuɛ⁴¹	xuɛ⁴¹	xuɛ⁴¹	
崴		uɛ⁴⁴	uɛ⁴⁴	uɛ⁴⁴	uɛ⁴⁴	uɛ⁴⁴	uɛ⁴⁴	uɛ⁴⁴	uɛ⁴⁴	
拐		kuɛ⁴⁴	kuɛ⁴⁴	kuɛ⁴⁴	kuɛ⁴⁴	kuɛ⁴⁴	kuɛ⁴⁴	kuɛ⁴⁴	kuɛ⁴⁴	
卦		kua⁴¹	kua⁴¹	kua⁴¹	kua⁴¹	kua⁴¹	kua⁴¹	kua⁴¹	kua⁴¹	
歪		uɛ²⁴	uɛ²⁴	uɛ²⁴	uɛ²⁴	uɛ²⁴	uɛ²⁴	uɛ²⁴	uɛ²⁴	
画		xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	
蛙		uɛ²⁴	uɛ²⁴	uɛ²⁴	uɛ²⁴	uɛ²⁴	uɛ²⁴	uɛ²⁴	uɛ²⁴	
快		kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	kʰuɛ⁴¹	
话		xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	xua⁴¹	
脆		tsʰuei⁴¹	tsʰuei⁴¹	tsʰuei⁴¹	tsʰuei⁴¹	tsʰuei⁴¹	tsʰuei⁴¹	tsʰuei⁴¹	tsʰuei⁴¹	
岁		suei⁴¹	suei⁴¹	suei⁴¹	suei⁴¹	suei⁴¹	suei⁴¹	suei⁴¹	suei⁴¹	
赘		tʂuei⁴¹	tʂuei⁴¹	tʂuei⁴¹	tʂuei⁴¹	tʂuei⁴¹	tʂuei⁴¹	tʂuei⁴¹	tʂuei⁴¹	
税		fei⁴¹	fei⁴¹	fei⁴¹	fei⁴¹	fei⁴¹	fei⁴¹	fei⁴¹	fei⁴¹	
卫		uei⁴¹	uei⁴¹	uei⁴¹	uei⁴¹	uei⁴¹	uei⁴¹	uei⁴¹	uei⁴¹	
废		fi⁴¹	fi⁴¹	fi⁴¹	fi⁴¹	fi⁴¹	fi⁴¹	fi⁴¹	fi⁴¹	
肺		fi⁴¹	fi⁴¹	fi⁴¹	fi⁴¹	fi⁴¹	fi⁴¹	fi⁴¹	fi⁴¹	
闺		kuei²⁴/\nkuən²⁴	kuei²⁴/\nkuən²⁴	kuei²⁴	kuei²⁴	kuei²⁴/\nkuən²⁴	kuei²⁴	kuei²⁴	kuən²⁴	
桂		kuei⁴¹	kuei⁴¹	kuei⁴¹	kuei⁴¹	kuei⁴¹	kuei⁴¹	kuei⁴¹	kuei⁴¹	
慧		xuei⁴¹	xuei⁴¹	xuei⁴¹	xuei⁴¹	xuei⁴¹	xuei⁴¹	xuei⁴¹	xuei⁴¹	
披		pʰei²⁴	pʰei²⁴	pʰei²⁴	pʰei²⁴	pʰei²⁴	pʰei²⁴	pʰei²⁴	pʰei²⁴	
皮		pi⁵²	pi⁵²	pi⁵²	pi⁵²	pi⁵²	pi⁵²	pi⁵²	pi⁵²	
脾		pi⁵²	pi⁵²	pi⁵²	pi⁵²/pi⁴⁴	pi⁵²	pi⁵²	pi⁵²	pi⁵²	
被	~子	pei⁴¹	pei⁴¹	pei⁴¹	pei⁴¹	pei⁴¹	pei⁴¹	pei⁴¹	pei⁴¹	
离		li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	
璃		li⁵²	li⁵²	li⁵²	li⁵²	li⁵²	li⁵²	li⁵²	li⁵²	
荔		li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	li²⁴	li⁴¹	
紫		tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	
刺		tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	
撕		sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	
赐		tsʰɿ⁴¹	sɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	
知		tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	
蜘		tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	
智		tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ²⁴	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	
池		tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	
支		tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tʂɿ²⁴	tʂɿ²⁴	tʂɿ²⁴	
枝		tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tʂɿ²⁴	tʂɿ²⁴	tʂɿ²⁴	
纸		tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tʂɿ⁴⁴	tʂɿ⁴⁴	tʂɿ⁴⁴	
只		tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tʂɿ²⁴	tʂɿ²⁴	tʂɿ²⁴	
眵	~眼	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tʂɿ²⁴	tʂɿ²⁴	tʂɿ²⁴	
翅		tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tʂʰɿ⁴¹	tʂʰɿ⁴¹	tʂʰɿ⁴¹	
是		sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	
氏		sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	
儿		ɭ⁵²	ɭ⁵²	ɭ⁵²	ɭ⁵²	ɭ⁵²	ɭ⁵²	ɭ⁵²	ɭ⁵²	
寄		tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	
企		tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	
奇		tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	
技		tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	
妓		tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	
蚁		i⁴⁴	i⁴⁴	i⁴⁴	i⁴⁴	i⁴⁴	i⁴⁴	i⁴⁴	i⁴⁴	
义		i⁴¹	i⁴¹	i⁴¹	i⁴¹	i⁴¹	i⁴¹	i⁴¹	i⁴¹	
牺		ɕi²⁴	ɕi²⁴	ɕi²⁴	ɕi²⁴	ɕi²⁴	ɕi²⁴	ɕi²⁴	ɕi²⁴	
戏		ɕi⁴¹	ɕi⁴¹	ɕi⁴¹	ɕi⁴¹	ɕi⁴¹	ɕi⁴¹	ɕi⁴¹	ɕi⁴¹	
椅		i⁴⁴	i⁴⁴	i⁴⁴	i⁴⁴	i⁴⁴	i⁴⁴	i⁴⁴	i⁴⁴	
移		i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	
悲		pei²⁴	pei²⁴	pei²⁴	pei²⁴	pei²⁴	pei²⁴	pei²⁴	pei²⁴	
比		pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	
秕		pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	
痹		pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	
屁		pʰi⁴¹	pʰi⁴¹	pʰi⁴¹	pʰi⁴¹	pʰi⁴¹	pʰi⁴¹	pʰi⁴¹	pʰi⁴¹	
枇		pʰi⁵²	pʰi⁵²	pʰi⁵²	pʰi⁵²	pʰi⁵²	pʰi⁵²	pʰi⁵²	pʰi⁵²	
鼻		pi⁵²	pi⁵²	pi⁵²	pi⁵²	pi⁵²	pi⁵²	pi⁵²	pi⁵²	
眉		mei⁵²	mei⁵²	mei⁵²	mei⁵²	mei⁵²	mei⁵²	mei⁵²	mei⁵²	
美		mei⁴⁴	mei⁴⁴	mei⁴⁴	mei⁴⁴	mei⁴⁴	mei⁴⁴	mei⁴⁴	mei⁴⁴	
地		ti⁴¹	ti⁴¹	ti⁴¹	ti⁴¹	ti⁴¹	ti⁴¹	ti⁴¹	ti⁴¹	
腻		ni⁴¹	ni⁴¹	ni⁴¹	ni⁴¹	ni⁴¹	ni⁴¹	ni⁴¹	ni⁴¹	
梨		li⁵²	li⁵²	li⁵²	li⁵²	li⁵²	li⁵²	li⁵²	li⁵²	
利		li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	
资		tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	
咨		tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	
姊		tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	
次		tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰɿ⁴¹	
瓷		tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	
自		tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	
私		sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	
死		sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	
四		sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	
致		tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	
迟		tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	
稚		tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ²⁴	tʂʅ²⁴	tʂʅ⁴¹	
师		sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	ʂɿ²⁴	ʂɿ²⁴	ʂɿ²⁴	
狮		sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	ʂɿ²⁴	ʂɿ²⁴	ʂɿ²⁴	
脂		tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ⁴⁴	tsɿ²⁴	tʂɿ⁴⁴	tʂɿ⁴⁴	tʂɿ⁴⁴	
指		tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tʂɿ⁴⁴	tʂɿ⁴⁴	tʂɿ⁴⁴	
示		sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	
尸		sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	ʂɿ²⁴	ʂɿ²⁴	ʂɿ²⁴	
屎		sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	ʂɿ⁴⁴	ʂɿ⁴⁴	ʂɿ⁴⁴	
视		sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	
二		ɭ⁴¹	ɭ⁴¹	ɭ⁴¹	ɭ⁴¹	ɭ⁴¹	ɭ⁴¹	ɭ⁴¹	ɭ⁴¹	
饥		tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	
几		tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	
器		tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	
弃		tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	
姨		i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	
你		ȵi⁴⁴	ȵi⁴⁴	ȵi⁴⁴	ȵi⁴⁴	ȵi⁴⁴	ȵi⁴⁴	ȵi⁴⁴	ȵi⁴⁴	
狸		li⁵²	li⁵²	li⁵²	li⁵²	li⁵²	li⁵²	li⁵²	li⁵²	
李		li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	
里		li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	
理		li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	li⁴⁴	
滋		tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	
慈		tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	
字		tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	
丝		sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	
思		sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	
词		tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	tsʰɿ⁵²	
饲		sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	
持		tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	tʂʰʅ⁵²	
痔		tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	
治		tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	tʂʅ⁴¹	
厕		tsʰei²⁴	tsʰei²⁴	tsʰei²⁴	tsʰei²⁴	tsʰei²⁴	tʂʰei²⁴	tʂʰei²⁴	tʂʰei²⁴	
柿		sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	
事		sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	
使		sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	ʂɿ⁴⁴	ʂɿ⁴⁴	ʂɿ⁴⁴	
史		sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	ʂɿ⁴⁴	ʂɿ⁴⁴	ʂɿ⁴⁴	
驶		sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	ʂɿ⁴⁴	ʂɿ⁴⁴	ʂɿ⁴⁴	
芝		tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tʂɿ²⁴	tʂɿ²⁴	tʂɿ²⁴	
止		tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tʂɿ⁴⁴	tʂɿ⁴⁴	tʂɿ⁴⁴	
趾		tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tsɿ²⁴	tʂɿ²⁴	tʂɿ²⁴	tʂɿ²⁴	
志		tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	tsɿ⁴¹	tʂɿ⁴¹	tʂɿ⁴¹	tʂɿ⁴¹	
齿		tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁵²	tsʰɿ⁴⁴	tʂʰɿ⁴⁴	tʂʰɿ⁴⁴	tʂʰɿ⁴⁴	
诗		sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	sɿ²⁴	ʂɿ²⁴	ʂɿ²⁴	ʂɿ²⁴	
始		sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	ʂɿ⁴⁴	ʂɿ⁴⁴	ʂɿ⁴⁴	
试		sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹/ʂɿ⁴¹	sɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	
时		sɿ⁵²	sɿ⁵²	sɿ⁵²	sɿ⁵²	sɿ⁵²	ʂɿ⁵²	ʂɿ⁵²	ʂɿ⁵²	
市		sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	sɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	ʂɿ⁴¹	
耳		ɭ⁴⁴	ɭ⁴⁴	ɭ⁴⁴	ɭ⁴⁴	ɭ⁴⁴	ɭ⁴⁴	ɭ⁴⁴	ɭ⁴⁴	
饵		ɭ⁴⁴	ɭ⁴⁴	ɭ⁴⁴	ɭ⁴⁴	ɭ⁴⁴	ɭ⁴⁴	ɭ⁴⁴	ɭ⁴⁴	
基		tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	
纪		tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	
记		tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	
欺		tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	
起		tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	
其		tɕʰi⁵²	tɕʰi⁴⁴	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	
棋		tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	tɕʰi⁵²	
期		tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	
忌		tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	tɕi⁴¹	
疑		i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	
喜		ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴	
医		i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	
意		i⁴¹	i⁴¹	i⁴¹	i⁴¹	i⁴¹	i⁴¹	i⁴¹	i⁴¹	
以		i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	
几	~乎	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi⁵²	tɕi²⁴	
机		tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	
气		tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	
汽		tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	tɕʰi⁴¹	
沂		i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	
希		ɕi²⁴	ɕi²⁴	ɕi²⁴	ɕi²⁴	ɕi²⁴	ɕi²⁴	ɕi²⁴	ɕi²⁴	
衣		i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	
累	~积	lei⁴⁴	lei⁴⁴	lei⁴⁴	lei⁴⁴	lei⁴⁴	lei⁴⁴	lei⁴⁴	lei⁴⁴	
累	~连	lei⁴¹	lei⁴¹	lei⁴¹	lei⁴¹	lei⁴¹	lei⁴¹	lei⁴¹	lei⁴¹	
嘴		tsuei⁴⁴	tsuei⁴⁴	tsuei⁴⁴	tsuei⁴⁴	tsuei⁴⁴	tsuei⁴⁴	tsuei⁴⁴	tsuei⁴⁴	
髓		suei⁵²	suei⁵²	suei⁵²	suei⁵²/\nsuei⁴⁴	suei⁵²	suei⁵²	suei⁵²	suei⁵²	
捶		tʂʰuei⁵²	tʂʰuei⁵²	tʂʰuei⁵²	tʂʰuei⁵²	tʂʰuei⁵²	tʂʰuei⁵²	tʂʰuei⁵²	tʂʰuei⁵²	
吹		tʂʰuei²⁴	tʂʰuei²⁴	tʂʰuei²⁴	tʂʰuei²⁴	tʂʰuei²⁴	tʂʰuei²⁴	tʂʰuei²⁴	tʂʰuei²⁴	
炊		tʂʰuei²⁴	tʂʰuei²⁴	tʂʰuei²⁴	tʂʰuei²⁴	tsʰuei²⁴	tʂʰuei²⁴	tʂʰuei²⁴	tʂʰuei²⁴	
垂		tʂʰuei⁵²	tʂʰuei⁵²	tʂʰuei⁵²	tʂʰuei⁵²	tʂʰuei⁵²	tʂʰuei⁵²	tʂʰuei⁵²	tʂʰuei⁵²	
睡		fei⁴¹	fei⁴¹	fei⁴¹	fei⁴¹	fei⁴¹	ʂei⁴¹	ʂei⁴¹	ʂei⁴¹	
