#漢字	音標	解釋#('wuu_th_shj_shcs', '上海川沙話', '上海川沙', '#8B0000', None, None, '來源：<u>鶩高赭紗匕</u>', '53 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,213 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇', None, None)
㑚	nɑ6	第二人称复数
醒	sin3	
醚	mi2	
醜	tsʰɤ3	
醪	lɔ2	
醫	i1	
醬	tsiã5	
釀	ȵiã6	
釁	ɕin5	
釃	sɑ1	倒：～酒
釃	sɿ1	
釅	ȵi6	
釉	ɦiɤ6	
釋	sʌk7	
重	zoŋ6	～量
重	zoŋ2	～复
野	ɦiɑ4	
野	zɿ4	别～
量	liã2	
量	liã6	
金	tɕin1	
釗	tsɔ1	
釘	ɗin1	
釙	pʰok7	
釜	βu4	
針	tsəŋ1	
釣	ɗiɔ5	
釤	sɛ1	
釵	tsʰiɔ1	
鈀	ɓo3	化学元素Pd
鈀	bo2	
鈉	nəʔ8	
鈍	dəŋ6	
鈔	tsʰɔ1	现～
鈔	tsʰɔ3	～票
鈕	ȵiɤ4	
鈞	tɕyn1	
鈣	ke5	
鈳	kʰu1	
鈴	lin2	
鈵	ɓin5	
鈸	bəʔ8	
鈹	bi2	
鈺	ȵiok8	
鈾	ɦiɤ2	
鈿	di2	钱，硬币：铜～；洋～；车～；几～。此为“钱”字的一种通俗写法
鈿	di6	饰物：宝～；螺～；金～；翠～
鉀	tɕiæʔ7	
鉅	dʑy4	
鉈	tʰɑ1	化学元素Tl
鉈	du2	秤～
鉍	ɓiɪʔ7	
鉗	dʑi2	
鉚	mɔ4	
鉛	ɦi2	～山（江西地名）
鉛	kʰɛ1	～笔
鉢	ɓəʔ7	
鉤	kɤ1	
銀	ȵin2	
銃	tsʰoŋ5	
銅	doŋ2	
銓	tsʰi1	
銖	tsy1	
銘	min2	
銜	ɦɛ2	含在嘴里
銜	ŋɛ2	～头（头衔）
銥	i1	
銨	ø3	
銪	ɦiɤ4	
銬	kʰɔ5	
銳	sø5	
銷	siɔ1	
銹	siɤ5	
銼	tsʰɒk7	
鋁	ly4	
鋇	ɓe5	
鋒	hoŋ1	
鋤	zɿ2	～头
鋥	zã6	
鋪	pʰu1	
鋮	zəŋ2	
鋰	li4	
鋸	ke5	～子
鋼	kɒ̃1	
錄	lok8	
錐	tsɿ1	【白读】尖头工具：～钻
錐	tsø1	【文读】～体
錙	tsɿ1	
錛	ɓəŋ1	
錠	di6	
錢	zi2	姓
錢	di2	铜～，洋～（钱）；几～（多少钱）。俗写作“钿”
錦	tɕin3	
錨	mɔ2	
錫	siɪʔ7	
錮	ku5	
錯	tsʰu5	
錯	tsʰiɔ1	本字或为“差”
錯	tsʰɒk7	摩擦：～屄（性交）；～气（讨厌）；～火（发怒）；～祭（吃，带有贬义）。俗作“肏”
錶	ɓiɔ1	手～
鍋	ku1	
鍍	du6	
鍘	zæʔ8	
鍛	ɗø5	
鍥	tɕʰiɪʔ7	ch
鍬	tsʰiɔ1	
鎂	me3	
鎖	su3	
鎚	zɿ2	【白读】棒～
鎢	βu1	
鎧	kʰe3	
鎬	ɦɔ4	～京（古都名，在今陕西西安）
鎬	kɔ3	挖土的工具：洋～
鎮	tsəŋ5	
鏈	li6	
鏊	ŋɔ6	
鏍	lu2	
鏐	liɤ2	
鏓	tsʰoŋ1	
鏗	kʰəŋ1	
鏘	tsʰiã1	
鏟	tsʰɛ3	
鏡	tɕiʌŋ5	
鏢	ɓiɔ1	
鐐	liɔ2	
鐐	liɔ6	
鐘	tsoŋ1	
鐧	kɛ5	
鐮	li2	
鐲	zɒk8	
鐵	tʰiɪʔ7	
鐸	dɒk8	
鑄	tsy5	
鑊	βɒk8	
鑊	tɕiɒk7	
鑑	kɛ5	【白读】
鑑	tɕi5	【文读】
鑠	zɑk8	【文读】
鑫	ɕin1	
鑰	ɦiɑk8	
鑲	siã1	
鑲	ɕiã1	
鑷	ȵiɪʔ8	
鑼	lu2	
鑽	tsø1	～洞
鑽	tsø5	～石；～头
鑽	tsʰø5	～子
鑿	zɒk8	
長	tsã3	生～
長	zã2	与短、矮相对：～短
門	məŋ2	
閂	se1	
閃	se3	
閃	ɕi3	霍～（闪电）
閆	ɦi2	
閉	ɓi5	
開	kʰe1	
閏	ȵin6	【白读】～月
閏	zəŋ6	【文读】
閒	ɦɛ2	【白读】～话
閒	ɦi2	【文读】休～
間	kɛ1	【白读】房～
間	tɕi1	【文读】空～
間	kɛ3	【白读】间隔
間	tɕi3	【文读】～断
閘	zæʔ8	
閣	kɒk7	
閨	kue1	
閩	min4	
閬	lɒ̃6	
閭	li2	【白读】阖～（古地名）
閱	ɦyœʔ8	
閹	i1	
閻	ȵi2	
閿	βəŋ2	
闊	kʰuəʔ7	
闌	lɛ2	
闔	ɦəʔ8	
闖	tsʰɒ̃3	
關	kuɛ1	
闢	pʰiɪʔ7	
闥	dæʔ8	窗～（上为窗，下为闼）
閔	min4	
阪	ɓɛ3	
阮	ȵyø4	
防	bɒ̃2	
阻	tsu3	
阿	βu1	～胶；～弥陀佛
阿	ɑ1	人称前缀：～姨
阿	æʔ7	人称前缀：～姐；～哥；～叔；～三
陀	du2	
陂	ɓi1	池塘，水岸，山坡
陂	bi2	黄～（湖北地名）
陂	pʰu1	～陀
附	βu6	
陋	lɤ6	
陌	mɑk8	
降	kɒ̃5	【白读】～落
降	tɕiã5	【文读】～落
降	ɦɒ̃2	投～
限	ɦɛ4	
陝	se3	
陡	ɗɤ3	
院	ɦyø6	
陣	zəŋ6	
除	zy2	
陪	be2	
陰	in1	
陳	zəŋ2	
陳	zy2	～墓（江苏昆山地名）
陵	lin2	
陶	dɔ2	
陷	ɦɛ6	【白读】
陷	ɦiɛ6	【文读】
陸	lok8	
陽	ɦiã2	
隄	di2	
隅	ȵy2	
隆	loŋ2	
隊	de6	
隋	zø2	
隍	βɒ̃2	
階	tɕiɑ1	【文读】～段
階	kɑ1	【白读】
隑	ɡe6	倚靠
隔	kɑk7	
隘	e5	
隘	kɑ5	多见于宁波地名
際	tsi5	
障	tsɒ̃5	
隧	zø6	
隨	zø2	
險	ɕi3	
隰	ziɪʔ8	
隱	in3	
隴	loŋ4	
隸	di6	
隻	tsɑk7	量词
隽	zi4	～永
隽	tsin5	～秀
雀	tsiɑk7	麻～
雀	tsiã1	“雀”的儿化音：麻～
雁	ŋɛ6	【白读】
雁	ɦi6	【文读】
雄	ɦioŋ2	
雅	iɑ3	【文读】
集	ziɪʔ8	
雌	tsʰɿ1	
雍	ioŋ3	
雕	ɗiɔ1	
雖	sø1	
雙	sɒ̃1	
雛	zu2	
雜	zəʔ8	
雞	tɕi1	
離	li2	
難	nɛ2	
雨	ɦy4	
雪	siɪʔ7	
雯	βəŋ2	
雲	ɦyn2	～朵；～彩
零	lin2	
雷	le2	
雹	bɒk8	
電	di6	
需	sy1	
霄	siɔ1	
震	tsəŋ5	
震	tsin5	～泽（太湖的别称，江苏吴江地名）
霉	me2	
霍	hɒk7	
霎	sæʔ7	
霏	ɸi1	
霜	sɒ̃1	
霞	iɑ1	【文读】
霧	βu6	
露	lu6	
霸	ɓo5	
霹	pʰiɪʔ7	
霽	tsi5	
霾	mɑ2	【白读】
霾	me2	【文读】
靂	liɪʔ8	
靈	lin2	
青	tsʰin1	
靖	zin4	
靚	zin6	～妆
靚	liã6	～妹。粤语俗字
靜	zin4	
非	ɸi1	
靠	kʰɔ5	
靡	mi4	
面	mi6	
面	mi6	～孔
靨	iɪʔ7	
革	kɑk7	【白读】～职。调节仪器，转台
革	kʌk7	【文读】～命
靴	ɕiu1	
靶	ɓo3	
鞋	ɦɑ2	
鞍	ø1	
鞏	koŋ3	
鞠	tɕiok7	
鞭	ɓi1	
韁	tɕiã1	
韌	ȵin6	【白读】不脆，常指糕、饼等食物受潮
韌	zəŋ6	【文读】～带
韓	ɦø2	
韭	tɕiɤ3	
音	in1	
韶	zɔ2	
響	ɕiã3	
頁	ɦiɪʔ8	y
頂	ɗin3	
頃	tɕʰiʌŋ3	
項	ɦɒ̃4	
順	zəŋ6	
須	sy1	【文读】
須	su1	【白读】
頌	zoŋ6	
預	ɦy6	
頑	ŋuɛ2	
頒	ɓɛ1	
頓	ɗəŋ5	
頔	diɪʔ8	
頗	pʰu1	
領	lin4	
頭	dɤ2	
頸	tɕiʌŋ3	
頹	de2	
頻	bin2	
顆	kʰu1	
題	di2	
額	ŋɑk8	
顎	ŋɒk8	
顏	ŋɛ2	
願	ȵyø6	
顛	ɗi1	
類	le6	
顥	ɦɔ4	
顧	ku5	
顫	tse5	
顯	ɕi3	
顱	lu2	
顴	dʑyø2	
風	hoŋ1	
颱	de2	～风
颼	sɤ1	
飄	pʰiɔ1	
飆	ɓiɔ1	
飛	ɸi1	
食	zʌk8	
飢	tɕi1	
飩	dəŋ2	
飪	zəŋ6	
飯	βɛ6	
飲	in3	
飴	zin2	～糖
飴	ɦi2	
飼	zɿ6	
飽	ɓɔ3	
餃	tɕiɔ3	
餅	ɓin3	
餉	ɕiã5	
養	ɦiã4	
餐	tsʰø1	
餐	tsʰe1	
餑	bəʔ8	
餓	ŋu6	
餘	ɦy2	剩～
餛	βəŋ2	
餜	ku3	
餡	ɦɛ4	【白读】
餡	ɦi4	【文读】
館	kue3	
餮	tʰiɪʔ7	
餵	y5	【白读】～饭
餵	βe5	【文读】～养；叹词
餿	sɤ1	
饃	mu2	
饅	me2	
饊	sɛ3	油～子
饋	ɡue6	
饌	ze6	
饒	ȵiɔ2	
饕	tʰɔ1	
饞	zɛ2	
饢	nɒ̃2	
首	sɤ3	
馗	dʑy2	【白读】钟～
香	ɕiã1	
馥	ɦok8	
馬	mo4	【白读】
馬	mɑ4	【文读】
馬	mɑ1	【文读】～虎
馭	ȵy6	
馮	ɦoŋ2	
馱	du2	
馳	zɿ2	
馴	zin2	
駁	ɓɒk7	
駐	tsy5	
駒	tɕy1	
駕	kɑ5	【白读】接～；接～桥（江苏苏州地名）；腾～桥（上海浦东地名）
駕	tɕiɑ5	【文读】～驶
駛	sɿ3	
駝	du2	
駟	sɿ5	
駭	ɦe4	
駿	tsin5	
騁	tsʰəŋ3	
騎	dʑi2	～马
騎	dʑi6	坐～
騏	dʑi2	
騷	sɔ1	
騖	βu6	
騙	pʰi5	
騫	tɕʰi1	
騰	dəŋ2	
騾	lu2	
驅	tɕʰy1	
驍	ɕiɔ1	
驐	ɗəŋ1	
驗	ȵi6	
驚	tɕiʌŋ1	
驛	ɦiʌk8	
驟	zɤ6	
驢	lu2	
驢	ly2	
驥	tɕi5	
驪	li2	
骨	kuəʔ7	
骯	ɒ̃1	～三（品质差，令人不快或失望）
骰	dɤ2	
骷	kʰu1	
骼	kɑk7	
髈	pʰɒ̃3	蹄～
髏	lɤ2	
髒	tsɒ̃1	肮～
體	tʰi3	
髕	bin4	
髖	kʰue1	
高	kɔ1	
髮	ɸæʔ7	
鬆	soŋ1	～紧；放～；肉～
鬟	ɡuɛ2	
鬢	ɓin5	
鬥	ɗɤ5	
鬧	nɔ6	
鬮	tɕiɤ1	
鬱	yœʔ7	忧～；～闷；～～葱葱
鬹	kue1	
鬼	tɕy3	【白读】
鬼	kue3	【文读】装神弄～；～迷心窍
魁	kʰue1	
魂	βəŋ2	
魄	pʰɑk7	
魅	me6	
魍	mɒ̃4	
魎	liã4	
魏	ŋue6	
魑	tsʰy1	
魔	mu2	
魘	i5	
魚	ŋ̍2	【白读】
魚	ɦy2	【文读】木～
魨	dəŋ2	
魯	lu4	
魷	ɦiɤ2	
鮁	ɓəʔ7	
鮁	bæʔ8	
鮎	ȵiɑ2	
鮑	bɔ4	
鮫	kɔ1	
鮮	si1	
鯉	li4	
鯊	siɔ1	
鯗	siã3	
鯤	kʰuəŋ1	
鯧	tsʰɒ̃1	
鯨	dʑin2	
鯪	lin2	
鯰	ȵiɑ2	
鯽	tsiɪʔ7	
鰍	tsʰiɤ1	
鰓	se1	
鰣	zɿ2	
鰥	kuɛ1	
鰭	dʑi2	
鰲	ŋɔ2	
鰻	me2	
鰾	biɔ4	
鱉	ɓiɪʔ7	
鱔	ze4	
鱗	lin2	
鱟	hɤ5	虹
鱷	ŋɒk8	
鱸	lu2	
鳥	ɗiɔ3	
鳥	ȵiɔ3	模仿北方官话的发音
鳩	tɕiɤ1	
鳳	ɦoŋ6	
鳳	boŋ6	～仙花
鳴	min1	
鴉	ɔ1	【白读】老～；水老～；～鹊
鴉	iɑ1	【文读】～片；涂～
鴕	du2	
鴨	æʔ7	
鴻	ɦoŋ2	
鴿	kəʔ7	
鵑	tɕyø1	
鵝	ŋu2	
鵠	ɦok8	
鵡	βu4	
鵪	e1	
鵬	bã2	
鵮	kʰɛ1	
鵲	tsʰiɑk7	
鶉	zəŋ2	
鶥	me2	
鶩	βu6	
鶯	iʌŋ1	【文读】
鶴	ŋɒk8	
鶴	βu2	白～江（上海青浦地名）
鶻	βəʔ8	
鷂	ɦiɔ6	
鷗	ɤ1	
鷯	liɔ2	
鷲	ziɤ6	
鷹	iʌŋ1	
鷺	lu6	
鸚	ã1	【白读】～哥（鹦鹉）
鸚	iʌŋ1	【文读】～鹉
鸞	lø2	
鹵	lu4	
鹹	ɦɛ2	～味
鹼	kɛ3	
鹽	ɦi2	
鹿	lok8	
麒	dʑi2	
麓	lok8	
麗	li6	
麗	li2	～水（浙江地名）
麝	ziɔ6	
麟	lin2	
麥	mɑk8	
麧	ɦəʔ8	
麴	tɕʰiok7	
麵	mi6	～食
麩	ɸu1	
麻	mo2	
麼	iɔ1	
麼	mu4	
黃	βɒ̃2	
黃	ɸɒ̃1	蛋～
黎	li2	
黏	ȵi1	
黑	hʌk7	
黔	dʑi2	
默	mʌk8	
點	ɗi3	
黟	i1	
黢	tsʰəʔ7	很黑，很暗：～黑；墨～黑；～～黑
黨	ɗɒ̃5	
黯	e5	
鼎	ɗin3	
鼓	ku3	
鼠	tsʰɿ3	
鼬	ɦiɤ6	
鼴	i3	
鼻	bəʔ8	
齊	zi2	
齋	tsɑ1	
齒	tsʰɿ3	
齣	tsʰəʔ7	一～戏
齦	ȵin2	
齦	kʰəŋ5	
齪	tsʰɒk7	
齲	tɕʰy3	
齶	ŋɒk8	
齷	ok7	
齡	lin2	
龍	loŋ2	
龐	bɒ̃2	
龜	tɕy1	【白读】乌～
龜	kue1	【文读】李～年
龜	tɕyn1	
龠	ɦiɑk8	
𡰪	ɗok7	女阴
𢶍	səʔ7	俗作“圾”
