#漢字	音標	解釋#('wuu_th_shj_sz_ltc', '淸末蘇州話', '淸末蘇州', '#0000FF,#4D4D4D', None, None, '版本：2.0(2022-01-03)<br>來源：樛木整理自《一百年前的蘇州話》、《蘇州同音字彙1892》、《鄉音字類》<br>說明：加*的漢字表示[ʐ][dʐ]歸屬、陽上陽去歸屬缺乏直接資料，以區分這兩者的蘇州行政區劃內的方吳語爲基準。', '44 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,51 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,523 5 3a 陰去 ꜄,312 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇')
澘	sᴇ1	
澠	ʐən2	
澡	tsæ3	
澣	uø3	
澤	dzəʔ8	
澤	zəʔ8	
澥	ho3	
澦	ɦy6	
澧	li4	
澨	ʐʯ6	
澩	ɦioʔ8	
澮	kʰuᴇ5	
澱	diɛ6	
澳	æ5	～洲
澳	ioʔ7	
澴	ɦuɛ2	
澶	dʐø2	
澹	dɛ2	
澹	dɛ4	
澼	pʰiəʔ7	
澾	tʰaʔ7	滑裡滑～
激	tɕiəʔ7	
濁	dʐoʔ8	
濂	liɛ2	
濃	ȵioŋ2	～茶
濆	vən2	
濈	tsʰiəʔ7	
濉	sᴇ1	
濕	ʂəʔ7	
濘	ȵiɪn6	
濛	moŋ2	細雨～～
濞	bi6	
濟	tsi5	
濠	ɦæ2	城～
濡	ʐʯ2	
濤	dæ2	
濩	ɦᵊu6	
濫	lɛ6	
濬	siɪn5	
濮	boʔ8	
濯	dʐoʔ8	
濰	vi2	
濱	piɪn1	
濺	tsiɛ1	
濺	tsiɛ5	
濺	zɛ6	～得一身个泥。非本字，正字疑爲“灒”
濼	liəʔ8	
瀁	ɦiã6	
瀆	doʔ8	木～
瀉	dzɑ6	
瀉	siɑ5	水～，水很快流去
瀋	ʂən3	
瀌	piæ1	
瀏	l𐞢ʏ2	客人～脫哉
瀐	tsiɛ1	
瀑	boʔ8	～布
瀕	piɪn1	
瀘	lᵊu2	
瀚	ɦø6	
瀛	ɦiɪn2	
瀝	liəʔ8	竹～
瀟	siæ1	
瀡	sᴇ3	
瀣	ɦiɑ6	
瀦	tʂʯ1	
瀧	ʂɑ̃1	
瀨	lᴇ6	
瀰	mi2	
瀰	mi4	
瀱	tɕi5	
瀲	liɛ4	
瀺	zɛ2	～唾
瀼	ʐã2	
瀾	lɛ2	
灃	foŋ1	
灋	faʔ7	
灌	kuø5	澆～
灎	ɦiɛ6	
灑	sɑ3	～掃
灑	sᴇ3	
灒	zɛ6	～得一身个泥
灘	tʰɛ1	唱～簧
灘	tʰᴇ1	
灛	tʂʰø3	
灝	ɦæ4	
灣	uɛ1	
灤	lø2	
灨	kø3	
火	hᵊu3	
灯	tən1	
灰	huᴇ1	
灶	tsæ5	
灸	tɕiʏ3	
灸	tɕiʏ3	針～
灸	tɕiʏ5	又音
灺	siɑ3	
灼	tʂɑʔ7	豆～
災	tsᴇ1	～難
灾	tsᴇ1	
炅	tɕioŋ3	
炊	tsʰᴇ1	
炎	ɦiɛ2	
炒	tsʰæ3	～飯
炕	kʰɑ̃5	
炘	ɕiən1	
炙	tʂəʔ7	～骨
炤	tʂæ5	
炫	ɦiø6	
炭	tʰɛ5	
炮	pʰæ1	
炮	bæ2	
炯	tɕioŋ5	
炯	tɕioŋ3	
炰	bæ2	
炳	piɪn3	
為	ɦuᴇ2	
為	ɦuᴇ6	
烈	liəʔ8	
烊	ɦiã2	燒～个哉
烋	hæ1	
烏	ᵊu1	～鵲橋
烕	miəʔ8	
烖	tsᴇ1	
烘	hoŋ1	暖～～
烙	loʔ8	
烜	ɕiø3	
烝	tʂən1	
烤	kʰæ3	～火
烰	v𐞢ʏ2	
烹	pʰən1	
烽	foŋ1	
焄	ɕyən1	
焉	ɦiɛ2	
焌	tsiɪn5	
煥	huø5	顕～
焙	bᴇ6	
焚	vən2	
焜	ɦuən4	
焞	tʰən1	
焠	zᴇ6	
焠	tsʰəʔ7	
無	m̩2	～不：没有
無	vv̩2	
焦	dziæ2	
焦	tsiæ1	心～
焫	siəʔ7	
焮	ɕiən1	
焰	iɛ5	
焰	ɦiɛ6	
焱	iɛ3	
煆	tø5	疑爲“煅”
煆	ho5	～～熱
煇	huᴇ1	
煌	ɦuɑ̃2	
煎	tsiɛ1	～藥
煏	piəʔ7	烘乾
煒	uᴇ3	
煔	sᴇ1	
煖	nø4	～鍋
煖	ɕiø1	
煙	iɛ5	
煙	iɛ1	
煜	ioʔ7	
煞	saʔ7	急～
煠	zɑʔ8	油～檜
煠	zaʔ8	用水或用油把食物煮一下：～蟹
煢	dʑioŋ2	
煤	mᴇ2	硬～
煥	huø5	
煦	ɕy3	和～
煦	ɕy5	又音
照	tʂæ5	
煨	uᴇ1	
煩	vɛ2	
煬	ɦiã2	
煮	tʂʯ3	
煲	pæ1	～一～
煽	ʂø1	～惑人心
煽	ʂø5	又音
熄	siəʔ7	
熇	hoʔ7	
熊	ɦioŋ2	姓
熏	ɕyən1	
熒	ɦioŋ2	
熙	ɕi1	
熛	piæ1	
熝	toʔ7	
熟	ʐoʔ8	生～
熠	ɦiəʔ8	
熨	ɦyən6	～斗
熨	yəʔ7	
熬	ŋæ2	～膏藥
熯	hø5	
熱	ʐəʔ8	文讀
熱	ȵiəʔ8	白讀
熲	tɕioŋ3	
熸	tsiɛ1	
熹	ɕi1	
熺	tʂʯ5	
熾	tʂʯ5	
燀	tʂʰø3	
燁	ɦiəʔ8	
燂	ziɛ2	
燃	ʐø2	～燒
燅	ziɛ2	
燈	tən1	～柱
燉	tən1	～～熟
燉	tʰən1	
燋	tsiæ5	
燋	tsiæ1	
燎	liæ4	
燎	liæ6	
燐	liən2	
燒	ʂæ1	
燔	vɛ2	
燕	iɛ5	～子
燙	tʰɑ̃5	～手
燜	mən6	
燜	mən1	燜～
營	ɦiɪn2	
營	ɦioŋ2	
燠	ioʔ7	
燥	sæ3	又音
燥	sæ5	乾～
燦	tsʰɛ5	
燦	tsʰᴇ5	
燧	zᴇ6	
燬	huᴇ3	
燭	tʂoʔ7	
燮	siəʔ7	
燹	siɛ3	
燻	ɕyən1	～魚
燼	tsiən5	
燾	dæ6	
爆	pæ5	～眼睛；～炒米花
爆	boʔ8	
爉	lɑʔ8	
爍	ʂɑʔ7	閃閃～～
爐	lᵊu2	風～
爓	ziɛ2	
爗	ɦiəʔ8	
爚	ɦiɑʔ8	
爛	lɛ6	
爝	ziɑʔ8	
爞	dʐoŋ2	
爟	kuø5	
爨	tsʰø5	分～
爪	tsæ3	腳～
爬	bo2	
爭	tsã1	
爭	tsən1	
爮	bæ2	聲調類推，《字彙》：蒲交切，音庖。
爰	ɦiø2	
爲	ɦuᴇ6	
爲	ɦuᴇ2	
爵	tsiɑʔ7	
父	vv̩6	
爸	pɑʔ7	
爹	tiɑ1	阿～
爺	ɦiɑ2	
爺	iɑ1	～娘。今讀陽平
爻	ɦiæ2	
爽	ʂɑ̃3	
爽	ʂã3	人逢好事精神～
爽	sɑ̃3	白讀
爾	əl4	
爿	bɛ6	
牁	kʰᵊu1	
牂	tsɑ̃1	
牆	dziã2	
牆	ziã2	
片	pʰiɛ5	
版	pɛ3	
牉	pʰø5	
牋	tsiɛ1	
牌	bᴇ2	文讀
牌	bɑ2	白讀
牏	tʰ𐞢ʏ1	
牐	zaʔ8	
牒	diəʔ8	
牓	pɑ̃3	肩～
牕	tʂʰɑ̃1	
牖	ɦiʏ4	
牘	doʔ8	尺～
牙	ŋɑ2	白讀
牙	ɦiɑ2	文讀
牙	iɑ1	
牛	ȵiʏ2	
牝	biɪn4	
牝	biɪn6	
牟	m𐞢ʏ2	
牡	mæ4	～丹
牡	m𐞢ʏ4	
牢	læ2	
牧	moʔ8	～羊
物	məʔ8	白讀：～事
物	vəʔ8	
牮	tsiɛ5	～房子
牲	sã1	白讀：衆～
牲	sən1	
牷	tsʰiɛ1	
特	dəʔ8	～别
牼	kʰən1	
牽	tɕʰiɛ1	～牛
牿	koʔ7	
犀	si1	～角
犁	li2	
犂	li2	
犄	i1	
犆	dəʔ8	
犍	dʑiɛ2	
犒	kʰæ5	
犖	loʔ8	
犚	ɦuᴇ6	
犛	mæ2	
犠	ɕi1	
犢	doʔ8	小牛
犤	bi2	
犩	ŋuᴇ2	
犫	dʐ𐞢ʏ2	
犬	tɕʰiø3	
犬	tɕʰiø1	
犯	vɛ4	～人
犴	ŋø6	
狀	ʐɑ̃6	
狀	dʐɑ̃6	
狁	yən3	
狂	ɡuɑ̃2	～妄
狃	ȵiʏ4	
狄	diəʔ8	姓
狎	aʔ7	
狎	ɦiaʔ8	
狐	ɦᵊu2	～狸精
狒	fi5	
狗	k𐞢ʏ3	
狠	ɦən4	
狠	hən3	
狡	tɕiæ3	～滑異常
狩	ʂ𐞢ʏ5	
狴	bi4	～犴
狷	tɕiø5	
狸	li2	
狹	ɦiaʔ8	文讀
狹	ɦɑʔ8	
狹	ɦaʔ8	白讀：～窄
狺	ȵiɪn2	
狺	ȵiən2	
狻	sø1	
狼	lɑ̃2	黃～
狽	pᴇ5	
猊	ȵi2	
猖	tʂʰã1	～獗
猗	i1	
猘	tʂʯ5	
猙	tsən1	
猛	mã4	白讀：～將
猛	mən3	
猜	tsʰᴇ1	
猝	tsʰəʔ7	倉～
猢	ɦᵊu2	
猨	ɦiø2	
猩	siɪn1	～～
猪	tʂʯ1	
猫	mæ2	
猭	tʰø5	
猱	næ2	
猲	tɕiəʔ7	
猲	ɕiəʔ7	
猴	ɦ𐞢ʏ2	
猶	ɦiʏ2	～之乎
猷	ɦiʏ2	
猻	sən1	
猾	ɦuɑʔ8	
猾	ɦuaʔ8	
猿	ɦiø2	
獃	tᴇ1	
獄	ȵioʔ8	監～
獄	ŋoʔ8	
獅	sɿ1	～子
獎	tsiã3	
獎	tsiã3	～賞
獐	tsɑ̃1	
獒	ŋæ2	
獝	ɦyəʔ8	
獧	tɕiø1	
獨	doʔ8	
獪	kuᴇ5	
獫	ɕiɛ3	
獬	ɦiᴇ6=	(書)
獬	ho3	
獮	siɛ3	
獮	siɛ5	
獯	ɕyən1	
獰	nən2	
獲	ɦuəʔ8	
獳	n𐞢ʏ2	
獵	laʔ8	白讀：打～
獵	liəʔ8	
獶	næ2	
獸	ʂ𐞢ʏ5	野～
獹	lᵊu2	
獺	tʰaʔ7	水～
獻	ɕiɛ5	
獼	mi2	
獾	huø1	
玀	lo2	豬～～
玁	ɕiɛ3	
玄	ɦiø2	
率	səʔ7	～領
率	liəʔ8	速～
玈	lᵊu2	
玉	ȵioʔ8	白讀
玉	ŋoʔ8	
王	ɦuɑ̃2	姓
玎	tiɪn1	
玕	kø1	
玖	tɕiʏ5	
玖	tɕiʏ3	
玗	y1	
玟	miɪn2	
玠	tɕiɑ5	
玤	boŋ4	
玦	tɕyəʔ7	
玩	ɦuø6	游～
玫	mᴇ2	～瑰花
玲	liɪn2	～瓏
玳	dɑ6	白讀
玷	tiɛ3	
玷	tiɛ5	
玷	tʂø5	
玻	pu1	～璃
玼	tsʰɿ3	
珀	pʰɑʔ7	白讀
珀	pʰəʔ7	
珂	kʰᵊu1	
珈	tɕiɑ1	
珉	miɪn2	
珊	sɛ1	～瑚
珊	sᴇ1	
珌	piəʔ7	
珍	tʂən1	～貴
珍	tsən1	
珏	tɕioʔ7	
珙	koŋ3	
珞	loʔ8	
珠	tʂʯ1	～子
珣	siɪn1	
珥	əl6	
珧	ɦiæ2	
珩	ɦən2	
珪	kuᴇ1	
珫	tʂʰoŋ1	
班	pɛ1	
珵	tʰiɪn1	
珽	tʰiɪn3	
現	ɦiɛ6	
球	dʑiʏ2	地～是圓个
琄	tɕiø3	
琅	lɑ̃2	
理	li4	
琇	s𐞢ʏ5	
琉	l𐞢ʏ2	
琊	iɑ1	
琖	tsɛ3	
琚	tɕy1	
琛	zən2	
琡	ʐoʔ8	
琢	tʂoʔ7	雕～
琢	tsoʔ7	
琤	tsən1	
琥	hᵊu3	
琦	dʑi2	
琨	kʰuən1	
琪	dʑi2	
琫	boŋ4	
琬	uø3	
琮	tsoŋ1	
琯	kuø3	
琰	iɛ3	
琱	tiæ1	
琲	bᴇ6	
琳	liɪn2	
琴	dʑiən2	口～
琵	bi2	
琶	bo2	琵～
琺	faʔ7	～藍
瑀	y3	
瑁	mᴇ6	玳～
瑁	mæ6	
瑅	di2	
瑇	dᴇ4	本音陽去
瑋	uᴇ3	
瑑	dʐø6	
瑕	dø6	疑爲“瑖”
瑕	io1	
瑗	ɦiø6	
瑙	næ4	
瑚	ɦᵊu2	
瑛	iɪn1	
瑜	ɦy2	
瑞	dzᴇ4	
瑞	zᴇ6	
瑟	səʔ7	～～抖
瑣	sᵊu3	
瑤	ɦiæ2	
瑩	ɦioŋ2	
瑪	mo4	
瑰	kuᴇ1	
瑱	tiɛ5	
瑲	tsʰɑ̃1	
瑲	tsʰiã1	
瑳	tsʰᵊu1	
瑴	tɕioʔ7	
瑽	tsoŋ1	
瑾	dʑiɪn6	
璀	tsʰᴇ1	
璂	dʑi2	
璃	li2	
璆	dʑiʏ2	
璈	ŋæ2	
璉	liɛ4	
璊	mən2	
璋	tʂã1	
璐	lᵊu6	
璗	dɑ̃6	
璜	ɦuɑ̃2	
璞	pʰoʔ7	
璠	bø2	
璡	tsiən1	
璣	tɕi1	
璧	piəʔ7	
璨	tsʰɛ5	
璩	dʑy2	
璪	tsæ3	
璫	tɑ̃1	
環	ɦuɛ2	
璲	zᴇ6	
璵	ɦy2	
璿	ziɛ2	
瓀	ʐø2	
瓈	li2	
瓊	dʑioŋ2	～州
瓌	kuᴇ1	
瓏	loŋ2	
瓔	iɪn1	
瓘	kuø5	
瓚	tsɛ5	
瓛	ɦuø2	
瓜	kuo1	
瓜	kua1	
瓝	boʔ8	
瓞	diəʔ8	
瓠	ɦᵊu2	
瓢	biæ2	
瓣	pɛ3	
瓤	nɑ̃2	
瓦	ŋuo4	～爿亦有翻身日
瓦	nɡo4	～爿亦有翻身日
瓬	fɑ̃3	
瓴	liɪn2	
瓵	ɦi2	
瓶	biɪn2	油～
瓶	biɪn2	
瓷	zɿ2	
瓻	tʂʰʯ1	
瓿	pʰ𐞢ʏ1	
甃	ts𐞢ʏ5	
甄	tʂən1	
甆	zɿ2	～器。同”瓷“
甋	tiəʔ7	
甌	𐞢ʏ1	
甍	mən2	
甎	tʂø1	
甏	bã6	酒～
甐	liən6	
甑	tsən5	
甒	vv̩4	
甓	pʰiəʔ7	
甔	tɛ1	
甖	iən1	
甗	ȵiɛ6	
甘	kø1	
甚	ʐən6	
甜	diɛ2	
甝	hɛ1	
生	sã1	白讀：先～
生	sən1	文讀：一條～路
甡	sən1	
甡	siɪn1	
產	tsʰɛ3	～業
甥	sã1	白讀：外～
甥	sən1	
甦	sᵊu1	
甦	siɪn1	
用	ɦioŋ6	
甩	huɛ5	濫～
甪	loʔ8	～直鎮
甫	fv̩3	
甬	ioŋ3	指寧波
甯	ȵiɪn2	
甯	ȵiɪn6	
田	diɛ2	租～
由	ɦiʏ2	
甲	kaʔ7	白讀：盔～；～子
甲	kɑʔ7	
甲	tɕiəʔ7	
甲	tɕiaʔ7	文讀
申	ʂən1	姓
男	nø2	～人
甸	diɛ6	
町	tʰiɪn1	
町	tʰiɪn3	
甽	tɕʰiø1	
畀	bi6	
畇	ɦyən2	
畋	diɛ2	
界	kɑ5	白讀：世～
界	tɕiɑ5	文讀
畎	tɕʰiø1	
畏	uᴇ5	
畔	bø6	
留	l𐞢ʏ2	
畚	pən3	撮垃圾：垃圾～～脫。今讀陰平。
畛	tʂən3	
畜	tʂʰoʔ7	六～
畜	ɕioʔ7	～牧
畝	m𐞢ʏ4	
畝	m̩4	白讀：三～田
畟	tsʰəʔ7	
畢	piəʔ7	姓
畤	ʐʯ4	
略	liɑʔ8	
畦	ɦi2	菜～
畧	liɑʔ8	
番	fɛ1	經一～長一智
畫	ɦuɑʔ8	一點一～
畫	ɦuo6	～圖
畫	ɦo6	～～先生
畬	ɦy2	
畮	m𐞢ʏ4	
畯	tsiɪn5	
異	ɦi6	
當	tɑ̃1	
畷	tʂʰəʔ7	
畸	dʑi2	
畹	uø3	
畽	tʰən3	
畿	dʑi2	
疀	tsʰaʔ7	
疁	l𐞢ʏ2	
疆	tɕiã1	此～彼界
疇	dʐ𐞢ʏ2	
疈	piəʔ7	
疊	diəʔ8	
疋	nɡo2	
疋	pʰiəʔ7	
疎	sᵊu1	
疏	sᵊu1	～通
疐	tʂʯ5	
疑	ȵi2	
疔	tiɪn1	
疕	pʰi3	
疙	kəʔ7	～瘩
疚	tɕiʏ5	
疝	sɛ5	
疢	tʂʰən5	
疤	po1	～瘢
疥	kɑ5	白讀：癩～瘡（疥瘡）
疥	tɕiɑ5	
疫	ɦyəʔ8	
疰	tʂʯ5	～夏
疲	bi2	
疳	kø1	
疵	tsʰɿ1	
疷	ti1	
疸	tɛ3	黃～病
疹	tʂən3	出～子
疼	tʰoŋ5	疑爲“痛”的誤記，該字本音爲[dən223]
疽	tsi1	
疾	dziɪʔ8	
疾	ziəʔ8	
痀	dʑy2	
痁	tiɛ5	
痂	tɕiɑ1	
痄	tso5	
病	biɪn6	
症	tʂən5	
痊	dziɛ2	
痊	tsʰiɛ1	
痌	tʰoŋ1	
痍	ɦi2	
痎	kᴇ1	
痏	uᴇ3	
痒	ɦiã2	
痓	ʐʯ6	
痔	ʐʯ4	～瘡
痕	ɦən2	～跡
痗	mᴇ6	
痘	d𐞢ʏ6	
痙	tɕiɪn1	
痛	tʰoŋ3	
痞	pʰi3	～棍
痞	pʰiəʔ7	～塊
痟	siæ1	
痠	sø1	
痡	fv̩1	
痢	li6	～疾
痣	tʂʯ5	
痣	tsʰɿ5	
痤	tsʰᵊu1	
痤	tsʰᵊu5	
痧	so1	吞～
痯	kuø3	
痰	dɛ2	～盂
痱	vi2	
痳	mo2	
痴	tʂʰʯ1	～子
痹	bi6	
痻	miɪn2	
痼	kᵊu5	
痾	ᵊu1	
痿	uᴇ1	
痿	uᴇ3	
瘀	y1	
瘁	zᴇ6	
瘃	tʂoʔ7	
瘇	tʂoŋ3	
瘋	foŋ1	
瘏	dᵊu2	
瘐	y3	
瘞	i5	
瘙	tsæ5	
瘚	tɕyəʔ7	～得去
瘝	kuɛ1	
瘟	uən1	～疫
瘠	tsiəʔ7	
瘡	tʂʰɑ̃1	
瘢	pɛ1	疤～
瘣	huᴇ3	
瘤	l𐞢ʏ2	
瘥	tsʰᵊu1	
瘦	s𐞢ʏ5	
瘧	ȵiɑʔ8	～疾
瘩	taʔ7	
瘯	tsʰoʔ7	
瘰	lᴇ4	
瘳	tʂʰ𐞢ʏ1	
瘴	tʂã5	
瘵	tsᴇ5	
瘸	ɡua2	一蹺一～
瘺	l𐞢ʏ6	
瘻	l𐞢ʏ6	
瘼	moʔ8	
瘽	dʑiən2	
療	liæ6	
癃	loŋ2	
癆	læ6	
癆	læ2	
癇	tɕiɛ1	
癈	fi5	
癉	tɛ1	
癉	tɛ3	
癑	noŋ2	
癖	pʰiəʔ7	
癙	tʂʰʯ3	
癟	piəʔ7	～螺痧
癠	tsi5	
癠	tsi3	
癡	tʂʰʯ1	
癢	ɦiã4	
癤	tsiəʔ7	瘡～
癧	liəʔ8	
癨	hoʔ7	
癩	lɑ6	白讀
癩	lᴇ6	
癬	siɛ3	
癭	iɪn3	
癯	dʑy2	
癰	ioŋ1	
癱	tʰɛ1	
癲	tiɛ1	瘨
癸	kuᴇ3	
登	tən1	
發	faʔ7	
白	bəʔ8	～相
白	bɑʔ8	～落落
百	pɑʔ7	白讀
百	pəʔ7	
皁	zæ4	
皂	zæ4	～隸
皂	dzæ6	
的	tiəʔ7	
皆	tɕiɑ1	
皇	ɦuɑ̃2	
皈	pɛ3	
皈	kuᴇ1	
皋	kæ1	～橋
皎	tɕiæ3	
皐	kæ1	
皓	ɦæ4	
皖	ɦuø4	
皙	siəʔ7	
皚	ŋᴇ2	
皜	kæ3	
皝	huɑ̃3	
皞	ɦæ4	
皤	bu2	
皦	tɕiæ3	
皪	liəʔ8	
皫	pʰiæ3	
皭	ziɑʔ8	
皮	bi2	～襖
皴	tsiɪn1	
皵	tsʰiɑʔ7	
皸	tɕyən1	
皺	ts𐞢ʏ5	面孔上个～襇
皻	tʂɑ1=	(書)
皽	tʂø3	
皿	miɪn4	
盂	y1	缽～
盃	pᴇ1	
盅	tʂoŋ1	酒～
盆	bən2	
盈	ɦiɪn2	
益	iəʔ7	有～
盋	pəʔ7	
盌	uø3	
盍	ɦəʔ8	
盎	ɑ̃5	
盎	ɑ̃1	
盒	ɦəʔ8	～盤
盔	kʰuᴇ1	
盜	dæ6	强～
盛	zã6	白讀：姓
盛	ʐən6	文讀：茂～
盛	dʐən6	
盝	loʔ8	
盟	mən2	
盡	dziən6	
盡	ziən4	～心竭力
監	kɛ1	～牢
監	kɛ5	
監	tɕiɛ1	
監	tɕiɛ5	
盤	bø2	
盥	kuø5	
盦	ø1	
盧	lᵊu2	姓
盧	li2	
盩	tʂ𐞢ʏ1	
盪	dɑ̃6	
盬	kᵊu3	
盭	li6	
目	moʔ8	
盱	ɕy1	
盲	mã2	白讀：捉～～
盲	mɑ̃2	
直	dʐəʔ8	曲～
相	siã1	
相	siã5	
盻	i5	
盼	pʰɛ5	～望
盾	dən4	
省	sã3	白讀：～儉
省	siɪn3	
眂	ʐʯ6	
眄	miɛ6	
眇	miæ4	
眈	tø1	
眉	mᴇ2	文讀
眉	mi2	白讀：～毛
眊	mæ6	
看	kʰø5	
看	kʰø1	
眎	ʐʯ6	
眕	tʂən3	
眙	ɦi2	
眚	sã3	白讀
眚	sən3	
眛	mᴇ6	
眛	miəʔ8	
眞	tʂən1	
真	tʂən1	～假
眠	miɛ2	
眢	iø1	
眣	diəʔ8	
眨	sɑʔ7	
眨	saʔ7	～～眼睛。本音
眩	ɦiø6	頭～
眴	ʂən5	
眵	tsʰɿ1	眼～。
眵	tsɿ1	
眶	kʰuɑ̃5	
眶	tɕʰiã1	
眷	tɕiø5	親～
眸	m𐞢ʏ2	～子
眹	dʐən4	
眺	tʰiæ5	
眼	iɛ3=	(書)
眼	ŋɛ4	～睛
眼	ɦiᴇ4	
着	tʂɑʔ7	～衣裳
着	dʐɑʔ8	
睅	ɦuɛ4	
睆	uø3	
睇	di6	
睊	tɕiø5	
睍	iɛ3	
睏	kʰuən5	～覺
睞	lᴇ6	
睔	kuən1	
睕	uø3	
睘	dʑioŋ2	
睚	ɦiɑ2	
睛	tsiɪn1	
睛	ziɪn4	據《集韻》：疾郢切
睜	tsən1	
睟	zᴇ6	
睡	zᴇ6	
睢	sᴇ1	
督	toʔ7	
睤	bi6	
睦	moʔ8	
睨	ȵi6	
睩	loʔ8	
睪	ɦiəʔ8	
睫	ziəʔ8	
睼	di2	
睽	ɡuᴇ2	
睾	kæ1	
睿	zᴇ6	
瞀	m𐞢ʏ4	
瞄	miæ2	～準
瞇	mi1	悄～眼做撥瞎子看
瞋	tʂən1	
瞌	kʰəʔ7	
瞍	s𐞢ʏ3	
瞎	haʔ7	～説
瞑	miɛ6	
瞑	miɪn2	
瞞	mø2	
瞟	pʰiæ3	～眼
瞠	tsʰən1	
瞧	dziæ2	
瞪	dən2	類推音
瞪	dən6	類推音
瞫	tʂʰən1	
瞫	ʂən3	
瞬	ʂən5	
瞭	liæ6	
瞰	kʰø5	
瞳	doŋ2	
瞷	tɕiɛ5	
瞹	ᴇ5	
瞻	tʂø1	～仰
瞼	tɕiɛ3	眼～毛
瞽	kᵊu3	
瞿	dʑy2	姓
矆	hoʔ7	
矇	moŋ2	
矍	tɕioʔ7	～鑠
矏	miɛ2	
矐	hoʔ7	
矑	lᵊu2	
矔	kuø5	
矗	tʂʰoʔ7	～燈，舊時放在官署或官僚家庭大門兩側的一種成對的高腳燈籠
矚	tʂoʔ7	
矛	m𐞢ʏ2	本音
矛	miæ2	～子。音或誤記，今讀mæ2
矜	tɕiɪn1	
矞	ɦyəʔ8	
矟	ʂoʔ7	
矢	ʂʯ3	
矣	i3	
知	tʂʯ1	
矧	ʂən3	
矩	tɕy3	
短	tø3	
矮	ɑ1	
矯	tɕiæ3	
矰	tsən1	
石	ʐəʔ8	文讀
石	zɑʔ8	白讀：①～湖。②姓
矹	ŋəʔ8	
矻	kʰuəʔ7	
矼	kɑ̃1	
砂	so1	硼～
砅	li6	
砆	fv̩1	
砉	ɦuaʔ8	
砌	tsʰi5	～牆頭
砍	kʰø3	
砒	pʰi1	～霜
研	ȵiɛ2	～細
砝	vaʔ8	～碼
砠	tsi1	
砣	dᵊu2	
砥	ti3	
砧	tʂən1	～墩板
砭	piɛ1	
砮	nᵊu4	
砯	piɪn1	
砰	pʰən1	石聲
砲	pʰæ5	
砲	pʰæ1	
破	pʰu5	
硃	tʂʯ1	余～
硈	tɕiəʔ7	
硎	ɦiɪn2	
硜	kʰən1	
硝	siæ1	
硩	tʂʰəʔ7	
硫	l𐞢ʏ2	
硬	ŋã6	白讀：軟～弗詞匀
确	ɦioʔ8	
硯	ȵiɛ6	～瓦
硼	bã2	～砂
碁	dʑi2	
碇	diɪn6	聲調類推：按韻書應讀陰去
碉	tiæ1	
碌	loʔ8	
碍	ŋᴇ6	弗碍个
碎	sᴇ5	
碏	tsʰiɑʔ7	
碑	pᴇ1	
碓	tᴇ5	
碔	vv̩4	
碕	dʑi2	
碗	uø3	飯～
碘	tiɛ3	～酒
碞	ȵiɛ2	
碟	diəʔ8	
碡	doʔ8	碌～
碣	tɕiəʔ7	
碧	piəʔ7	～～緑
碩	ʐəʔ8	
碭	dɑ̃6	
碰	pʰã5	
碰	bã6	
確	tɕʰioʔ7	的～
碼	mo4	
碾	tʂø3	
磁	dzɿ2	
磁	zɿ2	～石
磁	zɿ2	
磅	bɑ̃2	
磅	pɑ̃3	一～。韻書中都讀平聲，故理論音應爲pɑ̃1
磉	sɑ̃3	
磊	lᴇ4	
磋	tsʰᵊu1	
磌	diɛ2	
磐	bø2	
磔	tsəʔ7	
磕	kʰəʔ7	打～銃
磚	tʂø1	
磝	ŋæ2	
磧	tsiəʔ7	
磨	mo2	
磨	mo6	牽～
磬	tɕʰiɪn5	～子
磯	tɕi1	
磲	dʑy2	
磴	tən5	
磷	liən6	
磺	ɦuɑ̃2	硫～
磻	bø2	
磽	tɕʰiæ1	
磾	ti1	
礁	tsiæ1	觸～
礎	tsʰᵊu3	基～
礙	ŋᴇ6	
礦	kuɑ̃5	
礧	lᴇ4	
礪	li6	
礫	liəʔ8	
礬	vɛ2	
礮	pʰæ5	馬後～
礮	pʰæ1	
礱	loŋ2	牽～
礴	boʔ8	
礵	ʂɑ̃1	砒～
示	ʐʯ6	告～
礽	dʐən2	
社	dzo6	
社	ʐɑ6=	(書)
社	ʐ𐞢ʏ4*	～會
礿	ɦiɑʔ8	
祀	zɿ6	
祀	zɿ4	
祁	dʑi2	
祈	dʑi2	
祉	tʂʯ3	
祊	pən1	
祐	ɦiʏ6	
祓	fəʔ7	
祖	tsᵊu3	
祗	tʂʯ1	
祗	dʑi2	
祛	tɕʰy1	
祜	ɦᵊu6	
祝	tʂoʔ7	姓
神	ʐən2	
祟	sᴇ5	鬼鬼～～
祠	zɿ2	～堂
祡	zᴇ2	
祥	dziã2	
祥	ziã2	
祧	tʰiæ1	兼～子
票	pʰiæ5	～子
祭	tsi5	
祲	tsiən5	讀音據《廣韻》推導
祲	tsiɪn1	
祼	kuø5	
禁	tɕiən5	～止
禄	loʔ8	
禋	iɪn1	
福	foʔ7	
禔	tʂʯ1	
禕	i1	
禖	mᴇ2	
禚	tʂɑʔ7	
禛	tʂən1	
禜	ɦioŋ2	
禡	mo6	
禦	ɦy4	
