#漢字	音標	解釋
蜂	pʰɔŋ1	
蜂	hɔŋ1	
蠟	ləʔ8	
蠅	ieŋ1	
融	iɔŋ2	
螺	lø2	
蟆	hɔ2	虾~
蟋	ɕiəʔ7	
蟹	hai6	
蠓	mø2	~虫,原文记作蚊
血	ha3	
血	haʔ7	
行	ã2	~为
街	kai1	
衡	hᴀŋ2	
衣	i1	
表	pieu3	
衫	se1	
襖	ɔ3	
袋	dø6	
袜	məʔ8	
被	bø6	名
裁	za2	~缝
裁	ze2	~衣
裝	tsɔ̃1	
裙	ɡuᴀŋ2	
裙	dʑiɔŋ2	
褲	kʰu5	
褥	zəʔ8	
西	sai1	
見	tɕi5	
角	kɑu5	动物的
角	kəʔ7	
解	kai3	~开
言	ȵi2	
認	ȵieŋ6	
討	tʰɑu3	
討	tʰɔ3	
讓	ʑiã6	
讓	ȵieu5	
訓	ɕiɔŋ5	
記	tsɿ5	
講	kɔ̃3	
許	ɕy3	
識	ɕiəʔ7	
訴	sɿ5	
訴	su5	
詞	zɿ2	
詩	sɿ1	
話	o6	
誦	sɔŋ5	
請	tɕiã3	
讀	dəʔ8	
謀	mɑu2	
謝	ʑi6	
謬	mieu6	
譚	de2	
譜	pu3	
譜	pʰu3	
豆	dɔ6	
豪	hɑu2	
豪	hɔ2	
貌	mɔ̃6	
財	dza2	发~
財	dze2	~主
責	tsəʔ7	
賢	i2	
敗	bai6	
賬	tiɔ̃5	
貨	fu5	
貪	tʰø1	
貧	bieŋ2	
貼	tʰəʔ7	
貴	kuai5	
賊	zəʔ8	
贓	tsɔ̃1	
資	tsɿ1	
賒	tɕi1	
賭	tu3	
賠	bø2	
賽	se5	
贊	tse5	
贏	iã2	
走	tsɔ3	
趙	dʑieu6	
起	tsʰɿ3	
越	iəʔ8	
足	tsəʔ7	
趾	tsɿ3	
跌	tʰiəʔ7	
跟	kᴀŋ1	
跪	ɡuai6	
路	lu6	
踏	dəʔ8	
踢	tʰiəʔ7	
身	ɕieŋ1	
車	tsʰo1	汽~
軒	ɕi1	
轉	tɕy3	~身
