#漢字	音標	解釋
#簡稱	/	淸末溫州
#全稱	/	淸末溫州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,331 2 1b 陽平 ꜁,45 3 2a 陰上 ꜂,34 4 2b 陽上 ꜃,42 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,223 7 4a 陰入 ꜆,112 8 4b 陽入 ꜇
#版本	/	2021-10-21
#錄入人	/	阿纓
#參考資料	/	《淸末溫州方言音系研究》《溫州方言入門》
#說明	/	
瑙	nɜ4	
瑚	vu2	
瑜	ɦy2	
瑞	ʑiɿ6	
瑟	sai7	
瑣	so3	
瑤	jiɛ2	
瑩	jiaŋ2	～光
瑩	jyʊŋ2	
瑪	mo4	
瑭	dɔ2	
瑰	kʋai1	～寶
瑰	kʋai5	玫～
璀	tsʰai3	
璃	li2	
璆	dʑiau2	
璜	ɦɔ2	
璞	pʰo7	
璠	va2	
璦	ʔe5	
璧	pi7	
璨	tsʰa5	
璩	dʑy2	
璪	tsɜ3	
璫	tɔ1	
環	va2	
環	ɡʋa6	門～
璽	si3	
瓊	dʑyʊŋ2	
瓏	lʊŋ2	
瓔	ʔjiaŋ1	
瓖	sie1	
瓜	ko1	
瓠	vu6	
瓢	biɛ2	
瓣	pʰa5	
瓤	sie1	
瓦	ŋo4	
瓪	pø3	女子生殖器詈稱
瓶	biŋ2	
瓷	zɿ2	
瓿	bai2	安～
甄	tsaŋ1	
甍	mɛ2	
甑	tsiŋ5	
甕	ʔʊŋ5	
甘	kø1	
甙	de6	
甚	zaŋ4	
甜	die2	
生	sɛ1	
產	tsʰa3	
甥	sɛ1	
甦	sʉ1	
用	jyɔ6	
甫	fu3	
甬	ʔjyɔ3	
甬	jyɔ4	
田	die2	
由	jiau2	
甲	ka7	
申	saŋ1	～时
申	siŋ1	～冤
電	die6	
男	nø2	
甸	die6	
畫	ɦʋa8	一点一～
畀	pi5	
畋	die2	
界	ka5	
畎	tɕʰye3	
畏	ʔʋai5	
畏	ʔy5	
畔	bø6	
畔	bø4	
留	liu2	
畜	tɕʰiu7	～生
畜	ɕiu7	畜牧
畝	mɜ4	
畢	pie7	
略	liɛ8	
畦	ji2	
番	fa1	
番	fa5	一～
番	pʰø1	～禺
畫	va8	筆～
畫	ɦo6	
異	ji6	
當	tɔ1	
當	tɔ5	典～
畿	dʑiɿ2	
疃	tʰø3	
疆	kɔ1	
疆	tɕie1	
疋	pʰi7	
疏	su1	
疏	su5	
疑	n2	
疑	ŋ2	疑心
疑	ȵi2	
疔	tiŋ1	
疚	tɕiau5	
疝	sa5	
疣	jiau2	
疤	po1	
疥	ka5	
疫	jye8	
疫	jy8	
瘡	tɕʰyɔ1	
疲	bi2	
疵	tsʰɿ1	
疵	zɿ2	
疸	ta3	
疹	tsaŋ3	
疼	daŋ2	
疽	tsɿ1	
疾	zai8	
痂	ko1	
痄	tso5	
病	biŋ6	
症	tsiŋ5	
痊	ʑye2	
痊	tɕʰye1	
痍	ji2	
痔	dzɿ4	
痕	ɦaŋ2	
痕	ɦø2	
痘	diu6	
痛	tʰʊŋ5	
痞	bi4	
痡	pʰu1	
痢	li6	
痣	tsɿ5	
痤	zo2	
痧	so1	
痰	da2	
痱	fi5	
痲	mo2	
痹	pi5	
痼	ku5	
痾	ʔu1	
瘁	zai6	
瘃	tɕyo7	
瘉	ɦy6	痊～
瘊	ɦau2	
瘋	hʊŋ1	
瘐	ɦy4	
瘓	hye5	
瘕	ko3	
瘚	dʑye8	
瘟	ʔye1	
瘠	tsi7	
瘡	tsʰɔ1	
瘡	tɕʰyɔ1	楊梅～，梅毒
瘤	liu2	
瘥	zo2	
瘦	sau3	
瘧	ȵia8	
瘩	ta7	
癱	tʰa1	
瘰	lai4	
瘴	tsie5	
瘵	tsa5	
瘸	dʑye2	
瘺	lau6	
瘼	mo8	
瘼	mu8	
癀	ɦɔ2	
療	liɛ2	
癆	lɜ2	
癇	ɦa2	
癉	ta3	風疹
癉	ta1	
癌	ŋa2	
癒	ɦy6	
癖	pʰi7	
癗	lai4	瘡癤
癘	li6	
癡	tsʰɿ1	
癤	tsie7	
癥	tsiŋ1	《玉篇》“腹結病也”
癩	la8	
癩	la6	
癬	sie3	
癰	ʔjyɔ1	
癱	tʰa1	
癲	tie1	
癸	tɕy3	
登	taŋ1	
發	ho7	
白	ba8	
百	pa7	
皂	zɜ4	
的	ti7	
皆	ka1	
皇	ɦɔ2	
皈	kʋai1	
皋	kɜ1	
皎	tɕiɛ3	
皎	kɔ3	
皓	ɦɜ4	
皖	va4	
皖	ʔʋa3	
皚	ŋe2	
皤	bu2	
皮	bi2	
皰	pʰɔ5	
皴	tɕʰyʊŋ1	
皴	tsʰø1	
皸	tɕyʊŋ1	
皺	tsau5	
皿	miŋ4	
盂	ɦy2	
盅	tɕyʊŋ1	
盆	bø2	
盈	jiaŋ2	
盉	vu2	
益	ʔjiai7	
盍	ɦø8	
盎	ʔɔ5	
盞	tsa7	
鹽	jie2	名词
鹽	jie6	动词, 腌
監	ka1	收～
監	ka5	太～
盒	ɦø8	
盔	kʋʰai1	
盤	bø2	
盛	ziŋ2	
盛	ziŋ6	茂～
盜	dɜ6	
盞	tsa3	
盟	miŋ2	
盡	zaŋ4	
監	ka1	牢～
監	ka5	太～
盤	bø2	
盥	kye5	
盦	ʔø1	
盧	lʉ2	
盪	dɔ4	
盬	ku3	
目	mu8	
目	mo8	
盯	tiŋ1	
盱	ɕy1	
盲	mɛ2	
直	dzi8	
相	sie1	～伴
相	sie5	～貌
盼	pʰa5	
盾	dʑyʊŋ4	
省	sɛ3	
省	siŋ3	～親
眄	mie4	
眈	ta1	
眉	mi2	
眊	mɜ6	
看	kʰø5	～顾
眙	tsʰɿ5	|看
眚	sɛ3	
真	tsaŋ1	
眠	mie2	
眥	zɿ6	
眨	tsa7	
眩	jye6	
眯	ʔmi1	
眶	tɕʰyɔ1	
眷	tɕye5	
眸	mɜ2	
眼	ŋa4	
眼	ʔŋa3	一～兒，一點兒
眼	ʔŋa1	～～，兒童稱眼睛
眾	tɕyʊŋ5	
着	tɕia7	动词，穿
着	dʑia8	靠～
睃	so1	
睉	zo2	～眼，晃眼
睏	kʰye5	
睚	ŋa2	
睛	tsiŋ1	
睜	tsɛ1	
睞	le6	
睟	sai5	
睡	zai6	
督	tu7	
睥	bi6	
睦	mu8	
睦	mo8	
睨	ȵi6	
睬	tsʰe3	
睿	zai6	
瞀	mɜ6	
瞄	miɛ2	
瞌	kʋʰai7	
瞍	sau3	
瞎	ha7	
瞑	miŋ2	
瞒	mø2	
瞖	ʔi5	
瞘	kʰau1	
瞙	mo8	～瞊，瞎
瞞	mø2	
瞟	pʰiɛ1	
瞠	tsʰɛ1	
瞥	pʰie7	
瞧	tɕʰiɛ1	
瞪	taŋ1	
瞪	tʰaŋ5	
瞬	ɕyʊŋ5	
瞭	liɛ6	～望
瞭	liɛ4	明～
瞭	ʔliɛ3	～解
瞰	kʰa5	
瞳	dʊŋ2	
瞻	tsie1	
瞽	ku3	
瞾	tɕiɛ5	
瞿	dʑy2	
矐	ho7	
矗	tɕʰyo7	
矚	tɕyo7	
矛	mɔ2	
矜	tɕiaŋ1	
矢	sɿ3	
矣	ji4	
知	tsɿ1	
矧	saŋ3	
矩	tɕy3	
矬	zo6	
短	tø3	
矮	ʔa3	
矯	tɕiɛ3	
石	zi8	
石	ta5	量詞
磯	tɕiɿ1	
矽	tɕy1	
砂	so1	
砌	tsʰi7	
砍	kʰø3	
砑	ŋo6	
研	ŋa2	～成粉
研	ȵie2	
砝	ho7	
砟	dzo6	
砟	zo6	
砦	dza6	
砧	tsaŋ1	
破	pʰa5	
破	pʰʉ5	
砵	pø7	
砸	tsa7	
砹	ŋe6	元素名
硃	tɕiɿ1	
硌	lo8	
硝	ɕiɛ1	
硤	ɦa8	～石，地名
硨	tsʰo1	
硫	liu2	
硬	ŋɛ6	
硭	mɔ2	
確	kʰo7	
硯	ȵie6	
硼	bʊŋ2	
碉	tiɛ1	
碌	lu8	
碌	lo8	
碎	sai5	
碑	pai1	
碓	tai5	
碗	ʔye3	
碘	tie3	
碣	dʑie8	
碧	pi7	
碩	zi8	
碫	tø5	～磨
碬	ko3	
碭	dɔ6	
碰	pʰʊŋ5	
碰	bɛ6	白
鹼	ka5	
碳	tʰa5	
碴	tso1	
確	kʰo7	
碼	mo4	
碾	ȵie6	
碾	ȵie4	
磁	zɿ2	
磅	bɔ2	～秤
磉	sɔ3	
磊	lai4	
磋	tsʰu1	
磐	bø2	
磔	tsa7	
磕	kʋʰai7	
磕	kʰai7	
磚	tɕye1	
磡	kʰø5	田～
磧	tsi7	
磨	mʉ2	
磨	mʉ6	石～
磬	tɕʰiaŋ5	
磷	liŋ2	
磺	ɦɔ2	
磻	bø2	～溪，地名
磽	kʰɔ1	
礁	tɕiɛ1	
礅	tø3	石～
礌	lai6	
礎	tsʰu3	
礎	tsʰɿ3	磉礎
礙	ŋe6	
礤	tsʰa7	
礦	kʰɔ5	
礫	li8	
礬	va2	
礱	lʊŋ2	
礴	bo8	
示	zɿ6	
禮	li4	
社	zi4	
礿	ʑia8	
祀	zɿ4	
祁	dʑiɿ2	
祆	ɕie1	
祈	dʑiɿ2	
祉	tsɿ3	
祊	pɛ1	
祖	tsʉ3	
祚	dzo6	
祚	zo6	
祛	tɕʰy1	
祜	vu4	
祝	tɕiu7	
神	zaŋ2	
祟	ɕiɿ5	
祠	zɿ2	
祥	zie2	
票	pʰiɛ5	
祭	tsi5	
禱	tɜ3	
禍	ɦʋu4	
祺	dʑiɿ2	
祼	kye5	
祿	lu8	
禀	piŋ3	
禁	tɕiaŋ5	
禁	tɕiaŋ1	
禍	vu4	
福	fu7	
禖	mai2	
禦	ȵy6	
禧	ɕiɿ3	～年
禧	ɕiɿ1	
禪	zie2	
禪	zie6	
禮	li4	
禱	tɜ3	
禹	ɦy4	
离	li2	
禽	dʑiaŋ2	
禾	vu2	
禿	tʰu7	
秀	siu5	
私	sɿ1	
秉	piŋ3	
秋	tsʰiu1	
種	tɕyɔ3	名词
種	tɕyɔ5	动词
科	kʰu1	
秒	miɛ4	
秘	pi7	
秘	mi8	
租	tsʉ1	
秣	mø8	
秤	tsʰiŋ5	
秦	zaŋ2	
秧	ʔie1	
秩	dzai8	
秫	jye8	
積	tsie7	
稱	tsʰiŋ1	～赞
秸	ka1	
移	ji2	
稀	ɕiɿ1	～奇
稂	lɔ2	
稃	fu1	
稅	ɕiɿ5	
稈	kye3	
程	dziŋ2	
稍	sɔ1	
稗	ba6	
稚	dzɿ4	
稞	lai4	糖～，大麥
稞	kʰu1	
稟	piŋ3	
稠	dziu2	
種	tɕyɔ3	～子
種	tɕyɔ5	～田
稱	tsʰiŋ1	
稱	tsʰiŋ5	
稷	tsi7	
稹	tsaŋ3	拥挤
稻	dɜ4	
稼	ko5	
稽	tɕiɿ1	
稿	kɜ3	
穀	ku7	
穄	tsi5	
穆	mo8	
穆	mu8	
穇	tɕʰiaŋ3	～子: 稗草
積	tsi7	
穎	jiaŋ4	
穗	ʑiɿ6	
穡	se7	
穢	ʔy5	
穩	ʔye3	
穫	ɦo8	
穭	tɕy3	
穮	piɛ1	
穴	jye8	
究	tɕiau5	
窮	dʑyʊŋ2	
穸	zi8	
穹	tɕʰyʊŋ1	
空	kʰʊŋ1	～地
空	kʰʊŋ5	虧～
穿	tɕʰyʊŋ1	穿針
穿	tɕʰye1	
突	dø8	
竊	tsʰie7	
窄	tsa7	
窅	ʔiɛ3	
窈	ʔiɛ3	
窵	tiɛ5	
窑	jiɛ2	
窒	tsai7	
窕	diɛ4	
窖	kɔ5	
窗	tɕʰyɔ1	
窘	dʑyʊŋ4	
窟	kʰu1	
窟	kʰye7	
窠	kʰu1	
窨	ʔjiaŋ5	水～
窩	ʔu1	
窪	ʔo1	
窮	dʑyʊŋ2	
窯	jiɛ2	
窶	tɕy5	
窺	tɕʰy1	
窾	kʰø3	
窿	lʊŋ2	
竄	tsʰø5	
竅	tɕʰiɛ5	
竇	dau6	
立	lie8	
立	li8	～不牢：挺不住
站	dza6	
竟	tɕiaŋ5	
章	tsie1	
竣	tɕyʊŋ5	
童	dʊŋ2	
竦	ɕyɔ3	
竭	dʑie8	
端	tø1	
競	dʑiaŋ6	
竹	tɕiu7	
竽	ɦy2	
竿	kye1	
笄	tɕiɿ1	
笆	po1	
笈	tɕiai7	
笊	tsɔ5	
笏	hye7	
笐	ɦɔ6	竹～
笑	ɕiɛ5	
笙	sɛ1	
笛	di8	
笠	li8	
笠	lie8	
笡	tsʰi1	
符	vʉ2	
笨	baŋ6	
笪	ta7	姓
笫	tsɿ3	
第	di6	
笮	dzo8	～橋，竹索橋
笱	kau3	
笳	ko1	
笸	pʰu3	
籠	lʊŋ4	
筅	sie3	
筆	pie7	
筇	dʑyʊŋ2	
等	taŋ3	
筊	kɔ3	
筋	tɕiaŋ1	
筌	tɕʰye1	
筍	ɕyʊŋ3	
筏	ɦo8	
筐	tɕʰyɔ1	
筒	dʊŋ2	
答	tø7	
答	ta7	
策	tsʰa7	
筘	kʰau5	
筠	jyʊŋ2	
筥	tɕy3	
筦	kye3	
筱	ɕiɛ3	
筲	sɔ1	
筵	jie2	
筷	kʋʰa5	
签	tsʰie1	
箄	ba2	筏
箅	pi5	
箋	tsie1	
箍	ku1	
箎	dzi2	
箏	tsaŋ1	
箏	tsɛ1	
箔	bo8	
箕	tɕiɿ1	
算	sø5	
箜	kʰʊŋ1	
管	kye3	
管	kʋaŋ3	
簫	ɕiɛ1	
箬	ȵia8	
箭	tsie5	
箱	sie1	
箸	dzi6	
節	tsie7	
篁	ɦɔ2	
範	va4	
篆	dʑye4	
篇	pʰie1	
築	tɕiu7	
篌	ɦau2	
簍	lau4	
篙	kɜ1	
篝	kau1	
篡	tsʰø3	
篤	tu7	
篦	bi6	
篩	sa1	～酒、～鑼
篩	sɿ1	
籃	la2	
篰	bʉ4	大眼竹筐
篱	li2	
篳	pie7	
篷	bʊŋ2	
篼	tau1	
篾	mie8	
簀	tsa7	
簇	tsʰu7	
簋	tɕye3	
簍	lau4	
簏	lu8	
簞	ta1	
簟	die4	
簠	fu3	
簡	ka3	
簣	dʑy6	
簧	ɦɔ2	
簪	tsø1	
簫	ɕiɛ1	
簷	jie2	
簸	pu1	名词: ～箕
簸	pu5	动词
簸	pai5	动词
簽	tɕʰie1	
簾	lie2	
簿	bu4	
籀	dzau6	
籃	la2	
籌	dziu2	
籍	zi8	
籜	tʰo7	
籟	la6	
籠	lʊŋ2	
籠	lʊŋ4	箱～
籧	dʑy2	
籪	dø4	
籬	li2	
籮	lu2	
籲	ɦy6	
米	mi4	
籽	tsɿ3	
粉	faŋ3	
粑	po1	
粒	lø8	
粕	pʰo7	
粗	tsʰʉ1	
粘	ʔȵie1	
粟	ɕyo7	
粥	tɕiu7	
糧	lie2	
粱	lie2	
粲	tsʰa5	
粳	tɕiaŋ1	
粳	kɛ1	
粵	jye8	
粹	zai6	
糉	tsʊŋ5	
精	tsiŋ1	
糊	ɦʋu2	
糊	vu2	
糊	vu6	不清
糍	zɿ2	
糕	kɜ1	
糖	dɔ2	
糙	tsʰɜ5	
糜	mi2	
糝	sø7	飯～，飯屑
糞	paŋ5	糞鬥，畚箕
糞	faŋ5	
糟	tsɜ1	
糠	kʰɔ1	
糧	lie2	
糯	nʊŋ6	
糯	no6	
糯	nu6	
糰	daŋ2	饭团
糲	li6	
糴	tʰɛ5	
糶	tʰiɛ5	
系	tɕiɿ5	动词
系	ji6	关～
系	ɕi5	
糾	tɕiau1	
紀	tɕiɿ3	
紂	dziu4	
約	ʔjia7	
紅	ɦʊŋ2	
紇	ɦø8	
紈	jye2	
紉	zaŋ6	
紊	vaŋ6	
紋	vaŋ2	
納	nø8	
紐	ȵiau4	
純	zʊŋ2	
純	jyʊŋ2	
紗	so1	
紙	tsi3	
級	tɕiai7	
紛	faŋ1	
紜	jyʊŋ2	
紝	zaŋ6	
素	su5	～来
素	sʉ5	吃素
紡	hɔ3	
索	so7	
緊	tɕiaŋ3	
紫	tsɿ3	
紮	tsa7	
累	lai4	连～
累	lai2	
累	ʔlai1	～堆：難對付
累	li6	帶累
細	sai3	小
細	sai5	小
細	si5	
紹	jiɛ6	
紺	kø5	
紿	de6	下垂
絀	tɕye7	
終	tɕyʊŋ1	
組	tsu3	
絆	pa5	
絎	ɦɔ2	
結	tɕie7	
絕	ʑye8	
絛	tʰɜ1	
絞	kɔ3	
絡	lo8	
絢	ɕye5	
給	tɕiai7	
絨	zʊŋ2	
絮	ɕiɿ5	
統	tʰʊŋ3	
絲	sɿ1	
絳	kɔ5	
絹	tɕye5	
絺	tsʰɿ1	
綁	pɔ3	
綁	po3	捆人
綃	ɕiɛ1	
綆	kɛ3	
綏	ɕiɿ1	
經	tɕiaŋ1	
綜	tsʊŋ1	
綜	tsaŋ5	織布機上的綜
綠	lo8	
綢	dʑiu2	
綣	tɕye3	
綬	ziu4	
維	ɦy2	
綰	ʔʋa3	
綱	kɔ1	
網	mɔ4	
綴	tɕiɿ5	
綴	tɕye7	
綸	kʋa1	～巾
綹	liu4	
綺	tɕʰiɿ3	
綻	dza6	
綽	tɕia7	
綾	liŋ2	
綿	mie2	
緄	kʋaŋ3	
緊	tɕiaŋ3	
緋	fi1	
緖	ʑiɿ4	
緗	sie1	
緘	ka1	
緙	kʰa7	
線	sie5	
緝	tsʰai7	
緞	dø6	
締	ti5	
緣	jye2	
編	pie1	
緩	jye4	
緬	mie4	
緯	ɕy5	
緱	kau1	
緲	miɛ4	
練	lie6	
緻	tsɿ5	
縉	tsaŋ5	
縐	tsau5	
縑	tɕie1	
縗	tsʰai1	
縛	bʉ6	用草縛的結
縛	ɦo8	
縝	tsaŋ3	
縞	kɜ3	
縟	ʑiu8	
縠	vu8	
縣	jye6	
縫	ɦʊŋ2	動
縫	ɦʊŋ6	名詞
縮	ɕyo7	
縱	tɕyɔ1	
縱	tɕyɔ5	放～
縲	lai2	
縶	tsai7	
縷	lau4	
縹	pʰiɛ3	
總	tsʊŋ3	
績	tsi7	
繁	va2	
繃	pɛ1	棕～
繃	pɛ5	張緊
繆	miɛ2	綢～
繆	miɛ6	
繇	jiau2	
繇	jiɛ2	
織	tsi7	
繗	liŋ6	縫合
繚	liɛ2	
繞	ȵiɛ6	～過去
繞	ȵiɛ4	
繡	siu5	
繩	ziŋ2	
繪	kʋai5	
繭	tɕie3	
繯	va2	
繰	sɜ1	
繰	tɕʰiɛ1	
繳	tɕiɛ3	
繹	jiai8	
繼	tɕiɿ5	
繽	piŋ1	
繾	tɕʰie3	
纂	tsø3	
纊	kʰɔ5	
續	jyo8	
纏	dzie2	
纏	dzie6	
纏	dʑye2	盤～
纓	ʔjiaŋ1	
纔	ze2	
纖	tsʰie1	
纖	sie1	
纘	tsø3	
纛	dɜ6	
纛	du8	
纜	la6	
紅	ɦʊŋ2	
約	ʔjia7	
級	tɕiai7	
紀	tɕiɿ3	
納	nø8	
紝	zaŋ6	灯～: 灯芯
紛	faŋ1	
細	si5	
織	tsi7	
終	tɕyʊŋ1	
經	tɕiaŋ1	
結	tɕie7	
給	tɕiai7	供～
絕	jye8	
統	tʰʊŋ3	
繩	ziŋ2	
綿	mie2	
縋	tsʰi1	用绳子拴住人或东西从上往下送
緣	jye2	
縛	vo8	
縫	vʊŋ6	名词
缶	vɜ4	
缶	dziŋ2	
缸	kɔ1	
缺	tɕʰye7	
缽	pø7	
罄	tɕʰiaŋ5	
罈	da2	
罌	ʔɛ1	
罐	kye5	
网	mɔ4	
罔	ɦɔ4	
罕	hye3	
罕	hø3	
羅	lu2	～马
罘	vɜ2	
罰	vo8	
罟	ku3	
罷	ba4	表完成、 结束:回去～
罩	tsɔ5	
罪	zai4	
罪	ze4	～過
置	tsɿ5	
罰	ɦo8	
署	dʑiɿ4	
罵	ma6	
罵	mo6	
罷	ba4	
罷	bo2	～工；～免
罽	tɕiɿ5	
罾	tsaŋ1	
羅	lu2	
羈	tɕiɿ1	
羊	jie2	
羌	tɕʰie1	
美	mi4	
羑	jiau4	
羔	kɜ1	
羖	ku3	
羝	ti1	
羞	siu1	
羣	dʑyʊŋ2	
羣	dʑyʊŋ2	
羧	so1	
羨	zie6	
義	ŋ6	～塚
義	ȵi6	
羸	lai2	
羹	kɛ1	
羽	ɦy4	
羿	ȵi6	
翁	ʔʊŋ1	
翃	ɦʊŋ2	
翅	tsʰɿ5	
翊	jiai8	
翌	jiai8	
習	zai8	
翕	ɕiai7	
翟	dza8	
翟	di8	
翠	tsʰai5	
翦	tsie3	
翩	pʰie1	
翬	ɕy1	
翮	ka7	
翮	ɦa8	
翯	ho7	
翰	jye6	
翱	ŋɜ2	
翳	ʔi5	
翹	tɕʰiɛ5	～尾巴
翹	dʑiɛ2	～首
翻	fa1	
翼	jiai8	
翾	ɕye1	
耀	jiɛ6	
老	lɜ4	
考	kʰɜ3	
耄	mɜ6	
者	tsɛ3	
者	tse3	
耆	dʑiɿ2	
耇	kau3	
耋	die8	
而	zɿ2	
耍	so3	
耐	ne6	
耐	ŋe6	
耒	lai4	
耕	kɛ1	
耖	tsʰɔ5	
耗	hɜ5	
耘	jyʊŋ2	
耜	zɿ4	
耞	ko1	
耥	tʰɔ3	
耦	ŋau4	
耨	nɜ6	～～動，上下大振幅的振動
耩	kɔ3	
耬	lau2	
耮	lɜ6	
耳	ʑiɿ4	
耳	n4	
耳	zɿ4	
耶	ji2	
耷	ta7	
恥	tsʰɿ3	
耽	ta1	
耿	kɛ3	
聶	ȵie8	
聃	tø1	
聆	liŋ2	
聊	liɛ2	
聾	lʊŋ2	
職	tsie7	
聒	ko7	
聖	siŋ5	
聘	pʰiŋ5	
聚	ʑiɿ4	
聞	vaŋ2	
聰	tsʰʊŋ1	
聯	lie2	
聰	tsʰʊŋ1	
聱	ŋɜ2	
聲	siŋ1	
聳	sʊŋ3	
聳	ɕyɔ3	
聶	ȵie8	
職	tsi7	
聽	tʰiŋ1	
聽	tʰiŋ5	打～
聾	lʊŋ2	
肄	ji6	
肅	ɕiu7	
肆	sɿ5	
肇	dʑiɛ4	
肉	ȵiu8	
肋	le8	
肌	tɕiɿ1	
肓	hɔ1	
肖	ɕiɛ5	生～
肘	tsiu3	
肚	dʉ4	
肚	tʉ3	豬～
肛	kɔ1	
肝	kye1	
腸	dzie2	
股	ku3	
肢	tsi1	
肥	bi2	肥肉
肥	vi2	文
肩	tɕie1	
肪	hɔ1	
肫	tɕyʊŋ1	
肭	nø8	膃～獸
骯	ʔɔ1	
肯	kʰaŋ3	
肱	kɛ1	手～
育	ʔiu7	
肴	ɦɔ2	
肸	ɕiai7	
肺	fi5	
腫	tɕyɔ3	
脹	tsie5	
胃	ɦy6	
胄	dzau6	
胄	dziu6	
膽	ta3	
胈	bo8	
背	pai1	
背	pai5	～后
背	bai6	耳朵～
胍	ko1	
胎	tʰe1	
胖	bø4	
胖	pʰɔ5	
胙	dzo6	
胙	zo6	
胚	pʰai1	
胛	ka7	
勝	siŋ5	
胞	pɔ1	
胠	tɕʰy1	
胡	vu2	
胤	jiaŋ6	
胥	sɿ1	
胥	ɕiɿ1	
胭	ʔie1	
胯	kʰo1	
胱	kɔ1	
胲	ɦe4	
胳	ko7	
膠	kɔ1	
胸	ɕyɔ1	
胹	zɿ2	
胼	bie2	
能	naŋ2	许～界:那时候
能	ʔnaŋ7	这么
脂	tsɿ1	
脅	ɕie7	
脆	tsʰai3	
脆	tsʰai5	
脈	ma8	
脉	ba8	
脊	tsi7	
腦	nɜ4	
脖	bø8	
腳	tɕia7	
脝	hɛ1	膨～
脞	zo4	矮～
脫	tʰai7	白
脫	tʰø7	
脬	pʰɔ1	～兒，男陰
脯	bu2	
脯	fu3	
脫	tʰø7	～爻仇敌(摆脱仇敌)
脫	tʰai7	～爻衣裳
脹	tsie5	
脺	zai6	
脾	bi2	
腆	tʰie3	
腋	jiai8	
腎	zaŋ4	
腐	vʉ6	
腑	fʉ3	
腒	tɕy1	
腓	fi1	
腔	tɕʰie1	
腕	ʔʋa3	
腕	ʔye3	
腠	tsʰau5	
腡	lai2	
腥	siŋ1	
腦	nɜ4	
腩	nø4	
腫	tɕyɔ3	
腮	sɿ1	
腯	dø8	～肥
腰	ʔiɛ1	
腰	ʔiɛ5	褲～
腱	dʑie6	
腳	tɕia7	
腴	ɦy2	
腸	dzie2	
腿	tʰai3	
膀	pʰɔ3	翼～
膀	bɔ2	
膂	lʉ4	
膈	ka7	
膊	po7	
膋	liɛ2	
膏	kɜ1	
膏	kau1	蠣膏
膘	piɛ1	
膚	fʉ1	
膚	fu1	
膛	dɔ2	
膜	mo2	
膜	mu2	
膝	sai7	
膠	kɔ1	
膨	mɛ2	
膩	ȵi6	
膰	va2	
膳	zie4	
膺	ʔjiaŋ1	
膽	ta3	
膾	kʋai5	
膿	nʊŋ2	
臀	dø2	
臂	pi7	
臆	ʔi5	
臉	lie4	
臊	sɜ1	
臌	ku3	水～胀: 水臌，中医指腹水
臍	zi2	
臒	dʑy2	
臟	zɔ6	五～
臗	kʋʰaŋ1	臀～
臘	la8	
臞	dʑy2	
臠	lø2	
臣	dzaŋ2	
臥	ŋ6	
臧	tsɔ1	
臨	liŋ2	
自	zɿ6	
臬	ȵie8	
臭	tsʰiu3	
臭	ɕiau5	
臭	tsʰiu5	
至	tsɿ5	
致	tsɿ5	
臻	tsaŋ1	
臼	dʑiau4	
臾	ɦy2	
舀	ʔiɛ3	
舁	ɦy2	
舂	ɕyʊŋ1	
舂	ɕyɔ1	
舅	dʑiau4	
與	ɦy6	參～
與	ɦy4	
興	ɕiaŋ3	作～
興	ɕiaŋ1	～旺
興	ɕiaŋ5	高～
舉	tɕy3	
舊	dʑiau6	
舌	zie8	
舍	si3	～弃
舍	si5	邻～
舐	dzi4	
舒	ɕiɿ1	
舔	tʰie3	
舔	tʰi3	
舛	tɕʰye3	
舜	ɕyʊŋ5	
舞	vu4	
舟	tsiu1	
舢	sa1	
舨	pa3	舢～
航	ɦɔ2	
舫	hɔ3	
般	pa1	
般	pø1	
般	bø2	
舳	dʑiu8	
舵	du4	
舶	pʰo7	
舶	bo8	
船	ʑye2	
艄	sɔ1	
艇	tʰiŋ3	
艋	mɛ4	
艘	sau1	
艙	tsʰɔ1	
艚	zɜ2	
艦	kʰa3	
艧	ɦo8	
艮	kø5	
良	lie2	
艱	ka1	
艱	ka1	
色	se7	
艽	kɔ1	
艾	ŋe6	
艿	na4	芋～
節	tsie7	
芃	bʊŋ2	
芋	ɦy6	
芍	ʑia8	
芎	tɕʰyʊŋ1	
芒	mʊŋ2	
芒	mɔ2	
芙	vʉ2	
芝	tsɿ1	
芟	sa1	
芣	vɜ2	
芥	ka5	
蘆	dʉ2	
芨	dʑiai8	
芬	faŋ1	
芭	po1	
芮	zai6	
芯	saŋ1	
芰	dʑiɿ4	
花	ho1	
芳	hɔ1	
芷	tsɿ3	
芸	jyʊŋ2	
芹	dʑiaŋ2	
芻	tsʰu1	
芼	mɜ6	
芽	ŋo2	
芾	fi5	
苏	sʉ1	
苑	ʔye3	
苒	zie4	
苓	liŋ2	
苔	tʰe5	舌～
苔	de2	苔蘚
苕	diɛ2	
苗	miɛ2	
苛	kʰu1	
苜	mo8	
苜	mu8	
苞	pɔ1	
苞	bɔ2	
苟	kau3	
苡	ji4	
苣	dʑy4	
若	dʑia8	
若	ȵia8	～個，哪個
若	ʑia8	
苦	kʰu3	
薴	dzi4	
苫	sie1	
英	ʔjiaŋ1	
蘋	biŋ2	
茁	tɕye7	
茂	mɜ6	
茄	kʰa1	雪～
茄	dʑiɿ2	
茅	mɔ2	
茆	mɔ4	
茇	bo8	
茈	zɿ2	鳧～，荸薺
茉	mø8	
茗	miŋ2	
