#漢字	音標	解釋
處	tsʰʋ̩3	
處	tsʰʋ̩5	
備	pʰɤɪ6	
复	fɔʔ7	
夏	ɕiɑ6	文
夕	ɕiəʔ7	文
夕	tɕʰiəʔ8	旧
外	ʋᴇ6	
夙	sɔʔ7	
多	tɘʊ1	
夜	iɑ6	
够	kɤɪ5	
大	tɑ5	文，~小
大	tʰᴇ3	白，~细
大	tʰᴇ6	白，~斧
大	tʰɘʊ6	白，~爹;~滩桥
天	tʰĩ1	
太	tʰᴇ5	
夫	fʋ̩1	
央	iã1	
夯	xã1	
夯	xã3	借字，表示给
失	səʔ7	
頭	tʰɤɪ2	
夷	iᶨ2	
夸	kʰuɑ1	
夾	kɛʔ7	
奪	tʰʊʔ8	
奀	ȵiɑ2	小、少、一点点
