#漢字	音標	解釋
□	moːŋ1	帶黏性的半透明網狀物:lou4-6zou1~(蛛網)|豬腸~(豬網油)
馭	ȵy6	
馮	foŋ4	
馱	tɵ4	
馳	tɕi4	
馴	wan3	
駁	ɓoːk8	
駐	tɕy3	
駑	nu4	
駒	kʰy1	
駔	ɗoːŋ2	居中介紹買賣馬隻的人
駔	tu5	駿馬
駕	kɔ3	
駘	tɔɑ̯i4	
駙	fu6	
駛	ɕai2	白讀
駛	ɕi2	文讀
駝	tɵ4	
駟	ɬi3	
駢	pin4	
駭	ɔɑ̯i5	
駱	loːk8	
駿	ɗan3	
騁	tɕʰeŋ2	
騅	tɕui1	
騍	wɵ3	
騎	kɛ4	~樓;公畜交配時騎跨在母畜背上
騎	ki4	
騏	ki4	
騖	mu6	
騙	pʰin3	
騫	jin1	
騭	tɕat7	
騮	lau1	
騰	taŋ4	
騶	ɗau1	
騷	ɬɘu1	
騸	ɕin3	
騾	lœ4	
驀	ma6	
驁	ŋɘu6	
驂	tʰɒm1	
驃	pʰiu3	
驄	tʰoŋ1	
驅	kʰy1	
驊	wɔ4	
驍	hiu1	
驏	tɕɔɑ̯n5	
驕	kiu1	
驗	nim6	
驗	ȵim6	
驚	keŋ1	
驛	ek9	
驟	ɗau1	
驢	ly4	
驢	lu4	
驤	ɬa1	
驥	kʰi3	
驪	li4	
骨	kʷat7	
骯	oːŋ1	
骰	tau4	
骱	kɔɑ̯t8	
骶	ɗai2	
骷	kʰu1	
骸	ɔɑ̯i4	
骺	au4	
骼	loːk8	
髀	ɓi3	
髁	wɵ1	
髂	kʰɔ3	
髍	mɵ2	
髏	lau4	
髑	tok9	
髒	ɗoːŋ3	
髓	ɬui2	
體	tʰai2	
髕	pan5	
髖	wun1	
高	kɘu1	
髟	ɓiu1	髮長
髟	ɕɒm1	屋翼
髡	kʷʰan1	
髣	foːŋ2	
髦	mɘu1	
髧	ɗam3	下垂
髫	tiu4	
髭	ɗi1	
髮	fɔɑ̯t8	
髯	ȵim4	
髴	fat7	
髹	jau1	
髻	kai3	
鬃	ɗoŋ1	
鬆	ɬoŋ1	
鬈	kÿn4	
鬍	wu4	
鬏	ɗau1	
鬚	ɬu1	
鬟	wɔɑ̯n4	
鬢	ɓan3	
鬣	lɛa̯p10	
鬥	ɗau3	
鬧	nɘu6	
鬩	kʷʰek7	
鬮	kɘu1	
鬯	tɕʰa3	
鬱	wat7	
鬲	lek9	古炊具
鬲	ka2	河流名;通「隔」
鬻	jok9	
鬼	kʷai2	
鬾	ki6	
魁	wui1	
魂	wan4	異讀
魂	wun4	
魃	pɔɑ̯t10	
魄	pʰa2	魂~
魄	poːk10	落~
魅	mi6	
魈	ɬiu1	
魍	moːŋ5	
魎	la5	
魏	ŋai6	
魑	tɕʰi1	
魔	mɵ1	
魘	jim2	
魚	ȵy4	
魯	lu5	
魷	jau4	
鮁	ɓɔɑ̯t8	~魚:一種淡水魚,側扁而嘴大
鮎	nim5	
鮑	ɓɒu1	
鮭	kʷai1	
鮮	ɬin1	
鯁	koːŋ2	
鯉	li5	
鯊	ɕɔ1	
鯝	ku2	
鯨	keŋ4	
鯪	leŋ4	
鯰	nim5	
鯽	ɗak7	
鰍	tʰau1	
鰐	ŋoːk10	
鰓	ɬɔɑ̯i1	
鰥	kʷɔɑ̯n1	
鰭	ki4	
鰻	mɔɑ̯n4	
鱒	ɗÿn1	
鱔	ɕin5	
鱖	kʷai3	
鱗	lan4	
鱷	ŋoːk10	
鱸	lu4	
鳥	ɗᴇɐ̯u1	白讀
鳥	ɗiu2	肏,男子性交的動作。現在一般作「屌」
鳥	niu5	文讀
鳧	fu4	
鳩	kau1	buk7~:班鳩
鳩	tɕau1	白~江:地名,在新墟鎮
鳳	foŋ6	
鳴	meŋ4	
鳶	jÿn1	
鴆	tɕam6	
鴇	ɓɘu2	
鴉	ɔ1	
鴕	tɵ4	
鴛	jÿn1	
鴝	ky4	
鴟	tɕʰi1	
鴣	ku1	
鴦	ja1	
鴨	ɒp8	
鴯	ȵi4	
鴰	kʷɔɑ̯t8	
鴻	oŋ4	
鴿	kɒp8	
鵂	jau1	
鵑	kÿn1	
鵒	kok7	
鵓	pɔɑ̯t10	
鵜	tai4	
鵝	ŋɵ4	
鵠	kok7	
鵡	fu5	
鵪	am1	
鵬	paŋ4	
鵯	ɓi1	
鵰	ɗiu1	
鵲	tʰa2	
鶇	ɗoŋ1	
鶉	tɕʰan1	
鶘	wu4	
鶚	ŋoːk10	
鶥	mi4	
鶩	mok9	
鶯	eŋ1	文讀
鶯	a1	白讀
鶴	oːk10	
鶻	kʷat7	~鷯;~鳩
鶻	wat9	回~
鶼	kim1	
鷂	jiu4	
鷓	tɕɛ3	
鷗	au1	
鷙	tɕi3	
鷚	lau6	
鷥	ɬi1	
鷦	ɗiu1	
鷯	lᴇɐ̯u1	~哥:鳥名,能人言
鷲	tau6	
鷸	jok9	
鷹	eŋ1	
鷺	lu6	
鸌	woːk7	苦~雀:苦惡鳥
鸕	lu4	
鸚	eŋ1	
鸛	kun3	
鸝	li4	
鸞	lÿn4	
鹶	kʰeŋ2	苦~:又苦又鹹
鹹	ɒm4	
鹺	tɵ4	
鹼	kim2	
鹽	jim4	
鹿	lok9	
麂	ki2	
麅	pɒu4	
麇	kʷan1	獐
麇	kʷan4	成羣
麈	tɕy2	
麋	mi4	
麏	kʷan1	
麒	ki4	
麓	lok9	
麕	kʷan1	
麗	lai6	
麝	ɕɛ6	
麟	lan4	
麥	ma6	
麩	wu1	「𣗺」的訓讀,麥麩或豆粕製成的餅,可餵牲畜
麪	min6	
麫	min6	
麴	kʰok7	酒麯
麵	min6	
麻	mɔ4	
麽	mɵ1	
麽	mɵ1	
麾	kʷʰai1	
黃	woːŋ4	
黌	wa4	
黍	ɕy3	
黎	lai4	
黏	nim1	
黑	hak7	
黔	kɛa̯m4	
默	mak9	
黛	tɔɑ̯i6	
黜	tɕʰat7	
黝	jau2	
點	ɗim2	
黟	ji1	
黠	ɔɑ̯t10	
黢	tɕÿt7	
黥	keŋ4	
黧	lai4	
黨	ɗoːŋ2	
黯	ɒm4	
黲	tʰɒm2	
黴	mui4	
黷	tok9	
黹	tɕi2	
黻	fat7	
黼	pʰu2	
黽	ma5	蛙
黽	man5	
黿	ȵÿn4	
鼉	tɵ4	
鼎	ɗeŋ2	
鼐	nɔɑ̯i6	
鼓	ku2	
鼔	ku2	
鼕	ɗoŋ1	
鼗	tɘu4	
鼙	pi4	
鼠	ɕy2	
鼢	fan4	
鼬	jau6	
鼯	ŋ̍4	
鼴	jin2	
鼷	kʰai1	
鼹	jin2	
鼻	pat9	口語:~涕|~屎|~竉|~鼻(bi6)|嶺~
鼻	pi6	
鼽	tɕau4	
鼾	hɔɑ̯n1	
齇	tɕɔ1	
齈	noŋ1	
齉	noːŋ6	
齊	tai4	
齋	tɕɔɑ̯i1	
齎	ɗai1	
齏	ɗai1	
齒	tɕʰi2	
齔	tɕʰan3	
齙	pᴇɐ̯u5	
齜	tɕi1	
齟	ty5	
齠	tiu4	
齡	leŋ4	
齣	tɕʰat7	
齦	ŋan4	
齪	tɕʰoːk7	
齬	ȵy5	
齷	ak7	
龍	loŋ4	
龐	paŋ4	
龔	koŋ1	
龕	hɒm1	
龖	tɒp10	
龘	tɒp10	
龜	kʷai1	
龠	ja6	
鿫	ɘu3	
鿬	tin4	
𠍲	ky4	
𠫾	ɗai2	去
𠱘	ŋek7	
𠸺	ŋek7	
𡃀	ŋɛ2	哭~~
𡯪	woːŋ1	曲脛
𡯭	woːŋ1	曲脛
𡿩	ȵœa̯t8	水流貌
𢉥	ᴇɐ̯t8	擁擠
𢫦	ɓa2	
𢷕	mak7	
𢷕	mau1	
𣎴	ɗan2	用來維持竹竿、傘等物體直立的石座
𤺎	ɕɛ4	搔肚腩肉使發癢
𥅻	tɕʰoŋ1	俗字。見;認爲
𥇲	pʰy2	
𥫗	tɕok7	
𥿪	joːŋ1	織物紕破如網狀
𧊅	kʷɛ2	
𨧀	tu6	
𨨏	ɓɵ1	
𨭆	hak7	
𨭎	hi2	
𩞃	ɕa2	
𩨭	kʰœ2	手足凍僵
𩨷	kʰœ2	手足凍僵
𪐏	tɕʰak7	黐~~
𪥸	mɘu2	「冇好」合音
𮬭	lok9	鳥,來源自壯語roeg。
𱍿	lau1	久
