#漢字	音標	解釋
□	ki5	近指代词
攪	tɕiɔ3	
搓	tsʰo1	
搜	sɛu1	
搞	kɔ3	
搡	sɤ̃3	
搧	ɕi5	
搬	bʏ2	
搭	təʔ7	
攜	ɦi2	
搽	dza2	
攝	ɕieʔ7	
摆	pe3	
摇	ɦiɔ2	
攤	tʰe1	
摔	se5	
摘	tsəʔ7	
摞	lai3	~起来
摩	mo2	~托车
摸	mo1	
摸	mo6	
摹	mu2	~仿
摺	tɕieʔ7	~叠
撇	pʰeʔ7	~开
撑	tsʰʌŋ1	
撒	se3	~手
撕	sɿ1	
撞	tɕyɤ̃5	
撩	liɔ2	~起来
撮	tsʰoʔ7	一~米
操	tsʰɔ1	~作
擎	dʑiŋ2	
擒	dʑiŋ2	
擘	poʔ7	用手~开
擦	tsʰəʔ7	
攀	pʰe1	
攢	tse5	
攘	dʑiɤ̃6	
支	tsɿ1	
收	ɕiɯ1	
改	ke3	
攻	koŋ1	
放	fɤ̃5	
政	tɕiŋ5	
故	ku5	
