#漢字	音標	解釋
彎	van1	
弱	ʐuo5	
彈	tan5	子弹
彈	tʰan2	弹琴
强	tɕʰiaŋ2	
强	tɕʰiaŋ2	勉强，倔强
弼	pi5	
彀	kou5	往上彀
歸	kuei1	
當	taŋ1	当时，应当
當	taŋ5	当作，典当
形	ɕiŋ2	
彩	tsʰai2	
彪	piau1	
彬	piŋ1	
彭	pʰɤŋ2	
影	iŋ2	
彷	faŋ2	彷佛
役	i5	
徹	tʂʰɤ5	
彼	pi2	
往	vaŋ2	
征	tʂɤŋ1	
征	tʂɤŋ1	征求
徑	tɕiŋ5	
待	tai5	
很	xɤŋ2	
律	ly5	
徐	ɕy2	
徒	tʰu2	
得	tɤ2	
徙	ɕi1	
御	y5	
循	ɕyŋ2	
微	vei1	
德	tɤ2	
徽	xuei5	
心	ɕiŋ1	
必	pi5	
憶	i5	
忌	tɕi5	
忍	ʐɤŋ2	
忒	tʰei1	忒杀，忒好
忖	tsʰuŋ5	
志	tsɿ5	
忘	vaŋ5	
忙	maŋ2	
忠	tʂuŋ1	
憂	iou1	
快	kʰuai5	
念	nian5	
忽	xu1	
忿	fɤŋ1	
懷	xuai2	
態	tʰai1	
慫	suɤŋ2	怂恿
慪	ou2	怄气
怒	nu2	
怕	pʰa5	
怖	pu5	恐怖
憐	lian2	
思	sɿ1	
怠	tai5	
急	tɕi2	
性	ɕiŋ5	
怨	yan5	
怪	kuai5	
怯	tɕʰyɤ5	畏怯
怱	tsʰuŋ1	
總	tsuŋ2	
恃	sɿ5	
戀	lian5	
恐	kʰuŋ2	
恆	xɤŋ2	
恕	ʂu2	
恢	xuei1	
恤	ɕy5	
恨	xɤŋ5	
恩	ɤŋ1	
恭	kuɤŋ1	
息	ɕi5	
恰	tɕʰia5	
懇	kʰɤŋ2	
恶	ɤ5	善恶
恶	vu5	恨，可恶
惱	nau2	
悄	tɕʰiau1	静悄悄
悉	ɕi1	
悔	xuei2	
悟	vu5	
悠	iou1	悠悠
患	xuan5	
悦	yɤ5	
懸	ɕyan2	
憫	miŋ2	
悲	pei1	
情	tɕʰiŋ2	
驚	tɕiŋ1	
惑	xuo5	
惜	ɕi1	
惟	vei1	
惠	xuei5	
懼	tɕy5	
慘	tsʰan2	
懲	tʂʰɤŋ2	
慚	tsʰan2	
慣	kuan5	
惰	tuo2	
想	ɕiaŋ2	
惹	ʐɤ2	
愁	tsʰou2	
愈	y5	愈好，病愈
愉	y5	
意	i5	
愚	y2	
感	kan2	
憤	fɤŋ1	
愧	kʰuei2	
願	yan2	
慈	tsʰɿ2	
慌	xuaŋ2	
慎	ʂɤŋ5	
慕	mu5	
慢	man5	
慧	xuei5	
慨	kʰai2	慷慨，感慨
慰	vei1	
慷	kʰaŋ1	慷慨
憋	piɤ1	
憎	tsɤŋ1	
憠	tɕyɤ2	脾气憠
憨	xan1	痴
憾	xan5	
懂	tuŋ2	
懈	ɕiɤ5	
懊	au5	懊恼
懊	au5	懊悔
懶	lan2	
懵	mɤŋ1	懵懂
戈	kɤ1	
戌	ɕy5	
戍	ʂu5	
戎	ʐuŋ2	
戲	ɕi5	
成	tʂʰɤŋ2	
我	ŋɤ2	
戒	tɕiɤ5	
或	xuo5	
戰	tʂan5	
戚	tɕʰi2	
戟	tɕi5	
截	tɕiɤ2	
戳	tʂʰuo1	
戴	tai5	
戶	xu5	
房	faŋ2	
所	ʂuo2	
扁	pian2	
扇	ʂan5	
手	ʂou2	
才	tsʰai2	
扎	tsa5	
扑	pʰu1	
打	ta2	
扔	ʐɤŋ1	
托	tʰuo1	
托	tʰuo1	手承物
扛	kʰaŋ2	
扣	kʰou1	扣住
執	tʂʅ2	
擴	kʰuo1	扩充
掃	sau2	扫地
掃	sau5	扫帚
揚	iaŋ2	
扭	ȵiou2	
扮	pan5	
扯	tʂʰɤ2	
擾	ʐau2	
扳	pan1	
扶	fu2	
批	pʰi1	
扼	ŋɤ5	
扽	tɤŋ5	
找	tsau2	
承	tʂʰɤŋ2	
技	tɕi5	
抄	tsʰau1	略取，抄写
把	pa5	把握，把守，一把
抑	i5	
抓	tsau1	
投	tʰou2	
抖	tou2	
抗	kʰaŋ2	
折	ʂɤ2	弄折了
折	tʂɤ2	折叠
折	tʂɤ2	折断
撫	fu2	
抛	pʰau2	
摳	kʰou1	
搶	tɕʰiaŋ2	
護	xu5	
報	pau5	
披	pʰi1	
抬	tʰai2	
抱	pau5	
抵	ti2	
抹	mɤ2	
抹	ma5	抹布，抹桌子
押	ia5	
抽	tʂʰou1	
抿	miŋ2	
拄	tʂu2	拄拐杖
擔	tan1	担任
擔	tan5	挑担
拆	tsʰai1	开
拇	mu2	
拈	tʂan1	拈起来
拉	la1	
拌	pan5	
拍	pʰai1	
拎	liŋ1	
拐	kuai2	
拒	tɕy5	
拔	pa2	
拖	tʰuo1	
拘	tɕy1	
