#漢字	音標	解釋
㩳	ɕyɔ3	用脚蹬
籍	zɿ8	籍贯
米	mi4	米饭
糴	di8	买进粮食
類	lu6	种类类别
籼	ɕi1	水稻的一种
籽	tsɿ3	菜籽
粉	faŋ3	粉碎
粑	po1	糍粑
粒	lø8	颗粒
粕	pʰo7	糟粕
粗	tɕʰʮ1	粗细
粘	ȵi2	同“黏”
粘	ʰȵi1	胶合
糶	tʰyə5	粜米
粟	ɕyo7	粟米
粤	jy8	广东的简称
粥	tɕiəu7	稀粥
糞	paŋ5-	粪扫,粪箕,粪斗
糞	faŋ5	粪坑
糧	liɛ2	粮食
粲	tsʰa5	洁白
粳	tɕiaŋ1	粳米
粹	zai6	精粹纯粹
粼	ləŋ2	粼粼:水流清澈
糉	tsoŋ5	吃粽
精	tɕiəŋ1	精神
糝	sø3	饭糁:饭粒
糅	ʑiəu2	糅合
糊	wu2	糊涂
糍	zɿ2	糍粑
糕	kə1	松糕
糖	duɔ2	红糖
糙	tsʰə5	粗糙
糜	mi2	糜烂
糟	tsə1	糟糕
糠	kʰuɔ1	米糠
糨	dʑiɛ6	~糊
糯	no6	糯米
系	ji6	係中文係
系	ji6	关系
系	tsɿ5	紧系鞋带
系	ji6	繫连系
紊	vaŋ6	紊乱
素	ɕʮ5-	吃素
素	so5	朴素
索	so7	绳索
緊	tɕiaŋ3	紧张
紫	tsɿ3	紫色
紫	jyoŋ2	萦绕
累	ʰlai1	累堆
累	lai2=	累赘
累	lai4=	累积
累	lai6=	连累
絮	ɕʮ5	棉絮
繁	va2	白蒿
繁	va2	繁荣
繰	tɕʰyə1	~边
纂	tsø3	编辑编纂搏用
纛	də6	开大纛
糾	tɕiau3	纠正
紅	koŋ1	女红
紅	ɦoŋ2	红色
紂	dʑiəu4	纣王
纤	tɕʰi5	縴纤夫
纤	ɕi1	缎纤维
紇	ŋø8	回纥,民族名
約	ʰjia7	节约
級	tɕiai7	等级
紀	tsɿ5	纪律
紉	zaŋ6	缝纫
緯	jʮ4	经纬
紜	jyoŋ2	纷纭
純	zoŋ2	单纯
紕	pʰi1	丝织物稀疏
紗	so1	棉纱
綱	kuɔ1	纲领
納	nø8	出纳
納	na8	译音用字
縱	tɕyɔ5	放纵纵横
綸	laŋ2	涤纶
綸	ka1	纶巾
紛	faŋ1	纠纷
紙	tsɿ3	纸张
紋	vaŋ2	花纹
紡	huɔ3	纺织
紐	ȵiau4	纽约
線	ɕi5	线路
紺	kø5	天青色
練	li6	练习
組	tso3	组织
紳	saŋ1	绅士
細	sɿ5	
細	sai3	小,古方言留下的白读
細	sai5	细姆
織	tsɿ7	纺织
終	tɕyoŋ1	始终
縐	tsau5	绉纱
絆	pa5-	打脚绊个物事园居屋绊人显
絆	bø4=	绊马索
絀	tɕy7	短缺
紹	ʑyə4	介绍
繹	jiai8	演绎
經	tɕiaŋ1	曾经
經	tɕiaŋ5	经线
紿	de4	藤绷给落
綁	puɔ3	捆绑
絨	zoŋ2	绒线
結	tɕi7	团结
絝	kʰu5	纨绔子弟
繞	ȵyə6	线绕起
繞	ȵyə4	绕弯围绕
絎	ɦɛ6	一种缝纫法
繪	wai6	绘图
給	tɕiai7	使对方得到或遭受到
給	tɕiai7	供给
絢	ɕy5	绚丽
絳	kuɔ5	深红色
絡	lo8	笼络
絶	ʑy8	绝对
絞	kuɔ3	绞架
統	tʰoŋ5	统一
絹	tɕy5	丝绢
繡	ɕiəu5	刺绣
綏	ɕʮ1	安抚
絛	tʰə1	丝带
繼	tsɿ5	继承
績	tsɿ7	成绩
緒	ʑʮ4	头绪情绪
續	ʑyo8	连续
綺	tsʰɿ3	有花纹的丝织品
緋	fi1	绯闻
綽	tsʰuɔ1=	抓;提
綽	tsʰə3	绰号
綽	tɕʰia7=	绰绰有余
緄	kaŋ3	~花边
繩	ʑiəŋ2	绳索
維	jʮ2	思维
綿	mi2	绵长
綬	ʑiəu4	丝带
繃	pɛ1	绷儿藤绷
繃	pɛ5	绷紧
綢	dʑiəu2	绸缎
綹	liəu4	丝缕合成的线
綣	tɕʰy3	缱绻
綜	tsoŋ5	织机上梭子通过的装置
綜	tsoŋ1	综合
綻	dza6	破绽绽开
綰	ʰwa3	系挂
綠	lo8	绿色
綴	tɕʮ5	点缀
緇	tsɿ1	缁衣
緙	kʰa7	缂丝:织纬
緘	ka1	捆扎
緬	mi4	缅甸
纜	la4	电缆
緲	myə4	缥缈
緝	tsai7	协调缉合
緝	tsʰai7	通缉
緞	dø6	绸缎
縋	dʑʮ6	以绳拴人或物自上而下
緩	jy4	缓慢
締	di6	缔结缔造
縷	lu4	千丝万缕
編	pi1	编辑
緣	jy6	缘分
緣	jy2	边缘
縛	ɦo8	缚鞋带
縛	bu6	腰缚
縟	ʑiəu8	繁多,琐碎
縝	tsaŋ3	麻缕
縫	ɦoŋ2	缝衣服
縫	ɦoŋ6	裂缝
纏	dʑi2	纠缠缠绕
縭	li2	结~
縊	ʰji5	勒颈而死
繽	pəŋ1	缤纷
縵	mø6	无文饰的缯帛
纓	ʰjiaŋ1	红缨枪
縮	ɕyo7	伸缩
繆	myə6	姓氏
繆	mə2	绸缪
繅	sə1	抽茧出丝
纈	ji8	染花的丝织品
繚	lyə2	缭绕
繕	ʑi6	修缮
繒	ʑiəŋ2	古代丝织品的总称
繮	tɕiɛ1	拴牲口的绳子
繾	tɕʰi3	缱绻:纠缠萦绕
繳	tɕyə3	缴费
缶	fə3	瓦器
缸	kuɔ1	水缸
缺	tɕi7	剑把
缺	tɕʰy7	缺乏
罌	ɛ1	罂壶
罌	ʰjiaŋ1	罂粟
罄	tɕʰiaŋ5	罄竹难书
罐	kø5	罐头
网	muɔ4	网络
罔	muɔ4	置若罔闻
罕	hø3	稀罕,穆罕默德
羅	lo2	罗马
罰	ɦuɔ8	惩罚
罟	ku3	敲罟
罷	bɛ4	吃爻罢
罷	bo4	罢工
罩	tsuɔ5	口罩
罪	zai4	犯罪
置	tsɿ5	布置
署	dʑʮ6	部署专署
羆	pi1	棕熊熊罴
罹	li2	罹难
羈	tsɿ1	羁押
羊	jiɛ2	羊群
羌	tɕʰiɛ1	羌族
美	mi4	美丽
羔	kə1	羔羊
羚	ləŋ2	羚羊
羞	ɕiəu1	害羞
羡	ʑi6	羡慕
群	dʑyoŋ2	群众
羲	sɿ1	伏羲氏
羸	lai2	羸弱
羹	kɛ1	水果羹
羽	jʮ4	羽毛
翁	oŋ1	主人翁
翅	tsʰɿ5	翅膀
翌	jiai8	明日之明
翎	ləŋ2	翎子
翔	ʑiɛ2	飞翔
翹	tɕʰyə5	翘舌音
翟	dzɛ8	姓氏
翟	di8	长尾的野鸡
翠	tsʰai5	青绿色
翡	fi3	翡翠
翥	tɕʮ5	飞举
翦	tɕi3	姓氏
翩	pʰi1	翩翩起舞
翰	ɦø6	文辞翰林
翱	ŋə2	翱翔
翻	fa1	翻身
翼	jiai8	鸟类或昆虫的翅膀机翼
耀	jyə6	光耀
老	lə4	老人
考	kʰə3	考试
耄	mə6	耄蓥
者	tɕiɛ3	或者
耆	dzɿ2	耆宿
而	zɿ2	而且
耍	suɔ3	游玩
耐	ne6	忍耐
耕	kɛ1	耕田
耗	hə5	耗费
耘	jyoŋ2	耕耘
耙	bo2	耙儿
耦	ŋau4	耦合
耨	nau6	耨耕:泛指农活
耪	pʰuɔ3	用锄翻松泥土
耳	ŋ̍4	耳朵
耳	zɿ4=	聂耳
耶	ji2	译音用字耶稣
耶	ji2	语气词
耷	ta7	大耳朵
聳	soŋ1	矗立
聳	ɕyɔ3	耸立
耻	tsʰɿ3	无耻
耽	ta1	耽心
耿	kɛ3	耿直
聶	ȵi8	聂耳
聃	ta1	老聘
聆	ləŋ2	聆听
聊	lyə2	无聊
聾	loŋ2	耳聋
職	tsɿ7	职业
聯	li2	联合
聘	pʰəŋ5	聘请
聚	ʑʮ4	聚集
聰	tsʰoŋ1	聪明
聬	oŋ3	聪聯:耳鸣声
聱	ŋə2	佶屈~牙
聿	jy8	笔的别称
肅	ɕiəu7	严肃
肄	ji6	肄业
肆	sɿ5	作坊
肇	dʑyə4	肇事
肉	ȵiəu8	人或动物的肉体
肋	le8	肋骨
肌	tsɿ1	肌肉
肖	ɕyə1	姓氏
肖	ɕyə5	生肖
肘	tɕiəu3	手肘
肚	tu3	猪肚
肚	du4=	肚皮
肛	kuɔ1	肛门
肝	ky1	心肝
腸	dʑiɛ2	肚肠
股	ku3	股份
肢	tsɿ1	肢体
膚	fu1	皮肤
肥	bi2	
肥	vi2=	肥沃
肩	tɕi1	肩膀
肪	huɔ1	脂肪
肫	tɕyoŋ1	鸡盹
骯	uɔ1	肮脏
肯	kʰaŋ3	肯定
肱	koŋ1	股肱:大腿和胳膊
育	jiəu8	教育
育	huɔ1	病人膏育
肴	kuɔ5	肴配
肴	ɦuɔ2	菜肴
肺	fi5	心肺
腎	zaŋ4	肾脏
腫	tɕyɔ3	肿胀
脹	tɕiɛ5	肿胀
脅	ɕi7	威胁
胃	jʮ6	肠胃
胄	dzau6	甲胄胄裔
膽	ta3	胆量
背	pai1	背心
背	pai5	背部
背	bai6	背诵
胎	tʰe1	胚胎
胖	pʰuɔ5	心宽体胖发胖
胙	zo8	祭祀用酒肉
胚	pʰai1	胚胎
胛	ka7	肩胛
勝	ɕiəŋ5	胜利
胞	puɔ1	同胞
胡	wu2	翳鬍鬚
胡	wu2	胡琴
胤	jiaŋ6	后嗣
胥	ɕʮ3	官府小吏
朧	loŋ2	朦胧
脛	tɕiaŋ5	人的小腿
胭	ʰji1	胭脂
胯	kʰo5	两股之间
胰	ji2	胰腺
胱	kuɔ1	膀胱
胳	ka7	胳肢窝:腋的俗称
胳	ko7	胳膊
胴	doŋ6	胴体:躯干
膠	kuɔ1	橡胶
胸	ɕyɔ1	胸膛
胺	ø5	有机化合物
能	naŋ2	能力
脂	tsɿ1	脂肪
脆	tsʰai5	干脆
脉	mɛ8	脉膊
脊	tsɿ7	背脊
膾	kai5	细切的鱼肉
脏	zuɔ6	臌内脏
脏	tsuɔ1	髒肮脏
臍	zɿ2	肚脐
腦	nə4	脑筋
膿	noŋ2	脓肿
臠	lø2	切成块状的鱼肉
脖	bø8	脖子
脚	tɕia7	手脚
脚	tɕia7-	脚仵
脚	tɕia7	脚色:角色
脯	fu3	果脯
脯	bu2	胸脯
脰	dau6	圆~衫
脱	tʰai5	脱裤
脱	tʰø7	脱离
腡	lai2-	指纹
臉	li4	脸色
脾	bi2	脾气
腆	tʰiɛ3	丰厚腼腆
臘	la8	腊月
腋	jiai8	腋下
腌	ʰji1	用盐、糖等浸渍食物
腐	vu6-	腐败
腐	vu4	腐薛
腑	fu3	内脏器官
腔	tɕʰiɛ1	腹腔
腕	ʰjy5	手腕
腚	dəŋ6	臀部
腥	ɕiəŋ1	血腥
腩	nø2	牛腩
腭	ŋo8	口腔的顶壁
腮	se1	两腮
腮	sɿ1-	腮腺
腰	ʰjyə1	裤腰
腱	dʑi6	肌腱
腴	jʮ2	丰腴
腹	fu7	簸部
腺	ɕi5	汗腺
膩	ȵi6	油腻
靦	mi4	害羞貌
騰	daŋ2	奔腾
騰	tʰaŋ1	慢腾腾
腿	tʰai3	大腿
膀	puɔ5	吊膀子
膀	puɔ3	翼膀
膀	pʰuɔ1	膀胱
膀	buɔ2	膀胱
膀	pʰuɔ1	鼓起
膂	lu4	膂力:体力
膈	ka7	横膈膜
膊	po7	胸膊
膏	kə1	雪花膏
臏	pəŋ3	胫骨
膘	pyə1	肥壮
膛	duɔ2	胸膛
膜	mo8	膜瞻
膜	mu2	薄膜
膜	mo8	薄膜
膝	sai7	膝盖
膦	ləŋ6	有机化合物的一类
膨	bɛ2	膨胀
膳	ʑi6	膳食
膺	ʰjiaŋ1	胸臆
膻	ɕi1	像羊肉的气味
臀	dø2	臀部
臂	pi5	手臂
臃	ʰjyoŋ1	臃肿
臆	ʰji7	胸臆
臌	ku3	水臌胀
臣	dzaŋ2	臣子
臧	tsuɔ1	褒扬臧否:善恶,得失
自	zɿ6	自己
臬	ȵi8	箭靶
臭	tɕʰiəu5	乌焦臭
臭	ɕiau5	铜臭
至	tsɿ5	甚至
致	tsɿ5	一致
致	tsɿ5	缴细缀
臻	tsaŋ1	日臻完善
臼	dʑiau4	捣臼
臾	jʮ2	须臾
舀	jyə4	舀水
舅	dʑiau4	舅父
輿	jʮ2	舆论
舌	ʑi8	口舌
舍	sɿ3	捨施舍捨弃
舍	sɿ5	进舍
舐	dzɿ4	以舌取物
舒	ɕʮ1	舒服
舔	tʰiɛ3	舔舌头
舛	tɕʰy3	相违背
舛	tɕʰy1	违背
舜	ɕyoŋ5	尧舜
舞	vu4	跳舞
舟	tɕiəu1	方舟
舢	sa1	舢板
航	ɦuɔ2	航海
舫	huɔ5	并连起来的船只
般	pø1	一般
般	bø2	一般
般	pø7	梵语音译
艦	kʰa3	兵舰
艙	tsʰuɔ1	船舱
舴	tsɛ7	舴艋:小船
舵	du4	船舵
舶	po7	停舶船舶
舶	bɛ8	舶来品
舷	ji2	船舷
舸	ku3	百舸之流
船	ʑy2	船员
艄	suɔ1	艄公
艇	tʰəŋ3	舰艇
艋	mɛ4	舴艋:小船
艘	sau1	用于船只计数
艮	kaŋ5	八卦之一
良	liɛ2	良好
艱	ka1	艰难
色	sai3	色子:骰子
色	se7	颜色
豔	ji6	鲜艳
藝	ȵi6	文艺
艾	sɿ5	仔细
艾	ŋe6	艾青
艾	ko5	衣架
艿	nɛ4	芋艿
節	tɕi7	节约节骨眼
芋	jʮ6	芋艿
芍	ʑia8	芍药
芒	muɔ2	光芒忙果
芙	vu6	芙蓉
芙	vu2=	芙蓉
蕪	vu2	芜杂
芝	tsɿ1	灵芝
芥	kɛ5	芥菜
蘆	lu2	芦苇
芩	dʑiaŋ2	黄芩
芪	dzɿ2	黄芪
芬	faŋ1	芬芳
芭	po1	芭蕾
芮	zai6	姓氏
芯	saŋ1	灯芯
花	ho1	鲜花
芳	huɔ1	芬芳
芸	jyoŋ2	芸香
芹	dʑiaŋ2	芹菜
芽	ŋo2	豆芽
芾	fai7	草木茂盛貌
葦	jʮ4	芦苇
蒼	tsʰuɔ1	苍蝇
苧	dʑʮ4	苎麻
苏	ɕʮ1	苏醒
苑	ʰjy3	花苑
苒	ʑi4	苒苒:草盛貌
苓	ləŋ2	茯苓:药草名
苔	tʰe1	舌苔
苔	de2	青苔
苗	myə2	树苗
苛	kʰu1	苛刻
苜	mu8	苜蓿
苞	puɔ1	含苞欲放
苟	kau3	苟且
若	ʑia8	郭沫若
苦	kʰu3	痛苦
苯	baŋ4	碳氢化合物
英	ʰjiaŋ1	英雄
蘋	bəŋ2	苹果
茁	tɕy7	茁壮
茂	mə6	茂盛
范	va4	姓氏模范
茄	ɡa8	番茄
茄	dzɿ2	茄儿
茄	ko1	雪茄
茅	muɔ2	茅草
茉	mø8	茉莉
莖	tɕiaŋ1	茎秆
蘢	loŋ2	草名,即水荭
塋	jyoŋ2	葬地
茗	məŋ2	茗茶
茜	sɿ1	人名用字
茜	tɕʰi5	茜草
繭	tɕi3	蚕茧
茫	muɔ2	渺茫
茬	dzo2	农作物收割后残留在地里的根茎
茭	kuɔ1	茭笋
茯	vu8	茯苓
茴	wai2	茴香
茵	ʰjiaŋ1	绿茵
茶	dzo2	茶叶
茸	zoŋ2	参茸
茹	ʑʮ2	含辛茹苦
荀	ɕyoŋ1	姓氏
荆	tɕiaŋ1	荆棘
草	tsʰə1	潦草
草	tsʰə3=	青草
薦	tɕi5	推荐
荒	kuɔ1-	荒腔塌板
荒	huɔ1=	饥荒
荔	li6	荔枝
莢	ka7	豆荚
蕎	dʑyə1	荞麦
薈	wai6	草木繁盛貌
薺	zɿ4	荸荠
蕩	duɔ6	放荡震荡
榮	jyoŋ2	光荣
葷	ɕy1	辛味的菜荤菜
滎	jyoŋ2	地名
熒	jyoŋ2	荧光
蕁	zaŋ2	荨麻疹:皮肤病
蓀	sø1	香草名
蔭	ʰjiaŋ1	树荫
蔭	ʰjiaŋ5	遮蔽
藥	jia8	药房
荷	wu2	荷花薄荷
荷	wu4	负菏
荸	bø8	荸荠
荻	di8	一种似芦苇的草
荼	du2	茶毒
莅	li6	莅临
莆	bu2	莆田
莉	li6	茉莉
莎	so1	译音用字
莓	me2	草莓
莘	saŋ1	药草名,即细辛
莘	saŋ1	莘莘学子
莞	kø3	东莞
莞	wa4	莞尔:微笑貌莞尔而笑
莠	jiau4	良莠
莫	mo8	切莫
萊	le2	草名,即藜
蓮	li2	莲花
萵	ʰwu1	莴苣笋
获	wɛ8	獲收获猎捕
获	ɦo8	获收获庄稼
瑩	jyoŋ2	晶莹剔透
鶯	ɛ1	
鶯	ɛ1	~哥
鶯	ʰjiaŋ1	黄莺
蓴	zoŋ2	莼菜
莽	muɔ4	莽撞鲁莽
菁	tɕiəŋ1	菁菁:茂盛
菅	ka1	草营人命
菇	ku1	香菇
菊	tɕiəu7	菊花
菌	dʑyoŋ4	细菌
菏	wu2	菏泽:古泽名
菖	tɕʰiɛ1	莒蒲
菘	soŋ1	蔬菜名
菜	tsʰe5	蔬菜
菟	tʰu5	菟丝
菠	pu1	菠菜
菩	bu2	菩萨
菱	ləŋ2	黄菱
菲	fi1	芳非
菲	fi3	菲薄
菽	ɕiəu7	豆类总称
萃	zai6	出类拔萃
萄	də2	葡萄
萌	mɛ2	萌芽
萍	bəŋ2	浮萍
萎	jʰʮ3	萎缩
蘿	lo2	萝卜
螢	jyoŋ2	萤火虫
營	jyoŋ2	军营
蕭	ɕyə1	姓氏
薩	sa7	拉萨
萱	ɕy1	萱草:忘忧草
萼	ŋo8	花萼
落	la8	丢三落四
落	lo8	堕落
落	lo8	曲艺名莲花落
葆	pə3	永葆青春
著	tɕʮ5	著作
葚	zaŋ4	桑树果实
葛	kø7	姓氏
葡	bu2	葡萄
董	toŋ3	姓氏
葩	pʰo1	花葩
葫	wu2	葫芦
葬	tsuɔ5	埋葬
葱	tsʰoŋ1	洋葱
葳	jʰʮ1	葳蕤
葵	dʑʮ2	向日葵
葺	tsʰai7	修建
蒂	ti5	花蒂
蔣	tɕiɛ3	姓氏
蒙	mʰoŋ1	蒙人
蒙	moŋ2	蒙犯
蒙	moŋ4	蒙古
蒜	sø5	大蒜
蒯	kʰa5	草名
蒲	bu2	莒蒲
蒲	bu2	蒲鞋
蒸	tɕiəŋ1	蒸笼
蒺	zai8	蒺藜
蒿	hə1	蒿草
蓁	tsaŋ1	草木茂盛貌
蓄	ɕiəu7	储蓄
蓉	jyoŋ2	椰蓉
蓑	so1	蓑衣
蓓	bai4	蓓蕾
蓖	pi1	蓖麻
藍	la2	蓝色
鎣	di8	八十为耋
鎣	ʰjiaŋ1	华蓥山:在四川
驀	mo8	跨过
蓬	boŋ2	蓬松
蓿	ɕyo7	首蓿
蔑	mi8	细小
蔓	ma4	瓜蔓,蔓菁
蔓	ma6	蔓延
蔗	tsɿ5	甘蔗
蔚	jʰʮ5	蔚为大观
蔟	tɕʰiəu7	供蚕作茧之蚕蔟
蔡	tsʰa5	姓氏
蔫	ʰji1	食物不新鲜花草枯萎下垂貌
蔬	so1	蔬菜
薔	ʑiɛ2	蔷薇
蔻	kʰau5	豆蔻年华
藹	e5	和蔼
蔽	pi5	蒙蔽
蕃	va2	繁殖
蕈	zaŋ4	香~
蕉	tɕyə1	香蕉
蕊	ʑʮ4	花蕊
蕨	tɕy7	多年生草本植物
蘊	ʰjyoŋ3	蕴藏
蕻	ɦoŋ6	菜~
蕻	ɦoŋ2	雪里~
蕾	lai2	花蕾
薄	bo8	厚薄
薄	po7	细达薄肉
薄	bu6	薄荷
薅	hə1	除去杂草
薇	vi2	蔷薇
薛	sɿ7	姓氏
薨	hoŋ1	驾薨
薪	saŋ1	薪水
薯	ʑʮ6	番薯
薯	dʑʮ6=	马铃薯
薰	ɕyoŋ1	香草名
藉	zɿ6	藉故藉口
藉	zɿ8	藉田
藏	tsuɔ1	藏青
藏	zuɔ6	西藏
藏	zuɔ2	隐藏
藐	myə4	藐视
蘚	ɕi3	苔藓
藕	ŋau4	荷藕
藜	li2	蒺藜
藤	daŋ2	藤椅
藩	va2	曾国藩草名
藩	fa1	篱笆
藻	tsə3	水藻
藿	ho7	藿香
蘑	mu2	蘑菇
蘸	tsa5	将物体浸入水中
虎	fu3	老虎
虜	lo4	俘虏
虐	ȵia8	虐待
慮	lu6	考虑
虔	dʑi2	虔诚
虚	ɕʮ1	虚伪
虞	ȵy2	姓氏
蟲	dʑyoŋ2	昆虫
虬	dʑiau2	传说中一种无角龙
虱	sai7	虱子
虹	ɦoŋ2	彩虹
虺	fai3	蝮蛇一类的毒蛇
虻	muɔ2	牛虻
雖	ɕʮ1	虽然
蝦	ho1	虾儿蚕虾
蝦	ɦo2	蛤蟆
蝕	zɿ8	腐蚀
蟻	ŋa4-	白蚁,虎蚁
蟻	ȵi4=	蚂蚁
螞	mo4	蚂蝶
蚊	maŋ2-	蚊虫,蚊蜿
蚊	vaŋ2=	蚊蝇
蚌	bɛ4	蚌埠
蚌	buɔ4	象鼻蚌
蚍	bi2	蚍蜉
蚓	jiaŋ4	蚯蚓
蠶	zø2	蚕桑
蚜	ŋo2	岈虫
蚝	ɦə2	生蚝
蚣	koŋ1	蜈蚣
蚤	tsə3	跳蚤
蚩	tsʰɿ1	老实
蚪	tau3	蝌蚪
蚯	tɕʰiau1	蚯蚓
蚰	jiau2	蜓蚰螺
蚱	tso5	蚱蜢
蚶	hø1	花蚶
蛀	tɕʮ5	蛀虫
蛄	ku1	蝼蛄
蛆	tɕʰʮ1	蛆虫
蛇	ji2	委蛇
蛇	zɿ2	毒蛇
蛉	ləŋ2	螟蛉
蠱	ku3	蛊惑人心
蛋	da6	鸡蛋
蠣	li6	牡蛎
蟶	tɕʰiəŋ1	鲜蛏
蛐	tɕʰyo7	蚰蛐:蟋蟀
蛑	mə2	~贼
蛔	wai2	蛔虫
蛙	o1	青蛙
蛛	tɕʮ1	蛛
蛛	tɕʮ1	蜘蛛
蛟	ka1-	蛟翔巷
蛟	kuɔ1=	蛟龙
蛤	kø7	蛤蜊
蛭	tsai7	水蛭
蠻	ʰma1-	蛮好蛮长长
蠻	ma2	野蛮
蟄	dzɿ8	惊蛰
蟄	za8	胶蛰
蛺	tɕi7	蛱蝶
蟯	ʰȵia1-	蛲蛲动嫵姆咽醒宿床里蛲起
蟯	ȵia2=	蛲虫
螄	sɿ1	螺蛳
蛹	jyɔ4	蚕蛹
蛾	me2-	打灯蛾
蛾	ŋ̍2=	飞蛾
蜀	dʑyo8	四川简称
蜂	hoŋ1	蜜蜂
蜂	sai7	蟋蟀
蜃	zaŋ6	海市蜃楼
蜇	tɕi7	海蜇
蜈	ŋ̍2=	蜈蚣
蜉	və2	蚍蜉
蜊	li2	蛤蜊
蜒	ji2	蜿蜒
蜓	dəŋ2	蜻蜓
蜕	tʰai5	蝉蜕
蝸	ko1	蜗牛
蜘	tsɿ1	蜘蛛
蜚	fi1	蜚声
蜚	fi3	蜚语
蜜	myə8	蜂蜜
蠟	la8	蜡烛
蜢	mɛ4	舴艋
蜥	sɿ7	蜥蜴
蜴	jiai8	蜥蜴
蜷	dʑy2	蜷缩
蜻	tɕʰiəŋ1	蜻蜓
蜿	ʰjy1	蜿蜒
蠅	jiaŋ2	蚊蝇
蟈	kai7	巾帼
蟈	kai7	象声词蝈蝈虫
蟬	ʑi2	蝉虫
蝌	kʰu1	蝌蚪
蠍	ɕi7	蝎子
蝗	ɦuɔ2	蝗虫
蝙	pi1	蝙蝠
蝠	fu7	蝙蝠
蝤	jiau2	~蛑儿
蝥	muɔ2	蚕贼
蝮	fu7	蝮蛇
蝴	wu2	蝴蝶
蝶	diɛ8	蝴蝶
螻	lau2	蝼蛄:昆虫名
螂	luɔ2	蟑螂
螃	buɔ2	螃蟹
螈	ȵy2	蝾螈
融	jyoŋ2	金融
螟	məŋ2	螟虫
螠	ɛ7	~儿
蟎	mø4	螨虫
螳	duɔ2	螳螂
螺	lo2	田螺
蟆	mo2	蛙蟆
蟋	sɿ7	蟋蟀
蟑	tɕiɛ1	蟑螂
蟒	muɔ4	蟒蛇
蟛	bɛ2	蟛蜞
蟠	bø2	盘曲
蟥	ɦuɔ2	蚂~
蟹	hɛ3	螃蟹
蟾	ʑi2	蟾蜍:癞蛤蟆
蠑	jyoŋ2	~螈
蠕	ʑʮ2	蠕动
蠡	lu2	河蠡蚌
蠡	li4	范蠡
蠢	tɕʰyoŋ3	愚蠢
蠲	tɕy1	减免
蠹	tu5	蛀虫
血	ɕy7	流血“血”的口语读音
血	ɕy7	血案
衄	ȵiəu8	鼻出血
衅	ɕiaŋ5	挑衅
行	tsɿ1	京畿
行	ɦɛ6=	内行行列
行	ɦɛ2=	行为
行	ɕiaŋ3	该起事干就恁妆,你眙行不行
行	ɦɛ2=	道行
行	ɦuɔ2=	银行
衍	ji4	敷衍
銜	ɦa2=	头衔
銜	ɡa2-	衔头天女衔花
街	kɛ1	街路
衙	ŋo2	衙门
衢	dʑʮ2	衢州
衣	ʰji1	衣服
補	pu3	补充
表	pyə3	外表
表	pyə3	缺钟錶
衩	tsʰo5	裤衩
衫	sa1	衫袖
襯	tsʰaŋ5	衬衫
衮	kaŋ3	帝王穿的礼服
衰	sai1	衰落
衲	nø8	衲僧
衷	tɕyoŋ1	衷心
衽	zaŋ6	衣襟
衾	tɕʰiaŋ1	大被
袁	jy2	姓氏
袂	mi6	衣袖
襖	ə3	棉袄
袅	ȵia4	细长柔美
袈	ko1	袈裟
袋	de6=	口袋
袍	bə2	棉袍
袒	da4	赤膊袒裸袒护
袖	ʑiəu6	衫袖
袜	muɔ8	鞋袜
袤	mə6	纵长袤延
被	bi4	被服被动
襲	zai8	袭击
袱	vu8	包袱
裁	dze2	裁判
裂	li8	分裂
裝	tɕyɔ1	假装
裝	tsuɔ1	武装
襠	tuɔ1	裤裆
裔	ʰji5	华裔
裕	jʮ6	富裕
裘	dʑiau2	御寒的毛皮衣服
裙	dʑyoŋ2	裙带
裟	so1	袈裟
褲	kʰu5	衣裤
裨	pi1	增补,益处
裨	bi2	裨将
裱	pyə3	装裱
裳	ʑiɛ2	衣裳
裴	bai2	姓氏
裸	lo4	裸体
裹	ku3	包裹
製	tsɿ5	~造
褂	ko5	褂子
褊	pi3	褊樱:衣服飘扬貌
褐	ø7	短褐
褒	pə1	褒奖
褓	pə3	襁褓
褚	tɕʰʮ3	姓氏
褥	ʑiəu8	被褥
褪	tʰaŋ5	衣装、服饰等穿着或套着的东西因宽松而脱出壳褪出爻
褪	tʰai5	褪皮
襤	la2	褴楼
襁	tɕiɛ3	背负婴儿用的宽带
襄	ɕiɛ1	除去
襟	tɕiaŋ1	衣襟
襻	pʰa5	系衣裙的带
西	sɿ1	东西
要	ʰjyə1-	要求
要	ʰjyə5=	重要
覅	fai7	不要
覆	fu7	覆盖
見	tɕi5	看见
觀	kø5	寺观
觀	kø1	观察
規	tɕʮ1	圆规
規	kai1	规矩
覓	mi8	寻觅
視	zɿ6	电视
覽	la4	展览
覺	kuɔ5	睡觉
覺	ko7	知觉,觉悟
覲	dʑiaŋ6	觐见:朝见
覷	tɕʰʮ5	窥视
角	tɕia7-	三角门
角	ko7=	三角
角	ko7=	角色
解	ɦɛ2	姓氏解签诗
解	kɛ5	解钞票
解	kɛ3	讲解
觸	tɕʰyo7	接触
言	ȵi2	言语
訇	hoŋ1	阿訇
訬	tsʰuɔ1	吵闹
訾	tsɿ3	訾那:怎么
詈	li6	骂詈
詹	tɕi1	姓氏
譽	jʮ6	荣誉
誓	zɿ6	发誓
語	ȵy4	龋:不相投合
謄	daŋ2	~写
謇	tɕi3	正直
警	tɕiaŋ3	警戒
譬	pʰi5	譬喻譬如
計	tsɿ5	计划
