#漢字	音標	解釋
㐄	kʰᴀ2	跨
飥	tʰɔ2	
飯	fɐ̃4	
飼	sɿᵊ4	
飽	pᴀɔ3	
飾	sɿᵊ4	
餃	tɕiᴀɔ3	
餈	tsʰɿᵊ2	
餌	ɛ4	~块粑
餌	ɛ˞3	
餐	tsʰɐ̃1	
餑	pᴀ1	
餒	luɘi3	
餓	ɣɔ4	
餘	ʑi2	
餚	ɕiᴀɔ2	
餞	tsɐ̃4	
餟	tsuɛ2	
餡	ɕiɛ̃4	
餧	wɘi4	
餵	ʑi4	
餷	tsʰᴀ1	
餺	pɔ2	
餾	nᵈiɘu1	
餾	nᵈiɘu4	~馒头
餿	sɘu1	
饅	mᵇɐ̃2	
饋	kʰuɘi4	
饒	zᴀɔ2	
饞	tsʰɐ̃2	
首	sɘu3	
馬	mᵇᴀ1	~~虎虎
馬	mᵇᴀ3	
馱	tɔ4	~起，指安放;一~，量词;~子，即底座
馱	tʰɔ2	
馳	tsʰɿᵊ2	
馹	ɛ˞2	
駁	pɔ2	
駐	tsu4	
駕	tɕiᴀ4	
駝	tʰɔ2	
駟	sɿᵊ4	
騈	pʰiɛ̃2	
駱	lɔ2	
騃	ŋᶢɐɛ2	
騍	kʰɔ4	
騎	tɕʰi2	
騙	pʰiɛ̃4	
騲	tsʰᴀɔ3	
騷	sᴀɔ1	
騸	sɐ̃4	
騾	lɔ2	
驅	tɕʰi1	
驕	kᴀɔ1	即“高”
驕	tɕiᴀɔ1	
驗	nᵈiɛ̃4	
驟	tsʰu4	白读
驟	tsʰɘu4	文读
驢	lu2	
驫	piᴀɔ1	
駒	tɕi1	
驥	ʑi4	
骨	ku2	
骷	kʰu1	
骸	xɐɛ2	
骹	kʰᴀɔ1	
骼	kɛ2	
髂	kʰuᴀ4	
髏	lu2	
髓	suɘi3	
體	tʰi3	
髙	kᴀɔ1	
髦	mᵇᴀɔ4	
髮	fᴀ1	头~
髮	fᴀ2	
髳	mᵇu2	黔东苗族
髻	tɕi4	
髻	tɕiɘu4	盘龙~
鬍	fu2	
鬏	tɕiɘu1	
鬚	ɕi1	
鬥	tɘu4	文读
鬧	lᴀɔ4	
鬪	tɘu4	
鬬	tɘu4	
鬭	tɘu4	
鬮	tɕiɘu1	
鬱	ʑu2	
鬼	kuɘi3	
魁	kʰuɘi1	
魄	pʰɛ2	
魄	pʰɐɛ4	~头
魅	mᵇɘi4	
魏	wɘi4	
魔	mᵇɔ2	
魚	ʑi2	
魯	lu3	
鮎	nᵈiɛ̃2	
鮑	pᴀɔ1	姓氏
鮑	pᴀɔ4	
鮓	tsᴀ3	小米~;~包，即零食;~壳，即穷;麻麻~~，指很密集
鮮	ɕiɛ̃1	
鮮	ɕiɛ̃3	
鯉	nᵈi3	
鯽	tɕi2	
鰍	tɕʰiɘu1	
鰭	tɕʰi2	
鰻	mᵇɐ̃4	
鰾	piᴀɔ4	
鱉	piɛ2	
鱔	sɐ̃4	
鱖	kuɘi4	
鱷	ɣɔ2	
鳥	nᵈiᴀɔ3	
鳧	fu2	
鳩	tɕiɘu1	
鴇	pᴀɔ3	
鴉	ʑᴀ1	
鴉	ʑᴀ3	~片烟;~片花
鴨	ʑᴀ2	
鴯	ɛ˞2	
鴰	wᴀ4	老~，即乌鸦
鴿	kɔ2	
鵑	tɕiɛ̃1	
鵝	ɣɔ2	
鵡	vu3	
鵪	ŋᶢɐ̃1	
鵲	tɕʰiɔ2	
鶓	mᵇiᴀɔ2	
鶴	xɔ2	
鷄	tɕi1	即“㞓”
鷦	tɕiᴀɔ1	
鷯	nᵈiᴀɔ2	
鹵	lu3	
鹹	xɐ̃2	白读
鹹	ɕiɛ̃2	文读
鹼	tɕiɛ̃3	
鹽	ʑɛ̃2	
鹿	lu2	
麂	tɕi3	
麗	nᵈi4	
麤	tsʰu1	
麥	mᵇɛ2	
麥	mᵇɐɛ2	烧~
麵	mᵇiɛ̃4	
麻	mᵇᴀ2	
麼	mᵇɔ1	什~;这~
麼	mᵇɔ2	
麼	mᵇɛ1	那~，相当于“……的话”
麾	xuɘi1	
黍	su3	
黎	nᵈi2	
黏	nᵈiᴀ1	白读
黏	nᵈiɛ̃1	文读
黑	xɛ2	
黔	tɕʰiɛ̃2	
默	mᵇɛ2	
默	mᵇiɛ2	思考
點	ti1	~~个;一~点
點	tɛ3	这~;那~;哪~，“点儿”合音
點	tiɛ3	一小~，“点儿”合音
點	tiɛ̃3	
黠	ɕiᴀ2	
黢	tɕʰi̹u1	
鼓	ku3	
鼠	sɿᵊ3	兔眉~眼
鼠	su3	
鼻	pi2	
鼻	pi4	鼻~，儿语，鼻涕
鼾	xɐɛ4	打喝~
鼾	xɐ̃1	
鼾	xɐ̃4	打伏~
齁	xiɘu1	
齊	tɕʰi2	
齋	tsɐɛ1	
齒	tsʰɿᵊ1	牙~
齒	tsʰɿᵊ2	咬牙切~
齒	tsʰɿᵊ3	
齙	pᴀɔ4	
齜	tsʰɿᵊ1	
齪	tsʰɔ2	
齷	ɣɔ2	
龕	kʰɐ̃1	
龖	tʰᴀ2	
龘	tʰᴀ2	
龜	kuɘi1	
𠁞	puɘi4	“不会”的合音
𠄏	tiᴀɔ3	
𠍎	ɛ˞4	
𠎸	tɕiᴀ2	形容人差劲或不讲义气
𠎸	sɛ2	
𠏪	ɕiɐɛ4	
𠹫	sɛ2	
𠺗	mᵇɘi2	
𠻮	sɛ2	
𠾂	sɛ2	
𡄣	mᵇɘi2	
𡉔	sɛ2	
𡎺	tsu2	
𢡉	sɛ2	
𢫧	tsʰɘu1	
𢬆	tsʰɘu1	
𢬞	tsʰɘu1	
𢬟	tsʰɘu1	
𢮢	tsʰɘu1	
𢰸	wᴀ1	~亡，指做事过分，毫无底线
𢱟	tsʰɐ̃3	即“摌”
𢲢	tɕʰi̹u2	即“捽”
𢶍	tsᴀ2	文读
𢶍	sᴀ2	白读
𢹐	pʰi2	
𢺞	pᴀ4	
𣁳	wᴀ3	用瓢~
𣙲	pʰᴀɔ1	
𣚇	pʰᴀɔ1	
𣞈	pʰᴀɔ1	
𣢯	ku2	大口猛饮
𣥒	sɛ2	
𣭈	pʰi1	
𣲩	pʰᴀ1	即“脬”
𣳙	su4	
𣴔	su4	
𣴻	sɛ2	
𣷥	sɔ2	
𣹣	sɛ2	
𣹫	su4	
𣾫	sɛ2	
𣿠	sɛ2	
𤁍	sɛ2	
𤆵	pʰᴀ1	软
𤏻	ɕiɛ2	
𤭢	tsʰuɘi4	出现缺口或裂痕
𤲝	sɛ2	
𤻖	pi4	
𥠂	xuɘi4	
𥢁	xuɘi4	
𦧌	wᴀ3	即“𣁳”
𦼯	xuɘi4	
𧍒	tsʰuɐɛ3	
𧯞	tɘu4	
𧵸	ɛ˞4	
𨀵	tsu2	
𨂿	wɐɛ1	跩
𨃅	pɐɛ1	即“跛”
𨉣	xᴀ1	点头~腰
𨵤	ɕi1	~缝
𨷵	tɘu4	
𩐌	tuɘi4	藠头
𩐒	tɕi1	
𩗁	sᴀ2	
𩰒	tɘu4	
𩰖	tɘu4	
𩱦	tsʰᴀɔ3	
𪠘	sɐɛ4	
𫤘	ɛ1	儿缀
𫤘	ɛ2	
𫤘	ɛ3	一点~;碗~糕
𫤘	ɛ4	今~，即“日”;正~八经;幼~园
𫼪	tsʰɐ̃3	即“摌”
