"简体"	"繁體"	"音標"		"1：˧˧"	"2：˧˩"
"巷"	"巷"	"ɦɔ6"			
"汪"	"汪"	"ʔɔ1"			
"骯"	"骯"	"ʔɔ1"			
"坳"	"坳"	"ʔɔ1"			
"凹"	"凹"	"ʔɔ1"			
"博"	"博"	"po7"			
"剥"	"剝"	"po7"			
"驳"	"駁"	"po7"			
"卜"	"蔔"	"po7"			
"薄"	"薄"	"bo8"			
"莫"	"莫"	"mo8"			
"寞"	"寞"	"mo8"			
"摸"	"摸"	"mo8"			
"多"	"多"	"to1"			
"朵"	"朵"	"to3"			
"躲"	"躲"	"to3"			
"剁"	"剁"	"to5"			
"拖"	"拖"	"tʰo1"			
"椭"	"橢"	"tʰo1"			
"妥"	"妥"	"tʰo3"			
"唾"	"唾"	"tʰo5"			
"秃"	"禿"	"tʰo7"			
"驼"	"駝"	"do2"			
"驮"	"馱"	"do2"			
"舵"	"舵"	"do4"			
"铎"	"鐸"	"do8"			
"奴"	"奴"	"no6"			
"努"	"努"	"no6"			
"怒"	"怒"	"no6"			
"糯"	"糯"	"no6"			
"罗"	"羅"	"lo2"			
"锣"	"鑼"	"lo2"			
"箩"	"籮"	"lo2"			
"骡"	"騾"	"lo2"			
"螺"	"螺"	"lo2"			
"脶"	"腡"	"lo2"			
"鲁"	"魯"	"lo4"			
"虏"	"虜"	"lo4"			
"橹"	"櫓"	"lo4"			
"棵"	"棵"	"lo4"			
"摞"	"摞"	"lo6"			
"洛"	"洛"	"lo8"			
"落"	"落"	"lo8"			
"烙"	"烙"	"lo8"			
"骆"	"駱"	"lo8"			
"络"	"絡"	"lo8"			
"酪"	"酪"	"lo8"			
"乐"	"樂"	"lo8"			
"录"	"錄"	"lo8"			
"绿"	"綠"	"lo8"			
"操"	"操"	"lo8"			
"搓"	"搓"	"so1"			
"蓑"	"蓑"	"so1"			
"梭"	"梭"	"so1"			
"唆"	"唆"	"so1"			
"莎"	"莎"	"so1"			
"沙"	"沙"	"so1"			
"纱"	"紗"	"so1"			
"蔬"	"蔬"	"so1"			
"漱"	"漱"	"so1"			
"疏"	"疏"	"so1"			
"锁"	"鎖"	"so3"			
"琐"	"瑣"	"so3"			
"所"	"所"	"so3"			
"素"	"素"	"so5"			
"嗉"	"嗉"	"so5"			
"索"	"索"	"so7"			
"朔"	"朔"	"so7"			
"粟"	"粟"	"so7"			
"束"	"束"	"so7"			
"缩"	"縮"	"so7"			
"斜"	"斜"	"zo2"			
"锄"	"鋤"	"zo2"			
"矬"	"矬"	"zo2"			
"坐"	"坐"	"zo4"			
"座"	"座"	"zo6"			
"助"	"助"	"zo6"			
"俗"	"俗"	"zo8"			
"续"	"續"	"zo8"			
"属"	"屬"	"zo8"			
"赎"	"贖"	"zo8"			
"楂"	"楂"	"tɕo1"			
"渣"	"渣"	"tɕo1"			
"左"	"左"	"tɕo3"			
"佐"	"佐"	"tɕo3"			
"组"	"組"	"tɕo3"			
"阳"	"陽"	"tɕo3"			
"炸"	"炸"	"tɕo5"			
"诈"	"詐"	"tɕo5"			
"榨"	"榨"	"tɕo5"			
"作"	"作"	"tɕo5"			
"做"	"做"	"tɕo5"			
"卓"	"卓"	"tɕo7"			
"桌"	"桌"	"tɕo7"			
"琢"	"琢"	"tɕo7"			
"啄"	"啄"	"tɕo7"			
"捉"	"捉"	"tɕo7"			
"足"	"足"	"tɕo7"			
"作"	"作"	"tɕo7"			
"叉"	"叉"	"tɕʰo1"			
"杈"	"杈"	"tɕʰo1"			
"差"	"差"	"tɕʰo1"			
"车"	"車"	"tɕʰo1"			
"错"	"錯"	"tɕʰo1"			
"初"	"初"	"tɕʰo1"			
"锉"	"銼"	"tɕʰo5"			
"岔"	"岔"	"tɕʰo5"			
"错"	"錯"	"tɕʰo7"			
"戳"	"戳"	"tɕʰo7"			
"畜"	"畜"	"tɕʰo7"			
"促"	"促"	"tɕʰo7"			
"曲"	"曲"	"tɕʰo7"			
"措"	"措"	"tɕʰo7"			
"札"	"劄"	"tɕʰo7"			
"茶"	"茶"	"dʑo2"			
"搽"	"搽"	"dʑo2"			
"查"	"查"	"dʑo2"			
"乍"	"乍"	"dʑo6"			
"昨"	"昨"	"dʑo6"			
"蜀"	"蜀"	"dʑo8"			
"局"	"局"	"dʑo8"			
"镯"	"鐲"	"dʑo8"			
"浴"	"浴"	"jo8"			
"惩"	"懲"	"jo8"			
"欲"	"欲"	"jo8"			
"簧."	"簧."	"jo8"			
"开"	"開"	"ko1"			
"歌"	"歌"	"ko1"			
"家"	"家"	"ko1"			
"加"	"加"	"ko1"			
"痴"	"癡"	"ko1"			
"嘉"	"嘉"	"ko1"			
"家"	"家"	"ko1"			
"假"	"假"	"ko3"			
"贾"	"賈"	"ko3"			
"假"	"假"	"ko5"			
"驾"	"駕"	"ko5"			
"嫁"	"嫁"	"ko5"			
"稼"	"稼"	"ko5"			
"价"	"價"	"ko5"			
"架"	"架"	"ko5"			
"各"	"各"	"ko7"			
"阁"	"閣"	"ko7"			
"搁"	"擱"	"ko7"			
"胳"	"胳"	"ko7"			
"郭"	"郭"	"ko7"			
"觉"	"覺"	"ko7"			
"角"	"角"	"ko7"			
"廓"	"廓"	"ko7"			
"可"	"可"	"kʰo3"			
"揢"	"揢"	"kʰo5"			
"确"	"確"	"kʰo7"			
"掖"	"掖"	"kʰo7"			
"壳"	"殼"	"kʰo7"			
"廓"	"廓"	"kʰo7"			
"牙"	"牙"	"ŋo2"			
"芽"	"芽"	"ŋo2"			
"伢"	"伢"	"ŋo2"			
"鹅"	"鵝"	"ŋo2"			
"衙"	"衙"	"ŋo2"			
"雅"	"雅"	"ŋo4"			
"瓦"	"瓦"	"ŋo4"			
"昂"	"昂"	"ŋo4"			
"砑"	"砑"	"ŋo6"			
